province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,邵阳市,2013-01-01,56.63,65.24,25.49,13.19,0.57,53.53,-0.96,-0.03,277.42,33.62,95519.18,78,二级
湖南省,邵阳市,2013-01-02,99.43,113.86,39.32,22.2,0.95,35.88,-4.6,-3.67,277.45,52.84,95732.91,131,三级
湖南省,邵阳市,2013-01-03,55.92,64.66,24.93,16.41,0.66,35.0,-5.13,-6.64,270.71,70.67,96547.38,77,二级
湖南省,邵阳市,2013-01-04,69.04,77.09,26.62,15.38,0.77,36.9,-3.93,-2.96,269.69,76.73,96032.46,93,二级
湖南省,邵阳市,2013-01-05,96.52,106.09,30.33,16.69,0.89,39.23,-3.31,-2.36,271.24,79.24,95675.97,127,三级
湖南省,邵阳市,2013-01-06,114.85,126.34,39.89,16.74,1.01,44.22,-2.72,-2.31,271.46,73.93,95750.09,150,三级
湖南省,邵阳市,2013-01-07,143.62,153.84,44.63,15.52,1.15,48.61,-2.27,-1.48,273.07,65.52,95582.92,191,四级
湖南省,邵阳市,2013-01-08,162.91,175.31,49.84,16.56,1.33,48.78,-3.04,-2.93,274.22,67.02,95669.12,213,五级
湖南省,邵阳市,2013-01-09,226.52,234.0,59.58,21.81,1.54,43.51,-3.42,-4.31,274.25,63.51,95890.57,277,五级
湖南省,邵阳市,2013-01-10,226.64,235.72,48.34,23.73,1.6,44.85,-3.71,-2.52,274.68,66.75,95800.73,277,五级
湖南省,邵阳市,2013-01-11,148.31,158.17,35.86,16.98,1.1,44.75,-1.18,-2.64,276.81,61.38,95817.19,198,四级
湖南省,邵阳市,2013-01-12,132.04,141.31,36.81,16.55,1.1,42.54,-2.97,-1.83,277.83,61.72,95637.3,175,四级
湖南省,邵阳市,2013-01-13,142.42,156.04,45.08,14.03,1.18,51.37,-1.34,-0.31,279.77,58.87,95273.97,190,四级
湖南省,邵阳市,2013-01-14,153.84,165.63,43.73,18.73,1.37,46.89,-4.18,-1.03,280.02,59.71,95500.31,204,五级
湖南省,邵阳市,2013-01-15,141.65,152.77,35.36,16.93,1.22,40.52,-1.08,-0.22,279.55,77.91,95675.29,189,四级
湖南省,邵阳市,2013-01-16,166.55,184.09,43.76,15.12,1.48,40.01,-2.13,-1.52,279.43,82.93,95840.77,217,五级
湖南省,邵阳市,2013-01-17,194.09,211.32,44.81,22.22,1.52,36.72,-4.68,-5.61,277.8,65.32,96393.5,245,五级
湖南省,邵阳市,2013-01-18,145.71,159.84,29.34,18.62,1.24,34.39,-3.92,-1.68,276.52,64.17,96287.94,194,四级
湖南省,邵阳市,2013-01-19,109.3,129.75,26.79,15.32,1.12,41.45,-1.39,2.93,279.6,69.48,95534.7,143,三级
湖南省,邵阳市,2013-01-20,70.21,79.74,19.62,11.09,0.73,48.23,1.11,4.95,285.2,81.86,95256.25,95,二级
湖南省,邵阳市,2013-01-21,132.67,138.15,34.12,23.11,1.3,21.79,-2.2,-2.02,278.31,90.71,95764.32,176,四级
湖南省,邵阳市,2013-01-22,171.18,179.15,43.74,22.46,1.42,27.03,-2.13,-2.19,276.22,81.88,95897.33,222,五级
湖南省,邵阳市,2013-01-23,174.47,189.46,42.81,13.95,1.36,44.22,-1.02,-0.12,279.38,68.46,95600.71,225,五级
湖南省,邵阳市,2013-01-24,107.21,114.66,28.17,10.8,1.0,46.56,-1.72,-3.64,281.01,67.57,95630.4,141,三级
湖南省,邵阳市,2013-01-25,69.16,75.9,26.46,16.5,0.78,38.42,-3.31,-1.6,279.46,48.14,95662.61,93,二级
湖南省,邵阳市,2013-01-26,85.54,102.78,31.3,15.45,1.03,48.36,-1.57,-1.77,282.28,47.18,95539.23,114,三级
湖南省,邵阳市,2013-01-27,120.31,135.67,45.34,20.92,1.16,44.0,-4.45,-2.54,281.53,51.69,95918.41,158,四级
湖南省,邵阳市,2013-01-28,128.75,136.43,35.13,17.36,1.16,49.44,-1.94,0.87,282.44,52.94,95619.79,170,四级
湖南省,邵阳市,2013-01-29,98.46,109.68,25.39,10.64,0.94,57.56,-1.14,1.47,284.94,68.52,95538.06,130,三级
湖南省,邵阳市,2013-01-30,79.92,86.48,24.27,9.57,0.83,58.45,0.42,5.32,287.02,80.73,95436.71,107,三级
湖南省,邵阳市,2013-01-31,40.51,46.78,12.35,7.1,0.46,56.74,3.11,9.22,289.79,80.1,95204.74,57,二级
湖南省,邵阳市,2013-02-01,44.95,49.07,15.76,9.57,0.66,52.75,0.19,2.21,288.26,82.86,95445.73,63,二级
湖南省,邵阳市,2013-02-02,142.98,143.9,35.72,19.08,1.57,26.99,-3.22,-1.9,282.6,93.28,95829.98,190,四级
湖南省,邵阳市,2013-02-03,90.96,98.3,22.2,11.5,1.19,53.05,1.72,5.58,287.69,78.32,95224.32,120,三级
