province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,天水市,2013-01-01,35.04,38.98,12.09,9.95,0.63,54.93,-0.57,-0.6,267.36,37.82,82536.9,51,二级
甘肃省,天水市,2013-01-02,47.71,54.38,32.42,15.21,0.68,36.58,-4.78,0.43,264.22,59.36,83119.14,66,二级
甘肃省,天水市,2013-01-03,43.58,50.32,26.82,11.88,0.51,36.25,-2.84,3.84,261.88,62.04,83374.98,61,二级
甘肃省,天水市,2013-01-04,56.38,63.65,23.05,7.84,0.56,43.07,-1.73,5.09,263.55,73.85,82680.06,77,二级
甘肃省,天水市,2013-01-05,78.67,88.51,27.07,11.06,0.78,41.16,-0.69,-0.06,265.15,64.29,82700.47,105,三级
甘肃省,天水市,2013-01-06,94.7,105.73,30.22,14.8,0.97,36.71,-0.09,-0.92,265.26,65.85,82786.51,125,三级
甘肃省,天水市,2013-01-07,53.4,58.65,14.31,12.18,0.74,48.16,0.17,-1.69,267.24,48.24,82732.25,74,二级
甘肃省,天水市,2013-01-08,36.08,40.12,12.86,11.64,0.51,40.59,-0.18,-1.82,266.22,37.97,83037.01,52,二级
甘肃省,天水市,2013-01-09,41.41,46.68,13.81,7.21,0.53,51.13,0.16,4.95,267.6,49.71,82824.97,59,二级
甘肃省,天水市,2013-01-10,115.36,124.79,32.28,7.23,0.98,50.52,0.52,3.66,268.89,76.25,82743.87,151,四级
甘肃省,天水市,2013-01-11,41.76,46.75,12.42,8.33,0.59,48.76,0.67,-0.98,269.43,33.47,83075.66,59,二级
甘肃省,天水市,2013-01-12,66.19,71.51,16.38,6.55,0.64,53.99,1.62,4.25,271.45,44.45,82619.67,89,二级
甘肃省,天水市,2013-01-13,115.15,125.39,27.85,8.06,0.94,54.54,-1.02,2.49,271.74,50.36,82453.92,151,四级
甘肃省,天水市,2013-01-14,93.7,102.46,27.37,8.58,0.76,48.69,-0.8,1.51,270.89,58.0,82760.61,124,三级
甘肃省,天水市,2013-01-15,30.58,37.69,11.61,9.51,0.51,44.5,-0.24,-1.17,269.69,39.8,83032.28,44,一级
甘肃省,天水市,2013-01-16,36.27,43.1,14.02,9.12,0.54,49.97,-1.52,-0.04,271.3,37.02,83222.52,52,二级
甘肃省,天水市,2013-01-17,50.71,58.52,21.42,8.69,0.57,44.94,-2.68,6.0,270.58,49.05,83424.35,70,二级
甘肃省,天水市,2013-01-18,118.6,131.63,34.49,7.75,0.98,43.74,0.44,7.15,272.27,76.37,82990.43,156,四级
甘肃省,天水市,2013-01-19,100.63,113.14,30.15,7.22,0.86,49.72,-1.34,7.21,272.55,75.33,82233.13,133,三级
甘肃省,天水市,2013-01-20,41.18,44.89,14.8,8.88,0.48,47.66,1.4,-5.1,267.2,62.75,82825.46,58,二级
甘肃省,天水市,2013-01-21,25.61,27.9,8.85,8.03,0.44,49.97,-0.09,-2.49,267.35,50.72,83054.27,37,一级
甘肃省,天水市,2013-01-22,43.13,46.14,13.25,10.46,0.5,49.78,0.27,-1.39,268.63,68.01,83052.66,61,二级
甘肃省,天水市,2013-01-23,34.22,36.74,10.37,9.07,0.44,56.92,1.78,-2.84,270.52,42.16,82856.34,49,一级
甘肃省,天水市,2013-01-24,17.44,21.53,6.67,6.25,0.33,55.97,0.6,-2.32,268.69,35.91,83168.35,28,一级
甘肃省,天水市,2013-01-25,38.6,44.66,11.14,10.04,0.58,51.45,1.37,-2.31,270.84,32.98,82979.79,55,二级
甘肃省,天水市,2013-01-26,42.73,46.93,14.45,11.94,0.61,52.28,0.84,-2.22,271.89,28.11,83087.71,60,二级
甘肃省,天水市,2013-01-27,46.57,50.41,14.52,8.84,0.56,57.79,-0.16,2.18,274.1,28.73,83087.18,65,二级
甘肃省,天水市,2013-01-28,72.26,77.99,21.89,7.77,0.73,56.23,0.67,1.99,274.37,59.36,82758.06,97,二级
甘肃省,天水市,2013-01-29,81.36,90.13,26.35,6.46,0.74,57.02,-0.34,4.07,275.08,72.24,82702.6,108,三级
