province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,甘南藏族自治州,2013-01-01,3.61,4.25,1.03,1.14,0.18,83.88,9.37,-1.02,264.94,27.63,67079.72,42,一级
甘肃省,甘南藏族自治州,2013-01-02,14.78,17.47,5.04,2.36,0.27,65.38,2.56,-0.12,264.68,46.83,67221.75,33,一级
甘肃省,甘南藏族自治州,2013-01-03,24.12,27.59,7.75,3.65,0.35,56.82,0.22,0.81,259.76,76.69,67306.06,35,一级
甘肃省,甘南藏族自治州,2013-01-04,15.5,18.03,3.96,2.47,0.28,62.87,4.05,0.11,264.62,62.85,66936.36,32,一级
甘肃省,甘南藏族自治州,2013-01-05,12.09,13.84,3.17,2.08,0.25,60.98,1.87,-0.85,264.24,50.88,67012.97,31,一级
甘肃省,甘南藏族自治州,2013-01-06,29.11,32.06,6.31,3.94,0.4,54.87,-1.09,-1.03,261.2,76.32,67016.83,42,一级
甘肃省,甘南藏族自治州,2013-01-07,15.48,17.52,2.63,2.97,0.29,63.64,1.36,-1.04,261.22,57.4,67091.37,32,一级
甘肃省,甘南藏族自治州,2013-01-08,19.89,22.88,4.52,4.09,0.38,66.41,0.03,-1.39,258.21,78.29,67220.97,34,一级
甘肃省,甘南藏族自治州,2013-01-09,6.07,7.08,1.34,1.65,0.2,72.52,4.02,-0.24,261.55,42.43,67173.9,37,一级
甘肃省,甘南藏族自治州,2013-01-10,8.07,9.03,1.89,1.62,0.22,67.13,3.82,-1.91,262.84,29.21,67214.93,34,一级
甘肃省,甘南藏族自治州,2013-01-11,4.62,5.58,1.13,1.39,0.21,71.61,4.45,-0.64,262.02,27.08,67480.08,36,一级
甘肃省,甘南藏族自治州,2013-01-12,3.93,4.47,0.84,1.15,0.17,71.39,6.84,-1.53,263.21,31.19,67255.16,36,一级
甘肃省,甘南藏族自治州,2013-01-13,4.47,5.13,1.03,1.3,0.18,66.48,6.02,-0.61,266.28,26.94,67135.87,34,一级
甘肃省,甘南藏族自治州,2013-01-14,24.62,28.84,5.71,2.78,0.37,62.17,1.07,-0.11,264.83,48.41,67239.58,36,一级
甘肃省,甘南藏族自治州,2013-01-15,15.4,18.55,3.53,2.11,0.28,63.05,2.03,0.03,263.8,56.82,67455.39,32,一级
甘肃省,甘南藏族自治州,2013-01-16,8.66,10.87,2.51,2.4,0.24,61.64,1.63,-0.99,264.17,51.39,67637.26,31,一级
甘肃省,甘南藏族自治州,2013-01-17,8.47,10.26,2.27,1.83,0.23,64.36,4.38,0.46,266.65,42.08,67805.19,33,一级
甘肃省,甘南藏族自治州,2013-01-18,7.75,8.91,1.94,1.27,0.2,67.25,7.6,0.02,271.35,26.69,67746.37,34,一级
甘肃省,甘南藏族自治州,2013-01-19,10.72,12.29,2.88,1.57,0.22,73.59,8.44,2.79,274.16,32.62,67122.88,37,一级
甘肃省,甘南藏族自治州,2013-01-20,24.78,27.4,5.76,3.05,0.65,61.04,1.24,0.13,265.55,65.74,67125.47,36,一级
甘肃省,甘南藏族自治州,2013-01-21,14.81,15.92,2.76,2.35,0.3,65.49,1.0,0.64,263.66,69.44,67321.67,33,一级
甘肃省,甘南藏族自治州,2013-01-22,4.69,5.01,0.79,1.14,0.17,74.15,8.76,-3.05,263.45,38.46,67568.98,38,一级
甘肃省,甘南藏族自治州,2013-01-23,2.78,2.87,0.55,1.12,0.16,70.07,7.41,-1.19,264.11,31.71,67483.66,36,一级
甘肃省,甘南藏族自治州,2013-01-24,2.25,3.02,0.61,1.21,0.16,72.13,5.41,-1.19,262.76,38.03,67611.88,37,一级
甘肃省,甘南藏族自治州,2013-01-25,6.51,7.85,1.59,2.1,0.22,72.54,1.93,-1.26,262.27,53.76,67475.53,37,一级
甘肃省,甘南藏族自治州,2013-01-26,4.75,5.4,1.09,1.6,0.19,70.88,2.84,-2.07,263.3,41.46,67615.79,36,一级
甘肃省,甘南藏族自治州,2013-01-27,5.96,6.59,1.3,1.53,0.19,71.28,2.78,1.17,265.18,42.31,67607.65,36,一级
甘肃省,甘南藏族自治州,2013-01-28,8.43,9.3,2.08,1.64,0.22,68.94,4.49,-3.1,265.63,36.53,67470.09,35,一级
甘肃省,甘南藏族自治州,2013-01-29,10.65,11.76,3.91,3.18,0.25,59.31,3.12,0.17,267.81,32.73,67401.89,30,一级
甘肃省,甘南藏族自治州,2013-01-30,3.99,4.5,1.07,1.23,0.16,65.73,5.72,0.92,268.42,28.59,67425.96,33,一级
甘肃省,甘南藏族自治州,2013-01-31,3.08,3.83,0.83,1.13,0.15,65.79,6.22,-1.5,269.36,28.3,67464.19,33,一级
甘肃省,甘南藏族自治州,2013-02-01,2.86,3.81,0.84,1.17,0.15,61.96,3.63,-0.13,270.67,28.59,67696.64,31,一级
甘肃省,甘南藏族自治州,2013-02-02,11.71,14.1,3.31,2.3,0.22,59.6,2.01,2.58,270.08,53.46,67523.99,30,一级
甘肃省,甘南藏族自治州,2013-02-03,5.67,6.52,1.41,1.56,0.17,67.7,3.66,-1.46,270.97,42.63,67300.74,34,一级
甘肃省,甘南藏族自治州,2013-02-04,6.24,7.12,1.45,1.54,0.18,64.72,5.02,0.75,271.19,36.47,67348.09,33,一级
