province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,白银市,2013-01-01,29.71,34.8,9.82,11.3,0.78,54.53,1.42,-2.2,264.3,43.99,81303.53,43,一级
甘肃省,白银市,2013-01-02,24.09,31.82,19.83,12.77,1.14,36.87,-2.27,-1.79,260.51,57.9,81948.94,35,一级
甘肃省,白银市,2013-01-03,36.73,46.42,19.24,13.37,0.8,34.85,-0.91,5.26,261.89,55.5,81935.35,53,二级
甘肃省,白银市,2013-01-04,54.36,69.03,21.01,13.24,0.92,33.5,-0.88,1.45,262.13,69.64,81403.92,75,二级
甘肃省,白银市,2013-01-05,46.09,55.8,20.73,14.68,0.82,36.07,0.52,-1.31,262.82,54.17,81480.2,64,二级
甘肃省,白银市,2013-01-06,39.42,46.3,19.09,18.03,0.76,37.01,1.13,-0.62,264.99,42.5,81556.8,56,二级
甘肃省,白银市,2013-01-07,59.1,68.7,21.41,22.13,1.21,38.14,1.0,-1.03,265.91,40.47,81522.42,81,二级
甘肃省,白银市,2013-01-08,30.75,35.86,13.44,14.75,0.7,41.07,0.22,-1.05,264.15,40.95,81819.55,44,一级
甘肃省,白银市,2013-01-09,61.84,77.57,23.98,21.14,1.27,38.41,0.83,2.58,266.8,41.06,81485.4,84,二级
甘肃省,白银市,2013-01-10,74.43,83.76,19.72,15.89,1.34,43.84,0.01,-0.56,267.19,41.06,81516.38,100,二级
甘肃省,白银市,2013-01-11,44.13,60.93,20.23,17.25,1.06,45.52,2.0,0.54,267.9,26.81,81760.64,62,二级
甘肃省,白银市,2013-01-12,55.26,69.02,18.54,17.86,0.97,48.13,0.68,1.64,269.56,25.14,81340.38,76,二级
甘肃省,白银市,2013-01-13,56.82,68.82,24.38,19.16,1.01,45.77,0.23,3.3,270.92,23.48,81152.07,78,二级
甘肃省,白银市,2013-01-14,37.0,52.71,11.94,14.18,0.8,46.01,1.53,-5.62,266.87,40.05,81649.01,53,二级
甘肃省,白银市,2013-01-15,25.37,42.68,14.51,13.95,0.77,44.45,0.89,-0.77,267.99,43.46,81795.15,43,一级
甘肃省,白银市,2013-01-16,28.18,39.89,14.97,13.53,0.69,47.24,-0.4,-0.92,268.62,37.02,82043.67,41,一级
甘肃省,白银市,2013-01-17,41.88,58.68,20.09,16.78,1.02,40.78,-0.47,6.23,270.16,40.92,82010.71,59,二级
甘肃省,白银市,2013-01-18,76.56,95.02,25.28,14.58,1.1,41.18,-0.93,3.31,271.01,56.95,81677.45,102,三级
甘肃省,白银市,2013-01-19,68.83,84.88,24.84,13.7,1.1,34.73,-0.95,-0.65,268.91,69.36,81048.03,93,二级
甘肃省,白银市,2013-01-20,18.33,21.17,9.17,6.81,0.85,48.92,2.8,-7.37,264.04,55.7,81706.05,27,一级
甘肃省,白银市,2013-01-21,29.5,31.78,12.45,13.02,0.75,44.35,0.55,-0.4,265.3,59.08,81838.29,43,一级
甘肃省,白银市,2013-01-22,47.94,50.91,17.9,20.42,0.71,42.04,2.16,1.04,266.22,62.82,81768.91,67,二级
甘肃省,白银市,2013-01-23,33.44,36.33,14.21,13.54,0.52,49.56,3.49,-4.35,267.93,37.36,81638.35,48,一级
甘肃省,白银市,2013-01-24,21.78,36.34,12.17,11.63,0.48,46.86,1.09,-0.15,266.21,49.17,81886.38,37,一级
甘肃省,白银市,2013-01-25,27.76,36.81,11.02,13.95,0.58,49.62,2.16,-2.15,269.18,31.9,81779.01,40,一级
甘肃省,白银市,2013-01-26,33.16,38.92,15.25,18.51,0.63,51.53,2.04,-1.57,269.76,28.34,81886.56,48,一级
甘肃省,白银市,2013-01-27,47.56,55.51,20.1,20.06,0.78,49.25,0.71,0.93,271.95,25.42,81843.69,66,二级
甘肃省,白银市,2013-01-28,59.01,67.61,24.76,23.06,0.98,46.91,0.31,-0.43,272.03,28.82,81556.79,81,二级
甘肃省,白银市,2013-01-29,44.4,53.84,17.86,16.49,0.77,47.33,0.23,-0.54,272.13,34.12,81530.2,62,二级
甘肃省,白银市,2013-01-30,48.62,59.1,24.13,21.72,0.84,43.8,1.43,5.12,274.45,29.41,81227.48,68,二级
甘肃省,白银市,2013-01-31,26.58,37.2,11.4,9.66,0.36,46.67,0.55,-2.06,272.83,36.07,81425.03,38,一级
甘肃省,白银市,2013-02-01,20.38,31.22,12.84,10.95,0.45,39.92,0.11,-1.39,272.28,40.66,81745.97,32,一级
甘肃省,白银市,2013-02-02,30.46,41.16,16.14,10.76,0.55,43.35,0.12,6.11,273.05,47.76,81559.39,44,一级
甘肃省,白银市,2013-02-03,45.45,51.78,16.86,13.19,0.65,45.25,0.71,-1.09,275.13,40.09,81175.82,64,二级
甘肃省,白银市,2013-02-04,25.17,33.14,12.76,11.84,0.52,44.16,-0.26,1.24,274.47,38.78,81211.8,36,一级
甘肃省,白银市,2013-02-05,15.6,23.14,9.89,9.76,0.31,40.67,0.78,-3.0,273.18,32.48,81672.68,24,一级
甘肃省,白银市,2013-02-06,28.5,38.79,17.66,11.79,0.46,37.55,-2.68,0.55,272.85,39.84,81407.16,41,一级
甘肃省,白银市,2013-02-07,27.59,41.38,23.45,10.66,0.34,30.91,-2.2,-1.11,267.8,62.77,81736.47,42,一级
甘肃省,白银市,2013-02-08,20.55,27.7,12.77,8.83,0.28,45.43,2.09,-1.35,267.45,54.23,81970.61,30,一级
甘肃省,白银市,2013-02-09,48.16,62.17,22.45,14.78,0.6,53.13,2.65,4.87,273.18,35.5,81332.09,67,二级
甘肃省,白银市,2013-02-10,41.98,59.41,14.42,7.26,0.47,50.45,-0.64,-2.61,271.26,43.15,81316.42,59,二级
甘肃省,白银市,2013-02-11,16.87,36.1,9.89,4.98,0.26,40.04,-0.39,-5.6,265.78,51.19,81871.38,37,一级
甘肃省,白银市,2013-02-12,19.56,30.28,9.85,6.93,0.31,42.22,-0.04,1.05,267.14,43.97,81884.78,31,一级
甘肃省,白银市,2013-02-13,29.61,41.38,11.27,5.7,0.48,47.42,-2.28,-1.41,268.97,35.25,81429.37,43,一级
甘肃省,白银市,2013-02-14,9.39,14.53,6.45,3.65,0.22,51.17,-1.41,-3.48,267.01,35.85,81705.89,26,一级
甘肃省,白银市,2013-02-15,28.02,40.96,12.23,7.86,0.41,45.18,0.29,5.53,272.22,34.18,81295.18,41,一级
甘肃省,白银市,2013-02-16,32.74,44.49,11.15,5.06,0.37,51.72,-1.02,-4.04,271.3,40.2,81112.46,47,一级
甘肃省,白银市,2013-02-17,12.57,23.85,8.78,4.94,0.26,47.97,-2.84,-2.61,267.42,37.44,81227.52,24,一级
甘肃省,白银市,2013-02-18,16.18,22.82,9.88,6.92,0.24,54.8,-1.55,-1.8,263.7,75.85,81542.21,28,一级
甘肃省,白银市,2013-02-19,41.46,45.84,10.29,8.7,0.48,50.89,-0.23,0.6,269.01,49.47,81502.71,59,二级
甘肃省,白银市,2013-02-20,54.37,58.53,10.74,10.75,0.55,51.94,-0.25,0.68,268.62,53.79,81764.63,75,二级
甘肃省,白银市,2013-02-21,38.21,43.9,14.03,12.32,0.51,50.24,1.88,0.43,269.29,59.69,82055.93,55,二级
甘肃省,白银市,2013-02-22,33.68,41.08,17.07,13.07,0.6,49.67,1.38,2.13,272.7,50.81,81932.35,49,一级
甘肃省,白银市,2013-02-23,46.49,55.83,14.05,7.83,0.55,58.32,-1.83,6.1,275.54,64.78,81612.65,65,二级
甘肃省,白银市,2013-02-24,57.14,70.42,14.56,6.52,0.53,53.26,0.36,1.58,276.49,60.81,81367.64,78,二级
甘肃省,白银市,2013-02-25,36.81,100.21,8.25,6.46,0.29,49.99,0.45,-2.76,276.22,22.58,81753.6,76,二级
甘肃省,白银市,2013-02-26,39.32,74.86,14.24,11.83,0.48,49.28,-1.79,2.47,277.63,30.76,81553.54,63,二级
甘肃省,白银市,2013-02-27,60.77,94.52,20.52,14.72,0.58,51.43,-0.22,3.78,279.13,41.44,81174.4,83,二级
甘肃省,白银市,2013-02-28,23.17,51.99,6.07,4.26,0.21,54.75,-0.27,-9.18,271.13,31.39,81475.25,51,二级
甘肃省,白银市,2013-03-01,56.07,175.66,9.82,7.02,0.31,54.11,-2.75,1.69,270.08,20.94,81804.73,113,三级
甘肃省,白银市,2013-03-02,26.53,53.08,7.28,7.08,0.28,48.63,3.19,-3.69,273.51,27.19,82315.33,52,二级
甘肃省,白银市,2013-03-03,24.28,40.73,10.37,13.12,0.35,53.69,2.79,-1.63,276.3,22.54,82291.54,41,一级
甘肃省,白银市,2013-03-04,31.27,52.5,14.41,18.22,0.44,56.63,1.85,-0.33,278.85,18.58,81896.09,52,二级
甘肃省,白银市,2013-03-05,52.82,76.75,13.62,16.35,0.37,52.55,3.0,-1.57,280.8,17.2,81669.02,73,二级
甘肃省,白银市,2013-03-06,40.9,99.79,4.3,4.95,0.22,61.32,3.51,-7.43,278.55,22.47,82109.27,75,二级
甘肃省,白银市,2013-03-07,44.5,95.74,11.45,13.37,0.41,61.06,3.55,-0.08,282.86,14.6,81809.83,73,二级
甘肃省,白银市,2013-03-08,49.25,84.03,15.42,15.7,0.45,71.03,3.71,3.51,286.98,9.86,81197.56,68,二级
甘肃省,白银市,2013-03-09,84.64,143.42,4.44,3.24,0.21,58.05,0.34,-9.81,276.57,34.39,81645.5,113,三级
甘肃省,白银市,2013-03-10,89.66,276.31,9.62,6.33,0.33,54.14,-1.63,8.92,278.18,36.72,81288.86,164,四级
甘肃省,白银市,2013-03-11,92.28,284.64,11.51,4.85,0.34,54.29,-0.79,0.91,277.42,51.18,81024.43,168,四级
甘肃省,白银市,2013-03-12,54.87,140.46,4.56,3.65,0.21,51.51,2.34,-7.73,276.65,23.51,81483.01,96,二级
甘肃省,白银市,2013-03-13,48.92,150.49,6.76,7.05,0.29,52.31,-0.06,2.45,278.67,24.92,81540.64,101,三级
甘肃省,白银市,2013-03-14,81.58,226.24,14.88,9.33,0.41,52.22,-1.54,5.22,280.97,40.02,81506.54,139,三级
甘肃省,白银市,2013-03-15,66.77,161.78,16.36,7.68,0.45,55.05,-1.66,3.36,281.32,56.31,81300.11,106,三级
甘肃省,白银市,2013-03-16,38.9,78.9,17.76,7.13,0.37,54.3,0.8,-5.97,279.43,41.41,81658.9,65,二级
甘肃省,白银市,2013-03-17,29.89,39.27,5.36,4.14,0.22,70.19,4.5,-8.77,279.23,34.03,81699.11,43,一级
甘肃省,白银市,2013-03-18,37.13,60.74,6.7,6.85,0.27,73.92,4.31,-4.54,280.55,22.41,81264.55,56,二级
甘肃省,白银市,2013-03-19,47.64,72.85,5.43,5.93,0.24,78.63,2.66,-6.84,281.2,19.0,81077.41,66,二级
甘肃省,白银市,2013-03-20,42.52,92.51,5.9,5.89,0.27,71.55,0.45,2.47,281.88,29.1,81372.01,72,二级
甘肃省,白银市,2013-03-21,33.85,64.57,7.53,5.47,0.26,69.45,0.75,-2.21,283.15,32.2,80827.08,58,二级
甘肃省,白银市,2013-03-22,23.26,36.38,4.26,4.42,0.19,59.06,1.67,-4.18,279.88,36.8,81402.51,37,一级
甘肃省,白银市,2013-03-23,26.77,51.15,7.12,8.01,0.23,61.68,0.45,-2.98,281.07,29.68,81328.15,51,二级
甘肃省,白银市,2013-03-24,31.67,66.09,9.14,7.88,0.24,60.21,-2.11,0.13,280.97,25.02,81219.1,59,二级
甘肃省,白银市,2013-03-25,34.16,76.06,7.73,6.13,0.24,64.38,0.99,-5.87,278.45,45.8,81354.8,64,二级
甘肃省,白银市,2013-03-26,24.32,55.91,7.69,9.63,0.24,70.05,2.65,-1.63,280.09,28.85,81425.21,53,二级
甘肃省,白银市,2013-03-27,26.78,50.76,7.02,7.13,0.24,71.55,0.21,-3.0,282.85,20.99,81255.87,51,二级
甘肃省,白银市,2013-03-28,26.07,40.23,4.58,5.45,0.19,63.75,0.94,-3.69,282.9,22.4,81515.43,41,一级
甘肃省,白银市,2013-03-29,16.66,35.19,5.87,5.85,0.2,64.13,-0.41,-3.88,283.64,25.36,81331.51,36,一级
甘肃省,白银市,2013-03-30,17.87,32.01,5.48,4.91,0.19,62.45,-1.13,-1.02,283.06,32.19,81474.78,33,一级
甘肃省,白银市,2013-03-31,32.82,58.55,8.8,5.9,0.24,67.92,0.53,-1.05,284.56,37.92,81331.76,55,二级
甘肃省,白银市,2013-04-01,26.33,32.74,6.51,4.58,0.19,54.82,-3.15,-2.82,280.56,29.29,81825.56,38,一级
甘肃省,白银市,2013-04-02,29.23,52.09,10.78,6.1,0.23,61.74,-3.25,9.11,280.77,47.95,81326.11,52,二级
甘肃省,白银市,2013-04-03,51.5,65.53,10.98,5.02,0.26,60.39,0.54,1.16,283.49,49.76,80847.15,71,二级
甘肃省,白银市,2013-04-04,69.68,90.96,2.72,2.05,0.16,59.23,1.12,-10.13,276.97,39.05,81211.62,94,二级
甘肃省,白银市,2013-04-05,25.86,28.43,2.35,1.99,0.14,77.68,1.82,-7.92,272.71,35.0,81856.49,39,一级
甘肃省,白银市,2013-04-06,17.88,28.52,4.73,6.79,0.16,72.88,1.25,-0.49,277.27,20.87,81303.21,37,一级
甘肃省,白银市,2013-04-07,38.57,50.63,3.12,3.91,0.15,74.44,1.92,-6.29,279.11,25.57,81015.23,55,二级
甘肃省,白银市,2013-04-08,39.14,51.79,1.97,1.84,0.13,73.27,0.86,-8.68,273.25,30.29,81618.77,56,二级
甘肃省,白银市,2013-04-09,13.21,16.96,2.48,2.77,0.15,74.98,1.47,-5.29,273.56,15.47,81966.51,38,一级
甘肃省,白银市,2013-04-10,19.8,24.95,4.15,4.84,0.16,67.94,0.37,-3.22,277.34,18.91,81926.18,34,一级
甘肃省,白银市,2013-04-11,11.53,18.64,4.65,5.3,0.17,73.51,-0.88,-0.65,280.9,18.18,81839.87,37,一级
甘肃省,白银市,2013-04-12,9.96,19.94,4.31,5.36,0.17,75.39,-0.22,-1.78,283.59,15.02,81936.19,38,一级
甘肃省,白银市,2013-04-13,18.95,22.46,3.16,4.19,0.15,78.69,2.09,-4.68,285.02,13.97,81652.39,40,一级
甘肃省,白银市,2013-04-14,39.98,50.62,4.82,6.49,0.16,69.01,2.41,-1.93,287.11,10.23,81336.39,57,二级
甘肃省,白银市,2013-04-15,44.44,61.25,5.49,5.75,0.18,60.49,1.42,-2.94,286.54,17.1,81053.34,62,二级
甘肃省,白银市,2013-04-16,46.8,66.0,5.65,6.71,0.17,65.11,2.6,-1.33,288.24,15.47,80902.06,65,二级
甘肃省,白银市,2013-04-17,36.85,68.95,7.43,6.92,0.18,74.24,-1.6,1.25,290.22,17.28,80531.1,60,二级
甘肃省,白银市,2013-04-18,79.06,204.99,12.58,4.32,0.23,63.78,-4.92,0.77,285.2,44.82,80699.61,128,三级
甘肃省,白银市,2013-04-19,59.4,84.81,8.52,4.31,0.19,63.21,0.65,-4.19,281.34,53.91,81144.48,81,二级
甘肃省,白银市,2013-04-20,53.81,83.47,7.62,5.55,0.22,62.96,-1.21,3.92,283.66,29.0,81354.71,74,二级
甘肃省,白银市,2013-04-21,48.93,66.98,11.06,4.43,0.26,68.44,-2.69,4.05,283.96,46.59,81193.35,68,二级
甘肃省,白银市,2013-04-22,44.68,49.42,7.84,2.62,0.21,69.57,0.37,-3.39,284.76,46.29,81209.78,63,二级
甘肃省,白银市,2013-04-23,61.11,69.36,2.68,2.37,0.13,73.28,1.69,-6.16,284.31,22.11,81702.53,83,二级
甘肃省,白银市,2013-04-24,33.84,48.56,3.78,4.12,0.16,73.96,-1.56,-2.29,284.82,21.29,81705.61,49,一级
甘肃省,白银市,2013-04-25,21.48,30.91,5.79,6.02,0.17,73.84,-1.29,0.95,286.8,12.04,81704.09,37,一级
甘肃省,白银市,2013-04-26,32.02,61.47,8.37,9.15,0.21,74.28,-0.18,4.03,291.24,22.82,81129.02,56,二级
