province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
福建省,泉州市,2013-01-01,24.37,46.18,14.42,23.49,0.64,38.69,-2.75,-3.54,281.03,65.9,97076.7,47,一级
福建省,泉州市,2013-01-02,31.86,51.64,14.13,24.53,0.72,40.92,-2.98,-3.88,284.56,84.16,97159.22,51,二级
福建省,泉州市,2013-01-03,22.37,30.31,12.78,16.96,0.42,42.89,-4.41,-6.93,281.8,82.57,97518.32,32,一级
福建省,泉州市,2013-01-04,24.18,29.12,11.16,17.28,0.46,37.81,-1.77,-5.9,279.76,81.46,97271.11,35,一级
福建省,泉州市,2013-01-05,37.79,35.46,12.64,20.1,0.55,32.75,-0.65,-4.42,281.21,85.47,96958.3,54,二级
福建省,泉州市,2013-01-06,27.19,39.61,13.45,19.93,0.56,34.43,-1.23,-3.92,282.8,85.79,96997.94,40,一级
福建省,泉州市,2013-01-07,22.58,37.96,14.36,21.33,0.69,38.8,-1.76,-2.77,284.49,85.51,96935.73,38,一级
福建省,泉州市,2013-01-08,29.09,50.4,15.88,28.44,0.81,38.79,-2.66,-3.42,284.01,86.38,96931.63,51,二级
福建省,泉州市,2013-01-09,35.95,60.11,17.58,27.2,0.83,38.61,-2.15,-5.81,281.08,80.28,97069.29,56,二级
福建省,泉州市,2013-01-10,32.6,45.79,14.82,18.73,0.57,40.47,-4.4,-6.39,280.05,81.08,97204.48,47,一级
福建省,泉州市,2013-01-11,26.09,35.23,10.11,17.91,0.36,54.68,-4.05,-4.9,282.78,82.87,97208.94,38,一级
福建省,泉州市,2013-01-12,30.05,38.04,10.66,23.97,0.56,42.97,-3.06,-5.24,284.1,86.02,97012.21,43,一级
福建省,泉州市,2013-01-13,34.36,46.68,12.94,21.91,0.72,46.71,0.09,-5.28,284.78,83.15,96614.61,50,一级
福建省,泉州市,2013-01-14,33.18,47.48,12.83,19.24,0.53,54.34,-2.69,-5.4,282.23,65.57,96990.84,48,一级
福建省,泉州市,2013-01-15,40.79,55.25,13.09,24.62,0.57,62.63,-3.15,-3.24,282.85,72.55,97250.29,58,二级
福建省,泉州市,2013-01-16,59.42,81.66,18.81,30.25,0.8,60.2,-1.3,-2.99,284.18,73.28,97251.82,81,二级
福建省,泉州市,2013-01-17,88.21,100.56,22.09,32.38,1.2,49.27,-4.36,-5.41,281.55,81.41,97616.95,117,三级
福建省,泉州市,2013-01-18,43.65,52.77,13.85,19.4,0.64,59.67,-4.7,-6.47,278.27,50.01,97768.01,61,二级
福建省,泉州市,2013-01-19,30.32,46.77,11.65,31.19,0.5,51.29,-4.3,-4.21,281.25,82.22,97440.9,47,一级
福建省,泉州市,2013-01-20,29.6,52.08,15.38,30.38,0.61,58.3,-1.63,-0.88,286.47,81.06,97287.58,52,二级
福建省,泉州市,2013-01-21,38.24,74.96,23.38,52.74,0.85,51.21,0.8,0.7,289.27,76.41,97170.61,66,二级
福建省,泉州市,2013-01-22,60.28,66.38,17.47,34.52,0.87,41.34,-2.11,-3.94,286.02,90.71,97189.31,82,二级
福建省,泉州市,2013-01-23,48.31,62.81,19.1,37.95,1.24,44.84,-2.31,-2.57,284.72,85.03,97098.54,67,二级
福建省,泉州市,2013-01-24,53.62,72.18,19.06,29.44,1.19,52.4,-0.31,-2.61,284.72,85.36,96973.62,74,二级
福建省,泉州市,2013-01-25,72.51,91.16,23.48,18.24,1.19,66.78,-3.17,-4.65,282.76,80.11,97088.2,97,二级
福建省,泉州市,2013-01-26,67.31,88.7,18.76,23.8,1.1,57.73,-1.53,-2.91,283.34,77.85,97022.47,91,二级
福建省,泉州市,2013-01-27,43.96,63.26,17.66,17.32,0.68,87.24,-4.22,-5.3,283.14,72.07,97320.08,62,二级
福建省,泉州市,2013-01-28,23.65,32.61,11.09,13.64,0.44,75.69,-5.49,-4.48,282.36,73.21,97396.74,38,一级
福建省,泉州市,2013-01-29,21.03,32.91,12.75,23.16,0.52,58.97,-1.41,-2.15,284.8,73.05,97308.2,33,一级
福建省,泉州市,2013-01-30,26.02,37.88,12.86,23.29,0.65,60.32,-3.69,-2.14,285.28,80.71,97453.91,38,一级
福建省,泉州市,2013-01-31,33.14,46.57,12.57,26.58,0.69,65.09,-1.9,-1.27,285.96,70.27,97354.6,48,一级
