province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
西藏自治区,拉萨市,2013-01-01,2.53,4.14,0.07,2.23,0.16,81.97,5.75,-2.54,266.05,40.72,56357.97,41,一级
西藏自治区,拉萨市,2013-01-02,10.19,20.39,0.11,3.39,0.19,79.09,12.89,3.02,269.66,22.82,56169.23,40,一级
西藏自治区,拉萨市,2013-01-03,5.16,9.52,0.14,1.95,0.17,85.58,12.44,1.88,264.61,26.92,55896.59,43,一级
西藏自治区,拉萨市,2013-01-04,5.77,13.0,0.1,2.66,0.17,82.63,14.03,0.94,266.53,27.42,55973.04,42,一级
西藏自治区,拉萨市,2013-01-05,9.51,20.61,0.11,2.36,0.24,87.57,15.74,3.43,265.62,22.47,55795.92,44,一级
西藏自治区,拉萨市,2013-01-06,6.3,18.47,0.1,1.72,0.15,87.72,15.69,2.01,263.55,22.84,55697.6,44,一级
西藏自治区,拉萨市,2013-01-07,5.6,14.98,0.05,1.99,0.18,83.77,14.24,0.91,263.36,26.55,55511.8,42,一级
西藏自治区,拉萨市,2013-01-08,5.02,10.71,0.05,1.75,0.14,77.14,8.32,-1.92,262.67,44.38,55582.41,39,一级
西藏自治区,拉萨市,2013-01-09,2.93,6.03,0.05,2.01,0.14,73.41,8.65,-3.37,264.43,44.83,55757.12,37,一级
西藏自治区,拉萨市,2013-01-10,1.84,3.28,0.02,1.82,0.16,75.46,5.42,-2.73,261.75,55.49,55670.95,38,一级
西藏自治区,拉萨市,2013-01-11,1.55,2.81,0.02,1.49,0.14,78.09,5.93,-5.76,260.93,46.33,55896.22,40,一级
西藏自治区,拉萨市,2013-01-12,2.2,4.17,0.02,2.13,0.22,78.44,6.21,-4.58,263.09,45.08,56287.15,40,一级
西藏自治区,拉萨市,2013-01-13,4.76,7.91,0.03,3.9,0.27,75.52,9.92,-0.04,267.68,37.75,56042.0,38,一级
西藏自治区,拉萨市,2013-01-14,6.74,11.33,0.03,3.78,0.27,75.32,8.43,-1.37,264.98,42.67,55963.37,38,一级
西藏自治区,拉萨市,2013-01-15,4.49,10.63,0.04,3.39,0.18,78.34,11.12,0.12,265.94,34.06,56208.93,40,一级
西藏自治区,拉萨市,2013-01-16,5.01,10.92,0.05,4.6,0.12,76.76,12.02,-0.01,266.78,25.52,56418.01,39,一级
西藏自治区,拉萨市,2013-01-17,4.21,8.31,0.04,4.93,0.12,74.77,10.84,0.62,267.89,28.29,56658.64,38,一级
西藏自治区,拉萨市,2013-01-18,7.67,13.93,0.18,3.66,0.11,76.57,10.71,4.05,267.85,32.57,56710.83,39,一级
西藏自治区,拉萨市,2013-01-19,7.44,14.37,0.9,1.23,0.12,83.12,11.86,7.07,265.12,37.55,56266.85,42,一级
西藏自治区,拉萨市,2013-01-20,5.29,9.42,0.48,1.71,0.13,85.7,13.28,4.51,261.78,32.17,55894.0,43,一级
西藏自治区,拉萨市,2013-01-21,2.95,5.38,0.17,1.32,0.14,82.21,11.07,1.32,260.63,34.84,56036.82,42,一级
西藏自治区,拉萨市,2013-01-22,2.68,4.47,0.05,2.05,0.19,81.56,4.64,1.51,260.71,42.64,56216.85,41,一级
西藏自治区,拉萨市,2013-01-23,3.64,6.32,0.03,3.09,0.16,82.24,5.57,0.18,261.32,41.04,56172.11,42,一级
西藏自治区,拉萨市,2013-01-24,3.97,7.15,0.04,3.39,0.18,82.44,8.19,2.62,261.82,29.19,56000.3,42,一级
西藏自治区,拉萨市,2013-01-25,2.39,5.53,0.03,2.05,0.17,97.08,3.6,-2.29,259.83,47.73,56102.08,49,一级
西藏自治区,拉萨市,2013-01-26,2.96,5.35,0.03,2.86,0.18,88.47,3.78,0.88,261.74,41.13,56086.83,45,一级
西藏自治区,拉萨市,2013-01-27,2.11,4.14,0.03,1.97,0.17,82.38,5.2,-3.31,261.55,48.79,56186.76,42,一级
西藏自治区,拉萨市,2013-01-28,2.85,5.03,0.04,2.92,0.21,86.62,5.57,1.42,263.0,35.59,56327.72,44,一级
西藏自治区,拉萨市,2013-01-29,6.29,12.43,0.09,3.59,0.25,75.12,8.93,1.75,263.94,45.68,56134.77,38,一级
西藏自治区,拉萨市,2013-01-30,2.87,4.74,0.1,1.54,0.18,87.8,4.03,-0.73,261.74,61.93,56153.81,44,一级
西藏自治区,拉萨市,2013-01-31,3.37,6.37,0.06,2.97,0.22,80.53,5.64,1.54,264.13,45.9,56353.39,41,一级
西藏自治区,拉萨市,2013-02-01,6.75,11.14,0.17,4.15,0.3,79.91,6.21,3.83,264.55,55.07,56237.2,40,一级
西藏自治区,拉萨市,2013-02-02,3.39,5.79,0.19,1.57,0.21,87.17,4.65,2.22,262.66,63.86,56157.6,44,一级
西藏自治区,拉萨市,2013-02-03,3.85,6.13,0.22,2.15,0.26,82.74,3.03,3.45,262.59,65.98,56115.88,42,一级
西藏自治区,拉萨市,2013-02-04,3.72,6.32,0.05,2.8,0.23,73.05,5.35,-1.02,264.28,55.95,56466.61,37,一级
西藏自治区,拉萨市,2013-02-05,5.09,9.11,0.11,3.82,0.28,80.14,6.49,2.26,267.33,49.42,56805.27,41,一级
西藏自治区,拉萨市,2013-02-06,9.2,18.87,0.95,4.19,0.29,79.09,11.33,3.41,267.86,42.92,56760.76,40,一级
西藏自治区,拉萨市,2013-02-07,7.96,17.98,1.05,2.61,0.28,83.08,11.01,3.55,266.55,47.27,56371.58,42,一级
西藏自治区,拉萨市,2013-02-08,3.31,6.33,0.08,1.64,0.21,87.78,11.37,2.59,263.63,26.27,56129.66,44,一级
西藏自治区,拉萨市,2013-02-09,3.26,5.39,0.13,1.26,0.23,102.29,4.74,-0.45,261.36,43.51,56269.46,52,二级
西藏自治区,拉萨市,2013-02-10,4.68,7.53,0.07,1.62,0.24,92.95,10.65,2.0,265.38,30.2,56282.79,47,一级
西藏自治区,拉萨市,2013-02-11,3.73,4.94,0.03,1.54,0.2,75.81,10.88,-0.02,265.89,33.91,56345.55,38,一级
西藏自治区,拉萨市,2013-02-12,3.25,4.79,0.02,2.06,0.19,76.37,13.24,0.93,267.18,27.39,56450.08,39,一级
西藏自治区,拉萨市,2013-02-13,3.9,7.45,0.04,1.06,0.2,81.04,13.14,2.95,265.63,32.43,56244.46,41,一级
西藏自治区,拉萨市,2013-02-14,2.82,6.95,0.04,0.94,0.21,81.58,11.58,0.93,264.15,36.53,56151.13,41,一级
西藏自治区,拉萨市,2013-02-15,3.82,6.08,0.23,2.02,0.23,79.04,10.6,2.23,265.24,34.92,56260.63,40,一级
西藏自治区,拉萨市,2013-02-16,8.47,10.3,1.45,1.07,0.35,84.0,9.47,6.17,266.13,52.21,56159.75,42,一级
西藏自治区,拉萨市,2013-02-17,10.64,18.45,1.72,1.7,0.39,82.5,8.79,8.48,266.05,63.29,55872.21,42,一级
