province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
西藏自治区,阿里地区,2013-01-01,0.94,1.06,0.14,0.39,0.11,83.03,9.37,3.17,260.44,30.57,54497.91,42,一级
西藏自治区,阿里地区,2013-01-02,2.33,2.56,0.31,0.53,0.12,76.62,11.91,2.27,258.97,28.55,54196.98,39,一级
西藏自治区,阿里地区,2013-01-03,2.18,2.4,0.27,0.51,0.12,71.93,9.89,0.25,254.9,36.18,54121.29,36,一级
西藏自治区,阿里地区,2013-01-04,1.79,2.05,0.21,0.39,0.13,77.7,14.17,2.81,255.79,41.72,53952.14,39,一级
西藏自治区,阿里地区,2013-01-05,2.02,2.29,0.26,0.46,0.13,74.06,9.49,1.24,253.15,41.78,53803.12,38,一级
西藏自治区,阿里地区,2013-01-06,1.68,1.88,0.18,0.46,0.12,72.41,6.79,0.05,252.23,41.08,53887.97,37,一级
西藏自治区,阿里地区,2013-01-07,1.25,1.42,0.14,0.52,0.11,68.99,7.21,-1.08,252.15,36.23,53807.18,35,一级
西藏自治区,阿里地区,2013-01-08,0.64,0.78,0.09,0.44,0.11,69.35,7.06,-1.61,253.82,31.95,53941.19,35,一级
西藏自治区,阿里地区,2013-01-09,0.34,0.46,0.05,0.47,0.1,63.95,8.83,-1.95,255.35,47.08,54101.06,32,一级
西藏自治区,阿里地区,2013-01-10,0.31,0.4,0.04,0.56,0.11,67.7,7.04,-3.72,254.35,42.94,54144.59,34,一级
西藏自治区,阿里地区,2013-01-11,0.2,0.27,0.03,0.56,0.11,69.54,7.39,-4.74,255.86,33.16,54460.0,35,一级
西藏自治区,阿里地区,2013-01-12,0.26,0.35,0.04,0.43,0.13,73.46,10.68,0.7,260.27,48.31,54542.49,37,一级
西藏自治区,阿里地区,2013-01-13,0.55,0.73,0.1,0.37,0.15,82.32,14.96,0.19,259.24,41.47,54197.06,42,一级
西藏自治区,阿里地区,2013-01-14,0.72,0.9,0.13,0.48,0.12,70.25,11.13,-1.2,256.67,33.98,54219.63,36,一级
西藏自治区,阿里地区,2013-01-15,0.81,0.98,0.11,0.44,0.11,69.18,9.97,2.09,257.0,34.26,54282.57,35,一级
