province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,盘锦市,2013-01-01,32.09,40.38,25.14,15.3,0.53,30.36,1.81,-5.79,254.73,56.28,102308.89,46,一级
辽宁省,盘锦市,2013-01-02,21.79,24.76,16.92,9.59,0.47,45.39,4.15,-4.83,254.2,47.04,103459.18,32,一级
辽宁省,盘锦市,2013-01-03,28.27,34.59,23.52,13.62,0.59,39.69,2.74,-3.28,258.1,50.82,104006.89,41,一级
辽宁省,盘锦市,2013-01-04,80.0,107.18,79.86,34.87,1.6,24.05,0.64,-1.14,259.17,63.54,103183.21,107,三级
辽宁省,盘锦市,2013-01-05,36.62,43.66,22.8,17.59,0.64,36.74,1.39,-4.29,259.88,51.49,102859.06,53,二级
辽宁省,盘锦市,2013-01-06,66.54,77.88,36.3,25.89,0.72,21.29,-1.17,-2.82,257.9,63.7,103022.61,90,二级
辽宁省,盘锦市,2013-01-07,149.06,211.5,110.81,30.71,1.98,17.86,-1.05,-5.59,256.26,71.56,102857.24,199,四级
辽宁省,盘锦市,2013-01-08,37.06,43.69,23.37,18.37,0.51,27.4,-0.6,-5.02,254.0,61.95,103343.14,53,二级
辽宁省,盘锦市,2013-01-09,38.65,48.61,30.97,20.66,0.7,32.75,0.48,-1.91,256.03,55.04,103146.8,55,二级
辽宁省,盘锦市,2013-01-10,79.4,103.61,49.03,29.34,1.18,21.25,-1.49,-3.27,256.61,62.31,103186.19,106,三级
辽宁省,盘锦市,2013-01-11,104.36,143.83,68.13,31.31,1.84,9.97,-1.65,-5.02,256.0,75.14,102653.29,137,三级
辽宁省,盘锦市,2013-01-12,93.27,122.41,50.4,27.96,1.14,15.44,-2.27,-4.0,256.17,73.13,102809.63,123,三级
辽宁省,盘锦市,2013-01-13,161.7,213.94,72.14,39.82,1.7,11.66,-1.69,-2.98,257.04,75.64,102730.25,212,五级
辽宁省,盘锦市,2013-01-14,105.31,128.77,45.46,27.01,1.06,19.94,-2.3,-6.71,255.67,73.6,103171.76,138,三级
辽宁省,盘锦市,2013-01-15,191.76,236.17,75.26,38.87,1.67,12.39,-1.34,-4.83,251.58,76.88,103001.68,242,五级
