province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,锦州市,2013-01-01,18.43,21.23,11.2,9.88,0.4,37.45,3.44,-6.8,253.93,52.02,101423.52,27,一级
辽宁省,锦州市,2013-01-02,15.42,17.14,8.77,6.62,0.37,49.63,4.32,-5.64,253.81,46.28,102539.66,25,一级
辽宁省,锦州市,2013-01-03,19.07,23.64,10.74,9.78,0.44,45.47,3.18,-4.22,257.9,49.89,103089.2,28,一级
辽宁省,锦州市,2013-01-04,55.44,70.39,39.66,27.32,0.93,30.84,1.86,-1.05,258.48,56.45,102280.75,76,二级
辽宁省,锦州市,2013-01-05,25.65,29.56,11.69,11.95,0.52,44.87,2.42,-5.83,259.79,48.6,101977.74,37,一级
辽宁省,锦州市,2013-01-06,42.84,51.66,19.17,19.21,0.63,30.83,0.1,-3.0,257.46,61.53,102131.01,60,二级
辽宁省,锦州市,2013-01-07,81.11,107.93,57.75,22.98,1.05,24.96,0.31,-5.76,255.62,69.87,101997.8,108,三级
辽宁省,锦州市,2013-01-08,26.27,30.74,12.91,14.04,0.4,33.54,0.92,-5.02,253.74,59.7,102445.94,38,一级
辽宁省,锦州市,2013-01-09,21.63,27.66,12.58,12.18,0.44,41.06,1.79,-3.42,256.31,49.53,102232.97,31,一级
辽宁省,锦州市,2013-01-10,56.7,69.57,29.47,21.96,0.9,28.62,-0.93,-2.3,256.67,59.03,102285.18,78,二级
辽宁省,锦州市,2013-01-11,90.03,116.26,46.74,29.57,1.4,14.84,-0.55,-4.55,255.78,72.68,101792.82,119,三级
辽宁省,锦州市,2013-01-12,66.09,81.65,25.86,20.08,0.78,24.31,-0.76,-3.42,256.51,68.63,101915.64,89,二级
辽宁省,锦州市,2013-01-13,104.84,132.39,34.72,30.41,1.02,19.95,-0.92,-1.37,257.44,71.18,101845.12,138,三级
辽宁省,锦州市,2013-01-14,67.72,80.69,22.85,20.11,0.71,25.54,-0.74,-6.51,256.5,69.17,102293.37,91,二级
辽宁省,锦州市,2013-01-15,123.73,156.01,33.38,32.43,1.14,17.05,-0.55,-3.92,252.93,74.53,102111.24,163,四级
辽宁省,锦州市,2013-01-16,42.74,52.36,16.48,15.38,0.51,29.04,1.42,-7.53,255.11,62.05,102594.9,60,二级
辽宁省,锦州市,2013-01-17,36.89,44.55,21.83,18.32,0.63,31.05,0.38,-2.48,258.04,59.09,102912.49,53,二级
辽宁省,锦州市,2013-01-18,82.84,116.42,73.94,34.86,1.73,20.77,1.49,0.61,264.23,63.65,101900.98,110,三级
辽宁省,锦州市,2013-01-19,60.97,73.25,23.03,21.69,0.73,27.11,-1.41,-3.95,259.48,66.36,102505.14,83,二级
辽宁省,锦州市,2013-01-20,144.34,171.71,36.27,37.88,1.4,15.51,-1.2,-3.21,258.55,73.53,102532.03,192,四级
辽宁省,锦州市,2013-01-21,112.16,136.78,25.71,26.15,1.02,27.68,0.13,-7.16,259.36,70.65,102317.7,147,三级
辽宁省,锦州市,2013-01-22,57.62,70.48,21.97,20.79,0.67,29.97,-0.77,-4.48,259.09,71.24,102205.04,79,二级
辽宁省,锦州市,2013-01-23,137.16,177.27,66.56,38.71,1.89,19.64,0.62,-1.32,260.34,79.82,101004.11,182,四级
辽宁省,锦州市,2013-01-24,9.58,13.89,6.27,5.15,0.35,54.55,5.5,-8.34,258.13,42.52,101484.94,28,一级
辽宁省,锦州市,2013-01-25,12.41,15.76,8.11,7.44,0.43,56.4,3.26,-5.48,256.98,42.05,101718.76,29,一级
辽宁省,锦州市,2013-01-26,29.05,36.86,14.88,14.64,0.58,40.73,0.36,-3.91,254.58,57.58,102159.88,42,一级
辽宁省,锦州市,2013-01-27,65.41,81.01,37.27,27.15,1.05,27.26,-0.64,0.39,255.87,69.47,102072.73,89,二级
辽宁省,锦州市,2013-01-28,72.63,100.48,46.45,30.77,1.64,17.75,0.65,-1.48,264.06,80.06,101358.02,98,二级
辽宁省,锦州市,2013-01-29,100.07,113.64,34.64,30.19,1.45,20.11,-0.77,-0.04,264.01,83.02,101698.84,132,三级
辽宁省,锦州市,2013-01-30,203.95,259.6,82.88,39.37,2.84,17.16,1.08,5.78,268.96,94.97,101726.77,254,五级
辽宁省,锦州市,2013-01-31,206.72,258.78,58.04,37.78,2.71,21.08,0.32,4.46,271.64,98.11,101564.22,257,五级
辽宁省,锦州市,2013-02-01,30.4,36.82,14.83,11.54,0.71,41.83,3.33,-6.82,267.29,64.75,101726.94,44,一级
辽宁省,锦州市,2013-02-02,31.23,33.57,18.54,15.12,0.73,37.25,1.15,-1.48,260.5,57.11,102490.25,45,一级
辽宁省,锦州市,2013-02-03,58.48,88.44,50.74,30.24,1.81,22.71,1.13,4.85,265.72,84.85,101476.18,80,二级
辽宁省,锦州市,2013-02-04,22.14,26.04,13.87,11.02,0.53,45.44,2.69,-6.6,261.34,56.57,101992.25,32,一级
辽宁省,锦州市,2013-02-05,60.35,77.72,52.05,28.32,1.36,29.61,1.75,0.46,263.11,66.81,101704.16,82,二级
辽宁省,锦州市,2013-02-06,20.15,24.73,9.16,8.91,0.38,48.55,2.77,-8.17,256.77,57.15,101910.47,29,一级
