province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,云阳县,2013-01-01,58.68,66.03,31.42,9.41,0.54,61.6,-2.99,-0.25,275.86,34.75,94915.77,80,二级
重庆市,云阳县,2013-01-02,56.06,60.81,25.3,10.31,0.51,49.16,-11.15,-1.91,276.35,44.53,95217.04,77,二级
重庆市,云阳县,2013-01-03,49.42,54.46,23.78,10.61,0.47,39.27,-8.12,-0.84,272.82,41.87,96058.88,69,二级
重庆市,云阳县,2013-01-04,64.77,72.0,30.47,11.18,0.57,40.19,-5.83,-0.47,272.78,42.54,95344.18,88,二级
重庆市,云阳县,2013-01-05,70.67,78.78,30.37,8.91,0.63,46.61,-4.83,-0.46,274.52,42.3,95049.27,95,二级
重庆市,云阳县,2013-01-06,95.5,106.49,38.28,9.91,0.78,47.67,-4.36,-0.01,274.09,52.13,95143.75,126,三级
重庆市,云阳县,2013-01-07,105.89,117.12,43.01,8.9,0.82,60.43,-1.48,0.39,274.81,59.49,95012.08,139,三级
重庆市,云阳县,2013-01-08,105.05,115.72,40.76,8.54,0.79,54.75,-3.21,-0.22,276.02,53.62,95201.6,138,三级
重庆市,云阳县,2013-01-09,124.21,136.94,43.97,11.94,0.87,46.91,-3.99,0.56,275.94,34.17,95418.15,164,四级
重庆市,云阳县,2013-01-10,149.7,164.38,45.26,12.22,1.05,48.63,-3.51,1.03,276.04,46.36,95253.15,200,四级
重庆市,云阳县,2013-01-11,170.25,186.84,66.87,11.99,1.18,54.5,0.5,0.02,277.59,47.44,95353.71,221,五级
重庆市,云阳县,2013-01-12,107.76,118.81,42.05,7.79,0.84,54.96,-2.53,0.56,279.2,41.28,95075.0,141,三级
重庆市,云阳县,2013-01-13,122.28,135.21,51.13,8.73,0.93,55.19,-2.34,0.05,280.22,44.22,94660.14,161,四级
重庆市,云阳县,2013-01-14,111.18,123.09,45.01,8.04,0.87,52.02,-5.2,0.78,281.61,40.03,94884.51,146,三级
重庆市,云阳县,2013-01-15,136.15,151.54,56.1,10.1,1.04,50.24,-0.44,0.1,280.26,55.98,95139.82,181,四级
重庆市,云阳县,2013-01-16,141.0,156.06,52.84,8.5,1.07,48.95,-4.3,-0.4,279.81,63.29,95343.74,188,四级
重庆市,云阳县,2013-01-17,105.59,116.55,40.44,11.85,0.82,39.47,-5.85,-0.17,279.52,44.26,95907.33,139,三级
重庆市,云阳县,2013-01-18,98.74,109.21,34.55,12.49,0.82,40.28,-3.9,1.35,279.17,39.26,95574.95,130,三级
重庆市,云阳县,2013-01-19,102.57,112.91,31.84,8.53,0.83,43.87,-4.09,2.64,280.69,52.95,94624.12,135,三级
重庆市,云阳县,2013-01-20,87.16,95.19,26.93,7.43,0.71,44.99,-5.35,-1.24,280.23,76.33,94665.13,116,三级
重庆市,云阳县,2013-01-21,100.76,110.82,36.74,8.42,0.8,49.79,-3.07,-1.03,278.52,68.23,95202.19,133,三级
重庆市,云阳县,2013-01-22,133.62,146.93,46.51,10.7,1.01,48.57,-2.93,-1.01,278.89,67.7,95284.38,177,四级
重庆市,云阳县,2013-01-23,111.87,123.66,48.11,7.99,0.88,62.85,0.05,-0.78,281.13,57.15,94946.62,147,三级
重庆市,云阳县,2013-01-24,29.73,33.41,18.49,5.61,0.37,60.43,-2.63,-2.09,282.02,27.67,95171.68,43,一级
重庆市,云阳县,2013-01-25,52.4,59.16,30.49,9.34,0.56,49.48,-1.46,-0.46,281.48,45.19,95026.45,72,二级
重庆市,云阳县,2013-01-26,49.74,56.05,27.93,7.03,0.52,59.15,-2.33,-0.23,283.19,34.41,95020.97,69,二级
重庆市,云阳县,2013-01-27,66.48,74.6,32.93,8.43,0.62,53.94,-3.04,0.72,283.74,35.88,95284.91,90,二级
重庆市,云阳县,2013-01-28,104.64,116.22,37.39,9.6,0.86,43.99,-3.19,1.47,281.66,56.19,94951.63,138,三级
重庆市,云阳县,2013-01-29,83.29,92.68,33.76,6.55,0.73,57.03,-4.69,1.19,283.81,52.2,94801.99,111,三级
重庆市,云阳县,2013-01-30,88.57,97.86,31.28,7.56,0.75,47.96,-4.68,-0.17,284.21,71.56,94692.29,117,三级
重庆市,云阳县,2013-01-31,87.65,97.5,33.86,8.66,0.8,49.18,-3.32,-0.9,286.03,73.35,94426.88,116,三级
重庆市,云阳县,2013-02-01,82.76,91.8,33.01,7.66,0.74,52.09,-4.65,0.31,286.33,67.27,94829.2,110,三级
重庆市,云阳县,2013-02-02,132.74,142.78,37.32,10.5,0.9,42.13,-7.4,-1.44,283.26,73.06,95143.47,176,四级
重庆市,云阳县,2013-02-03,93.74,101.67,26.06,8.12,0.72,52.56,-1.65,4.66,287.39,61.55,94250.46,124,三级
重庆市,云阳县,2013-02-04,77.85,84.02,26.31,8.47,0.62,48.62,-7.51,-0.99,285.25,67.8,94403.37,104,三级
