province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,南川区,2013-01-01,57.72,79.94,28.73,16.54,0.87,45.02,-0.5,2.93,277.9,33.44,91720.74,79,二级
重庆市,南川区,2013-01-02,70.77,107.99,27.65,10.05,0.73,45.05,-6.78,5.53,277.89,57.32,91861.9,95,二级
重庆市,南川区,2013-01-03,49.62,75.16,16.76,14.46,0.81,34.57,-7.86,5.79,271.76,54.69,92704.5,69,二级
重庆市,南川区,2013-01-04,47.39,62.82,17.01,6.83,0.68,41.9,-6.67,5.57,271.21,60.93,92017.6,66,二级
重庆市,南川区,2013-01-05,71.91,93.29,18.05,6.16,0.76,44.55,-3.91,2.78,273.03,58.33,91832.09,97,二级
重庆市,南川区,2013-01-06,82.96,124.06,26.36,10.07,0.84,43.74,-3.78,3.29,273.24,61.74,91903.96,110,三级
重庆市,南川区,2013-01-07,80.6,118.59,30.46,8.61,0.87,55.98,-1.74,0.84,273.8,68.46,91836.9,108,三级
重庆市,南川区,2013-01-08,88.88,122.85,37.53,10.92,0.84,53.11,-1.7,-0.91,274.06,78.61,92023.29,118,三级
重庆市,南川区,2013-01-09,113.44,191.42,50.22,12.86,1.01,40.05,-3.35,3.08,274.25,68.69,92197.93,149,三级
重庆市,南川区,2013-01-10,128.05,176.55,36.64,19.13,1.22,36.12,-5.71,4.99,274.67,47.93,92026.53,169,四级
重庆市,南川区,2013-01-11,94.27,120.28,40.08,7.92,1.2,45.22,-0.41,-0.68,275.25,66.21,92248.96,125,三级
重庆市,南川区,2013-01-12,107.73,91.72,38.68,8.26,1.15,42.79,-2.84,3.66,277.82,56.61,91916.92,141,三级
重庆市,南川区,2013-01-13,146.56,80.39,28.43,13.01,1.23,46.0,-2.39,3.85,280.66,50.94,91485.53,196,四级
重庆市,南川区,2013-01-14,156.51,172.0,45.95,8.45,2.28,44.0,-6.9,5.56,280.0,57.81,91672.58,207,五级
