province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,开州区,2013-01-01,65.55,78.32,46.5,14.76,0.63,54.51,-1.73,-0.15,275.83,34.75,93584.09,89,二级
重庆市,开州区,2013-01-02,52.49,58.42,27.09,10.16,0.5,50.57,-10.72,0.44,276.38,43.11,93855.46,72,二级
重庆市,开州区,2013-01-03,51.2,57.86,28.11,11.39,0.5,40.3,-7.2,1.44,272.43,45.56,94684.08,71,二级
重庆市,开州区,2013-01-04,65.79,74.29,35.87,12.03,0.6,40.32,-5.75,1.27,272.36,46.13,93983.08,89,二级
重庆市,开州区,2013-01-05,75.84,85.89,39.68,11.65,0.7,45.26,-3.31,0.43,273.96,45.21,93719.42,102,三级
重庆市,开州区,2013-01-06,94.02,107.85,46.65,12.38,0.82,46.45,-3.77,1.06,273.8,54.02,93802.1,124,三级
重庆市,开州区,2013-01-07,110.02,126.39,54.48,13.34,0.9,54.9,-1.3,-0.23,274.4,58.87,93681.0,144,三级
重庆市,开州区,2013-01-08,108.66,124.69,56.49,14.86,0.91,48.62,-1.68,-0.35,275.16,58.59,93881.1,143,三级
重庆市,开州区,2013-01-09,113.16,128.82,53.37,14.99,0.88,44.61,-3.36,1.64,275.24,37.68,94081.77,148,三级
重庆市,开州区,2013-01-10,143.14,160.7,56.19,15.6,1.08,46.18,-3.97,1.11,275.34,51.78,93920.65,191,四级
重庆市,开州区,2013-01-11,170.15,194.94,64.34,14.53,1.27,51.61,0.58,-0.64,276.94,52.12,94036.12,221,五级
重庆市,开州区,2013-01-12,123.94,140.24,57.41,13.08,0.98,52.17,-2.07,0.76,278.12,45.37,93765.97,163,四级
重庆市,开州区,2013-01-13,138.86,151.93,66.31,13.76,1.07,54.85,-2.14,-0.04,279.24,47.13,93360.35,185,四级
重庆市,开州区,2013-01-14,112.7,129.14,51.78,10.28,0.9,51.58,-5.36,1.0,280.69,42.34,93580.92,148,三级
重庆市,开州区,2013-01-15,138.51,157.12,54.41,12.19,1.06,48.83,-1.02,0.05,279.59,55.89,93832.03,184,四级
重庆市,开州区,2013-01-16,138.11,155.56,56.11,11.82,1.1,48.48,-3.47,0.41,279.07,65.06,94029.61,184,四级
重庆市,开州区,2013-01-17,98.26,111.19,43.56,12.97,0.81,40.33,-5.24,1.67,278.9,45.06,94576.39,130,三级
重庆市,开州区,2013-01-18,99.54,116.41,45.99,15.48,0.9,39.67,-4.37,1.04,278.34,42.24,94250.12,131,三级
重庆市,开州区,2013-01-19,104.51,122.21,44.45,12.45,0.92,42.15,-5.81,2.18,279.75,53.68,93307.12,137,三级
重庆市,开州区,2013-01-20,92.16,102.97,36.21,11.04,0.78,41.6,-4.97,0.32,279.24,81.45,93360.23,122,三级
重庆市,开州区,2013-01-21,97.08,110.86,45.51,12.23,0.87,48.8,-2.13,0.07,277.72,75.36,93885.57,128,三级
重庆市,开州区,2013-01-22,125.62,142.14,51.33,13.27,1.02,48.3,-3.24,0.3,278.12,72.16,93966.31,166,四级
重庆市,开州区,2013-01-23,118.99,137.09,60.94,13.93,0.99,57.44,-0.2,-1.32,280.04,61.73,93657.17,156,四级
重庆市,开州区,2013-01-24,36.24,41.8,25.8,8.85,0.43,60.31,-1.11,-2.79,281.19,29.04,93873.94,52,二级
重庆市,开州区,2013-01-25,68.81,78.06,45.68,13.83,0.69,50.77,-1.48,-0.77,280.58,44.57,93732.72,93,二级
