province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,彭水苗族土家族自治县,2013-01-01,43.13,54.7,23.12,8.49,0.56,56.89,-0.6,0.92,276.19,35.23,92142.16,61,二级
重庆市,彭水苗族土家族自治县,2013-01-02,67.57,83.16,29.02,11.09,0.61,45.67,-6.04,0.53,274.59,62.58,92452.49,91,二级
重庆市,彭水苗族土家族自治县,2013-01-03,43.98,53.5,18.57,9.82,0.47,40.08,-5.21,2.45,270.11,49.92,93264.05,62,二级
重庆市,彭水苗族土家族自治县,2013-01-04,49.5,57.12,19.13,6.97,0.51,45.32,-4.13,2.13,269.11,52.95,92604.39,69,二级
重庆市,彭水苗族土家族自治县,2013-01-05,65.37,75.18,20.48,5.63,0.61,48.37,-2.46,0.88,270.71,60.28,92310.63,88,二级
重庆市,彭水苗族土家族自治县,2013-01-06,87.13,106.81,29.14,7.81,0.79,46.17,-2.34,0.79,270.99,71.28,92381.72,116,三级
重庆市,彭水苗族土家族自治县,2013-01-07,89.5,105.88,33.41,7.08,0.81,60.19,-1.6,-0.59,271.81,76.33,92237.48,119,三级
重庆市,彭水苗族土家族自治县,2013-01-08,104.02,118.69,34.52,6.87,0.82,61.17,-2.47,-1.35,272.87,87.16,92398.82,137,三级
重庆市,彭水苗族土家族自治县,2013-01-09,146.84,182.14,48.5,11.7,1.04,45.56,-2.9,0.13,272.86,64.07,92647.41,196,四级
重庆市,彭水苗族土家族自治县,2013-01-10,159.17,179.23,43.41,15.62,1.19,41.97,-2.75,-0.76,272.55,58.69,92522.63,210,五级
重庆市,彭水苗族土家族自治县,2013-01-11,119.75,141.65,41.08,8.25,1.08,52.11,0.65,-2.86,275.8,57.89,92558.14,157,四级
重庆市,彭水苗族土家族自治县,2013-01-12,121.98,126.48,36.08,6.82,0.94,51.49,-2.31,0.94,276.83,58.23,92342.99,160,四级
重庆市,彭水苗族土家族自治县,2013-01-13,137.42,135.62,41.45,8.0,1.06,56.41,-1.35,1.27,278.12,56.76,91945.08,183,四级
重庆市,彭水苗族土家族自治县,2013-01-14,139.68,162.19,39.14,8.19,1.19,46.31,-4.16,0.72,278.04,61.44,92207.41,186,四级
重庆市,彭水苗族土家族自治县,2013-01-15,134.88,150.09,35.32,7.56,1.07,52.51,-0.26,-0.74,278.65,71.23,92380.05,179,四级
重庆市,彭水苗族土家族自治县,2013-01-16,153.48,168.25,37.49,7.23,1.09,46.02,-2.54,-0.23,277.02,87.79,92589.58,204,五级
重庆市,彭水苗族土家族自治县,2013-01-17,146.21,164.45,39.48,14.03,1.15,40.19,-3.4,1.33,276.25,69.23,93173.08,195,四级
重庆市,彭水苗族土家族自治县,2013-01-18,107.75,135.69,30.66,20.64,1.13,36.02,-2.75,1.86,275.03,58.12,92919.79,141,三级
重庆市,彭水苗族土家族自治县,2013-01-19,111.86,144.4,31.05,14.08,1.12,32.86,-3.48,1.4,275.67,80.84,92033.09,147,三级
重庆市,彭水苗族土家族自治县,2013-01-20,107.81,123.99,24.85,10.34,0.89,30.46,-2.95,0.21,278.85,92.72,91921.69,142,三级
重庆市,彭水苗族土家族自治县,2013-01-21,108.61,123.86,30.25,11.86,0.99,32.92,-2.04,1.37,277.64,87.92,92434.2,143,三级
重庆市,彭水苗族土家族自治县,2013-01-22,125.51,138.62,30.65,9.83,1.03,44.28,-1.82,1.01,275.94,82.83,92584.16,166,四级
重庆市,彭水苗族土家族自治县,2013-01-23,120.2,138.6,34.03,7.57,1.03,54.84,-0.2,2.32,278.15,72.17,92258.33,158,四级
重庆市,彭水苗族土家族自治县,2013-01-24,72.1,82.8,22.8,6.96,0.67,53.22,-1.12,-0.15,280.51,52.8,92427.33,97,二级
重庆市,彭水苗族土家族自治县,2013-01-25,61.9,65.09,21.99,9.62,0.62,46.0,-1.6,2.25,278.49,52.37,92362.17,84,二级
重庆市,彭水苗族土家族自治县,2013-01-26,53.79,65.73,23.46,7.81,0.58,58.45,-1.04,-0.06,281.28,48.44,92289.75,74,二级
重庆市,彭水苗族土家族自治县,2013-01-27,101.33,119.05,33.95,10.65,0.82,46.59,-2.45,2.01,280.59,58.21,92638.2,133,三级
重庆市,彭水苗族土家族自治县,2013-01-28,115.33,141.08,31.46,11.6,0.9,42.67,-3.13,1.47,279.46,59.65,92258.91,151,四级
重庆市,彭水苗族土家族自治县,2013-01-29,84.57,97.24,28.0,6.9,0.73,56.66,-3.04,1.59,280.83,70.39,92161.83,112,三级
重庆市,彭水苗族土家族自治县,2013-01-30,96.04,110.16,24.56,8.29,0.77,39.13,-3.55,0.69,282.13,90.76,92023.73,127,三级
重庆市,彭水苗族土家族自治县,2013-01-31,81.5,93.01,23.36,9.16,0.72,36.72,-1.81,-0.55,284.15,90.97,91773.09,109,三级
重庆市,彭水苗族土家族自治县,2013-02-01,108.39,120.67,28.17,10.68,0.84,32.05,-2.58,-1.03,281.9,95.99,92200.83,142,三级
重庆市,彭水苗族土家族自治县,2013-02-02,171.85,186.49,32.26,12.52,1.05,30.25,-3.79,0.03,279.4,95.24,92535.09,222,五级
重庆市,彭水苗族土家族自治县,2013-02-03,135.4,142.35,23.39,9.82,0.87,41.65,-1.71,0.89,283.95,80.71,91708.98,180,四级
