province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,梁平区,2013-01-01,74.79,95.42,50.37,19.1,0.9,47.95,-2.69,-0.8,277.65,33.08,95857.36,100,二级
重庆市,梁平区,2013-01-02,64.2,84.59,31.34,15.06,0.77,42.68,-6.56,-0.96,279.12,43.0,96043.09,87,二级
重庆市,梁平区,2013-01-03,52.65,72.94,24.74,14.39,0.71,33.43,-4.82,0.71,274.89,46.04,96979.12,73,二级
重庆市,梁平区,2013-01-04,61.86,71.89,28.93,12.38,0.77,35.25,-2.85,1.74,274.39,44.24,96281.4,84,二级
重庆市,梁平区,2013-01-05,80.79,92.92,33.26,12.32,0.94,40.52,-1.69,-0.06,275.54,46.93,96028.1,108,三级
重庆市,梁平区,2013-01-06,88.97,111.53,39.24,14.45,0.98,40.75,-1.93,1.61,275.64,55.54,96098.45,118,三级
重庆市,梁平区,2013-01-07,108.66,129.16,51.15,13.84,1.08,49.84,-1.39,-0.54,275.87,59.28,95998.74,143,三级
重庆市,梁平区,2013-01-08,105.78,131.68,49.18,14.4,1.11,48.44,-2.15,-0.32,276.4,71.27,96188.26,139,三级
重庆市,梁平区,2013-01-09,121.38,159.27,52.02,16.08,1.17,38.82,-2.46,2.16,276.67,59.91,96376.4,160,四级
重庆市,梁平区,2013-01-10,135.52,164.88,50.33,19.38,1.21,38.92,-2.16,1.79,277.01,50.13,96210.22,180,四级
重庆市,梁平区,2013-01-11,142.47,181.43,58.57,15.06,1.6,47.34,0.82,-1.19,278.17,55.51,96365.28,190,四级
重庆市,梁平区,2013-01-12,149.7,154.2,61.19,14.14,1.25,49.81,-2.1,1.08,279.43,51.46,96038.97,200,四级
重庆市,梁平区,2013-01-13,156.5,151.17,51.83,17.34,1.24,46.81,-2.51,0.17,280.98,46.46,95594.62,207,五级
重庆市,梁平区,2013-01-14,140.16,169.31,46.86,14.17,1.2,44.67,-2.39,1.56,282.27,46.76,95799.86,186,四级
重庆市,梁平区,2013-01-15,147.8,179.47,46.8,15.0,1.22,40.93,0.43,0.91,280.96,62.05,96118.25,197,四级
重庆市,梁平区,2013-01-16,131.74,161.69,46.95,12.88,1.21,46.15,-2.28,0.18,280.62,70.6,96285.92,174,四级
重庆市,梁平区,2013-01-17,151.23,185.51,45.68,16.72,1.39,34.8,-2.31,2.2,280.71,69.31,96848.04,202,五级
重庆市,梁平区,2013-01-18,87.78,123.6,32.24,22.35,1.14,37.22,-2.92,3.75,280.41,37.51,96506.38,116,三级
重庆市,梁平区,2013-01-19,94.6,133.88,33.24,17.51,1.1,38.03,-3.15,4.41,281.38,55.08,95497.38,125,三级
重庆市,梁平区,2013-01-20,126.24,160.25,43.63,18.59,1.15,28.49,-2.62,-0.47,280.93,77.02,95579.26,167,四级
重庆市,梁平区,2013-01-21,97.14,118.62,40.65,13.86,1.19,36.98,-2.71,-1.09,278.97,79.27,96166.65,128,三级
重庆市,梁平区,2013-01-22,114.06,135.52,47.41,16.56,1.18,39.97,-1.93,0.73,280.39,67.15,96229.91,149,三级
重庆市,梁平区,2013-01-23,108.81,139.29,49.82,16.21,1.15,52.39,-1.36,-0.31,281.85,60.43,95913.13,143,三级
重庆市,梁平区,2013-01-24,54.41,66.49,22.37,11.42,0.61,54.61,-1.99,-2.24,282.78,32.41,96166.16,75,二级
重庆市,梁平区,2013-01-25,95.15,112.0,31.09,16.7,0.96,45.31,-1.49,1.41,282.55,46.35,95981.09,126,三级
重庆市,梁平区,2013-01-26,92.19,123.85,42.95,15.23,0.9,61.07,-0.2,-0.78,283.39,48.17,95989.95,122,三级
重庆市,梁平区,2013-01-27,107.3,138.66,42.66,18.68,0.93,50.22,-1.3,2.4,284.5,46.04,96220.42,141,三级
重庆市,梁平区,2013-01-28,101.86,145.24,38.17,18.99,1.0,35.76,-3.85,1.74,282.57,56.94,95849.83,134,三级
重庆市,梁平区,2013-01-29,79.88,98.8,33.27,12.36,0.8,49.32,-4.33,1.04,284.59,54.8,95689.8,107,三级
重庆市,梁平区,2013-01-30,115.3,143.17,39.37,18.54,1.05,33.97,-2.37,1.17,284.98,77.06,95581.73,151,四级
重庆市,梁平区,2013-01-31,125.64,151.25,42.14,17.44,1.09,37.06,-2.36,-2.08,285.93,72.92,95346.33,166,四级
重庆市,梁平区,2013-02-01,101.43,125.04,43.96,13.07,1.02,51.57,-1.66,0.74,286.2,69.32,95748.51,134,三级
重庆市,梁平区,2013-02-02,141.44,156.42,36.51,17.67,1.01,28.36,-3.0,2.9,284.96,76.9,96017.53,188,四级
重庆市,梁平区,2013-02-03,115.6,130.13,25.36,12.74,0.88,41.86,0.55,3.39,288.7,59.6,95089.73,151,四级
重庆市,梁平区,2013-02-04,83.57,104.0,28.26,11.96,0.83,49.85,-2.79,2.12,287.61,65.71,95233.45,111,三级
重庆市,梁平区,2013-02-05,87.18,104.08,31.57,13.75,0.83,48.6,-2.83,-1.34,286.7,66.91,95572.5,116,三级
重庆市,梁平区,2013-02-06,110.41,128.02,31.33,17.06,0.95,32.93,-4.17,0.87,285.65,70.52,95401.92,145,三级
重庆市,梁平区,2013-02-07,85.65,91.69,29.36,14.2,0.88,29.66,-7.82,-1.46,281.76,71.41,95658.27,114,三级
重庆市,梁平区,2013-02-08,31.12,35.17,18.85,7.94,0.57,52.73,-4.95,-0.68,275.31,72.81,96571.91,45,一级
重庆市,梁平区,2013-02-09,50.18,53.15,23.72,8.69,0.72,51.38,-0.6,1.3,277.81,59.11,96318.66,69,二级
重庆市,梁平区,2013-02-10,86.05,97.84,29.33,10.2,0.8,58.68,-4.15,-0.66,281.23,55.64,95659.66,114,三级
重庆市,梁平区,2013-02-11,71.14,79.79,23.64,8.48,0.73,64.98,-3.86,-0.48,281.32,58.18,95833.3,96,二级
重庆市,梁平区,2013-02-12,77.41,87.78,24.77,7.72,0.75,58.58,-3.25,1.08,279.97,61.58,96375.79,104,三级
重庆市,梁平区,2013-02-13,70.51,80.61,25.33,8.42,0.8,52.55,-2.87,3.05,280.48,53.8,95758.36,95,二级
重庆市,梁平区,2013-02-14,84.91,98.02,29.88,9.46,0.8,50.95,-2.27,-1.22,281.62,54.94,95631.61,113,三级
重庆市,梁平区,2013-02-15,89.21,98.62,31.61,7.92,0.76,53.76,-3.54,2.44,282.44,50.18,96049.74,118,三级
重庆市,梁平区,2013-02-16,86.28,96.36,27.04,8.99,0.8,58.74,-4.0,3.06,284.37,39.72,95183.11,115,三级
重庆市,梁平区,2013-02-17,78.95,94.02,26.62,9.85,0.75,65.91,-3.49,-0.02,285.72,49.98,94882.16,105,三级
重庆市,梁平区,2013-02-18,85.66,101.98,29.85,11.72,0.82,43.1,-6.07,-1.98,281.64,75.93,95170.44,114,三级
重庆市,梁平区,2013-02-19,48.86,57.76,24.11,8.61,0.73,49.69,-5.69,-0.43,278.02,76.02,96095.0,68,二级
重庆市,梁平区,2013-02-20,56.25,62.91,24.03,9.56,0.73,54.01,-2.62,-0.58,280.53,60.01,96150.89,77,二级
重庆市,梁平区,2013-02-21,63.6,71.19,25.98,9.88,0.71,51.61,-1.37,-0.52,282.1,60.31,96241.91,86,二级
重庆市,梁平区,2013-02-22,66.33,75.67,24.33,8.27,0.64,58.83,-2.85,0.07,283.08,58.24,96459.27,90,二级
重庆市,梁平区,2013-02-23,63.1,74.97,23.78,8.61,0.69,56.23,-3.2,3.28,285.37,45.18,96109.62,86,二级
重庆市,梁平区,2013-02-24,85.62,100.62,28.07,10.36,0.75,62.58,-3.42,1.05,286.94,51.82,95579.64,114,三级
重庆市,梁平区,2013-02-25,86.06,109.35,29.02,14.35,0.85,50.0,-3.45,-1.53,287.04,64.46,95480.68,114,三级
重庆市,梁平区,2013-02-26,82.46,99.3,29.86,11.19,0.7,58.4,-2.63,-0.78,286.91,66.47,95573.62,110,三级
重庆市,梁平区,2013-02-27,97.43,116.28,27.59,9.72,0.78,59.61,-2.93,1.96,288.32,57.79,95323.99,129,三级
重庆市,梁平区,2013-02-28,95.97,113.03,25.76,11.46,0.84,53.52,-4.54,-1.12,289.59,64.26,94641.03,127,三级
重庆市,梁平区,2013-03-01,72.52,85.03,22.99,9.27,0.57,49.08,-9.28,-3.17,283.17,63.11,95698.54,97,二级
重庆市,梁平区,2013-03-02,51.77,71.32,19.07,8.28,0.54,50.79,-1.18,0.38,279.79,65.5,96767.81,71,二级
重庆市,梁平区,2013-03-03,62.36,82.78,21.6,12.59,0.58,57.19,1.4,-0.47,283.03,51.66,96673.39,85,二级
重庆市,梁平区,2013-03-04,70.86,101.38,27.49,17.45,0.73,51.42,-1.63,0.4,285.79,42.18,96315.96,95,二级
重庆市,梁平区,2013-03-05,60.13,85.44,22.42,13.48,0.57,61.05,-2.43,2.41,289.48,34.29,95898.38,82,二级
重庆市,梁平区,2013-03-06,60.35,82.28,21.42,10.94,0.6,62.28,-3.27,-2.18,291.74,33.17,95716.46,82,二级
重庆市,梁平区,2013-03-07,46.73,63.0,18.13,11.23,0.47,64.74,-2.32,0.73,291.02,35.82,95890.12,65,二级
重庆市,梁平区,2013-03-08,50.13,74.1,19.91,12.17,0.54,83.7,-2.51,1.48,293.73,26.36,95329.15,69,二级
重庆市,梁平区,2013-03-09,69.59,88.74,19.54,9.55,0.65,83.29,-3.57,1.85,296.31,40.72,94661.55,94,二级
重庆市,梁平区,2013-03-10,54.11,66.43,16.5,7.98,0.45,61.31,-7.72,1.99,292.02,35.55,95302.2,74,二级
重庆市,梁平区,2013-03-11,44.66,63.09,17.5,8.1,0.44,59.97,-4.62,4.82,289.5,54.41,95069.35,63,二级
重庆市,梁平区,2013-03-12,60.75,81.45,21.88,11.25,0.59,51.2,-2.2,0.57,289.31,72.46,94863.07,83,二级
重庆市,梁平区,2013-03-13,52.43,76.57,17.99,8.78,0.46,52.8,-3.4,1.62,288.21,50.24,95668.18,72,二级
重庆市,梁平区,2013-03-14,66.7,120.88,22.72,10.06,0.58,53.09,-4.7,3.97,287.18,43.95,95837.06,90,二级
重庆市,梁平区,2013-03-15,74.71,111.16,24.08,9.77,0.63,59.58,-4.12,3.42,289.1,54.48,95490.05,100,二级
重庆市,梁平区,2013-03-16,77.24,96.82,26.3,11.85,0.65,55.35,-4.17,0.4,290.08,67.52,95179.94,103,三级
重庆市,梁平区,2013-03-17,75.03,96.76,29.22,8.61,0.64,60.28,-1.62,-2.22,289.64,67.39,95157.99,101,三级
重庆市,梁平区,2013-03-18,82.16,100.86,30.22,14.29,0.84,54.26,0.43,0.36,289.15,64.63,95196.56,109,三级
重庆市,梁平区,2013-03-19,64.71,80.41,26.57,10.79,0.63,62.12,-0.88,-2.07,289.02,72.4,94639.45,88,二级
重庆市,梁平区,2013-03-20,52.76,63.49,20.67,9.79,0.56,64.85,-1.97,0.78,290.97,51.5,95372.62,73,二级
重庆市,梁平区,2013-03-21,55.06,68.39,20.21,7.87,0.54,64.37,-2.92,6.19,291.75,41.71,94796.41,76,二级
重庆市,梁平区,2013-03-22,55.12,68.31,26.91,9.55,0.57,62.8,-7.46,-3.02,291.36,61.27,94673.22,76,二级
重庆市,梁平区,2013-03-23,50.27,62.11,27.29,10.96,0.52,49.18,-4.54,-0.95,286.01,87.59,95149.27,70,二级
重庆市,梁平区,2013-03-24,54.45,69.64,30.31,10.97,0.55,60.25,-3.24,1.11,289.8,59.1,95091.63,75,二级
重庆市,梁平区,2013-03-25,47.17,64.54,29.96,11.55,0.59,35.9,-6.62,-0.5,286.61,69.08,94938.72,66,二级
重庆市,梁平区,2013-03-26,43.0,50.6,27.84,8.82,0.58,63.53,-1.78,-1.6,286.33,58.69,95540.48,60,二级
