province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,武隆区,2013-01-01,47.43,62.76,22.82,12.66,0.67,50.73,-0.6,1.29,276.25,31.7,90407.53,66,二级
重庆市,武隆区,2013-01-02,66.47,89.71,26.61,10.24,0.62,46.98,-7.84,2.36,274.09,67.96,90662.53,90,二级
重庆市,武隆区,2013-01-03,42.87,58.72,16.56,10.79,0.56,39.06,-7.06,4.07,269.22,55.63,91435.06,60,二级
重庆市,武隆区,2013-01-04,46.97,57.22,16.98,6.29,0.55,45.65,-6.57,3.56,268.2,62.04,90771.33,65,二级
重庆市,武隆区,2013-01-05,65.48,79.32,17.69,4.95,0.63,48.7,-4.25,1.91,270.02,67.02,90529.93,89,二级
重庆市,武隆区,2013-01-06,81.17,110.61,25.06,7.59,0.77,45.74,-3.92,1.98,270.73,72.01,90599.29,108,三级
重庆市,武隆区,2013-01-07,76.26,99.89,27.64,6.13,0.75,60.82,-2.05,0.33,271.9,77.62,90488.06,102,三级
重庆市,武隆区,2013-01-08,93.63,115.64,33.01,7.23,0.79,59.47,-2.48,-0.7,272.45,87.68,90659.29,124,三级
重庆市,武隆区,2013-01-09,122.84,176.75,45.64,11.06,0.96,43.56,-4.18,1.83,272.16,73.68,90877.79,162,四级
重庆市,武隆区,2013-01-10,127.4,166.85,36.57,17.07,1.14,38.14,-4.96,1.46,271.67,61.32,90748.86,168,四级
重庆市,武隆区,2013-01-11,95.18,124.7,37.2,7.29,1.07,50.13,0.9,-2.62,274.56,67.38,90857.93,126,三级
重庆市,武隆区,2013-01-12,107.58,101.5,33.77,5.86,0.94,49.42,-3.27,1.81,275.88,61.71,90611.28,141,三级
重庆市,武隆区,2013-01-13,135.62,103.86,32.42,9.37,1.08,53.5,-2.62,2.07,278.05,56.51,90218.93,180,四级
重庆市,武隆区,2013-01-14,142.29,162.71,39.51,7.74,1.61,45.7,-6.51,2.5,277.12,65.65,90458.62,189,四级
重庆市,武隆区,2013-01-15,140.95,155.64,29.6,8.24,1.18,47.88,-0.63,-0.53,277.05,80.02,90684.16,188,四级
重庆市,武隆区,2013-01-16,145.97,169.89,29.14,5.9,1.04,45.63,-3.32,0.79,276.26,90.53,90859.04,195,四级
重庆市,武隆区,2013-01-17,147.32,175.94,36.5,19.14,1.38,36.61,-4.85,2.79,275.43,75.74,91406.18,197,四级
重庆市,武隆区,2013-01-18,103.32,142.37,27.13,32.27,1.22,33.95,-5.67,3.82,274.43,58.72,91126.66,136,三级
重庆市,武隆区,2013-01-19,105.56,148.2,25.38,20.41,1.17,33.7,-6.59,2.66,274.9,85.83,90238.98,139,三级
重庆市,武隆区,2013-01-20,120.28,154.32,28.39,14.21,1.04,33.83,-2.92,0.73,278.19,91.09,90207.25,158,四级
重庆市,武隆区,2013-01-21,106.59,132.38,30.07,14.63,1.3,28.25,-1.15,0.81,277.2,89.91,90712.06,140,三级
重庆市,武隆区,2013-01-22,117.13,129.46,26.64,8.48,1.05,46.23,-3.22,1.99,275.75,85.36,90834.93,154,四级
重庆市,武隆区,2013-01-23,105.08,124.21,27.16,8.37,1.0,53.14,-2.24,2.42,278.27,71.73,90530.64,138,三级
重庆市,武隆区,2013-01-24,79.01,101.73,23.21,11.5,0.83,50.63,0.19,-0.83,279.57,56.93,90747.1,106,三级
重庆市,武隆区,2013-01-25,75.13,81.1,19.13,11.9,0.75,45.86,-3.72,3.16,278.07,52.4,90627.8,101,三级
重庆市,武隆区,2013-01-26,56.56,80.32,23.65,10.15,0.71,58.62,-0.23,-0.84,280.65,49.74,90613.4,77,二级
重庆市,武隆区,2013-01-27,104.89,130.84,29.27,12.4,0.91,48.23,-3.75,3.03,280.19,58.69,90911.73,138,三级
重庆市,武隆区,2013-01-28,107.97,147.07,28.87,16.19,0.91,42.1,-5.28,3.45,279.2,58.4,90507.98,142,三级
重庆市,武隆区,2013-01-29,75.23,93.34,22.06,6.24,0.71,56.32,-4.89,3.71,280.85,70.97,90417.26,101,三级
重庆市,武隆区,2013-01-30,85.92,108.62,22.99,9.93,0.77,40.86,-3.75,2.28,281.8,91.57,90316.95,114,三级
重庆市,武隆区,2013-01-31,76.19,97.7,21.78,10.26,0.68,40.27,-1.82,0.38,284.0,86.33,90101.98,102,三级
重庆市,武隆区,2013-02-01,98.51,117.17,23.55,9.42,0.74,38.01,-3.37,0.89,281.58,93.41,90502.48,130,三级
重庆市,武隆区,2013-02-02,157.49,178.93,29.22,14.33,0.95,31.29,-6.14,1.93,279.36,96.39,90780.59,208,五级
重庆市,武隆区,2013-02-03,134.65,146.31,24.38,13.5,0.88,40.13,-1.61,2.82,284.39,72.73,89997.01,179,四级
重庆市,武隆区,2013-02-04,90.82,105.09,19.01,8.17,0.63,48.0,-5.19,2.03,282.74,82.7,90089.32,120,三级
