province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,永川区,2013-01-01,65.04,139.59,36.18,50.24,1.93,32.12,-1.85,-1.61,279.63,27.31,97826.48,95,二级
重庆市,永川区,2013-01-02,87.84,172.7,40.26,52.85,1.81,21.64,-0.74,-1.53,280.7,36.63,97962.31,117,三级
重庆市,永川区,2013-01-03,63.08,130.72,25.22,38.66,2.27,10.36,-0.4,3.32,276.99,63.54,98936.19,91,二级
重庆市,永川区,2013-01-04,47.45,70.23,22.8,17.86,1.2,26.25,-3.3,1.6,276.86,50.42,98232.78,66,二级
重庆市,永川区,2013-01-05,70.57,104.65,27.05,22.82,1.35,22.64,-2.4,0.53,277.62,46.68,98042.85,95,二级
重庆市,永川区,2013-01-06,67.59,115.51,39.45,39.78,1.43,21.12,-2.34,-0.63,277.68,49.22,98100.3,91,二级
重庆市,永川区,2013-01-07,69.86,143.47,19.67,37.81,1.28,28.6,-2.02,-0.52,277.7,53.75,98049.41,97,二级
重庆市,永川区,2013-01-08,70.12,134.74,20.71,32.17,1.52,25.55,-1.23,-2.11,278.53,56.92,98250.81,94,二级
重庆市,永川区,2013-01-09,101.59,165.02,25.03,35.3,1.81,26.68,-1.31,1.69,278.93,63.05,98388.19,134,三级
重庆市,永川区,2013-01-10,128.02,184.72,40.4,36.96,1.5,27.62,-3.62,0.92,279.12,46.57,98186.16,169,四级
重庆市,永川区,2013-01-11,98.32,169.73,33.55,25.57,1.51,41.39,0.0,-0.22,279.41,61.82,98462.25,130,三级
重庆市,永川区,2013-01-12,126.28,224.19,30.99,38.5,1.76,31.3,-1.69,-0.7,281.01,50.63,98015.92,167,四级
重庆市,永川区,2013-01-13,227.11,297.7,50.0,61.74,2.17,24.66,-1.65,-2.64,282.33,47.25,97540.23,278,五级
重庆市,永川区,2013-01-14,146.38,218.92,38.85,40.12,1.04,23.12,-1.93,-2.61,282.34,50.81,97721.27,195,四级
重庆市,永川区,2013-01-15,130.9,182.19,30.21,22.71,1.3,31.89,-0.71,-1.34,282.15,58.75,98133.61,173,四级
重庆市,永川区,2013-01-16,115.61,172.6,39.35,43.29,1.92,24.21,-1.32,-1.25,280.51,72.58,98313.33,151,四级
重庆市,永川区,2013-01-17,118.35,209.18,39.9,40.28,1.62,22.94,-1.02,2.48,282.15,68.01,98827.95,155,四级
重庆市,永川区,2013-01-18,105.97,192.1,46.49,55.67,1.67,25.16,-4.75,2.12,283.48,43.55,98373.77,139,三级
重庆市,永川区,2013-01-19,94.07,205.87,40.45,71.4,1.98,22.39,-1.4,0.9,284.03,56.86,97324.01,128,三级
重庆市,永川区,2013-01-20,90.0,180.18,35.66,29.94,1.59,26.89,0.85,-2.15,282.72,56.69,97555.32,119,三级
重庆市,永川区,2013-01-21,36.48,72.88,16.45,18.96,1.29,33.91,0.22,-2.9,281.62,49.29,98211.43,62,二级
重庆市,永川区,2013-01-22,49.52,117.86,33.76,37.63,0.98,31.27,-1.55,-2.12,282.41,50.27,98225.52,84,二级
重庆市,永川区,2013-01-23,73.46,118.79,44.42,41.15,1.22,26.29,-1.65,-1.57,283.97,52.76,97862.54,99,二级
重庆市,永川区,2013-01-24,90.82,130.42,23.05,28.57,1.0,39.64,-0.05,-3.6,284.34,34.49,98249.19,120,三级
重庆市,永川区,2013-01-25,97.26,216.93,49.41,61.08,1.55,28.09,-2.35,-0.03,284.69,37.36,97892.18,134,三级
重庆市,永川区,2013-01-26,82.72,168.28,26.48,42.81,1.14,41.16,-1.59,-1.9,284.84,43.47,98019.4,110,三级
重庆市,永川区,2013-01-27,109.14,238.39,50.57,76.24,1.13,35.42,-1.49,0.55,285.89,45.14,98173.15,145,三级
重庆市,永川区,2013-01-28,135.19,239.19,56.6,59.2,1.46,24.26,-2.15,0.99,287.76,37.38,97611.43,179,四级
重庆市,永川区,2013-01-29,87.38,141.23,38.29,38.65,1.74,28.15,-2.57,-2.21,286.93,55.98,97524.53,116,三级
重庆市,永川区,2013-01-30,121.57,136.93,40.89,38.01,2.14,35.2,1.32,-0.85,287.21,54.71,97496.19,160,四级
重庆市,永川区,2013-01-31,157.24,199.59,42.86,36.73,1.45,28.73,-0.75,-3.53,287.51,62.46,97323.73,208,五级
重庆市,永川区,2013-02-01,168.83,225.72,43.85,35.99,1.95,39.06,-0.8,-2.75,287.9,57.72,97688.39,219,五级
重庆市,永川区,2013-02-02,165.61,173.36,37.86,36.5,1.55,34.73,-1.4,-0.54,287.93,63.76,97904.52,216,五级
重庆市,永川区,2013-02-03,153.93,197.0,38.15,30.4,1.96,25.68,0.68,-0.55,289.52,59.82,96973.62,204,五级
重庆市,永川区,2013-02-04,116.18,164.7,33.09,24.05,2.0,50.79,-0.66,-2.87,289.29,62.09,97148.31,152,四级
重庆市,永川区,2013-02-05,104.56,138.82,21.72,23.51,1.68,53.84,-0.31,-4.32,289.29,60.38,97521.24,137,三级
重庆市,永川区,2013-02-06,127.18,148.94,32.8,37.18,1.55,30.94,-2.45,-2.94,289.97,60.84,97212.79,168,四级
重庆市,永川区,2013-02-07,115.4,124.9,27.45,20.55,1.45,19.78,-2.33,-1.58,285.69,72.64,97507.85,151,四级
重庆市,永川区,2013-02-08,29.21,31.08,16.46,9.45,0.82,40.66,-5.01,0.97,278.83,70.38,98515.84,42,一级
重庆市,永川区,2013-02-09,50.7,45.58,14.49,6.68,1.1,31.76,-1.07,-0.52,279.63,66.79,98340.87,70,二级
重庆市,永川区,2013-02-10,90.67,118.94,33.33,12.38,1.24,36.4,-3.09,-2.9,284.25,46.3,97539.65,120,三级
重庆市,永川区,2013-02-11,70.99,84.21,21.29,10.73,1.19,35.33,-2.17,-0.51,284.03,55.27,97734.94,95,二级
重庆市,永川区,2013-02-12,86.31,85.06,21.26,10.96,0.95,36.56,-0.79,-1.8,282.63,53.15,98354.05,115,三级
重庆市,永川区,2013-02-13,62.54,70.2,25.05,12.19,0.83,38.22,-4.28,1.05,282.89,49.38,97639.74,85,二级
重庆市,永川区,2013-02-14,61.39,73.53,25.72,12.6,0.98,34.01,-1.73,-2.44,283.65,50.85,97603.09,83,二级
重庆市,永川区,2013-02-15,76.18,93.24,23.44,11.4,0.87,45.47,-1.36,-0.48,284.41,43.75,97998.39,102,三级
重庆市,永川区,2013-02-16,72.58,95.98,38.29,14.77,0.93,62.07,-2.64,-0.41,287.91,36.32,96943.71,97,二级
重庆市,永川区,2013-02-17,74.97,107.94,28.65,13.97,1.07,92.03,0.46,-2.75,287.16,41.41,96809.26,100,二级
重庆市,永川区,2013-02-18,94.23,117.56,38.22,17.55,1.26,64.78,0.77,-3.9,284.25,60.07,97136.61,125,三级
重庆市,永川区,2013-02-19,36.47,42.77,24.52,7.3,0.95,61.7,0.34,-1.49,281.23,66.52,98096.19,52,二级
重庆市,永川区,2013-02-20,49.67,53.95,27.19,12.36,1.04,34.38,-3.31,0.04,283.82,51.34,98076.0,69,二级
重庆市,永川区,2013-02-21,64.45,71.24,26.71,16.85,1.06,35.85,-1.08,-2.32,284.55,55.02,98227.48,87,二级
重庆市,永川区,2013-02-22,77.12,73.93,27.03,12.48,0.98,45.85,-0.92,-1.82,285.38,51.63,98475.52,103,三级
重庆市,永川区,2013-02-23,76.88,97.81,40.24,26.97,1.13,40.81,-4.1,-0.13,288.68,39.15,97914.08,103,三级
重庆市,永川区,2013-02-24,126.83,145.52,39.23,25.9,1.47,41.98,-1.77,2.12,289.61,43.43,97389.02,167,四级
重庆市,永川区,2013-02-25,121.43,153.4,41.05,33.22,1.37,29.75,-0.79,-4.23,288.26,63.84,97382.96,160,四级
重庆市,永川区,2013-02-26,120.24,144.03,35.34,21.61,1.01,50.78,-0.99,-0.9,288.73,52.34,97518.57,158,四级
重庆市,永川区,2013-02-27,124.76,170.09,48.17,28.57,1.12,47.91,-2.81,-1.37,291.2,51.71,97145.67,164,四级
重庆市,永川区,2013-02-28,126.48,170.1,43.64,33.69,1.41,26.68,-0.91,-3.17,293.01,60.33,96413.85,167,四级
重庆市,永川区,2013-03-01,117.06,137.25,26.22,17.09,1.03,40.02,-2.67,-2.71,287.56,53.04,97619.79,153,四级
重庆市,永川区,2013-03-02,72.49,124.45,20.15,9.19,0.65,44.47,-2.15,1.1,282.91,54.56,98760.71,97,二级
重庆市,永川区,2013-03-03,86.99,136.92,35.87,18.36,0.84,36.61,-1.18,-0.64,285.22,51.52,98717.04,115,三级
重庆市,永川区,2013-03-04,106.38,175.09,47.88,43.86,1.3,22.44,-2.84,-1.18,288.99,36.23,98208.6,140,三级
重庆市,永川区,2013-03-05,112.3,197.89,35.27,46.6,1.18,38.29,-2.15,0.03,292.32,29.42,97694.55,147,三级
