province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,沙坪坝区,2013-01-01,73.44,141.16,42.53,58.24,1.76,23.6,-2.33,-1.31,279.08,30.8,98073.81,99,二级
重庆市,沙坪坝区,2013-01-02,86.9,169.76,50.64,59.85,1.6,15.82,-2.55,0.03,281.24,39.83,98191.72,115,三级
重庆市,沙坪坝区,2013-01-03,55.04,102.88,19.34,41.31,1.65,10.74,-2.58,4.54,277.77,46.2,99197.98,77,二级
重庆市,沙坪坝区,2013-01-04,55.17,68.42,22.96,27.94,1.3,19.25,-2.57,3.15,276.65,45.61,98501.04,76,二级
重庆市,沙坪坝区,2013-01-05,70.1,101.32,32.81,34.18,1.58,14.32,-1.52,0.66,277.43,47.54,98291.6,94,二级
重庆市,沙坪坝区,2013-01-06,71.56,124.5,43.94,43.38,1.4,14.92,-2.04,1.07,277.43,50.94,98355.1,96,二级
重庆市,沙坪坝区,2013-01-07,64.74,132.28,29.46,42.1,1.32,16.54,-1.52,-0.25,277.47,55.96,98286.8,92,二级
重庆市,沙坪坝区,2013-01-08,70.94,132.02,30.22,38.98,1.56,17.13,-1.18,-1.38,278.14,60.44,98481.24,95,二级
重庆市,沙坪坝区,2013-01-09,86.82,153.38,38.71,38.15,1.7,15.82,-1.32,2.33,278.62,66.47,98630.74,115,三级
重庆市,沙坪坝区,2013-01-10,116.68,173.38,36.07,42.72,1.5,18.69,-2.04,1.96,278.89,43.84,98444.6,153,四级
重庆市,沙坪坝区,2013-01-11,81.3,183.34,40.6,40.48,1.6,27.2,0.34,0.24,279.44,58.12,98686.42,117,三级
重庆市,沙坪坝区,2013-01-12,108.42,225.12,39.8,50.06,1.62,21.72,-1.62,-0.02,280.65,53.82,98263.79,142,三级
重庆市,沙坪坝区,2013-01-13,217.1,259.44,56.52,52.6,1.9,25.06,-2.0,-0.78,282.4,46.66,97772.44,268,五级
重庆市,沙坪坝区,2013-01-14,149.24,232.42,54.15,41.74,1.05,17.95,-2.72,-0.2,282.84,51.2,97973.4,199,四级
重庆市,沙坪坝区,2013-01-15,130.13,199.82,35.44,32.12,1.19,14.82,-0.81,0.24,282.21,59.94,98371.75,172,四级
重庆市,沙坪坝区,2013-01-16,112.09,182.06,37.14,42.44,1.69,12.9,-1.13,-1.05,280.73,74.14,98533.84,147,三级
重庆市,沙坪坝区,2013-01-17,123.66,206.86,40.81,44.86,1.62,11.92,-1.08,2.98,282.2,67.77,99074.29,163,四级
重庆市,沙坪坝区,2013-01-18,96.98,174.02,38.49,47.98,1.76,23.16,-3.45,4.39,282.93,40.36,98665.28,128,三级
重庆市,沙坪坝区,2013-01-19,83.9,172.71,44.51,46.5,1.66,21.82,-3.16,2.7,284.3,56.4,97571.68,112,三级
重庆市,沙坪坝区,2013-01-20,120.09,193.76,45.94,39.79,1.48,13.65,-1.06,-1.66,283.01,62.84,97760.67,158,四级
重庆市,沙坪坝区,2013-01-21,57.2,104.22,28.23,28.36,1.48,21.09,0.52,-2.53,281.24,54.7,98429.88,78,二级
重庆市,沙坪坝区,2013-01-22,75.52,132.71,48.96,46.66,1.19,19.57,-1.08,-1.04,282.36,55.62,98456.6,101,三级
重庆市,沙坪坝区,2013-01-23,84.08,133.45,43.3,43.26,1.25,16.43,-1.35,-0.88,283.62,55.52,98106.14,112,三级
重庆市,沙坪坝区,2013-01-24,109.84,151.38,40.04,38.72,1.13,24.67,0.56,-3.43,284.16,35.87,98453.5,144,三级
重庆市,沙坪坝区,2013-01-25,119.14,186.74,41.06,44.8,1.42,25.0,-2.46,1.78,284.64,37.52,98145.54,156,四级
重庆市,沙坪坝区,2013-01-26,127.44,205.51,40.7,52.75,1.22,27.58,-1.3,-1.1,284.82,45.88,98243.0,168,四级
重庆市,沙坪坝区,2013-01-27,151.04,247.76,59.36,61.92,1.2,21.0,-1.36,1.35,285.67,47.72,98413.28,202,五级
重庆市,沙坪坝区,2013-01-28,116.36,203.57,49.0,58.63,1.23,22.68,-3.65,2.65,287.29,37.7,97884.09,152,四级
重庆市,沙坪坝区,2013-01-29,87.7,125.56,24.34,41.92,1.14,21.26,-3.76,0.17,286.83,55.71,97775.51,116,三级
重庆市,沙坪坝区,2013-01-30,131.96,174.38,46.18,45.7,1.74,21.79,-0.2,1.75,287.53,62.0,97693.26,175,四级
