province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,涪陵区,2013-01-01,59.83,78.74,39.58,19.86,0.85,45.86,-1.39,1.46,279.17,26.61,95509.04,82,二级
重庆市,涪陵区,2013-01-02,62.13,90.57,28.67,11.23,0.64,47.38,-6.59,6.57,280.72,46.75,95628.78,84,二级
重庆市,涪陵区,2013-01-03,44.72,64.34,16.3,14.44,0.71,34.99,-7.11,6.99,275.02,42.02,96581.11,63,二级
重庆市,涪陵区,2013-01-04,46.1,57.05,17.64,8.37,0.64,40.44,-6.13,5.33,274.36,45.97,95893.47,64,二级
重庆市,涪陵区,2013-01-05,65.76,81.47,20.78,8.14,0.76,43.92,-3.73,2.43,275.83,49.77,95681.37,89,二级
重庆市,涪陵区,2013-01-06,78.21,111.83,31.14,13.71,0.83,38.68,-2.88,3.02,275.84,54.45,95757.63,105,三级
重庆市,涪陵区,2013-01-07,77.22,109.51,39.97,10.83,0.88,48.24,-1.25,1.1,276.18,61.1,95679.62,103,三级
重庆市,涪陵区,2013-01-08,86.78,117.58,45.8,13.05,0.92,46.83,-1.75,-0.05,276.35,69.44,95868.85,115,三级
重庆市,涪陵区,2013-01-09,109.36,170.53,52.99,16.27,0.99,35.02,-2.42,3.21,277.0,60.16,96039.8,143,三级
重庆市,涪陵区,2013-01-10,115.84,155.14,35.65,19.9,1.09,35.53,-4.91,4.8,277.52,40.95,95854.09,152,四级
重庆市,涪陵区,2013-01-11,93.17,135.25,48.68,12.82,1.33,41.67,0.41,0.77,278.11,58.27,96073.26,123,三级
重庆市,涪陵区,2013-01-12,104.79,96.39,48.07,11.68,1.07,41.11,-2.2,2.79,280.09,49.56,95704.75,138,三级
重庆市,涪陵区,2013-01-13,144.89,105.05,34.76,17.82,1.17,42.64,-2.75,1.79,282.14,43.86,95242.3,193,四级
重庆市,涪陵区,2013-01-14,143.16,163.62,46.8,10.95,1.91,44.31,-5.49,5.28,282.85,47.8,95421.38,191,四级
重庆市,涪陵区,2013-01-15,156.85,173.68,31.61,14.68,1.36,35.04,-1.26,1.88,280.55,69.33,95811.35,207,五级
重庆市,涪陵区,2013-01-16,136.47,171.63,28.65,10.9,1.12,39.05,-2.45,1.9,280.78,70.75,95957.05,181,四级
重庆市,涪陵区,2013-01-17,144.53,180.89,43.37,31.26,1.7,28.78,-3.45,4.15,280.63,59.38,96514.9,193,四级
重庆市,涪陵区,2013-01-18,95.87,136.0,27.54,42.26,1.31,33.77,-6.4,7.17,280.72,39.73,96127.54,127,三级
重庆市,涪陵区,2013-01-19,97.6,140.53,25.48,26.26,1.2,35.02,-6.92,8.98,282.14,59.07,95087.52,129,三级
重庆市,涪陵区,2013-01-20,154.41,212.69,45.43,33.35,1.43,25.52,-1.95,2.68,281.86,71.99,95226.96,205,五级
重庆市,涪陵区,2013-01-21,112.6,152.81,57.95,25.16,1.72,25.79,0.28,0.26,279.94,76.57,95843.66,148,三级
重庆市,涪陵区,2013-01-22,101.49,118.02,33.16,15.01,1.14,42.92,-1.89,2.7,281.42,61.52,95895.46,134,三级
重庆市,涪陵区,2013-01-23,92.03,118.48,29.25,18.55,1.08,45.22,-2.28,1.46,283.06,54.59,95566.18,122,三级
重庆市,涪陵区,2013-01-24,95.13,128.22,33.59,25.97,1.04,41.97,0.55,-0.38,282.34,49.83,95870.12,126,三级
重庆市,涪陵区,2013-01-25,84.42,90.55,20.97,21.94,0.87,44.24,-3.99,4.51,283.51,38.51,95628.76,112,三级
重庆市,涪陵区,2013-01-26,77.45,120.14,39.06,22.14,1.04,48.44,-0.47,0.6,283.62,45.21,95697.68,104,三级
