province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,潼南区,2013-01-01,67.5,103.91,21.22,25.41,1.54,56.39,-2.2,-0.99,278.46,32.76,98321.9,91,二级
重庆市,潼南区,2013-01-02,67.36,99.81,23.35,26.85,1.34,35.51,-3.57,-5.07,280.26,38.12,98465.34,91,二级
重庆市,潼南区,2013-01-03,44.69,90.96,17.97,32.07,1.7,15.94,-4.0,0.46,276.5,67.6,99448.64,71,二级
重庆市,潼南区,2013-01-04,37.02,44.3,17.48,18.19,1.31,25.39,-2.43,1.84,276.47,54.08,98731.35,53,二级
重庆市,潼南区,2013-01-05,52.28,47.88,23.33,19.94,1.66,25.21,-2.29,-0.95,277.25,47.51,98538.19,72,二级
重庆市,潼南区,2013-01-06,56.83,47.67,35.34,25.4,1.43,30.03,-1.97,-0.58,277.7,50.55,98581.66,78,二级
重庆市,潼南区,2013-01-07,57.93,54.81,20.69,10.31,1.24,47.35,-1.68,-0.58,277.96,53.84,98524.67,79,二级
重庆市,潼南区,2013-01-08,91.91,92.35,22.2,12.76,1.88,47.6,-0.79,-2.12,278.23,54.91,98723.88,122,三级
重庆市,潼南区,2013-01-09,128.34,105.71,20.15,22.81,1.99,27.31,-1.69,0.28,278.59,55.24,98837.9,170,四级
重庆市,潼南区,2013-01-10,129.25,151.07,27.87,36.86,1.49,23.82,-1.92,1.27,278.51,51.79,98679.37,171,四级
重庆市,潼南区,2013-01-11,112.47,127.71,28.3,13.69,1.81,50.19,0.28,-1.25,279.36,60.47,98916.82,147,三级
重庆市,潼南区,2013-01-12,130.36,129.44,24.61,25.53,1.5,46.31,-1.23,0.04,280.43,51.37,98499.36,172,四级
重庆市,潼南区,2013-01-13,253.05,236.83,48.0,27.07,2.06,35.45,-2.59,-3.37,281.52,49.77,98040.87,304,六级
重庆市,潼南区,2013-01-14,170.08,164.96,26.39,23.02,1.18,34.54,-1.86,-3.15,281.78,52.0,98238.55,221,五级
重庆市,潼南区,2013-01-15,98.69,125.04,23.64,12.11,1.3,45.32,-0.88,-1.26,282.09,60.39,98606.13,130,三级
重庆市,潼南区,2013-01-16,50.19,89.01,31.35,18.66,1.44,47.56,-1.34,-0.87,281.83,61.04,98767.91,70,二级
重庆市,潼南区,2013-01-17,86.85,156.47,28.95,38.08,1.28,23.61,-1.18,2.42,282.36,64.14,99272.42,115,三级
重庆市,潼南区,2013-01-18,80.6,142.76,28.06,46.07,1.66,28.45,-3.97,3.49,282.93,40.78,98892.98,108,三级
重庆市,潼南区,2013-01-19,78.63,145.28,32.14,39.33,1.71,25.54,-3.33,-0.37,282.88,53.13,97831.33,105,三级
重庆市,潼南区,2013-01-20,73.52,131.3,25.52,14.82,1.2,37.26,-2.12,-3.67,282.71,58.05,98030.76,99,二级
重庆市,潼南区,2013-01-21,25.34,37.24,18.21,9.9,1.07,43.17,-1.08,-3.94,281.06,49.81,98683.09,38,一级
重庆市,潼南区,2013-01-22,45.87,88.66,29.12,16.29,1.05,50.74,-1.55,-1.86,281.93,51.54,98705.07,70,二级
重庆市,潼南区,2013-01-23,43.24,60.73,21.64,21.57,1.08,48.37,-1.62,-2.05,283.06,52.71,98361.19,61,二级
重庆市,潼南区,2013-01-24,67.03,88.37,13.21,13.2,0.8,51.91,-1.01,-4.4,284.53,22.87,98709.23,91,二级
重庆市,潼南区,2013-01-25,60.3,152.11,31.19,32.58,1.39,36.72,-2.03,-0.33,283.81,37.57,98388.86,102,三级
重庆市,潼南区,2013-01-26,30.57,67.65,16.31,10.78,0.55,61.09,-0.66,-1.84,284.75,42.56,98474.4,59,二级
重庆市,潼南区,2013-01-27,46.47,102.7,32.39,43.47,0.76,55.67,-1.21,0.84,285.72,47.71,98624.2,77,二级
重庆市,潼南区,2013-01-28,75.91,141.41,33.1,40.62,1.31,31.3,-4.81,1.2,286.59,39.26,98128.71,102,三级
重庆市,潼南区,2013-01-29,71.26,113.36,19.51,15.76,1.1,48.88,-3.66,-2.05,285.81,55.45,98046.42,96,二级
重庆市,潼南区,2013-01-30,105.55,124.65,20.71,18.74,1.49,45.39,-0.67,-2.92,287.27,56.29,97935.44,139,三级
重庆市,潼南区,2013-01-31,112.92,163.41,26.79,17.57,1.37,48.51,-0.92,-2.77,286.74,62.07,97801.94,148,三级
重庆市,潼南区,2013-02-01,96.66,154.81,28.74,14.36,1.76,53.3,-0.23,-2.55,286.49,60.04,98171.12,128,三级
重庆市,潼南区,2013-02-02,161.94,168.94,32.83,27.55,1.48,37.38,-1.68,-0.78,286.98,66.87,98372.46,212,五级
重庆市,潼南区,2013-02-03,113.51,161.6,23.11,17.96,1.42,32.82,-1.21,-1.98,288.52,66.17,97432.73,149,三级
重庆市,潼南区,2013-02-04,59.39,112.75,15.61,7.69,1.43,59.3,-0.72,-4.02,287.54,63.63,97638.29,82,二级
