province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,榆林市,2013-01-01,10.42,13.14,13.22,9.06,0.35,42.94,2.21,-4.59,259.8,54.34,88075.63,22,一级
陕西省,榆林市,2013-01-02,17.11,21.17,16.85,14.09,0.41,40.35,-0.77,-3.86,254.39,56.84,89161.91,25,一级
陕西省,榆林市,2013-01-03,23.4,28.9,22.45,16.99,0.43,38.62,-1.12,-1.17,254.58,54.75,89311.49,34,一级
陕西省,榆林市,2013-01-04,47.54,57.82,33.57,21.46,0.58,28.38,-0.76,0.88,258.43,51.39,88481.06,66,二级
陕西省,榆林市,2013-01-05,64.3,78.01,51.99,27.21,0.74,20.59,0.44,-2.03,260.03,48.95,88338.92,87,二级
陕西省,榆林市,2013-01-06,62.63,73.49,52.53,25.16,0.73,22.23,1.62,-0.05,262.58,41.05,88259.58,85,二级
陕西省,榆林市,2013-01-07,30.77,34.2,27.52,14.4,0.44,29.25,3.01,-2.02,264.56,45.84,88187.45,44,一级
陕西省,榆林市,2013-01-08,17.08,20.69,20.6,12.04,0.34,36.48,2.09,-3.7,262.38,53.38,88584.0,25,一级
陕西省,榆林市,2013-01-09,32.65,38.87,26.49,13.56,0.47,36.19,-0.14,2.13,262.92,55.53,88398.4,47,一级
陕西省,榆林市,2013-01-10,51.18,58.68,35.51,15.15,0.62,29.74,3.17,2.22,266.5,45.27,88108.01,71,二级
陕西省,榆林市,2013-01-11,12.84,15.22,15.19,8.52,0.41,41.81,5.6,-2.3,266.58,46.02,88355.92,21,一级
陕西省,榆林市,2013-01-12,37.43,43.52,24.2,12.02,0.54,37.09,2.41,3.4,268.64,43.35,87938.22,54,二级
陕西省,榆林市,2013-01-13,41.64,50.13,37.15,19.55,0.56,27.96,0.24,-1.05,268.33,41.08,87925.82,59,二级
陕西省,榆林市,2013-01-14,46.66,56.33,35.12,16.48,0.63,27.68,3.22,1.3,267.68,39.92,88178.4,65,二级
陕西省,榆林市,2013-01-15,15.08,19.69,17.69,10.04,0.4,35.67,4.37,-2.57,267.29,51.28,88361.31,22,一级
