province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,西安市,2013-01-01,63.44,120.84,36.42,28.11,1.62,38.26,0.73,-0.54,272.4,30.84,90801.85,86,二级
陕西省,西安市,2013-01-02,55.22,116.84,50.86,28.82,1.74,31.4,-3.99,-2.97,266.48,49.04,91688.87,84,二级
陕西省,西安市,2013-01-03,28.69,50.44,30.47,21.03,1.5,40.78,-2.61,-1.37,263.78,36.56,92120.97,51,二级
陕西省,西安市,2013-01-04,89.08,128.7,73.08,33.73,1.91,28.36,-1.97,-0.24,266.15,44.51,91258.06,118,三级
陕西省,西安市,2013-01-05,132.29,186.82,83.76,47.68,2.29,31.17,-0.06,-0.83,267.69,43.15,91088.76,175,四级
陕西省,西安市,2013-01-06,163.71,210.14,56.45,50.17,2.4,28.75,0.42,-0.42,268.82,38.7,91094.34,214,五级
陕西省,西安市,2013-01-07,179.44,237.62,64.0,41.76,2.76,36.2,2.24,-0.32,270.57,44.52,90953.56,230,五级
陕西省,西安市,2013-01-08,171.36,214.99,47.63,42.64,2.46,35.38,2.21,-0.8,269.78,34.32,91311.36,222,五级
陕西省,西安市,2013-01-09,122.25,169.92,52.77,40.57,2.48,34.81,-0.8,1.06,270.52,37.09,91221.48,161,四级
陕西省,西安市,2013-01-10,188.0,232.32,71.61,54.85,2.86,30.52,0.76,1.74,272.96,47.01,90968.77,238,五级
陕西省,西安市,2013-01-11,127.22,190.61,47.66,36.91,2.25,45.19,2.94,-0.01,273.64,35.65,91258.38,168,四级
陕西省,西安市,2013-01-12,101.26,163.43,54.32,38.44,2.09,43.0,1.35,3.32,275.57,31.88,90769.35,133,三级
陕西省,西安市,2013-01-13,187.04,244.12,66.69,49.27,3.08,38.45,0.4,0.32,275.82,36.58,90605.13,238,五级
陕西省,西安市,2013-01-14,255.97,332.8,69.68,57.0,3.39,35.15,-0.97,0.96,275.71,37.71,90893.77,306,六级
陕西省,西安市,2013-01-15,53.31,161.79,39.57,28.68,1.88,53.65,3.39,-0.69,273.23,34.06,91215.73,106,三级
陕西省,西安市,2013-01-16,69.54,132.73,30.87,34.67,1.74,43.88,0.32,-0.54,274.19,31.8,91435.17,94,二级
陕西省,西安市,2013-01-17,113.6,186.67,76.19,55.94,2.72,36.48,-2.6,-0.36,272.86,37.04,91878.33,149,三级
陕西省,西安市,2013-01-18,180.0,251.81,88.23,78.17,3.03,37.68,0.03,2.68,275.22,57.5,91241.29,230,五级
陕西省,西安市,2013-01-19,270.56,341.34,100.07,78.06,3.85,37.38,-1.62,2.75,276.22,61.56,90473.79,321,六级
陕西省,西安市,2013-01-20,192.1,256.89,62.26,47.43,3.17,41.42,1.72,-1.32,272.04,64.7,90950.05,243,五级
陕西省,西安市,2013-01-21,37.58,61.08,31.95,24.69,1.41,48.08,3.02,-0.66,271.52,52.17,91288.32,56,二级
陕西省,西安市,2013-01-22,74.47,103.89,40.57,43.52,1.75,47.86,0.64,0.07,272.41,59.13,91253.06,100,二级
陕西省,西安市,2013-01-23,104.31,139.73,39.69,46.26,2.06,42.59,3.72,-0.68,276.15,42.89,90832.42,137,三级
陕西省,西安市,2013-01-24,23.43,55.06,21.88,22.06,1.26,57.59,4.16,-2.57,272.88,33.36,91346.75,53,二级
陕西省,西安市,2013-01-25,41.0,71.29,27.55,32.13,1.7,47.81,3.35,-0.14,276.3,23.37,90990.94,61,二级
陕西省,西安市,2013-01-26,58.01,101.11,35.21,37.29,1.92,43.07,3.35,-0.89,276.55,23.33,91141.43,79,二级
陕西省,西安市,2013-01-27,85.42,127.98,50.1,57.0,2.13,45.71,0.39,0.77,277.57,25.0,91230.27,114,三级
陕西省,西安市,2013-01-28,130.78,168.47,65.21,50.24,2.6,44.98,1.07,1.35,278.7,40.82,90790.44,173,四级
陕西省,西安市,2013-01-29,185.78,210.63,68.22,48.34,2.84,48.33,-0.7,1.02,279.59,43.62,90771.09,236,五级
陕西省,西安市,2013-01-30,246.01,289.1,81.03,57.0,2.95,43.76,-0.75,2.7,279.48,56.54,90655.87,297,五级
陕西省,西安市,2013-01-31,190.17,241.04,47.26,48.14,2.87,39.05,1.86,1.17,279.6,60.65,90544.37,241,五级
陕西省,西安市,2013-02-01,257.61,312.91,55.02,59.64,3.28,34.22,-1.76,-0.18,279.42,46.82,90998.8,308,六级
陕西省,西安市,2013-02-02,209.87,265.0,53.87,58.37,3.55,38.52,-2.12,2.15,277.28,61.66,91170.69,260,五级
陕西省,西安市,2013-02-03,145.68,154.38,34.89,42.37,3.04,35.92,0.29,2.24,278.48,69.3,90317.58,194,四级
陕西省,西安市,2013-02-04,95.87,98.1,26.01,34.74,2.57,36.07,-2.51,1.07,277.58,61.46,90638.49,127,三级
陕西省,西安市,2013-02-05,78.13,91.94,37.85,33.5,2.39,40.56,1.13,-0.16,277.11,57.33,90861.64,104,三级
陕西省,西安市,2013-02-06,178.65,209.41,50.22,48.49,2.86,33.08,-1.97,-0.32,278.48,41.87,90748.58,229,五级
陕西省,西安市,2013-02-07,145.86,167.8,58.78,41.83,3.17,31.76,-3.78,-2.92,271.6,71.5,91278.66,195,四级
陕西省,西安市,2013-02-08,91.21,93.6,37.72,30.48,2.34,42.02,-0.29,-0.39,269.5,73.95,91570.91,121,三级
陕西省,西安市,2013-02-09,143.13,153.21,40.46,24.26,1.86,59.55,1.16,1.55,275.05,40.9,90946.4,191,四级
陕西省,西安市,2013-02-10,275.08,296.69,40.32,25.78,2.2,61.67,0.54,1.65,275.94,58.12,90618.29,326,六级
陕西省,西安市,2013-02-11,185.66,185.12,35.71,23.8,2.54,41.4,-0.76,-0.33,271.15,80.28,91208.15,236,五级
陕西省,西安市,2013-02-12,83.14,100.27,28.84,18.37,2.13,50.79,1.86,-0.19,272.27,39.85,91467.89,111,三级
陕西省,西安市,2013-02-13,71.28,89.96,50.24,27.11,1.99,53.92,-0.37,1.02,274.36,44.58,90812.35,96,二级
陕西省,西安市,2013-02-14,71.53,94.39,38.87,26.63,2.14,55.62,0.38,-1.55,273.97,46.13,90967.37,96,二级
陕西省,西安市,2013-02-15,45.27,72.46,27.81,21.33,2.14,54.93,-0.22,3.6,276.14,39.97,90929.63,63,二级
陕西省,西安市,2013-02-16,186.25,211.19,42.57,31.41,3.12,55.34,-0.78,3.29,279.28,54.02,90205.83,237,五级
陕西省,西安市,2013-02-17,154.96,192.56,51.12,38.87,2.15,48.64,-1.57,-2.17,276.68,52.42,90407.21,205,五级
陕西省,西安市,2013-02-18,82.53,112.59,27.9,35.36,1.43,37.85,-2.64,-3.02,271.12,73.87,90896.04,110,三级
陕西省,西安市,2013-02-19,65.17,80.4,25.95,27.22,1.04,39.68,-1.3,1.13,271.95,71.08,91122.99,88,二级
陕西省,西安市,2013-02-20,68.21,85.76,32.52,30.04,1.03,49.55,0.84,0.11,274.54,61.59,91202.26,92,二级
陕西省,西安市,2013-02-21,82.5,116.32,38.79,41.28,1.41,47.42,1.38,-0.03,274.45,64.26,91423.84,110,三级
