province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
青海省,玉树藏族自治州,2013-01-01,0.88,0.94,0.11,0.17,0.12,80.9,9.68,-0.47,255.43,35.15,56857.6,41,一级
青海省,玉树藏族自治州,2013-01-02,0.82,0.9,0.11,0.19,0.12,76.7,9.94,-0.32,262.38,45.59,56663.25,39,一级
青海省,玉树藏族自治州,2013-01-03,1.58,1.69,0.2,0.24,0.12,71.81,5.6,0.65,256.34,54.97,56505.17,36,一级
青海省,玉树藏族自治州,2013-01-04,0.92,0.99,0.11,0.17,0.12,75.04,10.69,-0.35,258.02,35.43,56466.61,38,一级
青海省,玉树藏族自治州,2013-01-05,0.87,0.98,0.12,0.18,0.12,70.08,5.82,0.55,258.36,44.46,56331.06,36,一级
青海省,玉树藏族自治州,2013-01-06,0.9,1.0,0.13,0.18,0.13,69.29,4.3,-1.38,256.16,50.86,56308.25,35,一级
青海省,玉树藏族自治州,2013-01-07,1.07,1.16,0.16,0.23,0.13,72.93,1.01,-0.15,254.57,47.54,56287.8,37,一级
青海省,玉树藏族自治州,2013-01-08,1.03,1.12,0.15,0.23,0.13,72.04,0.9,-1.23,253.25,51.08,56370.64,37,一级
青海省,玉树藏族自治州,2013-01-09,0.48,0.52,0.09,0.21,0.12,70.66,5.95,-1.07,254.98,32.15,56468.52,36,一级
青海省,玉树藏族自治州,2013-01-10,0.26,0.29,0.07,0.2,0.12,71.04,2.34,-2.61,253.73,33.68,56553.8,36,一级
青海省,玉树藏族自治州,2013-01-11,0.26,0.29,0.07,0.19,0.13,73.89,3.78,-0.94,253.47,38.94,56689.31,37,一级
青海省,玉树藏族自治州,2013-01-12,0.1,0.11,0.03,0.13,0.12,70.97,8.88,-3.3,257.28,33.68,56811.73,36,一级
青海省,玉树藏族自治州,2013-01-13,0.25,0.28,0.06,0.19,0.14,73.37,8.68,0.1,261.06,44.46,56577.64,37,一级
青海省,玉树藏族自治州,2013-01-14,0.47,0.53,0.09,0.22,0.13,69.69,4.94,-0.19,258.14,56.05,56576.64,35,一级
青海省,玉树藏族自治州,2013-01-15,0.37,0.42,0.07,0.19,0.12,68.62,7.76,-0.26,258.63,41.93,56779.37,35,一级
青海省,玉树藏族自治州,2013-01-16,0.4,0.46,0.06,0.17,0.12,66.72,8.56,-0.46,259.74,35.26,56986.3,34,一级
