province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,哈尔滨市,2013-01-01,123.76,144.44,25.63,30.11,1.38,26.59,2.93,1.42,242.86,71.08,98620.56,163,四级
黑龙江省,哈尔滨市,2013-01-02,96.19,114.08,21.93,25.62,1.15,28.5,4.88,3.36,240.94,69.81,99261.71,127,三级
黑龙江省,哈尔滨市,2013-01-03,61.37,74.1,22.18,19.0,0.95,33.69,5.79,2.34,245.81,73.13,99905.96,83,二级
黑龙江省,哈尔滨市,2013-01-04,60.81,79.08,24.02,25.86,0.99,31.13,4.37,5.54,250.78,72.54,99434.15,83,二级
黑龙江省,哈尔滨市,2013-01-05,48.32,58.18,20.57,22.73,0.93,30.62,6.63,1.74,250.37,74.71,99005.07,67,二级
黑龙江省,哈尔滨市,2013-01-06,86.54,98.39,16.89,21.99,1.01,31.02,4.16,1.65,246.28,73.15,99500.42,115,三级
黑龙江省,哈尔滨市,2013-01-07,137.92,165.37,17.9,28.38,1.46,32.61,1.86,0.02,245.06,71.93,99589.11,183,四级
黑龙江省,哈尔滨市,2013-01-08,110.31,139.91,26.47,34.57,1.2,32.08,3.78,1.3,241.96,70.94,99626.76,145,三级
黑龙江省,哈尔滨市,2013-01-09,127.51,148.02,25.51,29.72,1.16,29.42,3.55,1.91,241.54,70.39,99464.74,168,四级
黑龙江省,哈尔滨市,2013-01-10,110.36,133.21,23.05,32.73,1.16,26.36,3.75,2.47,242.15,70.78,99684.14,145,三级
黑龙江省,哈尔滨市,2013-01-11,97.24,123.69,24.41,40.3,1.17,27.26,0.9,0.7,246.09,72.45,99585.67,128,三级
黑龙江省,哈尔滨市,2013-01-12,94.94,119.9,24.68,37.67,1.18,28.97,2.51,-0.18,244.97,73.68,99314.15,125,三级
黑龙江省,哈尔滨市,2013-01-13,133.55,170.53,26.0,40.24,1.34,28.14,0.92,1.73,246.72,73.11,99592.47,177,四级
黑龙江省,哈尔滨市,2013-01-14,117.93,140.58,21.62,30.51,1.16,32.42,1.42,-1.73,248.06,76.0,99631.89,155,四级
黑龙江省,哈尔滨市,2013-01-15,153.22,182.88,20.17,32.18,1.31,32.86,1.66,0.58,244.83,72.28,99912.5,204,五级
黑龙江省,哈尔滨市,2013-01-16,172.66,206.37,23.36,34.91,1.53,36.81,2.58,-0.35,245.36,72.36,99934.85,223,五级
黑龙江省,哈尔滨市,2013-01-17,180.76,217.92,23.54,32.11,1.57,30.71,3.98,2.58,245.55,72.63,100140.9,231,五级
黑龙江省,哈尔滨市,2013-01-18,87.11,110.49,26.04,31.45,1.04,30.1,0.59,1.83,251.2,74.34,99681.56,116,三级
黑龙江省,哈尔滨市,2013-01-19,152.61,177.8,22.83,27.24,1.43,32.37,2.76,0.19,252.01,76.81,99842.72,203,五级
黑龙江省,哈尔滨市,2013-01-20,229.27,265.35,21.45,34.41,1.77,31.88,1.07,0.6,251.53,75.74,100431.98,280,五级
黑龙江省,哈尔滨市,2013-01-21,104.59,130.73,18.32,26.42,1.3,37.91,-0.4,-1.72,256.01,74.84,99904.71,137,三级
黑龙江省,哈尔滨市,2013-01-22,115.37,144.32,20.63,23.86,1.2,35.42,2.26,1.29,251.97,78.26,99725.78,151,四级
黑龙江省,哈尔滨市,2013-01-23,101.19,124.76,20.43,28.89,1.2,37.16,-0.96,0.97,254.19,72.49,98675.66,133,三级
黑龙江省,哈尔滨市,2013-01-24,78.15,108.49,18.66,23.66,1.08,30.56,5.6,1.64,248.8,75.88,97925.81,104,三级
黑龙江省,哈尔滨市,2013-01-25,24.05,33.16,11.05,12.78,0.57,45.15,7.2,-0.81,245.77,72.29,98283.79,35,一级
黑龙江省,哈尔滨市,2013-01-26,46.16,55.52,13.05,16.57,0.69,42.39,4.39,0.25,247.89,75.22,99229.33,64,二级
黑龙江省,哈尔滨市,2013-01-27,75.75,95.82,19.78,21.27,0.91,39.17,2.77,2.66,247.8,73.58,99491.71,101,三级
黑龙江省,哈尔滨市,2013-01-28,70.3,89.79,21.32,25.02,0.8,37.82,0.59,2.37,252.42,79.43,99215.03,95,二级
黑龙江省,哈尔滨市,2013-01-29,127.91,159.16,30.14,34.45,1.32,39.28,0.86,0.78,255.4,83.73,99480.04,169,四级
黑龙江省,哈尔滨市,2013-01-30,96.26,125.24,23.47,34.72,1.31,26.63,-3.82,1.48,259.89,79.95,99720.13,127,三级
黑龙江省,哈尔滨市,2013-01-31,108.49,142.59,26.85,36.38,1.18,23.84,-0.47,2.56,265.11,92.04,99520.6,142,三级
黑龙江省,哈尔滨市,2013-02-01,51.76,63.37,18.05,24.77,0.87,40.44,5.94,3.09,262.74,82.29,98829.39,71,二级
黑龙江省,哈尔滨市,2013-02-02,28.87,38.76,15.0,18.87,0.65,41.93,7.45,2.64,251.63,72.57,99359.3,42,一级
黑龙江省,哈尔滨市,2013-02-03,44.98,55.46,14.66,22.61,0.66,34.75,3.38,2.12,252.37,75.87,99327.37,63,二级
黑龙江省,哈尔滨市,2013-02-04,54.61,70.72,14.51,19.44,0.85,42.89,3.5,-0.32,250.75,71.61,99150.92,75,二级
黑龙江省,哈尔滨市,2013-02-05,60.06,72.94,17.05,25.39,0.74,46.07,1.18,3.07,252.99,78.85,99339.14,82,二级
黑龙江省,哈尔滨市,2013-02-06,93.18,115.37,19.39,25.38,1.11,46.61,1.48,0.8,247.78,77.11,98928.52,123,三级
黑龙江省,哈尔滨市,2013-02-07,65.82,80.9,16.49,20.23,0.85,34.28,4.15,-1.02,244.5,72.81,99345.73,89,二级
黑龙江省,哈尔滨市,2013-02-08,51.67,63.66,14.9,15.58,0.75,43.22,5.03,1.78,245.91,73.14,99936.43,71,二级
黑龙江省,哈尔滨市,2013-02-09,66.27,88.39,22.2,20.14,0.81,45.14,1.7,2.41,247.55,74.96,99535.54,90,二级
黑龙江省,哈尔滨市,2013-02-10,152.39,179.96,26.06,24.07,1.2,45.93,3.08,0.86,246.97,76.3,99521.56,203,五级
黑龙江省,哈尔滨市,2013-02-11,64.86,84.87,22.31,17.26,0.79,47.94,3.2,4.34,249.17,75.49,99936.78,88,二级
黑龙江省,哈尔滨市,2013-02-12,55.78,74.58,23.95,20.35,0.74,60.66,0.87,4.03,254.61,80.96,99251.94,76,二级
黑龙江省,哈尔滨市,2013-02-13,63.41,82.73,22.94,27.23,0.84,42.61,3.98,5.18,257.24,81.82,98747.37,86,二级
黑龙江省,哈尔滨市,2013-02-14,47.27,59.29,15.98,21.81,0.75,36.6,5.1,2.91,254.1,81.26,99135.56,66,二级
黑龙江省,哈尔滨市,2013-02-15,53.24,65.07,14.57,18.65,0.76,39.93,3.69,1.37,250.86,78.57,99352.59,73,二级
黑龙江省,哈尔滨市,2013-02-16,50.14,66.98,21.18,22.11,0.72,39.57,0.46,3.14,252.03,73.83,99505.38,69,二级
黑龙江省,哈尔滨市,2013-02-17,44.4,58.84,16.02,20.93,0.62,45.21,-0.33,2.23,259.0,83.62,98385.96,62,二级
黑龙江省,哈尔滨市,2013-02-18,38.94,47.53,20.44,17.88,0.66,39.1,7.34,1.89,253.44,78.06,98894.01,55,二级
黑龙江省,哈尔滨市,2013-02-19,36.19,46.55,23.13,17.41,0.69,39.42,6.29,2.65,250.96,75.7,99062.67,52,二级
黑龙江省,哈尔滨市,2013-02-20,34.19,44.77,20.2,17.36,0.62,42.22,6.35,2.49,250.72,76.36,99383.81,49,一级
黑龙江省,哈尔滨市,2013-02-21,55.37,69.34,26.51,23.19,0.75,40.36,4.61,4.09,251.13,75.0,99364.4,76,二级
黑龙江省,哈尔滨市,2013-02-22,50.02,67.05,22.5,23.15,0.84,37.49,4.63,2.68,252.07,79.35,99076.21,69,二级
黑龙江省,哈尔滨市,2013-02-23,26.87,40.04,18.85,16.98,0.57,40.86,6.45,0.38,254.16,79.47,99133.36,41,一级
黑龙江省,哈尔滨市,2013-02-24,50.35,65.38,19.75,16.13,0.66,43.29,4.49,0.13,252.45,77.04,100113.59,70,二级
黑龙江省,哈尔滨市,2013-02-25,84.17,97.01,22.58,26.54,0.85,45.45,2.81,2.74,253.55,74.58,100134.09,112,三级
黑龙江省,哈尔滨市,2013-02-26,51.15,69.24,20.06,28.35,0.83,43.2,-1.95,-0.18,259.17,70.55,98860.77,71,二级
黑龙江省,哈尔滨市,2013-02-27,59.17,76.22,20.57,26.57,0.79,50.24,3.18,2.35,259.66,82.66,98270.22,81,二级
黑龙江省,哈尔滨市,2013-02-28,31.56,43.09,12.41,20.91,0.58,44.99,-1.8,1.54,261.72,77.36,98055.63,46,一级
黑龙江省,哈尔滨市,2013-03-01,39.51,44.79,11.92,15.95,0.61,46.13,0.98,-5.23,262.42,83.99,98099.14,56,二级
黑龙江省,哈尔滨市,2013-03-02,33.23,41.62,15.54,16.35,0.59,47.69,5.5,-0.96,258.42,83.25,99516.61,48,一级
黑龙江省,哈尔滨市,2013-03-03,54.56,67.11,18.43,27.12,0.72,47.05,0.58,1.89,257.58,75.99,99082.41,75,二级
黑龙江省,哈尔滨市,2013-03-04,92.93,115.67,24.37,38.66,1.03,58.53,2.99,2.32,258.59,80.88,98774.21,123,三级
黑龙江省,哈尔滨市,2013-03-05,66.1,83.66,23.85,40.71,0.75,51.77,3.32,3.52,265.55,85.75,98255.96,89,二级
黑龙江省,哈尔滨市,2013-03-06,68.29,87.57,19.94,38.85,0.77,56.99,2.77,3.4,265.41,85.46,98556.66,92,二级
黑龙江省,哈尔滨市,2013-03-07,19.42,28.41,12.64,20.35,0.55,64.86,9.82,0.23,264.86,67.33,97905.16,33,一级
黑龙江省,哈尔滨市,2013-03-08,17.04,26.09,10.45,15.24,0.54,59.26,6.28,-1.34,257.45,70.14,98132.2,30,一级
黑龙江省,哈尔滨市,2013-03-09,16.79,33.58,7.71,13.95,0.42,55.88,-2.1,-2.88,256.05,77.53,98050.05,34,一级
黑龙江省,哈尔滨市,2013-03-10,22.27,29.88,11.37,12.08,0.43,56.04,7.68,-2.06,253.57,72.33,98969.91,32,一级
