province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,牡丹江市,2013-01-01,33.45,37.32,13.59,17.26,0.42,27.91,3.88,0.93,249.62,69.48,94945.85,48,一级
黑龙江省,牡丹江市,2013-01-02,36.78,39.91,12.63,15.94,0.43,31.26,7.38,0.72,245.42,64.39,95459.19,53,二级
黑龙江省,牡丹江市,2013-01-03,18.65,20.18,7.27,10.15,0.33,40.78,9.77,-0.82,248.01,61.64,96077.26,27,一级
黑龙江省,牡丹江市,2013-01-04,21.44,23.19,8.72,11.86,0.34,38.11,7.0,2.66,253.47,63.33,95909.96,31,一级
黑龙江省,牡丹江市,2013-01-05,29.09,31.1,10.82,13.57,0.37,37.13,8.89,1.63,253.59,63.75,95311.05,42,一级
黑龙江省,牡丹江市,2013-01-06,27.41,30.0,9.6,12.95,0.36,33.1,6.96,-0.35,250.19,65.52,95782.98,40,一级
黑龙江省,牡丹江市,2013-01-07,38.01,42.58,11.39,14.92,0.44,34.41,3.71,-0.38,249.93,67.64,95871.28,54,二级
黑龙江省,牡丹江市,2013-01-08,45.94,50.85,12.81,15.08,0.47,36.14,4.92,-0.14,248.02,69.12,95847.07,64,二级
黑龙江省,牡丹江市,2013-01-09,40.63,44.48,13.06,16.36,0.45,32.92,6.05,-0.0,245.99,64.99,95679.79,58,二级
黑龙江省,牡丹江市,2013-01-10,37.26,40.79,12.8,15.77,0.43,31.99,6.66,0.09,246.75,65.82,95889.24,53,二级
黑龙江省,牡丹江市,2013-01-11,40.33,44.94,14.05,17.05,0.44,32.17,3.05,1.52,250.85,70.62,95979.02,57,二级
黑龙江省,牡丹江市,2013-01-12,51.83,57.18,15.55,16.65,0.5,30.92,3.59,-0.69,252.56,77.0,95537.52,72,二级
黑龙江省,牡丹江市,2013-01-13,50.87,55.91,13.87,14.88,0.47,36.3,3.08,1.27,251.77,72.37,95999.39,70,二级
