province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,黑河市,2013-01-01,4.17,4.74,1.7,2.88,0.25,52.05,3.27,-3.07,242.35,71.82,96764.07,27,一级
黑龙江省,黑河市,2013-01-02,2.33,2.71,1.28,2.49,0.24,52.53,4.18,-4.61,243.4,69.17,97362.81,27,一级
黑龙江省,黑河市,2013-01-03,2.42,2.81,1.41,2.45,0.24,50.06,5.41,-3.72,246.51,69.96,97981.77,26,一级
黑龙江省,黑河市,2013-01-04,13.74,15.4,4.61,6.2,0.3,39.1,4.23,2.73,246.98,73.18,97339.25,20,一级
黑龙江省,黑河市,2013-01-05,5.49,6.13,2.4,3.43,0.24,43.87,5.14,-4.31,245.85,68.83,97161.63,22,一级
黑龙江省,黑河市,2013-01-06,2.74,3.19,1.41,2.64,0.26,50.7,4.53,-3.18,242.7,68.41,97712.44,26,一级
黑龙江省,黑河市,2013-01-07,2.87,3.38,1.53,2.96,0.26,47.74,2.88,-2.96,240.29,68.78,97936.11,24,一级
黑龙江省,黑河市,2013-01-08,3.24,3.81,1.78,3.14,0.26,46.34,3.24,-2.43,239.46,69.03,97825.01,24,一级
黑龙江省,黑河市,2013-01-09,3.96,4.62,2.04,3.38,0.26,46.94,3.27,-2.21,239.46,69.58,97639.29,24,一级
黑龙江省,黑河市,2013-01-10,4.63,5.36,2.11,3.51,0.27,47.59,3.81,-1.33,240.89,69.95,97786.41,24,一级
黑龙江省,黑河市,2013-01-11,11.2,12.62,3.77,4.67,0.31,47.18,2.62,-0.29,240.97,69.79,97844.19,24,一级
黑龙江省,黑河市,2013-01-12,5.74,6.57,2.8,3.7,0.27,47.4,2.28,-1.85,241.54,70.39,97610.1,24,一级
黑龙江省,黑河市,2013-01-13,12.95,14.51,4.98,5.09,0.31,47.41,2.15,0.42,241.91,70.5,97820.02,24,一级
黑龙江省,黑河市,2013-01-14,6.68,7.57,3.34,3.87,0.27,45.73,1.4,-3.0,242.26,71.06,98172.17,23,一级
黑龙江省,黑河市,2013-01-15,4.72,5.41,2.76,3.52,0.26,48.3,1.94,-2.07,243.22,70.97,98249.53,25,一级
黑龙江省,黑河市,2013-01-16,5.09,5.81,3.05,3.51,0.25,48.5,3.15,-2.44,244.9,71.05,98272.86,25,一级
黑龙江省,黑河市,2013-01-17,6.77,7.57,3.69,3.76,0.25,43.06,3.6,-1.01,247.88,72.33,98279.39,22,一级
黑龙江省,黑河市,2013-01-18,13.56,15.16,4.91,5.31,0.29,39.1,0.07,-0.93,247.19,74.86,98147.7,20,一级
黑龙江省,黑河市,2013-01-19,7.3,8.26,3.33,4.25,0.25,39.37,1.42,-2.65,247.43,75.06,98279.39,20,一级
黑龙江省,黑河市,2013-01-20,8.93,9.95,3.53,4.27,0.25,41.05,1.53,-0.56,249.28,76.89,98766.11,21,一级
黑龙江省,黑河市,2013-01-21,11.94,13.27,4.33,4.84,0.27,43.6,0.4,-1.51,249.11,77.29,98507.75,22,一级
黑龙江省,黑河市,2013-01-22,15.27,16.96,5.43,5.79,0.29,40.17,2.59,1.6,249.2,75.5,97946.85,22,一级
黑龙江省,黑河市,2013-01-23,19.92,22.05,5.8,6.18,0.29,33.64,-0.49,-2.06,246.59,75.24,97272.53,29,一级
黑龙江省,黑河市,2013-01-24,2.53,2.77,1.89,1.99,0.22,47.39,0.78,-7.37,244.92,72.32,96532.41,24,一级
黑龙江省,黑河市,2013-01-25,1.05,1.18,1.0,1.43,0.23,61.77,3.1,-8.22,245.9,67.54,96915.84,31,一级
黑龙江省,黑河市,2013-01-26,2.11,2.47,1.44,2.37,0.24,53.34,2.3,-5.16,246.62,68.95,97763.35,27,一级
黑龙江省,黑河市,2013-01-27,9.93,11.27,4.45,5.0,0.29,47.28,1.96,0.33,244.75,72.35,97679.33,24,一级
黑龙江省,黑河市,2013-01-28,43.79,48.61,10.56,10.63,0.46,35.69,0.38,2.08,246.26,75.23,97529.9,61,二级
黑龙江省,黑河市,2013-01-29,44.29,48.68,9.46,9.63,0.45,29.4,0.67,-1.84,247.54,75.34,97972.94,62,二级
黑龙江省,黑河市,2013-01-30,42.99,46.44,9.39,9.72,0.42,30.63,-2.14,2.8,252.88,79.18,98143.39,60,二级
黑龙江省,黑河市,2013-01-31,30.82,33.14,7.14,7.1,0.35,28.12,-1.17,-3.92,251.65,78.68,98169.38,45,一级
