province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,齐齐哈尔市,2013-01-01,18.35,20.72,6.57,7.05,0.36,45.21,3.31,-3.55,241.98,69.13,99195.0,27,一级
黑龙江省,齐齐哈尔市,2013-01-02,11.58,13.22,4.11,5.09,0.31,49.29,4.32,-5.23,247.41,63.04,99847.64,25,一级
黑龙江省,齐齐哈尔市,2013-01-03,11.26,12.79,4.59,5.14,0.3,45.68,5.09,-3.49,251.59,62.02,100471.51,23,一级
黑龙江省,齐齐哈尔市,2013-01-04,22.42,25.85,8.61,9.54,0.37,42.63,3.3,0.92,251.56,66.26,99692.93,33,一级
黑龙江省,齐齐哈尔市,2013-01-05,11.08,12.56,5.2,5.25,0.27,42.78,5.67,-4.32,252.27,60.18,99632.55,22,一级
黑龙江省,齐齐哈尔市,2013-01-06,20.08,22.59,8.04,8.21,0.35,39.71,2.16,-2.49,246.68,67.92,100110.03,29,一级
黑龙江省,齐齐哈尔市,2013-01-07,25.7,28.86,8.12,9.09,0.41,40.28,0.88,-3.43,241.89,69.03,100303.78,37,一级
黑龙江省,齐齐哈尔市,2013-01-08,21.14,23.76,8.76,8.41,0.37,41.65,2.27,-2.56,242.24,65.52,100247.37,31,一级
黑龙江省,齐齐哈尔市,2013-01-09,23.52,26.37,8.91,8.49,0.39,39.92,2.18,-1.95,241.89,67.72,100048.9,34,一级
黑龙江省,齐齐哈尔市,2013-01-10,22.34,25.06,8.73,8.59,0.39,41.83,2.41,-1.33,243.28,67.03,100217.77,32,一级
黑龙江省,齐齐哈尔市,2013-01-11,31.24,35.55,12.81,11.79,0.44,39.41,0.81,-1.51,241.77,68.69,100175.33,45,一级
黑龙江省,齐齐哈尔市,2013-01-12,27.14,30.75,10.44,10.15,0.41,39.69,1.42,-2.15,241.69,69.5,99982.39,39,一级
黑龙江省,齐齐哈尔市,2013-01-13,43.42,49.11,16.03,14.36,0.5,35.88,-0.04,-0.91,242.1,69.56,100095.7,61,二级
黑龙江省,齐齐哈尔市,2013-01-14,31.3,34.8,10.24,10.49,0.42,37.34,0.6,-3.9,243.61,70.47,100484.76,45,一级
黑龙江省,齐齐哈尔市,2013-01-15,34.25,38.43,10.91,10.8,0.44,39.02,0.22,-2.23,243.07,71.45,100544.22,49,一级
黑龙江省,齐齐哈尔市,2013-01-16,29.65,32.79,9.96,9.33,0.41,42.11,1.78,-3.13,245.7,69.29,100649.79,43,一级
黑龙江省,齐齐哈尔市,2013-01-17,24.7,27.62,9.14,9.02,0.36,38.13,2.36,-0.16,250.72,70.59,100630.43,36,一级
黑龙江省,齐齐哈尔市,2013-01-18,46.64,52.97,12.73,14.44,0.51,29.17,-1.48,-2.28,247.27,75.4,100266.24,65,二级
黑龙江省,齐齐哈尔市,2013-01-19,28.07,31.18,9.4,9.52,0.38,33.43,1.34,-3.39,248.7,73.58,100577.44,41,一级
黑龙江省,齐齐哈尔市,2013-01-20,40.05,44.54,12.4,11.52,0.46,35.08,-0.03,-1.23,247.96,75.64,101010.94,57,二级
黑龙江省,齐齐哈尔市,2013-01-21,45.71,50.96,13.15,12.24,0.49,33.93,0.74,-3.68,249.36,75.51,100727.9,64,二级
黑龙江省,齐齐哈尔市,2013-01-22,37.64,42.33,12.72,12.78,0.43,35.02,0.27,-0.01,249.55,75.74,100226.89,54,二级
黑龙江省,齐齐哈尔市,2013-01-23,53.79,60.7,13.53,16.06,0.54,26.13,-1.06,-3.72,247.49,76.19,99324.21,74,二级
黑龙江省,齐齐哈尔市,2013-01-24,7.83,8.78,3.54,4.05,0.26,46.5,3.93,-9.09,247.62,68.34,98845.63,24,一级
黑龙江省,齐齐哈尔市,2013-01-25,5.7,6.49,2.82,3.31,0.27,59.4,4.06,-8.58,249.16,60.23,99317.23,30,一级
黑龙江省,齐齐哈尔市,2013-01-26,12.25,13.93,5.25,5.96,0.32,49.82,2.35,-5.68,249.32,63.29,100088.67,25,一级
黑龙江省,齐齐哈尔市,2013-01-27,33.53,38.14,12.04,12.18,0.44,39.75,0.15,0.22,246.6,72.5,99940.95,48,一级
黑龙江省,齐齐哈尔市,2013-01-28,70.93,80.44,18.67,20.9,0.66,26.07,-1.15,0.67,247.79,76.34,99683.27,95,二级
黑龙江省,齐齐哈尔市,2013-01-29,54.47,61.4,14.28,16.15,0.54,23.14,-1.07,-3.04,250.71,75.66,100087.75,75,二级
黑龙江省,齐齐哈尔市,2013-01-30,86.45,96.43,15.4,18.91,0.73,21.17,-1.89,-1.15,251.24,80.0,100153.56,115,三级
黑龙江省,齐齐哈尔市,2013-01-31,56.83,63.06,10.79,12.68,0.53,22.51,-1.17,-5.83,253.66,80.32,100095.4,78,二级
黑龙江省,齐齐哈尔市,2013-02-01,21.14,23.52,5.55,5.98,0.34,41.83,4.93,-6.06,254.59,67.46,99485.11,31,一级
黑龙江省,齐齐哈尔市,2013-02-02,9.0,10.28,4.44,4.61,0.27,50.64,6.61,-2.79,252.6,55.03,99879.65,26,一级
