province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,长宁区,2016-01,74.63,101.94,31.36,64.12,1.2,32.15,110,三级
上海市,长宁区,2016-02,56.99,88.35,22.18,48.18,0.95,51.25,83,二级
上海市,长宁区,2016-03,57.15,91.38,21.5,56.83,0.86,60.85,86,二级
上海市,长宁区,2016-04,56.13,85.13,18.86,58.56,0.93,72.79,88,二级
上海市,长宁区,2016-05,51.79,81.72,15.57,47.85,0.91,77.85,81,二级
上海市,长宁区,2016-06,41.92,60.27,15.21,43.66,0.89,63.67,65,二级
上海市,长宁区,2016-07,40.18,63.95,14.32,36.09,0.93,68.69,62,二级
上海市,长宁区,2016-08,22.02,44.32,15.81,30.19,0.83,57.54,46,一级
上海市,长宁区,2016-09,35.56,56.02,19.14,43.92,0.91,66.16,61,二级
上海市,长宁区,2016-10,25.89,47.65,16.25,41.14,0.83,51.0,56,二级
上海市,长宁区,2016-11,47.56,75.28,19.65,64.85,1.04,34.4,85,二级
上海市,长宁区,2016-12,64.95,93.36,23.16,69.59,1.2,28.83,104,三级
上海市,崇明区,2016-01,62.46,82.53,20.42,32.32,0.8,50.84,88,二级
上海市,崇明区,2016-02,49.94,70.01,16.29,26.09,0.66,63.75,70,二级
上海市,崇明区,2016-03,42.76,59.49,13.17,26.6,0.5,78.04,66,二级
上海市,崇明区,2016-04,48.07,64.91,11.15,24.46,0.5,94.02,70,二级
上海市,崇明区,2016-05,38.73,55.01,10.18,21.36,0.46,98.21,64,二级
上海市,崇明区,2016-06,32.97,45.15,10.65,21.59,0.46,84.58,55,二级
上海市,崇明区,2016-07,33.11,49.36,11.72,22.13,0.53,85.53,56,二级
上海市,崇明区,2016-08,13.71,21.21,5.88,7.97,0.26,72.26,38,一级
上海市,崇明区,2016-09,29.1,38.81,8.5,12.33,0.41,95.37,54,二级
上海市,崇明区,2016-10,16.53,24.9,6.23,10.01,0.34,75.46,42,一级
上海市,崇明区,2016-11,37.67,53.39,12.44,27.41,0.57,58.12,60,二级
上海市,崇明区,2016-12,46.4,62.83,13.22,30.69,0.65,51.3,68,二级
上海市,奉贤区,2016-01,68.02,88.28,21.88,49.66,0.95,40.9,98,二级
上海市,奉贤区,2016-02,51.27,70.31,15.65,33.47,0.74,64.42,73,二级
上海市,奉贤区,2016-03,42.12,59.72,10.82,31.83,0.52,80.42,64,二级
上海市,奉贤区,2016-04,45.09,59.86,8.66,27.39,0.54,90.93,68,二级
上海市,奉贤区,2016-05,40.55,55.03,7.24,24.71,0.51,94.17,65,二级
上海市,奉贤区,2016-06,29.98,39.26,6.3,21.57,0.44,80.6,50,一级
上海市,奉贤区,2016-07,27.48,39.31,6.33,17.21,0.41,86.06,50,一级
上海市,奉贤区,2016-08,14.49,24.31,5.19,12.88,0.35,67.51,36,一级
上海市,奉贤区,2016-09,28.57,38.71,8.82,20.78,0.46,83.82,49,一级
上海市,奉贤区,2016-10,18.28,29.77,7.48,21.33,0.45,65.66,41,一级
上海市,奉贤区,2016-11,40.81,58.9,12.46,45.0,0.73,48.48,66,二级
上海市,奉贤区,2016-12,53.63,70.57,14.69,54.48,0.88,37.39,84,二级
上海市,闵行区,2016-01,75.3,98.64,27.18,60.09,1.14,35.58,110,三级
上海市,闵行区,2016-02,55.46,80.5,18.73,42.97,0.87,59.24,79,二级
上海市,闵行区,2016-03,50.82,77.0,15.04,47.96,0.69,73.54,77,二级
上海市,闵行区,2016-04,51.22,72.0,12.24,46.26,0.73,83.9,77,二级
上海市,闵行区,2016-05,47.86,69.38,10.16,39.79,0.73,87.97,76,二级
上海市,闵行区,2016-06,36.52,49.7,8.24,35.3,0.69,72.43,57,二级
上海市,闵行区,2016-07,34.22,50.59,8.23,28.03,0.68,80.76,56,二级
上海市,闵行区,2016-08,18.85,35.4,9.24,23.71,0.63,62.06,38,一级
上海市,闵行区,2016-09,32.67,47.51,12.95,36.11,0.71,75.57,55,二级
上海市,闵行区,2016-10,22.95,40.4,11.46,36.52,0.67,56.16,49,一级
上海市,闵行区,2016-11,45.65,69.33,15.13,60.5,0.94,38.99,81,二级
上海市,闵行区,2016-12,61.89,85.98,18.26,67.95,1.14,30.31,101,三级
上海市,嘉定区,2016-01,67.91,96.85,27.06,56.5,1.06,38.51,99,二级
上海市,嘉定区,2016-02,54.44,85.65,20.84,43.83,0.89,53.33,80,二级
上海市,嘉定区,2016-03,54.85,87.02,21.39,52.14,0.81,60.5,82,二级
上海市,嘉定区,2016-04,54.07,84.59,20.34,56.67,0.9,72.71,85,二级
上海市,嘉定区,2016-05,48.31,78.59,17.13,43.68,0.83,80.79,75,二级
上海市,嘉定区,2016-06,38.48,56.63,18.08,40.34,0.8,65.56,60,二级
上海市,嘉定区,2016-07,38.6,62.44,16.92,35.66,0.86,65.16,60,二级
上海市,嘉定区,2016-08,21.86,42.33,17.56,27.95,0.71,60.27,46,一级
上海市,嘉定区,2016-09,34.49,53.64,18.27,38.55,0.78,70.66,57,二级
上海市,嘉定区,2016-10,23.3,40.96,14.72,35.12,0.68,54.58,50,一级
上海市,嘉定区,2016-11,45.26,71.0,19.14,55.46,0.88,38.63,77,二级
