province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
云南省,临沧市,2016-01,29.7,35.49,6.48,8.22,0.82,56.56,43,一级
云南省,临沧市,2016-02,37.89,44.33,7.54,6.62,0.81,69.04,54,二级
云南省,临沧市,2016-03,47.94,64.71,7.11,10.32,0.81,88.4,67,二级
云南省,临沧市,2016-04,29.57,44.44,4.96,6.94,0.57,59.96,45,一级
云南省,临沧市,2016-05,22.84,29.62,5.14,3.45,0.48,58.3,35,一级
云南省,临沧市,2016-06,14.31,16.7,2.79,2.74,0.5,43.41,24,一级
云南省,临沧市,2016-07,10.73,13.18,2.69,2.58,0.52,35.25,20,一级
云南省,临沧市,2016-08,23.58,29.17,7.76,3.3,0.5,50.14,35,一级
云南省,临沧市,2016-09,27.1,32.92,7.96,3.31,0.6,44.58,40,一级
云南省,临沧市,2016-10,24.9,34.06,10.26,3.34,0.53,46.54,37,一级
云南省,临沧市,2016-11,20.29,26.78,7.96,5.66,0.49,52.73,33,一级
云南省,临沧市,2016-12,23.09,32.67,10.63,7.97,0.63,49.98,35,一级
云南省,昭通市,2016-01,56.46,75.46,17.19,12.79,0.93,49.08,78,二级
云南省,昭通市,2016-02,48.65,65.47,14.36,9.51,0.79,62.71,68,二级
云南省,昭通市,2016-03,45.23,64.77,15.45,10.04,0.67,68.96,64,二级
云南省,昭通市,2016-04,31.19,48.24,11.34,8.04,0.56,70.97,50,一级
云南省,昭通市,2016-05,31.1,48.07,9.89,6.69,0.53,82.18,50,一级
云南省,昭通市,2016-06,24.32,37.05,8.36,6.03,0.47,76.24,43,一级
云南省,昭通市,2016-07,22.62,32.41,8.07,6.69,0.43,66.44,37,一级
云南省,昭通市,2016-08,29.4,46.39,12.12,6.78,0.62,74.28,46,一级
云南省,昭通市,2016-09,33.11,51.22,15.45,9.74,0.67,64.89,51,二级
云南省,昭通市,2016-10,33.07,51.28,14.02,10.93,0.68,53.49,51,二级
云南省,昭通市,2016-11,45.93,65.08,14.71,14.01,0.75,49.17,65,二级
云南省,昭通市,2016-12,55.09,77.61,17.15,17.19,0.91,43.92,76,二级
云南省,怒江傈僳族自治州,2016-01,15.28,21.86,2.7,2.18,0.34,67.3,35,一级
云南省,怒江傈僳族自治州,2016-02,22.11,27.92,3.71,1.83,0.34,67.86,38,一级
云南省,怒江傈僳族自治州,2016-03,22.31,31.72,3.39,1.58,0.42,79.51,43,一级
云南省,怒江傈僳族自治州,2016-04,17.23,23.34,2.92,1.14,0.29,76.98,40,一级
云南省,怒江傈僳族自治州,2016-05,20.16,26.31,4.11,1.44,0.3,69.35,36,一级
云南省,怒江傈僳族自治州,2016-06,15.24,18.98,2.16,1.56,0.2,49.89,26,一级
云南省,怒江傈僳族自治州,2016-07,11.06,13.3,1.56,1.62,0.17,37.46,20,一级
云南省,怒江傈僳族自治州,2016-08,24.3,32.12,6.2,2.35,0.31,55.47,37,一级
云南省,怒江傈僳族自治州,2016-09,22.49,26.7,4.69,1.75,0.25,48.17,34,一级
云南省,怒江傈僳族自治州,2016-10,18.74,23.29,4.68,1.87,0.31,56.79,33,一级
云南省,怒江傈僳族自治州,2016-11,10.06,12.82,2.4,2.2,0.29,60.79,32,一级
云南省,怒江傈僳族自治州,2016-12,10.04,13.63,3.12,2.84,0.42,63.38,33,一级
云南省,迪庆藏族自治州,2016-01,9.51,11.8,1.97,3.06,0.32,67.28,35,一级
云南省,迪庆藏族自治州,2016-02,13.66,16.82,2.57,1.99,0.31,69.05,36,一级
云南省,迪庆藏族自治州,2016-03,14.69,20.69,2.58,3.08,0.43,76.53,39,一级
云南省,迪庆藏族自治州,2016-04,14.33,19.59,2.67,2.65,0.43,76.67,39,一级
云南省,迪庆藏族自治州,2016-05,16.7,20.92,3.26,4.01,0.47,65.82,34,一级
云南省,迪庆藏族自治州,2016-06,15.4,18.35,2.42,3.44,0.29,46.18,26,一级
云南省,迪庆藏族自治州,2016-07,11.13,13.11,1.61,2.29,0.19,33.37,19,一级
云南省,迪庆藏族自治州,2016-08,21.68,28.41,5.1,4.24,0.35,51.52,34,一级
云南省,迪庆藏族自治州,2016-09,20.99,25.1,4.4,3.34,0.33,42.96,31,一级
云南省,迪庆藏族自治州,2016-10,14.95,18.78,3.4,4.3,0.49,55.87,31,一级
云南省,迪庆藏族自治州,2016-11,6.71,12.99,2.02,4.04,0.53,59.86,31,一级
云南省,迪庆藏族自治州,2016-12,6.04,10.89,2.2,4.45,0.47,64.81,33,一级
云南省,文山壮族苗族自治州,2016-01,36.56,50.62,12.37,6.31,0.58,54.21,53,二级
云南省,文山壮族苗族自治州,2016-02,39.48,53.64,12.46,7.12,0.69,62.3,58,二级
云南省,文山壮族苗族自治州,2016-03,44.86,62.46,9.78,5.84,0.59,83.65,64,二级
云南省,文山壮族苗族自治州,2016-04,37.72,51.48,7.36,5.24,0.45,88.74,55,二级
云南省,文山壮族苗族自治州,2016-05,30.39,42.23,8.25,4.0,0.36,80.74,46,一级
云南省,文山壮族苗族自治州,2016-06,19.98,26.78,6.76,4.02,0.29,60.06,33,一级
云南省,文山壮族苗族自治州,2016-07,14.5,19.71,4.96,4.33,0.26,50.18,26,一级
云南省,文山壮族苗族自治州,2016-08,27.71,40.11,10.59,5.03,0.37,61.24,42,一级
云南省,文山壮族苗族自治州,2016-09,37.68,51.76,13.59,6.03,0.42,69.69,55,二级
云南省,文山壮族苗族自治州,2016-10,32.5,46.18,13.99,5.95,0.45,60.7,48,一级
云南省,文山壮族苗族自治州,2016-11,28.61,42.69,13.34,6.33,0.52,52.26,44,一级
云南省,文山壮族苗族自治州,2016-12,41.72,58.42,16.51,8.02,0.66,56.73,60,二级
云南省,西双版纳傣族自治州,2016-01,26.04,42.3,6.37,9.93,0.7,37.74,42,一级
云南省,西双版纳傣族自治州,2016-02,34.19,55.49,7.7,11.1,0.64,46.49,53,二级
云南省,西双版纳傣族自治州,2016-03,55.36,98.7,6.86,26.5,0.94,58.57,79,二级
云南省,西双版纳傣族自治州,2016-04,52.87,103.85,4.57,23.69,1.03,64.36,80,二级
云南省,西双版纳傣族自治州,2016-05,17.74,34.69,3.98,6.62,0.44,49.28,36,一级
云南省,西双版纳傣族自治州,2016-06,9.63,14.64,4.34,2.88,0.26,32.9,19,一级
云南省,西双版纳傣族自治州,2016-07,8.4,11.61,2.52,2.75,0.28,26.96,15,一级
云南省,西双版纳傣族自治州,2016-08,13.34,22.16,4.99,3.57,0.37,37.09,25,一级
云南省,西双版纳傣族自治州,2016-09,20.66,31.57,7.05,4.46,0.36,36.79,34,一级
云南省,西双版纳傣族自治州,2016-10,25.12,34.77,8.36,4.65,0.53,36.52,38,一级
云南省,西双版纳傣族自治州,2016-11,21.73,30.91,7.87,5.27,0.53,36.71,33,一级
云南省,西双版纳傣族自治州,2016-12,28.4,40.79,9.36,7.47,0.61,38.71,43,一级
云南省,丽江市,2016-01,17.02,26.15,5.18,5.76,0.62,63.57,34,一级
