province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
台湾省,台北市,2014-01,22.71,28.74,11.17,15.98,0.3,63.47,45,一级
台湾省,台北市,2014-02,18.45,25.29,8.86,14.27,0.26,68.62,40,一级
台湾省,台北市,2014-03,22.16,28.62,11.17,16.58,0.25,75.67,44,一级
台湾省,台北市,2014-04,22.93,29.16,11.32,16.65,0.21,77.96,43,一级
台湾省,台北市,2014-05,24.41,29.85,12.49,19.04,0.17,67.84,42,一级
台湾省,台北市,2014-06,21.06,28.0,14.58,22.2,0.15,56.68,40,一级
台湾省,台北市,2014-07,12.12,17.82,11.0,17.57,0.11,40.45,27,一级
台湾省,台北市,2014-08,19.85,24.93,15.16,24.6,0.15,52.97,35,一级
台湾省,台北市,2014-09,18.64,23.76,12.62,19.7,0.15,62.13,36,一级
台湾省,台北市,2014-10,12.48,19.28,7.79,10.93,0.2,81.33,42,一级
台湾省,台北市,2014-11,18.64,24.95,10.14,15.35,0.25,68.71,42,一级
台湾省,台北市,2014-12,23.95,30.46,11.71,16.1,0.31,57.32,41,一级
台湾省,台南市,2014-01,27.16,34.0,10.17,29.48,0.32,45.09,46,一级
台湾省,台南市,2014-02,24.08,30.71,8.56,27.06,0.28,52.23,40,一级
台湾省,台南市,2014-03,30.74,37.68,9.75,28.24,0.29,63.5,46,一级
台湾省,台南市,2014-04,32.66,39.44,9.69,27.19,0.26,72.56,48,一级
台湾省,台南市,2014-05,22.92,27.28,8.52,26.2,0.19,54.65,40,一级
台湾省,台南市,2014-06,13.9,19.17,7.01,21.83,0.16,42.91,33,一级
台湾省,台南市,2014-07,13.46,18.28,7.66,22.55,0.15,42.22,32,一级
台湾省,台南市,2014-08,18.53,22.77,9.0,26.62,0.18,49.22,38,一级
台湾省,台南市,2014-09,24.03,29.57,10.17,29.33,0.2,57.22,42,一级
台湾省,台南市,2014-10,22.46,30.41,10.78,29.1,0.26,67.37,41,一级
台湾省,台南市,2014-11,24.14,31.96,11.34,31.59,0.3,49.8,44,一级
台湾省,台南市,2014-12,26.22,33.63,11.89,30.14,0.33,38.89,43,一级
台湾省,宜兰县,2014-01,22.48,26.68,7.05,10.08,0.28,65.38,45,一级
台湾省,宜兰县,2014-02,18.04,22.57,5.27,9.4,0.24,69.5,41,一级
台湾省,宜兰县,2014-03,20.08,24.47,5.25,8.28,0.23,77.38,42,一级
台湾省,宜兰县,2014-04,22.23,26.4,5.29,8.24,0.2,81.11,44,一级
台湾省,宜兰县,2014-05,20.73,23.7,4.07,7.46,0.16,73.12,39,一级
台湾省,宜兰县,2014-06,16.39,19.95,4.6,9.01,0.13,64.57,35,一级
台湾省,宜兰县,2014-07,7.77,10.49,3.13,7.41,0.1,45.6,24,一级
台湾省,宜兰县,2014-08,16.72,19.11,5.57,10.99,0.13,63.68,33,一级
台湾省,宜兰县,2014-09,16.65,19.21,5.04,9.08,0.14,71.84,37,一级
台湾省,宜兰县,2014-10,13.73,18.18,5.08,7.74,0.19,79.2,41,一级
台湾省,宜兰县,2014-11,17.62,21.56,5.75,9.18,0.23,70.63,41,一级
台湾省,宜兰县,2014-12,26.14,30.96,9.27,12.82,0.3,55.95,43,一级
台湾省,嘉义县,2014-01,23.77,28.9,8.56,25.38,0.28,48.65,39,一级
台湾省,嘉义县,2014-02,20.01,24.77,6.83,21.81,0.24,54.99,34,一级
台湾省,嘉义县,2014-03,27.92,33.17,7.95,22.51,0.25,62.03,42,一级
台湾省,嘉义县,2014-04,30.68,35.71,8.1,21.81,0.23,75.92,45,一级
台湾省,嘉义县,2014-05,20.47,23.47,6.6,20.71,0.18,54.04,35,一级
台湾省,嘉义县,2014-06,12.3,15.73,5.18,17.51,0.14,44.15,28,一级
台湾省,嘉义县,2014-07,10.5,13.61,5.48,17.99,0.14,40.02,26,一级
台湾省,嘉义县,2014-08,18.0,21.0,7.17,22.15,0.17,52.67,33,一级
台湾省,嘉义县,2014-09,20.91,24.72,7.67,22.72,0.18,61.63,36,一级
台湾省,嘉义县,2014-10,18.78,24.38,8.1,22.43,0.23,72.03,38,一级
台湾省,嘉义县,2014-11,19.64,25.04,8.88,25.21,0.26,54.08,37,一级
台湾省,嘉义县,2014-12,22.44,27.76,9.82,26.2,0.28,41.37,37,一级
台湾省,屏东县,2014-01,15.33,19.05,4.43,13.23,0.27,63.2,36,一级
台湾省,屏东县,2014-02,13.37,17.23,3.56,13.08,0.22,65.88,35,一级
台湾省,屏东县,2014-03,17.25,21.62,3.81,12.02,0.23,73.34,38,一级
台湾省,屏东县,2014-04,19.71,23.38,4.02,12.11,0.21,80.23,42,一级
台湾省,屏东县,2014-05,15.13,17.73,4.04,13.64,0.15,59.34,31,一级
台湾省,屏东县,2014-06,8.95,11.77,3.18,11.28,0.12,47.99,26,一级
台湾省,屏东县,2014-07,6.99,9.6,3.06,10.79,0.11,40.4,22,一级
台湾省,屏东县,2014-08,10.06,12.54,3.9,14.31,0.14,47.79,26,一级
台湾省,屏东县,2014-09,12.69,15.35,4.35,13.95,0.15,62.34,32,一级
台湾省,屏东县,2014-10,11.66,15.86,4.1,11.74,0.2,81.0,41,一级
台湾省,屏东县,2014-11,12.05,15.54,4.35,13.04,0.23,67.47,36,一级
台湾省,屏东县,2014-12,16.16,20.37,5.71,13.93,0.27,57.98,34,一级
台湾省,台中市,2014-01,20.22,24.3,7.36,18.16,0.27,55.53,36,一级
台湾省,台中市,2014-02,17.23,21.29,5.8,16.81,0.23,58.55,34,一级
台湾省,台中市,2014-03,24.12,28.51,7.17,18.31,0.24,65.08,38,一级
台湾省,台中市,2014-04,25.87,30.14,7.39,17.24,0.21,76.2,40,一级
台湾省,台中市,2014-05,19.95,22.5,5.9,17.26,0.17,56.98,33,一级
台湾省,台中市,2014-06,14.26,17.3,5.35,15.98,0.14,49.45,28,一级
台湾省,台中市,2014-07,10.16,12.61,5.0,14.59,0.13,40.81,23,一级
台湾省,台中市,2014-08,20.18,22.98,7.29,18.75,0.16,58.0,33,一级
台湾省,台中市,2014-09,20.22,23.4,7.66,18.1,0.16,64.24,35,一级
台湾省,台中市,2014-10,15.63,19.96,7.05,15.25,0.21,75.01,39,一级
台湾省,台中市,2014-11,17.2,21.46,7.84,18.3,0.24,58.76,35,一级
台湾省,台中市,2014-12,21.25,25.61,8.98,19.05,0.27,47.41,34,一级
台湾省,苗栗县,2014-01,22.63,27.66,8.8,17.94,0.29,56.43,40,一级
台湾省,苗栗县,2014-02,18.83,24.42,6.67,15.94,0.25,60.2,36,一级
台湾省,苗栗县,2014-03,23.43,28.57,7.85,17.33,0.25,67.52,38,一级
台湾省,苗栗县,2014-04,24.84,30.06,7.86,16.8,0.22,75.86,41,一级
台湾省,苗栗县,2014-05,20.0,23.24,6.64,17.34,0.18,59.52,35,一级
台湾省,苗栗县,2014-06,14.43,18.56,5.93,16.03,0.15,51.39,30,一级
台湾省,苗栗县,2014-07,9.71,12.75,5.52,14.98,0.13,42.56,24,一级
台湾省,苗栗县,2014-08,18.32,21.57,7.7,18.38,0.16,59.59,33,一级
台湾省,苗栗县,2014-09,18.44,22.2,8.09,18.03,0.16,64.12,34,一级
台湾省,苗栗县,2014-10,14.63,20.03,7.48,14.3,0.21,76.1,39,一级
台湾省,苗栗县,2014-11,17.55,22.99,8.61,17.32,0.25,60.93,37,一级
台湾省,苗栗县,2014-12,23.64,29.28,10.5,17.89,0.31,50.08,38,一级
台湾省,云林县,2014-01,27.29,34.7,10.34,24.3,0.32,53.59,45,一级
台湾省,云林县,2014-02,24.95,32.6,8.61,21.91,0.28,59.82,40,一级
台湾省,云林县,2014-03,31.81,39.07,9.91,23.79,0.28,69.91,48,一级
台湾省,云林县,2014-04,31.36,38.63,9.39,22.57,0.24,76.38,47,一级
台湾省,云林县,2014-05,24.01,28.69,8.4,24.24,0.19,58.31,41,一级
台湾省,云林县,2014-06,15.98,22.14,6.79,20.29,0.15,46.87,34,一级
台湾省,云林县,2014-07,13.43,18.4,7.35,20.59,0.14,44.56,30,一级
