province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
吉林省,长春市,2013-01,136.61,173.33,34.9,44.08,1.42,46.42,175,四级
吉林省,长春市,2013-02,55.4,72.65,22.11,22.64,0.9,58.18,77,二级
吉林省,长春市,2013-03,35.03,56.56,16.18,21.29,0.69,66.14,56,二级
吉林省,长春市,2013-04,30.78,60.5,8.05,18.71,0.63,66.17,56,二级
吉林省,长春市,2013-05,34.05,65.98,8.15,18.08,0.55,79.04,58,二级
吉林省,长春市,2013-06,32.93,52.95,7.26,17.71,0.45,82.55,53,二级
吉林省,长春市,2013-07,23.9,39.13,4.67,10.62,0.36,67.61,42,一级
吉林省,长春市,2013-08,31.07,50.83,5.51,10.13,0.46,68.3,49,一级
吉林省,长春市,2013-09,23.97,45.39,7.05,13.3,0.4,60.26,44,一级
吉林省,长春市,2013-10,87.25,111.61,14.62,30.71,0.92,45.65,115,三级
吉林省,长春市,2013-11,57.77,84.64,23.88,27.74,0.89,37.32,82,二级
吉林省,长春市,2013-12,89.11,115.1,36.41,40.3,1.12,31.52,120,三级
吉林省,延边朝鲜族自治州,2013-01,40.17,44.09,12.57,13.48,0.43,38.25,57,二级
吉林省,延边朝鲜族自治州,2013-02,26.65,29.16,9.61,10.82,0.35,47.0,39,一级
吉林省,延边朝鲜族自治州,2013-03,22.63,24.61,9.1,8.85,0.31,57.31,38,一级
吉林省,延边朝鲜族自治州,2013-04,14.59,16.05,5.45,4.88,0.24,70.98,38,一级
吉林省,延边朝鲜族自治州,2013-05,23.08,24.86,5.56,3.69,0.22,75.78,43,一级
吉林省,延边朝鲜族自治州,2013-06,28.75,31.1,6.18,3.51,0.22,86.77,47,一级
吉林省,延边朝鲜族自治州,2013-07,27.59,29.57,5.86,3.85,0.2,79.4,45,一级
吉林省,延边朝鲜族自治州,2013-08,27.77,29.69,8.25,3.89,0.24,79.47,47,一级
吉林省,延边朝鲜族自治州,2013-09,22.45,24.43,7.35,4.17,0.26,72.55,43,一级
吉林省,延边朝鲜族自治州,2013-10,23.79,26.85,8.82,6.55,0.31,57.82,40,一级
吉林省,延边朝鲜族自治州,2013-11,33.0,37.58,12.97,11.67,0.45,44.48,49,一级
吉林省,延边朝鲜族自治州,2013-12,40.45,46.77,14.12,17.16,0.61,38.51,57,二级
吉林省,吉林市,2013-01,102.03,128.57,26.3,34.98,1.07,42.36,135,三级
吉林省,吉林市,2013-02,47.66,59.69,17.67,18.26,0.69,53.02,67,二级
吉林省,吉林市,2013-03,32.59,45.16,13.95,14.93,0.56,62.17,50,一级
吉林省,吉林市,2013-04,24.49,41.07,7.43,10.92,0.44,68.5,45,一级
吉林省,吉林市,2013-05,28.45,41.58,7.59,8.83,0.37,79.39,46,一级
吉林省,吉林市,2013-06,31.92,41.06,8.32,9.76,0.32,88.92,50,一级
吉林省,吉林市,2013-07,26.24,33.13,6.58,6.29,0.27,75.59,43,一级
吉林省,吉林市,2013-08,32.09,41.33,8.84,6.27,0.34,78.69,49,一级
吉林省,吉林市,2013-09,23.57,33.41,8.25,7.75,0.32,68.39,40,一级
吉林省,吉林市,2013-10,45.51,54.35,11.19,16.71,0.68,53.6,64,二级
