province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
四川省,攀枝花市,2015-01,36.99,66.94,26.59,24.85,1.6,41.13,59,二级
四川省,攀枝花市,2015-02,29.7,52.27,19.18,21.23,1.34,57.87,51,二级
四川省,攀枝花市,2015-03,27.95,48.61,16.75,17.42,1.23,75.4,49,一级
四川省,攀枝花市,2015-04,22.47,37.64,18.68,13.24,1.04,77.27,43,一级
四川省,攀枝花市,2015-05,23.49,41.2,16.52,13.56,1.15,83.62,46,一级
四川省,攀枝花市,2015-06,17.12,29.89,12.89,9.66,0.98,68.93,37,一级
四川省,攀枝花市,2015-07,25.26,40.45,14.22,10.27,0.94,71.88,43,一级
四川省,攀枝花市,2015-08,23.27,38.09,15.13,11.16,0.99,53.96,39,一级
四川省,攀枝花市,2015-09,24.32,41.52,20.89,12.38,0.97,45.85,42,一级
四川省,攀枝花市,2015-10,28.3,46.06,17.96,14.06,1.13,53.18,46,一级
四川省,攀枝花市,2015-11,25.67,49.08,18.17,21.03,1.44,40.82,49,一级
四川省,攀枝花市,2015-12,30.26,53.8,17.07,20.68,1.29,41.16,51,二级
四川省,南充市,2015-01,97.58,136.39,18.73,28.89,1.41,26.21,130,三级
四川省,南充市,2015-02,75.44,108.97,14.19,24.45,1.28,34.92,102,三级
四川省,南充市,2015-03,49.4,83.1,15.75,22.13,1.02,43.95,72,二级
四川省,南充市,2015-04,37.84,67.68,12.27,18.57,0.79,56.75,59,二级
四川省,南充市,2015-05,39.88,69.71,12.1,16.5,0.75,59.46,62,二级
四川省,南充市,2015-06,28.22,49.17,11.1,15.12,0.7,49.81,47,一级
四川省,南充市,2015-07,36.22,61.51,10.7,18.1,0.69,72.39,56,二级
四川省,南充市,2015-08,31.51,50.02,10.63,18.04,0.68,65.53,50,一级
四川省,南充市,2015-09,30.96,46.38,10.81,19.43,0.72,49.19,46,一级
四川省,南充市,2015-10,44.17,68.76,11.09,26.07,0.73,44.93,63,二级
四川省,南充市,2015-11,35.12,54.52,12.64,27.06,0.97,23.1,53,二级
四川省,南充市,2015-12,65.19,95.47,12.23,32.82,1.07,25.75,90,二级
四川省,绵阳市,2015-01,59.79,84.35,14.09,20.77,0.85,40.08,82,二级
四川省,绵阳市,2015-02,49.17,69.54,10.88,14.38,0.73,50.3,69,二级
四川省,绵阳市,2015-03,40.07,62.58,12.99,13.88,0.64,59.48,60,二级
四川省,绵阳市,2015-04,32.89,51.7,10.0,12.79,0.5,78.58,52,二级
四川省,绵阳市,2015-05,34.89,53.49,8.86,9.12,0.49,88.37,55,二级
四川省,绵阳市,2015-06,28.55,42.13,9.35,9.3,0.49,72.53,45,一级
四川省,绵阳市,2015-07,34.27,49.57,9.38,10.33,0.53,84.14,53,二级
四川省,绵阳市,2015-08,31.99,46.08,9.5,11.28,0.52,72.38,50,一级
四川省,绵阳市,2015-09,28.25,40.95,10.49,10.53,0.55,60.6,43,一级
四川省,绵阳市,2015-10,36.1,54.4,10.21,14.22,0.55,59.27,54,二级
四川省,绵阳市,2015-11,29.75,46.07,12.42,17.05,0.73,36.35,46,一级
