province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
天津市,西青区,2016-01,82.42,129.77,44.65,63.52,1.75,16.3,116,三级
天津市,西青区,2016-02,51.11,83.45,30.64,44.42,1.36,32.57,80,二级
天津市,西青区,2016-03,81.5,151.37,32.66,56.35,1.45,38.87,122,三级
天津市,西青区,2016-04,60.19,125.46,19.09,44.74,0.97,63.4,98,二级
天津市,西青区,2016-05,48.89,90.54,18.49,41.4,0.88,85.07,77,二级
天津市,西青区,2016-06,53.98,82.17,13.84,37.78,0.95,97.09,80,二级
天津市,西青区,2016-07,58.13,79.92,8.68,32.96,0.92,75.36,81,二级
天津市,西青区,2016-08,42.85,69.38,8.06,34.93,0.87,59.11,66,二级
天津市,西青区,2016-09,52.69,83.04,16.41,46.08,1.16,68.02,81,二级
天津市,西青区,2016-10,66.24,98.14,17.93,56.7,1.39,30.59,96,二级
天津市,西青区,2016-11,110.01,153.73,29.05,70.65,2.15,15.6,146,三级
天津市,西青区,2016-12,150.4,189.69,37.66,89.12,2.95,11.38,193,四级
天津市,东丽区,2016-01,69.66,113.91,35.1,57.85,1.6,19.08,102,三级
天津市,东丽区,2016-02,46.45,78.74,24.04,41.53,1.28,34.06,74,二级
天津市,东丽区,2016-03,78.4,143.05,29.56,55.31,1.5,37.81,118,三级
天津市,东丽区,2016-04,60.88,124.12,20.06,45.08,1.04,62.07,98,二级
天津市,东丽区,2016-05,48.31,88.83,18.23,42.59,0.94,83.66,77,二级
天津市,东丽区,2016-06,52.77,81.71,14.34,38.12,1.04,96.86,78,二级
天津市,东丽区,2016-07,50.69,73.26,9.01,31.21,0.94,73.35,72,二级
天津市,东丽区,2016-08,38.79,63.4,9.08,33.19,0.95,58.56,61,二级
天津市,东丽区,2016-09,52.36,82.12,16.81,46.74,1.25,69.03,80,二级
天津市,东丽区,2016-10,62.23,90.81,19.06,54.91,1.41,31.83,92,二级
天津市,东丽区,2016-11,102.84,144.3,28.13,68.06,2.06,16.87,137,三级
天津市,东丽区,2016-12,131.89,168.92,34.96,84.67,2.8,12.61,173,四级
天津市,静海区,2016-01,75.65,112.19,35.68,57.5,1.57,19.73,107,三级
天津市,静海区,2016-02,47.47,75.25,26.26,39.62,1.26,37.96,73,二级
天津市,静海区,2016-03,72.04,132.0,28.12,49.97,1.25,46.97,107,三级
天津市,静海区,2016-04,57.24,111.45,17.14,37.19,0.83,69.42,90,二级
天津市,静海区,2016-05,45.61,82.49,16.88,34.23,0.73,87.4,71,二级
天津市,静海区,2016-06,48.68,73.66,14.66,29.24,0.78,104.12,74,二级
天津市,静海区,2016-07,53.72,70.54,10.19,23.6,0.71,85.68,74,二级
天津市,静海区,2016-08,41.27,61.55,9.22,28.59,0.71,67.39,62,二级
天津市,静海区,2016-09,47.5,75.77,16.52,38.24,0.94,77.44,72,二级
天津市,静海区,2016-10,64.06,91.78,17.58,51.59,1.13,37.36,93,二级
天津市,静海区,2016-11,101.0,140.9,26.44,64.07,1.76,21.87,135,三级
天津市,静海区,2016-12,137.67,178.88,36.11,81.96,2.57,14.57,179,四级
天津市,津南区,2016-01,69.73,110.72,34.32,56.76,1.5,18.47,102,三级
天津市,津南区,2016-02,48.59,80.67,25.76,41.84,1.32,33.69,76,二级
天津市,津南区,2016-03,75.73,136.81,27.99,53.17,1.4,39.82,113,三级
天津市,津南区,2016-04,59.53,116.14,18.64,41.68,0.92,63.22,94,二级
天津市,津南区,2016-05,46.2,84.46,17.36,39.61,0.83,82.65,73,二级
天津市,津南区,2016-06,49.07,74.16,14.15,33.73,0.87,97.75,74,二级
天津市,津南区,2016-07,49.07,67.77,9.6,26.36,0.77,77.63,69,二级
天津市,津南区,2016-08,39.39,61.26,9.45,30.35,0.81,60.91,60,二级
天津市,津南区,2016-09,48.92,76.79,16.84,41.68,1.08,73.86,75,二级
天津市,津南区,2016-10,60.2,84.48,18.06,52.21,1.2,36.81,90,二级
天津市,津南区,2016-11,101.6,137.76,26.8,65.42,1.83,20.99,136,三级
天津市,津南区,2016-12,125.66,162.67,34.98,82.14,2.54,13.45,166,四级
天津市,滨海新区,2016-01,64.13,100.51,31.36,53.14,1.44,21.61,94,二级
天津市,滨海新区,2016-02,45.81,75.98,23.8,39.29,1.23,35.22,71,二级
天津市,滨海新区,2016-03,72.38,129.23,27.92,50.36,1.39,41.72,108,三级
天津市,滨海新区,2016-04,58.69,112.61,19.44,39.2,0.93,63.28,92,二级
天津市,滨海新区,2016-05,45.93,83.68,18.03,37.59,0.83,83.69,72,二级
天津市,滨海新区,2016-06,48.41,74.42,15.52,31.27,0.88,100.0,73,二级
天津市,滨海新区,2016-07,46.42,66.22,10.47,22.97,0.75,80.37,66,二级
天津市,滨海新区,2016-08,36.91,57.85,10.75,27.38,0.82,64.36,57,二级
天津市,滨海新区,2016-09,47.95,76.06,17.24,38.49,1.04,78.52,73,二级
天津市,滨海新区,2016-10,57.58,81.17,18.29,47.32,1.13,40.17,84,二级
天津市,滨海新区,2016-11,91.53,128.8,25.95,61.89,1.66,22.85,124,三级
天津市,滨海新区,2016-12,115.39,154.06,34.2,78.93,2.41,15.35,155,四级
天津市,武清区,2016-01,76.54,117.3,29.76,55.23,1.74,22.08,108,三级
天津市,武清区,2016-02,46.05,72.24,19.94,35.74,1.14,40.19,72,二级
天津市,武清区,2016-03,73.9,133.15,24.69,51.97,1.25,46.46,111,三级
天津市,武清区,2016-04,52.92,109.56,15.72,40.3,0.89,68.49,86,二级
天津市,武清区,2016-05,44.4,81.94,14.86,36.02,0.8,88.93,72,二级
天津市,武清区,2016-06,50.74,77.47,11.39,33.17,0.92,102.22,76,二级
天津市,武清区,2016-07,54.55,76.65,7.55,30.58,0.94,82.64,76,二级
天津市,武清区,2016-08,40.57,64.23,7.33,33.87,0.89,70.05,62,二级
天津市,武清区,2016-09,47.78,75.2,11.62,41.51,1.02,66.6,74,二级
天津市,武清区,2016-10,60.76,90.61,15.03,51.95,1.3,31.38,88,二级
天津市,武清区,2016-11,93.72,135.16,21.58,63.74,2.04,17.97,126,三级
天津市,武清区,2016-12,143.7,183.87,28.46,80.47,2.97,15.17,183,四级
天津市,宁河区,2016-01,64.66,103.46,31.95,51.45,1.71,24.09,94,二级
天津市,宁河区,2016-02,42.83,69.38,18.81,33.18,1.12,40.77,67,二级
天津市,宁河区,2016-03,70.68,126.05,27.99,51.13,1.37,44.97,107,三级
天津市,宁河区,2016-04,55.85,111.21,20.93,40.39,1.04,66.36,89,二级
天津市,宁河区,2016-05,44.7,80.58,17.2,36.19,0.88,89.0,71,二级
天津市,宁河区,2016-06,50.51,78.37,15.31,33.23,1.06,102.64,76,二级
天津市,宁河区,2016-07,47.3,70.37,10.87,27.31,1.0,78.75,68,二级
天津市,宁河区,2016-08,35.82,57.03,12.17,31.2,1.12,64.96,56,二级
天津市,宁河区,2016-09,50.82,78.9,17.05,42.55,1.2,72.05,75,二级
天津市,宁河区,2016-10,60.45,90.22,21.8,51.67,1.45,35.15,86,二级
天津市,宁河区,2016-11,91.69,133.59,26.83,62.7,1.98,19.35,124,三级
天津市,宁河区,2016-12,128.5,167.7,35.12,77.68,2.98,15.6,166,四级
天津市,蓟州区,2016-01,59.37,87.3,19.69,40.44,1.47,35.29,84,二级
天津市,蓟州区,2016-02,46.73,65.54,15.32,25.49,1.01,48.93,70,二级
天津市,蓟州区,2016-03,70.58,113.77,19.93,47.56,1.12,53.13,103,三级
天津市,蓟州区,2016-04,53.93,104.33,18.84,38.04,0.99,72.8,85,二级
