province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
宁夏回族自治区,吴忠市,2018-01,34.15,61.91,17.98,15.81,0.61,48.19,59,二级
宁夏回族自治区,吴忠市,2018-02,24.29,52.0,14.75,13.51,0.54,54.31,49,一级
宁夏回族自治区,吴忠市,2018-03,38.74,94.37,13.43,13.97,0.46,61.27,74,二级
宁夏回族自治区,吴忠市,2018-04,39.41,87.49,8.71,10.55,0.29,71.58,69,二级
宁夏回族自治区,吴忠市,2018-05,39.34,77.91,8.75,8.38,0.27,82.49,66,二级
宁夏回族自治区,吴忠市,2018-06,29.37,46.74,9.1,7.55,0.31,99.97,57,二级
宁夏回族自治区,吴忠市,2018-07,25.9,41.41,9.14,4.94,0.33,90.92,50,一级
宁夏回族自治区,吴忠市,2018-08,27.62,43.33,9.94,5.3,0.38,90.56,48,一级
宁夏回族自治区,吴忠市,2018-09,23.7,38.54,9.92,9.65,0.32,66.03,42,一级
宁夏回族自治区,吴忠市,2018-10,26.82,43.23,10.92,12.18,0.35,58.69,45,一级
宁夏回族自治区,吴忠市,2018-11,32.9,68.16,13.1,19.17,0.46,44.77,58,二级
宁夏回族自治区,吴忠市,2018-12,29.03,60.37,15.02,17.3,0.53,40.33,53,二级
宁夏回族自治区,银川市,2018-01,42.63,84.74,34.44,26.05,0.89,47.79,72,二级
宁夏回族自治区,银川市,2018-02,33.85,78.8,33.91,24.12,0.82,58.8,65,二级
宁夏回族自治区,银川市,2018-03,47.29,132.11,24.7,27.41,0.67,65.07,93,二级
宁夏回族自治区,银川市,2018-04,41.17,125.37,15.2,20.99,0.49,78.17,89,二级
宁夏回族自治区,银川市,2018-05,40.59,114.15,13.6,17.91,0.42,92.16,84,二级
宁夏回族自治区,银川市,2018-06,27.33,61.51,12.15,16.94,0.46,110.69,66,二级
宁夏回族自治区,银川市,2018-07,27.92,60.33,9.23,12.62,0.49,101.03,62,二级
宁夏回族自治区,银川市,2018-08,26.53,51.11,9.49,13.01,0.57,95.88,53,二级
宁夏回族自治区,银川市,2018-09,22.12,47.22,11.36,18.82,0.47,65.06,46,一级
宁夏回族自治区,银川市,2018-10,28.92,59.56,15.32,25.13,0.55,56.37,55,二级
宁夏回族自治区,银川市,2018-11,42.78,104.6,21.83,34.53,0.79,39.98,78,二级
宁夏回族自治区,银川市,2018-12,36.91,91.77,26.96,29.4,0.9,37.01,75,二级
宁夏回族自治区,中卫市,2018-01,37.63,74.12,16.28,18.63,0.71,49.05,66,二级
宁夏回族自治区,中卫市,2018-02,29.18,63.76,12.42,14.65,0.6,57.25,56,二级
宁夏回族自治区,中卫市,2018-03,38.94,115.65,11.52,15.04,0.5,65.19,84,二级
宁夏回族自治区,中卫市,2018-04,40.52,101.86,7.28,12.19,0.33,72.08,77,二级
宁夏回族自治区,中卫市,2018-05,38.75,74.29,6.64,9.04,0.28,83.14,66,二级
宁夏回族自治区,中卫市,2018-06,28.84,46.22,8.56,9.43,0.36,97.54,56,二级
宁夏回族自治区,中卫市,2018-07,23.05,38.26,8.5,5.71,0.4,87.14,47,一级
宁夏回族自治区,中卫市,2018-08,25.29,41.19,9.42,6.34,0.49,83.93,46,一级
宁夏回族自治区,中卫市,2018-09,23.82,36.39,8.63,9.82,0.35,65.3,41,一级
宁夏回族自治区,中卫市,2018-10,27.59,43.73,9.79,14.15,0.41,57.53,45,一级
宁夏回族自治区,中卫市,2018-11,35.49,75.34,12.06,21.47,0.53,45.61,62,二级
宁夏回族自治区,中卫市,2018-12,33.8,66.48,13.7,19.06,0.59,41.65,59,二级
宁夏回族自治区,石嘴山市,2018-01,40.94,83.27,38.6,26.63,0.89,50.6,71,二级
宁夏回族自治区,石嘴山市,2018-02,34.06,73.45,41.28,24.31,0.77,62.34,63,二级
宁夏回族自治区,石嘴山市,2018-03,47.87,135.42,34.89,28.71,0.78,72.82,95,二级
宁夏回族自治区,石嘴山市,2018-04,43.26,135.9,23.93,23.75,0.62,87.46,94,二级
宁夏回族自治区,石嘴山市,2018-05,43.43,122.32,19.8,19.0,0.56,102.67,89,二级
宁夏回族自治区,石嘴山市,2018-06,29.09,71.58,17.89,19.21,0.6,112.04,70,二级
宁夏回族自治区,石嘴山市,2018-07,29.98,69.69,12.76,14.73,0.62,104.1,67,二级
宁夏回族自治区,石嘴山市,2018-08,28.34,55.36,13.37,16.93,0.73,95.85,54,二级
宁夏回族自治区,石嘴山市,2018-09,23.65,48.61,15.39,19.26,0.56,66.44,48,一级
宁夏回族自治区,石嘴山市,2018-10,30.3,60.36,21.45,27.92,0.68,57.33,55,二级
宁夏回族自治区,石嘴山市,2018-11,41.0,101.28,28.84,35.03,0.91,41.8,76,二级
宁夏回族自治区,石嘴山市,2018-12,35.61,89.0,33.51,29.53,0.93,38.92,71,二级
宁夏回族自治区,固原市,2018-01,43.9,81.14,15.94,24.7,0.85,54.36,72,二级
宁夏回族自治区,固原市,2018-02,34.12,77.56,12.71,18.21,0.7,62.82,64,二级
宁夏回族自治区,固原市,2018-03,37.53,105.56,10.79,23.24,0.59,69.31,79,二级
宁夏回族自治区,固原市,2018-04,39.88,106.02,6.95,18.84,0.37,75.15,79,二级
宁夏回族自治区,固原市,2018-05,37.8,81.43,6.78,15.34,0.33,85.77,67,二级
宁夏回族自治区,固原市,2018-06,29.72,49.33,8.43,14.57,0.38,93.19,53,二级
宁夏回族自治区,固原市,2018-07,26.91,42.19,8.74,9.98,0.41,81.69,46,一级
宁夏回族自治区,固原市,2018-08,27.67,47.05,9.32,12.84,0.46,78.77,48,一级
宁夏回族自治区,固原市,2018-09,21.26,36.26,8.13,14.65,0.38,62.56,39,一级
宁夏回族自治区,固原市,2018-10,26.49,49.14,8.92,20.51,0.43,54.71,48,一级
宁夏回族自治区,固原市,2018-11,34.66,81.95,11.76,23.66,0.63,47.14,67,二级
宁夏回族自治区,固原市,2018-12,36.56,82.59,13.29,21.03,0.66,44.18,68,二级
