province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
安徽省,宿州市,2016-01,95.75,133.88,32.22,43.57,1.48,31.25,128,三级
安徽省,宿州市,2016-02,76.33,118.35,28.34,37.31,1.45,48.16,104,三级
安徽省,宿州市,2016-03,68.75,119.12,24.07,36.49,1.27,64.04,97,二级
安徽省,宿州市,2016-04,58.33,108.11,20.35,31.05,1.08,75.73,84,二级
安徽省,宿州市,2016-05,42.78,81.99,18.19,23.51,0.81,86.75,68,二级
安徽省,宿州市,2016-06,32.8,59.66,15.02,20.47,0.77,87.2,57,二级
安徽省,宿州市,2016-07,30.62,51.09,12.86,17.01,0.66,71.23,50,一级
安徽省,宿州市,2016-08,29.27,52.68,15.88,19.01,0.72,72.14,51,二级
安徽省,宿州市,2016-09,40.75,68.32,18.01,24.89,0.81,85.44,61,二级
安徽省,宿州市,2016-10,41.7,65.52,13.16,28.89,0.81,45.06,62,二级
安徽省,宿州市,2016-11,72.72,109.08,18.4,41.48,1.0,39.36,99,二级
安徽省,宿州市,2016-12,109.48,145.72,24.41,51.76,1.33,32.17,145,三级
安徽省,滁州市,2016-01,87.13,110.44,19.66,32.76,1.08,37.38,118,三级
安徽省,滁州市,2016-02,70.5,97.63,17.71,29.37,1.1,49.66,96,二级
安徽省,滁州市,2016-03,66.79,96.87,16.42,32.0,0.95,58.24,92,二级
安徽省,滁州市,2016-04,51.45,83.05,14.78,32.89,0.83,77.22,73,二级
安徽省,滁州市,2016-05,45.49,72.31,13.4,23.92,0.7,86.4,68,二级
安徽省,滁州市,2016-06,38.46,57.29,13.32,21.62,0.66,79.61,57,二级
安徽省,滁州市,2016-07,30.6,47.83,10.77,18.82,0.58,71.68,48,一级
安徽省,滁州市,2016-08,26.95,47.02,12.45,20.25,0.59,80.94,48,一级
安徽省,滁州市,2016-09,36.99,59.99,12.18,23.9,0.62,91.31,56,二级
安徽省,滁州市,2016-10,31.94,46.5,9.63,24.11,0.62,51.91,48,一级
安徽省,滁州市,2016-11,53.26,82.63,14.13,40.18,0.82,49.61,76,二级
安徽省,滁州市,2016-12,77.65,110.66,16.33,49.27,1.03,44.11,105,三级
安徽省,合肥市,2016-01,83.42,103.57,18.81,39.23,1.12,31.11,113,三级
安徽省,合肥市,2016-02,67.92,89.34,18.34,33.55,1.07,45.06,93,二级
安徽省,合肥市,2016-03,70.76,97.82,17.74,39.54,1.03,54.75,96,二级
安徽省,合肥市,2016-04,45.75,75.39,13.37,34.43,0.87,69.42,67,二级
安徽省,合肥市,2016-05,45.51,77.04,12.96,25.93,0.73,81.52,69,二级
安徽省,合肥市,2016-06,37.33,56.08,12.83,25.24,0.75,75.59,57,二级
安徽省,合肥市,2016-07,29.09,46.69,10.98,21.99,0.65,69.03,47,一级
安徽省,合肥市,2016-08,28.81,53.36,12.06,26.43,0.7,85.2,52,二级
安徽省,合肥市,2016-09,38.82,64.52,13.53,31.25,0.72,84.99,58,二级
安徽省,合肥市,2016-10,31.94,47.47,11.89,31.38,0.73,46.58,50,一级
安徽省,合肥市,2016-11,52.22,78.64,15.73,45.79,0.92,43.73,75,二级
安徽省,合肥市,2016-12,77.55,106.57,17.12,60.04,1.13,37.48,105,三级
安徽省,马鞍山市,2016-01,81.57,111.08,21.24,43.4,1.32,33.81,111,三级
安徽省,马鞍山市,2016-02,61.98,88.93,20.19,34.53,1.31,46.62,87,二级
安徽省,马鞍山市,2016-03,67.64,99.49,20.02,42.23,1.19,48.84,93,二级
安徽省,马鞍山市,2016-04,45.07,73.29,14.31,33.52,0.97,62.01,66,二级
安徽省,马鞍山市,2016-05,46.87,78.98,15.13,29.42,0.84,72.4,71,二级
安徽省,马鞍山市,2016-06,36.26,55.3,14.92,25.9,0.78,65.29,55,二级
安徽省,马鞍山市,2016-07,29.66,47.44,14.62,24.76,0.75,61.23,48,一级
安徽省,马鞍山市,2016-08,26.43,47.32,14.28,22.61,0.73,79.77,49,一级
安徽省,马鞍山市,2016-09,35.45,58.17,15.04,27.8,0.77,83.69,55,二级
安徽省,马鞍山市,2016-10,31.74,49.33,14.11,31.32,0.84,50.8,51,二级
安徽省,马鞍山市,2016-11,52.44,82.64,18.89,46.04,1.09,43.16,75,二级
安徽省,马鞍山市,2016-12,73.55,106.66,20.86,57.15,1.28,36.97,101,三级
安徽省,淮南市,2016-01,67.84,96.57,21.24,37.2,1.1,27.41,94,二级
安徽省,淮南市,2016-02,62.71,87.08,20.08,31.47,1.03,45.03,87,二级
安徽省,淮南市,2016-03,64.78,93.8,18.69,35.0,0.96,56.32,90,二级
安徽省,淮南市,2016-04,41.01,77.16,15.05,30.92,0.8,73.23,65,二级
安徽省,淮南市,2016-05,42.17,75.67,15.55,23.65,0.67,83.38,66,二级
安徽省,淮南市,2016-06,33.98,57.75,14.25,22.86,0.69,77.68,55,二级
安徽省,淮南市,2016-07,28.43,49.89,12.12,21.83,0.63,63.68,49,一级
安徽省,淮南市,2016-08,29.53,60.1,15.37,28.42,0.74,76.96,55,二级
