province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
山东省,日照市,2018-01,82.19,125.9,21.54,47.72,1.23,35.79,114,三级
山东省,日照市,2018-02,53.99,89.54,17.42,30.39,0.92,54.68,81,二级
山东省,日照市,2018-03,56.35,94.6,14.46,33.98,0.8,69.91,82,二级
山东省,日照市,2018-04,44.95,106.66,13.44,29.84,0.65,87.43,80,二级
山东省,日照市,2018-05,35.9,72.61,10.96,23.81,0.54,96.1,63,二级
山东省,日照市,2018-06,33.14,59.84,9.91,17.39,0.52,117.8,69,二级
山东省,日照市,2018-07,21.06,38.97,7.14,14.57,0.37,73.34,43,一级
山东省,日照市,2018-08,20.77,41.19,6.83,12.86,0.4,83.63,46,一级
山东省,日照市,2018-09,23.42,50.76,7.26,23.49,0.47,80.55,50,一级
山东省,日照市,2018-10,35.59,76.85,10.04,34.9,0.54,64.35,64,二级
山东省,日照市,2018-11,66.97,124.32,10.66,42.23,0.79,42.95,98,二级
山东省,日照市,2018-12,62.67,110.96,17.63,41.96,0.92,30.22,93,二级
山东省,青岛市,2018-01,62.75,110.47,19.73,43.77,1.21,36.23,92,二级
山东省,青岛市,2018-02,42.95,77.66,15.51,28.34,0.9,57.19,68,二级
山东省,青岛市,2018-03,45.58,82.78,11.39,29.3,0.71,75.05,71,二级
山东省,青岛市,2018-04,35.76,91.12,10.47,26.62,0.55,90.01,71,二级
山东省,青岛市,2018-05,31.92,64.52,8.57,21.93,0.48,95.4,59,二级
山东省,青岛市,2018-06,27.45,49.66,7.17,14.92,0.43,108.79,61,二级
山东省,青岛市,2018-07,18.54,36.79,4.9,12.09,0.33,62.46,40,一级
山东省,青岛市,2018-08,17.3,37.35,5.9,12.32,0.41,76.86,42,一级
山东省,青岛市,2018-09,21.93,47.26,7.05,23.24,0.52,79.66,48,一级
山东省,青岛市,2018-10,28.75,62.2,8.81,31.11,0.55,65.35,56,二级
山东省,青岛市,2018-11,57.02,113.23,11.14,39.94,0.88,43.27,90,二级
山东省,青岛市,2018-12,52.88,94.84,17.92,39.27,0.98,31.49,81,二级
山东省,淄博市,2018-01,87.65,134.31,34.8,52.66,1.64,29.91,119,三级
山东省,淄博市,2018-02,64.8,109.58,29.31,35.35,1.3,53.61,95,二级
山东省,淄博市,2018-03,62.1,104.81,22.13,36.8,1.11,79.47,89,二级
山东省,淄博市,2018-04,50.01,122.06,20.03,32.35,0.96,98.1,90,二级
山东省,淄博市,2018-05,44.78,94.78,17.18,29.43,0.96,105.23,77,二级
山东省,淄博市,2018-06,39.57,80.04,14.3,23.08,0.79,135.3,83,二级
山东省,淄博市,2018-07,31.8,56.84,8.91,19.53,0.77,95.77,58,二级
山东省,淄博市,2018-08,29.64,54.2,10.72,21.13,0.87,90.88,53,二级
山东省,淄博市,2018-09,32.92,68.3,14.75,32.7,0.88,72.76,60,二级
山东省,淄博市,2018-10,44.8,95.11,19.57,46.2,0.92,55.66,75,二级
山东省,淄博市,2018-11,82.82,147.23,20.32,49.38,1.17,35.84,117,三级
山东省,淄博市,2018-12,74.96,131.65,28.49,50.35,1.17,22.28,107,三级
山东省,菏泽市,2018-01,107.09,159.24,16.97,47.92,1.56,34.49,143,三级
山东省,菏泽市,2018-02,78.01,137.12,17.48,32.86,1.24,56.03,112,三级
山东省,菏泽市,2018-03,57.15,103.42,13.98,30.61,1.03,76.05,85,二级
山东省,菏泽市,2018-04,45.45,124.69,13.73,26.52,0.88,92.17,89,二级
