province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
山西省,临汾市,2017-01,115.31,158.27,141.12,44.15,2.53,34.95,150,三级
山西省,临汾市,2017-02,82.16,118.85,89.73,36.97,1.92,49.38,112,三级
山西省,临汾市,2017-03,54.07,84.74,41.43,27.86,1.28,63.46,77,二级
山西省,临汾市,2017-04,44.33,77.63,24.68,26.21,1.09,70.81,68,二级
山西省,临汾市,2017-05,40.99,73.61,18.89,20.53,0.88,100.34,66,二级
山西省,临汾市,2017-06,47.64,75.32,22.91,17.14,1.0,127.65,78,二级
山西省,临汾市,2017-07,44.85,70.16,21.0,14.4,1.1,114.72,69,二级
山西省,临汾市,2017-08,46.07,67.91,20.2,15.37,1.14,92.72,66,二级
山西省,临汾市,2017-09,49.03,80.24,23.44,26.58,1.34,74.33,70,二级
山西省,临汾市,2017-10,46.45,72.89,21.42,29.92,1.38,41.36,67,二级
山西省,临汾市,2017-11,57.02,94.13,36.61,36.58,1.56,36.49,82,二级
山西省,临汾市,2017-12,69.07,104.19,60.89,37.46,1.86,33.22,97,二级
山西省,朔州市,2017-01,68.95,103.14,68.48,32.99,1.31,39.24,96,二级
山西省,朔州市,2017-02,57.15,85.86,53.53,30.42,1.11,52.16,81,二级
山西省,朔州市,2017-03,42.75,67.16,31.56,26.03,0.87,67.45,66,二级
山西省,朔州市,2017-04,29.85,62.23,15.46,19.97,0.61,78.17,57,二级
山西省,朔州市,2017-05,37.31,78.41,9.55,17.01,0.54,96.38,69,二级
山西省,朔州市,2017-06,30.3,55.33,11.63,16.63,0.63,108.13,60,二级
山西省,朔州市,2017-07,32.46,53.48,11.68,14.94,0.65,104.15,60,二级
山西省,朔州市,2017-08,29.38,49.46,11.68,16.99,0.71,85.48,51,二级
山西省,朔州市,2017-09,36.27,67.74,15.78,22.5,0.76,72.93,61,二级
山西省,朔州市,2017-10,42.16,67.59,18.64,27.71,0.85,42.39,63,二级
山西省,朔州市,2017-11,35.21,76.04,26.49,28.9,0.79,40.91,64,二级
山西省,朔州市,2017-12,48.9,91.21,42.88,36.52,1.05,33.53,77,二级
山西省,长治市,2017-01,96.84,137.92,97.38,49.69,2.36,37.0,130,三级
山西省,长治市,2017-02,69.87,105.34,72.25,41.8,1.85,52.15,97,二级
山西省,长治市,2017-03,51.48,84.86,38.39,33.47,1.23,66.91,76,二级
山西省,长治市,2017-04,43.17,82.37,22.25,29.93,1.02,72.47,70,二级
山西省,长治市,2017-05,38.38,80.56,15.23,23.55,0.75,108.71,73,二级
山西省,长治市,2017-06,47.08,77.04,15.86,21.88,0.97,131.46,81,二级
山西省,长治市,2017-07,44.84,70.64,11.67,17.39,1.05,111.84,68,二级
山西省,长治市,2017-08,46.76,71.09,13.92,20.43,1.02,97.15,68,二级
山西省,长治市,2017-09,48.88,86.21,17.28,28.92,1.12,80.24,72,二级
山西省,长治市,2017-10,51.17,79.22,14.04,31.23,1.16,45.81,72,二级
山西省,长治市,2017-11,54.08,96.26,29.07,40.0,1.25,41.93,80,二级
山西省,长治市,2017-12,58.36,97.48,47.02,42.88,1.5,34.92,86,二级
山西省,吕梁市,2017-01,80.77,122.06,92.92,33.52,1.77,32.51,109,三级
山西省,吕梁市,2017-02,63.58,102.09,70.4,31.64,1.56,40.59,89,二级
山西省,吕梁市,2017-03,43.32,72.77,35.26,24.94,1.07,55.95,66,二级
山西省,吕梁市,2017-04,33.08,63.25,17.17,21.44,0.62,63.77,57,二级
山西省,吕梁市,2017-05,37.37,66.88,12.98,16.42,0.52,85.43,60,二级
山西省,吕梁市,2017-06,38.42,62.97,18.91,17.87,0.66,98.57,60,二级
山西省,吕梁市,2017-07,38.42,58.78,18.39,16.04,0.79,94.42,58,二级
山西省,吕梁市,2017-08,37.57,57.86,17.22,18.66,0.87,73.94,57,二级
山西省,吕梁市,2017-09,42.4,74.98,20.99,24.5,0.93,63.44,65,二级
山西省,吕梁市,2017-10,43.26,71.84,20.92,29.13,1.1,38.48,64,二级
山西省,吕梁市,2017-11,52.42,92.54,37.95,31.91,1.37,38.12,77,二级
山西省,吕梁市,2017-12,66.31,100.34,57.5,34.74,1.56,33.57,92,二级
山西省,太原市,2017-01,85.29,127.38,93.29,41.11,1.71,32.8,117,三级
山西省,太原市,2017-02,64.23,103.17,73.45,36.09,1.36,41.86,91,二级
山西省,太原市,2017-03,43.72,75.4,36.94,29.88,0.98,57.17,68,二级
山西省,太原市,2017-04,35.78,76.55,19.55,27.24,0.7,66.7,65,二级
山西省,太原市,2017-05,39.08,84.6,12.79,21.23,0.61,95.15,70,二级
山西省,太原市,2017-06,38.68,72.49,17.07,26.43,0.74,103.02,64,二级
山西省,太原市,2017-07,41.51,73.18,16.38,24.44,0.82,100.75,64,二级
山西省,太原市,2017-08,39.85,69.2,17.19,26.82,0.86,77.31,63,二级
