province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
广东省,清远市,2018-01,50.24,66.36,12.06,27.67,0.97,44.07,71,二级
广东省,清远市,2018-02,47.31,60.1,10.66,18.45,0.75,59.65,66,二级
广东省,清远市,2018-03,38.12,51.42,9.85,22.99,0.68,63.28,56,二级
广东省,清远市,2018-04,38.8,58.54,10.04,22.72,0.63,62.47,58,二级
广东省,清远市,2018-05,24.99,38.55,8.14,16.25,0.55,66.14,41,一级
广东省,清远市,2018-06,22.14,33.79,7.34,13.25,0.54,65.38,37,一级
广东省,清远市,2018-07,19.01,28.35,5.45,15.19,0.48,57.93,31,一级
广东省,清远市,2018-08,25.31,38.84,8.43,14.25,0.63,63.3,40,一级
广东省,清远市,2018-09,23.41,35.29,8.87,12.17,0.51,61.33,38,一级
广东省,清远市,2018-10,32.38,47.08,12.84,15.51,0.61,66.68,50,一级
广东省,清远市,2018-11,32.23,47.04,12.1,19.28,0.7,44.66,49,一级
广东省,清远市,2018-12,38.21,52.19,13.99,24.32,0.83,28.47,56,二级
广东省,深圳市,2018-01,40.44,59.83,9.35,39.2,0.87,52.28,62,二级
广东省,深圳市,2018-02,35.9,51.72,8.39,26.51,0.69,63.82,53,二级
广东省,深圳市,2018-03,29.13,46.31,8.42,30.91,0.62,70.33,49,一级
广东省,深圳市,2018-04,29.7,51.6,8.3,28.52,0.62,63.51,50,一级
广东省,深圳市,2018-05,18.69,33.04,7.86,25.14,0.51,58.4,37,一级
广东省,深圳市,2018-06,16.99,29.45,7.08,23.84,0.54,58.22,37,一级
广东省,深圳市,2018-07,12.71,25.54,6.38,21.63,0.47,41.03,30,一级
广东省,深圳市,2018-08,19.54,32.92,6.6,27.35,0.63,58.29,39,一级
广东省,深圳市,2018-09,21.8,35.99,8.43,25.82,0.54,55.55,40,一级
广东省,深圳市,2018-10,29.55,49.26,9.08,26.38,0.61,79.71,51,二级
广东省,深圳市,2018-11,29.12,47.5,8.14,30.01,0.65,52.87,48,一级
广东省,深圳市,2018-12,30.93,48.94,11.3,32.28,0.72,33.86,50,一级
广东省,佛山市,2018-01,58.85,87.91,14.61,66.4,1.09,33.08,88,二级
广东省,佛山市,2018-02,42.57,60.16,8.67,35.65,0.77,53.2,64,二级
广东省,佛山市,2018-03,38.02,61.84,11.77,47.36,0.79,58.62,63,二级
广东省,佛山市,2018-04,36.83,67.57,11.23,42.97,0.77,51.15,62,二级
广东省,佛山市,2018-05,21.38,37.03,8.97,28.44,0.63,53.56,41,一级
广东省,佛山市,2018-06,21.28,36.23,8.51,29.73,0.69,59.02,44,一级
广东省,佛山市,2018-07,18.72,33.9,7.81,28.32,0.63,45.85,39,一级
广东省,佛山市,2018-08,24.84,41.39,8.3,33.75,0.77,57.47,46,一级
广东省,佛山市,2018-09,25.6,42.71,9.92,29.6,0.66,60.72,45,一级
广东省,佛山市,2018-10,34.67,59.12,12.36,42.49,0.77,64.71,60,二级
广东省,佛山市,2018-11,40.11,66.16,10.74,49.51,0.85,39.1,66,二级
广东省,佛山市,2018-12,37.05,58.55,12.98,43.46,0.86,23.1,60,二级
广东省,阳江市,2018-01,49.29,62.88,11.68,28.2,0.81,52.37,69,二级
广东省,阳江市,2018-02,42.01,53.2,8.19,13.96,0.63,64.26,60,二级
广东省,阳江市,2018-03,26.52,36.23,5.51,9.97,0.47,77.22,44,一级
广东省,阳江市,2018-04,28.0,42.21,5.58,10.56,0.47,66.75,46,一级
广东省,阳江市,2018-05,14.0,21.5,3.25,6.62,0.3,50.94,28,一级
广东省,阳江市,2018-06,17.32,27.57,6.05,8.45,0.43,61.6,34,一级
广东省,阳江市,2018-07,10.68,16.66,3.29,7.28,0.3,48.72,25,一级
广东省,阳江市,2018-08,20.42,32.16,7.64,10.6,0.53,59.66,35,一级
广东省,阳江市,2018-09,21.92,33.77,7.51,9.57,0.45,61.66,37,一级
广东省,阳江市,2018-10,35.36,51.48,12.33,18.39,0.65,78.88,53,二级
广东省,阳江市,2018-11,39.29,53.98,11.69,22.54,0.69,59.2,57,二级
广东省,阳江市,2018-12,34.23,47.11,12.38,19.56,0.67,42.05,51,二级
广东省,韶关市,2018-01,49.46,65.42,13.2,27.12,1.13,44.4,70,二级
广东省,韶关市,2018-02,45.8,59.11,11.54,18.44,0.89,62.71,64,二级
广东省,韶关市,2018-03,35.84,49.06,10.35,20.06,0.83,64.33,53,二级
广东省,韶关市,2018-04,38.61,58.53,11.96,20.57,0.8,69.79,59,二级
广东省,韶关市,2018-05,27.54,40.67,11.15,15.79,0.78,79.34,47,一级
广东省,韶关市,2018-06,23.34,33.77,8.64,12.43,0.74,68.51,38,一级
广东省,韶关市,2018-07,19.76,29.43,7.4,13.2,0.72,63.51,34,一级
广东省,韶关市,2018-08,24.46,37.7,9.04,11.66,0.85,68.38,40,一级
广东省,韶关市,2018-09,22.58,34.09,9.06,10.01,0.64,65.43,37,一级
广东省,韶关市,2018-10,31.7,44.91,12.36,14.48,0.74,67.51,49,一级
广东省,韶关市,2018-11,30.34,43.63,11.52,17.37,0.81,45.46,46,一级
广东省,韶关市,2018-12,37.45,49.41,12.99,20.46,0.91,30.96,55,二级
广东省,潮州市,2018-01,33.4,47.94,10.26,25.08,0.82,54.27,50,一级
广东省,潮州市,2018-02,39.07,54.39,9.07,16.24,0.8,66.89,57,二级
广东省,潮州市,2018-03,36.34,53.75,9.6,21.41,0.8,75.52,56,二级
广东省,潮州市,2018-04,34.78,60.5,9.95,17.5,0.74,79.14,58,二级
广东省,潮州市,2018-05,25.78,44.43,10.32,14.51,0.74,76.08,48,一级
广东省,潮州市,2018-06,18.62,32.33,7.87,12.27,0.7,68.95,39,一级
