province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
广西壮族自治区,玉林市,2015-01,63.25,84.88,17.61,22.22,1.27,53.71,86,二级
广西壮族自治区,玉林市,2015-02,67.51,80.83,11.61,16.25,1.62,56.26,92,二级
广西壮族自治区,玉林市,2015-03,34.99,45.63,11.78,12.66,1.1,42.01,51,二级
广西壮族自治区,玉林市,2015-04,37.41,53.98,13.33,12.33,1.01,65.05,55,二级
广西壮族自治区,玉林市,2015-05,22.36,33.59,7.97,10.46,0.85,54.75,35,一级
广西壮族自治区,玉林市,2015-06,16.44,25.64,7.13,9.96,0.75,47.28,28,一级
广西壮族自治区,玉林市,2015-07,23.65,34.16,9.71,9.73,0.81,57.78,37,一级
广西壮族自治区,玉林市,2015-08,29.89,43.79,10.77,12.33,0.78,61.69,44,一级
广西壮族自治区,玉林市,2015-09,27.35,38.89,12.55,11.84,0.84,55.58,40,一级
广西壮族自治区,玉林市,2015-10,36.65,53.66,14.75,15.81,0.85,70.38,54,二级
广西壮族自治区,玉林市,2015-11,30.02,42.9,17.05,16.82,0.91,48.63,45,一级
广西壮族自治区,玉林市,2015-12,30.35,43.27,15.36,16.86,0.97,39.97,46,一级
广西壮族自治区,南宁市,2015-01,67.52,93.59,15.74,26.82,1.1,48.66,92,二级
广西壮族自治区,南宁市,2015-02,67.24,83.47,11.82,20.23,1.06,48.59,91,二级
广西壮族自治区,南宁市,2015-03,38.93,53.24,9.22,16.18,0.97,43.3,56,二级
广西壮族自治区,南宁市,2015-04,41.39,64.91,10.78,16.15,0.87,70.04,60,二级
广西壮族自治区,南宁市,2015-05,27.58,44.92,8.88,11.87,0.74,65.11,46,一级
广西壮族自治区,南宁市,2015-06,17.64,31.56,7.04,10.49,0.59,55.47,33,一级
广西壮族自治区,南宁市,2015-07,27.54,42.28,9.1,10.67,0.67,60.51,44,一级
广西壮族自治区,南宁市,2015-08,30.59,50.64,9.71,12.52,0.7,59.29,48,一级
广西壮族自治区,南宁市,2015-09,28.55,44.95,11.23,12.24,0.79,52.75,45,一级
广西壮族自治区,南宁市,2015-10,44.11,72.27,15.09,17.27,0.84,62.92,64,二级
广西壮族自治区,南宁市,2015-11,29.76,46.93,14.27,17.32,0.94,40.05,47,一级
广西壮族自治区,南宁市,2015-12,34.26,50.74,15.13,18.58,0.91,38.01,52,二级
广西壮族自治区,百色市,2015-01,60.85,82.34,17.72,11.4,1.25,48.77,84,二级
广西壮族自治区,百色市,2015-02,56.1,76.9,14.37,13.95,1.08,56.42,78,二级
广西壮族自治区,百色市,2015-03,44.62,63.04,12.21,8.64,0.89,63.46,63,二级
广西壮族自治区,百色市,2015-04,42.85,61.98,12.44,7.6,1.1,77.65,61,二级
广西壮族自治区,百色市,2015-05,31.4,43.89,11.09,4.58,1.01,67.56,47,一级
广西壮族自治区,百色市,2015-06,22.42,31.1,8.29,4.48,0.41,61.97,36,一级
广西壮族自治区,百色市,2015-07,33.29,45.35,11.29,4.75,0.49,60.8,49,一级
广西壮族自治区,百色市,2015-08,30.66,42.37,9.23,5.34,0.52,56.53,45,一级
广西壮族自治区,百色市,2015-09,33.72,49.39,12.53,5.06,0.46,56.41,51,二级
广西壮族自治区,百色市,2015-10,39.3,54.92,14.01,6.74,0.47,64.0,57,二级
广西壮族自治区,百色市,2015-11,31.59,43.14,14.13,7.22,0.55,46.67,47,一级
广西壮族自治区,百色市,2015-12,38.21,52.46,15.93,8.31,0.61,42.54,55,二级
广西壮族自治区,桂林市,2015-01,73.78,91.85,24.15,25.7,0.91,54.14,100,二级
广西壮族自治区,桂林市,2015-02,69.94,84.94,14.67,17.9,1.03,50.63,95,二级
广西壮族自治区,桂林市,2015-03,44.7,57.46,13.53,13.22,0.83,50.21,63,二级
广西壮族自治区,桂林市,2015-04,46.53,63.34,13.9,12.15,0.75,73.41,65,二级
广西壮族自治区,桂林市,2015-05,39.23,51.51,13.04,9.08,0.67,70.63,57,二级
广西壮族自治区,桂林市,2015-06,25.35,34.23,9.97,7.27,0.54,57.75,39,一级
广西壮族自治区,桂林市,2015-07,35.65,46.28,13.6,7.16,0.62,67.6,51,二级
广西壮族自治区,桂林市,2015-08,34.68,47.33,13.14,7.96,0.55,65.6,50,一级
广西壮族自治区,桂林市,2015-09,43.78,56.0,15.2,8.45,0.69,68.53,62,二级
广西壮族自治区,桂林市,2015-10,45.18,57.21,18.05,12.5,0.68,71.33,63,二级
广西壮族自治区,桂林市,2015-11,31.26,40.44,16.49,15.16,0.92,39.36,46,一级
广西壮族自治区,桂林市,2015-12,42.11,54.99,18.68,16.47,0.86,43.12,60,二级
广西壮族自治区,防城港市,2015-01,59.52,80.97,13.68,19.04,1.12,53.45,82,二级
广西壮族自治区,防城港市,2015-02,57.45,71.02,9.66,13.52,1.0,51.4,79,二级
广西壮族自治区,防城港市,2015-03,31.62,43.33,7.38,10.59,0.91,43.03,46,一级
广西壮族自治区,防城港市,2015-04,33.82,50.21,7.68,9.48,0.65,61.71,50,一级
广西壮族自治区,防城港市,2015-05,18.97,29.74,5.05,5.8,0.52,59.35,34,一级
广西壮族自治区,防城港市,2015-06,11.01,19.12,3.61,4.43,0.41,53.38,28,一级
广西壮族自治区,防城港市,2015-07,22.58,34.96,7.82,6.4,0.59,56.28,38,一级
广西壮族自治区,防城港市,2015-08,24.44,37.87,7.29,7.5,0.62,61.17,40,一级
广西壮族自治区,防城港市,2015-09,25.73,39.29,8.91,8.62,0.68,55.19,40,一级
广西壮族自治区,防城港市,2015-10,40.43,64.39,12.88,13.61,0.72,65.24,60,二级
广西壮族自治区,防城港市,2015-11,29.42,46.4,11.5,14.32,0.87,44.03,47,一级
广西壮族自治区,防城港市,2015-12,36.4,52.29,13.02,17.16,0.9,40.46,54,二级
广西壮族自治区,柳州市,2015-01,70.45,87.25,21.57,22.93,1.02,54.57,95,二级
广西壮族自治区,柳州市,2015-02,66.93,79.59,14.88,15.79,1.03,50.64,91,二级
广西壮族自治区,柳州市,2015-03,44.34,56.11,13.21,12.43,0.89,49.51,62,二级
广西壮族自治区,柳州市,2015-04,43.3,59.74,13.59,10.79,0.74,81.05,61,二级
广西壮族自治区,柳州市,2015-05,35.31,47.79,12.9,8.2,0.67,75.16,52,二级
广西壮族自治区,柳州市,2015-06,23.9,34.1,11.13,7.6,0.61,64.18,39,一级
广西壮族自治区,柳州市,2015-07,32.42,43.7,12.19,6.85,0.66,70.14,48,一级
广西壮族自治区,柳州市,2015-08,34.59,48.57,13.48,8.28,0.64,65.96,51,二级
广西壮族自治区,柳州市,2015-09,39.54,52.81,15.14,8.26,0.74,63.59,57,二级
广西壮族自治区,柳州市,2015-10,45.63,60.46,18.87,11.56,0.77,68.97,64,二级
广西壮族自治区,柳州市,2015-11,31.09,41.82,16.96,13.19,0.95,41.58,46,一级
广西壮族自治区,柳州市,2015-12,38.43,50.44,18.6,13.72,0.86,43.61,55,二级
广西壮族自治区,贵港市,2015-01,74.55,99.86,17.42,22.49,1.14,47.44,100,二级
广西壮族自治区,贵港市,2015-02,73.01,92.08,12.76,16.5,1.28,52.02,99,二级
广西壮族自治区,贵港市,2015-03,38.71,53.68,12.61,12.34,1.04,40.97,56,二级
广西壮族自治区,贵港市,2015-04,42.34,64.33,13.16,12.25,1.01,71.67,61,二级
广西壮族自治区,贵港市,2015-05,26.57,42.61,10.54,11.25,0.82,62.07,44,一级
广西壮族自治区,贵港市,2015-06,20.93,33.38,9.98,10.7,0.76,52.88,35,一级
广西壮族自治区,贵港市,2015-07,26.73,39.35,11.14,9.2,0.73,60.91,42,一级
广西壮族自治区,贵港市,2015-08,35.49,51.81,12.32,11.86,0.73,65.24,53,二级
广西壮族自治区,贵港市,2015-09,30.23,43.97,13.17,11.0,0.8,58.45,46,一级
广西壮族自治区,贵港市,2015-10,39.79,57.56,14.73,13.95,0.78,69.03,58,二级
广西壮族自治区,贵港市,2015-11,29.23,42.91,16.88,14.68,0.88,45.17,44,一级
广西壮族自治区,贵港市,2015-12,30.5,43.0,15.62,14.66,0.86,40.86,45,一级
广西壮族自治区,钦州市,2015-01,62.49,88.02,13.55,21.72,1.29,52.91,86,二级
广西壮族自治区,钦州市,2015-02,64.75,81.26,10.01,15.47,1.4,52.17,88,二级
广西壮族自治区,钦州市,2015-03,33.47,47.01,8.67,12.66,1.22,42.35,50,一级
广西壮族自治区,钦州市,2015-04,35.66,55.95,9.03,12.73,0.98,63.48,55,二级
广西壮族自治区,钦州市,2015-05,18.93,32.56,5.74,9.13,0.76,57.98,35,一级
广西壮族自治区,钦州市,2015-06,12.75,23.56,4.61,7.68,0.64,51.39,27,一级
广西壮族自治区,钦州市,2015-07,22.22,35.09,8.05,8.86,0.76,57.95,38,一级
广西壮族自治区,钦州市,2015-08,26.67,43.53,8.23,11.13,0.83,59.79,43,一级
广西壮族自治区,钦州市,2015-09,24.36,37.84,9.32,10.97,0.9,52.55,38,一级
广西壮族自治区,钦州市,2015-10,41.88,66.43,13.42,16.69,0.92,65.1,62,二级
广西壮族自治区,钦州市,2015-11,29.43,45.07,14.0,15.9,1.04,44.2,47,一级
