province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
新疆维吾尔自治区,塔城地区,2015-01,13.77,16.75,3.21,5.41,0.63,58.24,30,一级
新疆维吾尔自治区,塔城地区,2015-02,15.34,22.52,3.43,5.06,0.53,63.81,36,一级
新疆维吾尔自治区,塔城地区,2015-03,7.63,11.93,2.99,2.96,0.32,69.1,36,一级
新疆维吾尔自治区,塔城地区,2015-04,9.03,13.1,2.94,2.5,0.3,71.16,36,一级
新疆维吾尔自治区,塔城地区,2015-05,8.66,11.05,2.27,1.86,0.26,73.4,38,一级
新疆维吾尔自治区,塔城地区,2015-06,10.73,12.91,2.44,1.99,0.26,78.11,40,一级
新疆维吾尔自治区,塔城地区,2015-07,18.92,21.27,2.57,2.31,0.29,72.65,40,一级
新疆维吾尔自治区,塔城地区,2015-08,13.05,15.74,2.73,2.6,0.29,70.84,37,一级
新疆维吾尔自治区,塔城地区,2015-09,8.03,10.27,2.99,2.34,0.33,68.29,35,一级
新疆维吾尔自治区,塔城地区,2015-10,14.96,19.87,2.99,3.74,0.35,62.15,39,一级
新疆维吾尔自治区,塔城地区,2015-11,7.4,10.16,2.64,4.02,0.42,57.4,30,一级
新疆维吾尔自治区,塔城地区,2015-12,15.16,21.04,2.65,4.67,0.52,56.14,34,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-01,5.27,5.9,1.27,1.04,0.21,57.25,30,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-02,5.35,7.46,1.09,0.72,0.19,58.25,30,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-03,17.65,24.82,0.93,0.71,0.18,66.78,37,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-04,39.01,42.37,0.71,0.69,0.17,72.05,60,二级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-05,36.79,38.69,0.67,0.57,0.14,80.03,62,二级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-06,19.19,20.26,0.74,0.6,0.13,87.8,50,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-07,37.28,38.17,0.69,0.71,0.14,80.24,63,二级
