province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
江苏省,扬州市,2016-01,77.83,116.14,23.96,32.67,1.07,46.7,107,三级
江苏省,扬州市,2016-02,71.73,114.27,21.43,29.81,1.14,56.32,99,二级
江苏省,扬州市,2016-03,64.23,113.13,22.09,35.8,1.01,62.02,91,二级
江苏省,扬州市,2016-04,48.87,92.17,20.25,32.23,0.95,75.38,74,二级
江苏省,扬州市,2016-05,41.33,77.73,15.67,23.02,0.8,83.73,67,二级
江苏省,扬州市,2016-06,35.53,63.29,15.45,20.76,0.73,80.02,59,二级
江苏省,扬州市,2016-07,31.52,53.66,13.56,18.1,0.63,79.55,52,二级
江苏省,扬州市,2016-08,22.03,41.49,12.22,14.39,0.53,75.98,46,一级
江苏省,扬州市,2016-09,33.58,57.77,13.39,16.99,0.64,89.48,55,二级
江苏省,扬州市,2016-10,26.17,42.21,9.74,18.13,0.58,58.36,43,一级
江苏省,扬州市,2016-11,51.79,84.74,15.39,37.18,0.84,51.28,74,二级
江苏省,扬州市,2016-12,73.0,109.06,17.48,43.03,0.98,46.07,100,二级
江苏省,常州市,2016-01,76.43,107.28,24.61,45.91,1.11,38.33,105,三级
江苏省,常州市,2016-02,64.69,97.49,19.79,34.78,1.1,54.36,90,二级
江苏省,常州市,2016-03,66.27,103.67,20.49,43.66,1.08,53.2,92,二级
江苏省,常州市,2016-04,43.0,78.53,15.7,37.09,0.97,69.68,66,二级
江苏省,常州市,2016-05,40.95,77.57,13.32,29.49,0.94,77.96,66,二级
江苏省,常州市,2016-06,33.4,56.08,11.39,24.49,0.73,67.91,52,二级
江苏省,常州市,2016-07,29.98,49.96,10.87,21.92,0.67,71.02,49,一级
江苏省,常州市,2016-08,24.47,44.65,12.58,21.49,0.63,80.95,47,一级
江苏省,常州市,2016-09,35.29,56.7,14.22,27.2,0.73,79.8,54,二级
江苏省,常州市,2016-10,28.65,46.86,12.98,32.07,0.81,47.5,49,一级
江苏省,常州市,2016-11,50.28,79.14,17.58,44.47,1.0,40.6,73,二级
江苏省,常州市,2016-12,72.35,102.88,18.58,51.87,1.17,35.35,99,二级
江苏省,南通市,2016-01,69.5,97.56,24.24,30.41,0.89,52.22,96,二级
江苏省,南通市,2016-02,60.41,87.28,20.18,26.66,0.81,60.97,84,二级
江苏省,南通市,2016-03,51.92,77.72,18.43,30.19,0.66,74.04,76,二级
江苏省,南通市,2016-04,49.32,76.62,16.1,28.2,0.64,87.71,71,二级
江苏省,南通市,2016-05,40.6,63.36,13.93,22.91,0.56,94.89,65,二级
江苏省,南通市,2016-06,34.85,51.98,14.22,22.35,0.55,84.59,56,二级
江苏省,南通市,2016-07,32.36,50.72,14.77,21.75,0.54,82.3,52,二级
江苏省,南通市,2016-08,18.11,28.84,10.02,11.04,0.35,73.69,40,一级
江苏省,南通市,2016-09,32.19,47.09,13.24,15.9,0.51,93.4,54,二级
江苏省,南通市,2016-10,19.02,29.1,8.08,12.74,0.4,72.77,40,一级
江苏省,南通市,2016-11,45.23,65.13,16.0,31.64,0.67,56.9,67,二级
江苏省,南通市,2016-12,57.94,78.6,17.47,32.63,0.76,52.26,81,二级
江苏省,淮安市,2016-01,83.42,118.69,24.25,31.87,1.24,43.22,113,三级
江苏省,淮安市,2016-02,75.14,115.43,21.09,27.91,1.21,53.98,103,三级
江苏省,淮安市,2016-03,65.52,113.09,18.71,28.62,1.12,64.2,93,二级
江苏省,淮安市,2016-04,52.44,96.83,17.32,29.17,1.11,80.22,78,二级
江苏省,淮安市,2016-05,41.38,73.1,13.59,20.31,0.86,88.32,65,二级
江苏省,淮安市,2016-06,35.81,58.94,12.5,15.46,0.67,90.84,58,二级
江苏省,淮安市,2016-07,30.35,48.19,10.19,11.54,0.54,83.74,49,一级
江苏省,淮安市,2016-08,21.97,39.99,9.91,10.85,0.48,77.93,45,一级
江苏省,淮安市,2016-09,34.93,59.86,11.92,15.1,0.6,94.58,57,二级
江苏省,淮安市,2016-10,27.49,45.35,8.58,17.52,0.58,56.45,45,一级
江苏省,淮安市,2016-11,50.6,85.76,13.85,33.89,0.8,49.35,74,二级
江苏省,淮安市,2016-12,74.26,114.91,17.05,41.27,1.06,43.46,102,三级
江苏省,宿迁市,2016-01,92.06,130.34,27.32,35.14,1.43,38.1,124,三级
江苏省,宿迁市,2016-02,80.48,124.73,23.69,31.12,1.52,53.3,110,三级
江苏省,宿迁市,2016-03,67.18,120.99,20.28,30.39,1.37,64.25,96,二级
江苏省,宿迁市,2016-04,53.56,104.38,18.45,30.1,1.21,77.3,80,二级
江苏省,宿迁市,2016-05,40.71,74.3,14.79,21.39,0.82,87.19,64,二级
江苏省,宿迁市,2016-06,35.58,60.61,11.75,16.38,0.7,91.68,59,二级
江苏省,宿迁市,2016-07,30.52,48.44,9.39,11.18,0.54,82.17,49,一级
江苏省,宿迁市,2016-08,23.85,42.46,10.9,12.37,0.54,78.44,45,一级
江苏省,宿迁市,2016-09,38.56,62.79,13.23,18.09,0.66,94.41,59,二级
江苏省,宿迁市,2016-10,31.0,50.15,9.24,20.67,0.66,52.84,49,一级
江苏省,宿迁市,2016-11,56.2,87.36,14.53,35.23,0.86,45.64,80,二级
江苏省,宿迁市,2016-12,82.81,116.46,18.65,44.74,1.17,38.96,112,三级
江苏省,徐州市,2016-01,109.25,165.61,40.95,48.07,1.56,29.13,144,三级
江苏省,徐州市,2016-02,88.41,146.64,35.04,39.04,1.52,48.32,120,三级
江苏省,徐州市,2016-03,72.11,141.78,29.85,38.9,1.36,66.1,104,三级
江苏省,徐州市,2016-04,61.48,128.37,24.71,32.26,1.18,77.45,92,二级
江苏省,徐州市,2016-05,42.76,89.84,21.47,24.29,0.89,88.42,71,二级
江苏省,徐州市,2016-06,37.83,70.91,16.22,20.38,0.85,93.18,63,二级
江苏省,徐州市,2016-07,33.25,58.16,14.35,15.77,0.71,74.27,54,二级
江苏省,徐州市,2016-08,29.67,57.21,18.33,19.35,0.76,73.47,53,二级
江苏省,徐州市,2016-09,44.88,78.3,21.83,29.1,0.88,82.26,66,二级
江苏省,徐州市,2016-10,40.73,70.62,15.6,31.13,0.86,44.19,63,二级
江苏省,徐州市,2016-11,68.66,113.49,21.68,42.33,1.0,35.96,96,二级
江苏省,徐州市,2016-12,109.94,159.54,28.93,52.42,1.37,28.74,145,三级
江苏省,泰州市,2016-01,76.96,116.95,24.88,33.47,1.01,49.64,106,三级
江苏省,泰州市,2016-02,72.97,113.71,22.27,30.82,1.1,57.76,100,二级
江苏省,泰州市,2016-03,63.3,109.85,21.91,36.95,0.94,66.68,90,二级
江苏省,泰州市,2016-04,50.66,92.66,19.28,34.88,0.91,78.89,76,二级
江苏省,泰州市,2016-05,42.84,76.84,15.22,25.91,0.77,85.43,68,二级
江苏省,泰州市,2016-06,35.97,61.78,14.39,21.97,0.7,80.31,58,二级
江苏省,泰州市,2016-07,34.66,56.64,13.86,20.47,0.62,77.74,53,二级
江苏省,泰州市,2016-08,21.95,39.29,12.1,14.7,0.5,73.03,44,一级
江苏省,泰州市,2016-09,34.6,57.08,14.22,18.13,0.62,88.15,55,二级
江苏省,泰州市,2016-10,24.79,38.95,9.92,17.72,0.54,62.74,42,一级
江苏省,泰州市,2016-11,53.05,82.2,16.14,38.21,0.82,52.58,75,二级
江苏省,泰州市,2016-12,72.58,104.03,18.5,41.87,0.97,47.34,99,二级
江苏省,无锡市,2016-01,76.48,107.86,27.67,50.47,1.15,36.79,105,三级
江苏省,无锡市,2016-02,64.79,98.02,21.28,38.85,1.1,53.68,90,二级
江苏省,无锡市,2016-03,67.29,105.14,23.06,49.44,1.1,56.8,93,二级
江苏省,无锡市,2016-04,48.88,84.03,17.58,44.2,1.05,74.41,73,二级
江苏省,无锡市,2016-05,45.86,82.13,14.75,36.0,1.01,81.35,71,二级
江苏省,无锡市,2016-06,37.01,58.32,13.19,31.0,0.78,70.07,56,二级
江苏省,无锡市,2016-07,33.62,54.97,12.87,27.68,0.71,72.9,54,二级
江苏省,无锡市,2016-08,24.97,45.98,13.84,24.17,0.64,79.04,48,一级
江苏省,无锡市,2016-09,36.86,58.8,16.05,32.96,0.76,78.17,57,二级
江苏省,无锡市,2016-10,28.88,47.72,13.98,36.31,0.82,47.14,52,二级
江苏省,无锡市,2016-11,51.49,81.23,19.28,50.34,1.02,37.73,76,二级
江苏省,无锡市,2016-12,71.7,103.23,21.06,56.08,1.16,33.1,100,二级
江苏省,苏州市,2016-01,70.59,99.24,24.62,50.25,1.05,40.63,99,二级
江苏省,苏州市,2016-02,58.72,89.11,18.79,37.9,0.94,56.83,82,二级
江苏省,苏州市,2016-03,59.74,92.07,19.08,46.37,0.88,65.0,85,二级
江苏省,苏州市,2016-04,48.41,79.67,15.51,44.43,0.88,81.28,73,二级
江苏省,苏州市,2016-05,44.49,75.48,13.46,35.74,0.85,87.73,69,二级
江苏省,苏州市,2016-06,34.91,54.08,13.04,31.78,0.72,75.34,55,二级
江苏省,苏州市,2016-07,33.57,55.38,12.65,28.29,0.7,76.78,54,二级
江苏省,苏州市,2016-08,21.95,40.88,11.9,22.28,0.57,76.92,45,一级
江苏省,苏州市,2016-09,33.62,53.64,13.88,31.2,0.69,80.04,54,二级
江苏省,苏州市,2016-10,25.16,42.98,11.86,33.32,0.68,53.95,48,一级
江苏省,苏州市,2016-11,47.84,75.8,17.24,50.47,0.89,41.08,73,二级
江苏省,苏州市,2016-12,64.74,93.94,19.68,54.8,1.0,36.96,93,二级
江苏省,南京市,2016-01,78.14,110.15,22.91,43.49,1.19,35.28,107,三级
江苏省,南京市,2016-02,63.81,97.4,19.97,34.31,1.18,48.69,89,二级
江苏省,南京市,2016-03,67.68,104.75,19.88,41.14,1.09,49.4,94,二级
江苏省,南京市,2016-04,44.04,77.36,16.35,34.31,0.92,65.41,66,二级
江苏省,南京市,2016-05,41.91,76.88,14.89,27.9,0.85,74.76,67,二级
江苏省,南京市,2016-06,34.63,57.63,14.86,25.65,0.78,67.41,55,二级
江苏省,南京市,2016-07,29.15,49.64,13.98,23.73,0.75,66.12,49,一级
江苏省,南京市,2016-08,24.7,46.21,13.79,22.75,0.68,80.93,48,一级
江苏省,南京市,2016-09,34.56,57.98,14.74,27.36,0.74,84.4,54,二级
江苏省,南京市,2016-10,28.07,46.42,12.32,30.63,0.83,48.76,48,一级
江苏省,南京市,2016-11,47.22,79.41,17.37,43.93,1.04,41.99,70,二级
江苏省,南京市,2016-12,70.03,105.32,19.27,53.03,1.17,37.94,96,二级
江苏省,连云港市,2016-01,93.03,139.73,34.98,37.93,1.39,35.85,126,三级
江苏省,连云港市,2016-02,64.42,113.37,28.05,28.58,1.22,55.85,91,二级
江苏省,连云港市,2016-03,58.04,116.74,21.44,29.47,1.03,68.62,88,二级
江苏省,连云港市,2016-04,53.58,112.85,18.57,28.56,1.04,85.02,84,二级
江苏省,连云港市,2016-05,40.34,76.43,14.98,20.68,0.71,89.53,65,二级
江苏省,连云港市,2016-06,31.49,61.8,10.66,14.66,0.64,93.3,59,二级
江苏省,连云港市,2016-07,27.4,48.6,8.7,11.48,0.56,80.38,47,一级
江苏省,连云港市,2016-08,20.0,38.18,8.61,13.02,0.52,75.12,43,一级
江苏省,连云港市,2016-09,36.24,63.77,13.45,20.94,0.71,91.4,58,二级
江苏省,连云港市,2016-10,28.18,45.81,8.41,21.27,0.6,58.37,47,一级
江苏省,连云港市,2016-11,53.68,87.91,16.37,36.44,0.89,44.07,77,二级
江苏省,连云港市,2016-12,78.25,117.58,20.75,45.11,1.25,35.97,107,三级
江苏省,盐城市,2016-01,72.75,107.51,23.52,28.89,0.97,49.85,101,三级
江苏省,盐城市,2016-02,63.51,97.52,20.29,23.61,0.89,60.41,89,二级
江苏省,盐城市,2016-03,50.92,89.96,16.62,22.95,0.75,75.02,76,二级
江苏省,盐城市,2016-04,45.63,82.83,14.92,22.82,0.8,92.73,70,二级
江苏省,盐城市,2016-05,37.9,61.3,11.96,15.97,0.62,94.01,62,二级
江苏省,盐城市,2016-06,32.97,52.4,10.89,11.22,0.51,94.13,57,二级
江苏省,盐城市,2016-07,28.29,44.45,10.51,11.59,0.46,83.39,48,一级
江苏省,盐城市,2016-08,17.83,29.83,7.08,7.82,0.33,75.02,41,一级
江苏省,盐城市,2016-09,30.04,52.56,11.13,10.44,0.51,99.09,56,二级
江苏省,盐城市,2016-10,18.99,31.32,6.83,9.72,0.39,71.12,40,一级
江苏省,盐城市,2016-11,45.3,74.9,14.08,28.69,0.67,55.32,68,二级
江苏省,盐城市,2016-12,58.41,90.83,16.6,31.33,0.82,48.55,82,二级
江苏省,镇江市,2016-01,78.77,113.12,26.73,41.98,1.1,38.15,108,三级
江苏省,镇江市,2016-02,68.99,106.74,22.96,35.8,1.16,51.13,95,二级
江苏省,镇江市,2016-03,67.65,112.37,23.7,43.99,1.08,50.95,95,二级
江苏省,镇江市,2016-04,44.06,86.16,20.18,37.56,0.97,65.86,70,二级
江苏省,镇江市,2016-05,40.71,82.2,16.45,29.06,0.89,76.71,68,二级
江苏省,镇江市,2016-06,33.27,61.48,14.38,25.3,0.77,68.51,55,二级
江苏省,镇江市,2016-07,31.05,54.86,13.4,23.27,0.72,69.02,51,二级
江苏省,镇江市,2016-08,24.79,48.19,15.61,23.11,0.67,77.52,49,一级
江苏省,镇江市,2016-09,36.08,60.93,16.13,26.89,0.74,81.42,56,二级
江苏省,镇江市,2016-10,27.03,45.47,12.82,28.33,0.78,49.05,46,一级
江苏省,镇江市,2016-11,50.19,83.0,17.96,42.79,1.0,41.57,72,二级
江苏省,镇江市,2016-12,72.91,107.17,19.0,50.26,1.12,36.7,99,二级
