province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
江西省,九江市,2017-01,71.07,89.75,15.3,24.25,0.94,46.5,96,二级
江西省,九江市,2017-02,58.91,76.74,13.4,17.45,0.8,57.95,81,二级
江西省,九江市,2017-03,42.92,60.82,11.09,17.08,0.67,61.36,63,二级
江西省,九江市,2017-04,38.01,61.18,11.87,14.81,0.63,78.54,58,二级
江西省,九江市,2017-05,41.49,64.67,10.08,11.39,0.59,95.72,64,二级
江西省,九江市,2017-06,28.91,41.27,8.86,8.56,0.56,75.07,44,一级
江西省,九江市,2017-07,23.43,36.86,7.81,8.33,0.47,69.63,39,一级
江西省,九江市,2017-08,24.28,38.38,9.24,7.61,0.54,68.35,40,一级
江西省,九江市,2017-09,30.51,47.78,10.64,10.41,0.66,77.3,50,一级
江西省,九江市,2017-10,32.49,50.71,12.08,16.45,0.63,66.7,50,一级
江西省,九江市,2017-11,52.96,74.83,13.56,25.52,0.76,52.27,74,二级
江西省,九江市,2017-12,59.52,82.97,14.99,32.42,0.82,39.89,82,二级
江西省,吉安市,2017-01,70.32,96.29,19.58,23.46,1.05,48.32,95,二级
江西省,吉安市,2017-02,56.74,77.82,15.98,16.2,0.84,59.18,78,二级
江西省,吉安市,2017-03,40.86,58.14,15.52,16.47,0.81,52.76,59,二级
江西省,吉安市,2017-04,37.55,55.03,16.54,12.27,0.66,77.18,55,二级
江西省,吉安市,2017-05,41.98,60.07,15.34,10.24,0.66,82.91,60,二级
江西省,吉安市,2017-06,28.42,38.97,12.82,9.11,0.59,57.84,42,一级
江西省,吉安市,2017-07,22.3,33.52,8.81,8.48,0.51,50.51,35,一级
江西省,吉安市,2017-08,24.2,35.15,9.6,7.78,0.51,61.99,37,一级
江西省,吉安市,2017-09,37.77,53.25,14.01,9.3,0.71,78.86,56,二级
江西省,吉安市,2017-10,40.27,57.02,17.75,14.94,0.72,67.78,57,二级
江西省,吉安市,2017-11,57.09,77.99,20.41,23.63,0.92,49.57,78,二级
江西省,吉安市,2017-12,63.98,89.13,23.71,28.43,0.92,45.42,87,二级
江西省,萍乡市,2017-01,81.17,110.74,19.23,23.62,1.17,39.74,110,三级
江西省,萍乡市,2017-02,62.17,87.18,16.42,19.81,0.98,49.04,85,二级
江西省,萍乡市,2017-03,43.37,64.94,14.89,19.43,0.89,43.94,63,二级
江西省,萍乡市,2017-04,37.6,62.08,16.59,15.47,0.82,60.88,58,二级
江西省,萍乡市,2017-05,41.01,65.99,14.7,12.25,0.76,72.7,61,二级
江西省,萍乡市,2017-06,26.04,39.71,12.14,11.78,0.71,55.99,42,一级
江西省,萍乡市,2017-07,22.21,37.43,8.7,10.87,0.58,49.81,37,一级
江西省,萍乡市,2017-08,22.35,38.46,9.66,10.1,0.59,53.15,39,一级
江西省,萍乡市,2017-09,38.29,60.71,15.61,13.6,0.77,70.71,58,二级
江西省,萍乡市,2017-10,39.01,60.87,17.73,19.54,0.7,55.87,57,二级
江西省,萍乡市,2017-11,54.1,82.13,21.86,30.51,0.94,42.29,75,二级
江西省,萍乡市,2017-12,70.12,102.43,25.27,34.75,1.1,37.35,95,二级
江西省,新余市,2017-01,78.15,111.55,23.3,31.54,1.15,41.54,105,三级
江西省,新余市,2017-02,63.31,92.52,20.25,26.77,0.96,51.42,87,二级
江西省,新余市,2017-03,41.99,65.42,18.27,27.03,0.91,46.85,62,二级
江西省,新余市,2017-04,41.01,66.51,21.37,21.38,0.89,66.94,61,二级
江西省,新余市,2017-05,46.38,73.76,19.45,18.52,0.96,79.42,67,二级
江西省,新余市,2017-06,29.96,46.38,15.91,15.94,0.83,53.43,46,一级
江西省,新余市,2017-07,27.51,44.72,12.06,14.55,0.78,49.03,43,一级
江西省,新余市,2017-08,26.23,43.41,11.47,12.65,0.74,56.28,44,一级
江西省,新余市,2017-09,40.8,63.4,17.06,16.78,0.87,72.86,60,二级
江西省,新余市,2017-10,41.23,65.06,20.97,22.06,0.79,61.09,60,二级
江西省,新余市,2017-11,62.03,93.3,27.04,35.62,1.03,42.03,85,二级
江西省,新余市,2017-12,68.35,104.25,29.9,40.98,1.04,35.69,93,二级
江西省,赣州市,2017-01,54.53,72.53,16.61,16.93,1.23,49.72,76,二级
江西省,赣州市,2017-02,43.88,58.71,14.37,13.54,1.0,61.07,62,二级
江西省,赣州市,2017-03,35.36,51.29,14.67,14.42,0.93,54.54,52,二级
江西省,赣州市,2017-04,35.28,49.93,14.22,12.52,0.71,73.67,52,二级
江西省,赣州市,2017-05,39.17,54.39,14.36,12.15,0.71,80.61,56,二级
江西省,赣州市,2017-06,23.82,32.97,10.59,9.47,0.58,55.43,36,一级
江西省,赣州市,2017-07,19.31,28.27,6.81,8.57,0.5,48.72,30,一级
江西省,赣州市,2017-08,24.53,33.93,9.06,9.25,0.52,67.04,39,一级
江西省,赣州市,2017-09,33.75,45.6,11.01,9.05,0.67,77.05,50,一级
江西省,赣州市,2017-10,33.71,44.25,12.87,10.76,0.79,75.24,49,一级
江西省,赣州市,2017-11,42.13,56.54,14.5,15.96,0.99,54.44,60,二级
江西省,赣州市,2017-12,51.08,70.35,18.27,22.25,1.06,55.13,71,二级
江西省,抚州市,2017-01,61.76,79.19,15.06,19.85,0.85,48.58,84,二级
江西省,抚州市,2017-02,50.62,64.23,13.05,14.11,0.71,61.63,70,二级
江西省,抚州市,2017-03,36.06,49.14,13.12,14.57,0.64,61.46,53,二级
江西省,抚州市,2017-04,33.09,47.53,11.94,10.4,0.55,76.89,50,一级
江西省,抚州市,2017-05,35.58,48.63,10.34,8.72,0.54,87.6,53,二级
江西省,抚州市,2017-06,21.82,29.37,9.25,7.01,0.48,58.89,34,一级
江西省,抚州市,2017-07,19.47,26.58,5.21,6.63,0.37,48.58,30,一级
江西省,抚州市,2017-08,22.13,30.26,8.41,6.09,0.41,58.64,35,一级
江西省,抚州市,2017-09,30.61,40.29,11.3,7.32,0.54,73.63,46,一级
江西省,抚州市,2017-10,33.41,44.04,13.28,11.87,0.6,67.49,49,一级
江西省,抚州市,2017-11,46.99,61.24,17.09,20.2,0.69,48.2,66,二级
江西省,抚州市,2017-12,55.24,72.44,18.72,23.74,0.67,43.7,76,二级
江西省,鹰潭市,2017-01,62.92,84.3,17.67,27.36,0.87,45.06,87,二级
江西省,鹰潭市,2017-02,52.95,69.01,16.3,20.94,0.74,57.81,74,二级
江西省,鹰潭市,2017-03,38.54,55.28,17.27,23.65,0.7,58.51,57,二级
江西省,鹰潭市,2017-04,34.28,53.63,16.22,16.84,0.62,73.6,53,二级
江西省,鹰潭市,2017-05,36.36,52.76,14.09,13.25,0.64,88.33,55,二级
江西省,鹰潭市,2017-06,22.18,32.15,11.51,10.53,0.63,56.19,35,一级
