province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
河北省,保定市,2016-01,87.96,121.42,39.32,52.85,1.97,29.71,118,三级
河北省,保定市,2016-02,49.38,70.33,29.77,33.09,1.27,47.84,72,二级
河北省,保定市,2016-03,55.77,106.2,27.26,41.27,0.95,56.95,87,二级
河北省,保定市,2016-04,50.45,97.38,15.43,28.52,0.59,75.01,79,二级
河北省,保定市,2016-05,47.94,82.07,16.17,25.42,0.58,92.13,72,二级
河北省,保定市,2016-06,43.08,67.87,13.11,21.88,0.59,103.45,69,二级
河北省,保定市,2016-07,60.02,83.5,11.79,22.51,0.7,99.92,83,二级
河北省,保定市,2016-08,38.02,54.34,10.21,20.89,0.6,80.67,57,二级
河北省,保定市,2016-09,54.67,85.46,14.43,29.18,0.69,75.35,78,二级
河北省,保定市,2016-10,70.02,103.97,15.29,42.9,0.86,38.82,96,二级
河北省,保定市,2016-11,91.06,137.99,23.82,53.82,1.34,26.32,122,三级
河北省,保定市,2016-12,129.36,165.44,32.51,67.48,2.33,21.92,167,四级
河北省,衡水市,2016-01,121.26,169.64,49.31,58.83,2.18,23.94,157,四级
河北省,衡水市,2016-02,82.0,120.55,39.4,41.41,1.81,44.52,112,三级
河北省,衡水市,2016-03,84.65,159.8,32.85,44.94,1.47,58.57,122,三级
河北省,衡水市,2016-04,64.82,130.71,22.36,34.33,0.92,78.18,98,二级
河北省,衡水市,2016-05,50.89,94.11,19.99,29.71,0.8,96.99,79,二级
河北省,衡水市,2016-06,49.23,81.07,17.25,23.72,0.79,118.27,79,二级
河北省,衡水市,2016-07,64.99,90.96,13.36,23.91,0.85,97.07,88,二级
河北省,衡水市,2016-08,45.0,69.69,13.24,26.4,0.87,76.81,67,二级
河北省,衡水市,2016-09,52.53,100.33,20.29,37.53,1.01,93.64,82,二级
河北省,衡水市,2016-10,69.63,113.97,18.32,46.14,1.14,44.89,98,二级
河北省,衡水市,2016-11,105.22,177.96,28.26,57.58,1.61,25.81,140,三级
河北省,衡水市,2016-12,152.5,234.09,35.88,65.51,2.33,17.99,195,四级
河北省,沧州市,2016-01,88.53,127.48,38.86,52.86,1.85,24.17,120,三级
河北省,沧州市,2016-02,59.3,92.08,31.67,37.97,1.55,41.75,84,二级
河北省,沧州市,2016-03,72.23,136.64,30.47,44.72,1.29,54.06,106,三级
河北省,沧州市,2016-04,60.33,120.02,20.23,33.57,0.87,74.63,92,二级
河北省,沧州市,2016-05,48.57,90.16,19.89,30.92,0.77,91.59,75,二级
河北省,沧州市,2016-06,47.5,77.25,17.34,24.23,0.77,113.0,75,二级
河北省,沧州市,2016-07,55.47,76.36,12.73,19.66,0.75,93.4,77,二级
河北省,沧州市,2016-08,40.47,61.82,12.17,23.25,0.76,74.46,61,二级
河北省,沧州市,2016-09,49.3,83.82,18.98,34.17,0.91,90.31,73,二级
河北省,沧州市,2016-10,65.86,98.49,18.32,45.22,1.03,45.53,93,二级
河北省,沧州市,2016-11,97.56,150.07,27.75,57.05,1.56,26.38,131,三级
河北省,沧州市,2016-12,132.22,186.99,38.06,70.59,2.33,18.14,172,四级
河北省,秦皇岛市,2016-01,40.42,68.42,24.61,32.22,1.36,34.64,64,二级
河北省,秦皇岛市,2016-02,32.33,53.81,19.97,27.71,1.08,44.22,53,二级
河北省,秦皇岛市,2016-03,54.45,96.3,23.58,43.05,1.2,52.35,84,二级
河北省,秦皇岛市,2016-04,40.7,84.54,15.79,32.57,0.79,72.25,69,二级
河北省,秦皇岛市,2016-05,34.12,65.53,17.04,29.74,0.78,90.79,60,二级
河北省,秦皇岛市,2016-06,40.25,65.37,16.46,24.7,0.79,100.09,63,二级
河北省,秦皇岛市,2016-07,39.2,63.44,12.1,18.67,0.76,87.0,60,二级
河北省,秦皇岛市,2016-08,27.99,45.87,11.31,21.99,0.75,66.21,48,一级
河北省,秦皇岛市,2016-09,38.16,64.26,14.81,29.81,0.82,67.64,60,二级
河北省,秦皇岛市,2016-10,42.19,70.33,18.22,39.24,1.06,44.03,64,二级
河北省,秦皇岛市,2016-11,60.54,99.07,24.75,48.13,1.56,26.94,86,二级
河北省,秦皇岛市,2016-12,81.21,126.34,33.68,55.45,2.21,23.87,111,三级
河北省,邯郸市,2016-01,109.31,177.05,72.17,64.06,2.78,22.31,145,三级
河北省,邯郸市,2016-02,70.65,122.57,50.94,45.88,2.29,40.32,102,三级
河北省,邯郸市,2016-03,75.29,163.85,46.76,50.91,1.57,52.38,116,三级
河北省,邯郸市,2016-04,65.27,139.81,31.09,41.1,1.21,71.0,100,二级
河北省,邯郸市,2016-05,41.78,85.82,23.43,34.91,1.05,84.45,70,二级
河北省,邯郸市,2016-06,43.74,82.23,20.18,31.9,1.14,95.34,70,二级
河北省,邯郸市,2016-07,50.63,84.97,13.74,27.63,1.25,81.07,73,二级
河北省,邯郸市,2016-08,37.67,70.85,14.56,26.35,1.23,70.85,61,二级
河北省,邯郸市,2016-09,54.68,101.55,24.91,39.22,1.38,73.1,82,二级
河北省,邯郸市,2016-10,50.91,103.58,23.59,48.23,1.41,37.86,81,二级
河北省,邯郸市,2016-11,98.21,173.08,41.49,59.84,1.91,24.31,133,三级
河北省,邯郸市,2016-12,169.58,235.89,59.36,70.66,2.79,18.28,212,五级
河北省,石家庄市,2016-01,101.62,149.76,56.39,59.25,2.04,24.38,135,三级
河北省,石家庄市,2016-02,57.47,89.93,40.37,36.82,1.29,45.33,84,二级
河北省,石家庄市,2016-03,66.45,139.15,41.43,50.11,1.12,52.44,103,三级
河北省,石家庄市,2016-04,51.56,107.91,23.93,35.38,0.76,69.57,83,二级
河北省,石家庄市,2016-05,47.32,89.78,23.25,34.19,0.71,85.11,74,二级
河北省,石家庄市,2016-06,41.22,74.82,17.22,26.76,0.75,90.77,65,二级
河北省,石家庄市,2016-07,61.0,93.12,13.56,26.67,0.88,85.44,84,二级
河北省,石家庄市,2016-08,34.85,60.55,11.61,25.19,0.79,67.5,56,二级
河北省,石家庄市,2016-09,61.5,107.15,21.72,40.36,0.94,73.84,91,二级
河北省,石家庄市,2016-10,77.99,128.09,21.77,49.16,1.12,37.43,107,三级
河北省,石家庄市,2016-11,112.52,185.92,41.7,62.74,1.71,24.43,149,三级
河北省,石家庄市,2016-12,169.75,231.71,53.05,74.04,2.72,19.96,212,五级
河北省,张家口市,2016-01,20.62,32.8,12.7,14.7,0.62,49.92,38,一级
河北省,张家口市,2016-02,20.19,32.78,12.34,12.42,0.58,58.52,42,一级
河北省,张家口市,2016-03,25.5,52.53,12.4,15.51,0.54,67.39,54,二级
河北省,张家口市,2016-04,34.93,60.18,7.57,11.19,0.35,77.08,58,二级
河北省,张家口市,2016-05,30.27,48.33,7.54,9.53,0.34,97.77,57,二级
河北省,张家口市,2016-06,27.11,41.39,7.64,8.82,0.35,99.72,55,二级
河北省,张家口市,2016-07,40.14,56.97,9.19,9.67,0.45,111.95,68,二级
河北省,张家口市,2016-08,26.88,40.04,6.71,8.6,0.38,85.93,49,一级
河北省,张家口市,2016-09,24.58,37.83,7.34,11.23,0.37,66.41,43,一级
河北省,张家口市,2016-10,32.45,49.07,9.3,17.5,0.47,55.44,50,一级
河北省,张家口市,2016-11,33.68,59.13,14.59,24.34,0.68,44.0,57,二级
河北省,张家口市,2016-12,37.17,56.98,19.4,25.03,0.78,39.92,55,二级
河北省,唐山市,2016-01,58.67,91.54,32.91,46.25,1.79,28.89,84,二级
河北省,唐山市,2016-02,44.12,69.64,24.72,34.34,1.26,42.06,66,二级
河北省,唐山市,2016-03,68.3,121.56,30.99,52.92,1.42,47.23,102,三级
河北省,唐山市,2016-04,50.37,108.84,25.25,40.74,1.15,69.08,83,二级
河北省,唐山市,2016-05,41.69,83.53,22.05,36.95,0.96,90.56,70,二级
河北省,唐山市,2016-06,50.2,82.66,21.75,33.67,1.13,102.29,74,二级
河北省,唐山市,2016-07,44.83,71.74,16.21,26.34,1.13,81.73,65,二级
河北省,唐山市,2016-08,32.0,52.49,16.07,31.04,1.15,62.36,53,二级
河北省,唐山市,2016-09,48.75,80.26,21.52,39.64,1.14,70.0,71,二级
河北省,唐山市,2016-10,55.41,89.35,23.92,48.21,1.34,37.61,80,二级
河北省,唐山市,2016-11,81.59,130.26,32.6,59.81,1.96,20.24,111,三级
河北省,唐山市,2016-12,108.01,158.47,39.81,68.73,2.82,17.16,142,三级
河北省,廊坊市,2016-01,84.32,122.16,34.14,56.9,1.81,22.96,115,三级
河北省,廊坊市,2016-02,48.62,73.9,24.71,36.96,1.2,42.12,73,二级
河北省,廊坊市,2016-03,73.77,135.07,26.76,51.09,1.2,49.76,110,三级
河北省,廊坊市,2016-04,55.6,112.89,15.87,37.82,0.81,71.9,89,二级
河北省,廊坊市,2016-05,45.94,85.01,15.66,33.41,0.72,89.98,73,二级
