province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
河南省,鹤壁市,2016-01,119.2,192.88,68.97,66.49,2.99,22.39,162,四级
河南省,鹤壁市,2016-02,72.99,138.03,56.81,48.52,2.55,42.37,108,三级
河南省,鹤壁市,2016-03,78.95,177.23,50.41,52.75,1.56,56.61,121,三级
河南省,鹤壁市,2016-04,64.42,140.03,32.62,42.38,1.16,71.95,100,二级
河南省,鹤壁市,2016-05,38.98,79.92,22.04,31.6,0.93,84.19,67,二级
河南省,鹤壁市,2016-06,39.71,77.16,17.56,28.91,1.05,95.41,67,二级
河南省,鹤壁市,2016-07,41.35,72.55,11.59,22.59,1.24,83.06,63,二级
河南省,鹤壁市,2016-08,32.78,61.0,16.9,24.59,1.25,77.88,56,二级
河南省,鹤壁市,2016-09,51.47,94.83,28.02,38.22,1.32,82.31,77,二级
河南省,鹤壁市,2016-10,46.58,88.98,22.88,46.6,1.38,38.25,73,二级
河南省,鹤壁市,2016-11,107.49,173.67,34.72,58.9,1.99,24.57,142,三级
河南省,鹤壁市,2016-12,164.31,222.24,48.84,69.67,2.86,19.61,203,五级
河南省,焦作市,2016-01,135.52,208.52,72.0,65.53,2.69,22.01,177,四级
河南省,焦作市,2016-02,68.14,123.52,64.2,43.09,1.88,45.51,100,二级
河南省,焦作市,2016-03,85.96,172.53,66.04,57.52,1.79,59.68,125,三级
河南省,焦作市,2016-04,75.79,150.07,46.84,48.42,1.57,69.88,110,三级
河南省,焦作市,2016-05,41.34,86.44,32.27,36.61,1.2,85.29,70,二级
河南省,焦作市,2016-06,44.21,87.02,21.61,32.28,1.42,93.62,71,二级
河南省,焦作市,2016-07,42.16,72.62,13.1,23.01,1.33,75.36,64,二级
河南省,焦作市,2016-08,32.13,55.55,14.46,24.08,1.38,72.59,53,二级
河南省,焦作市,2016-09,45.01,83.32,27.11,39.45,1.66,66.35,70,二级
河南省,焦作市,2016-10,38.72,71.73,21.87,44.38,1.51,36.35,64,二级
河南省,焦作市,2016-11,108.35,178.12,46.3,61.83,2.12,22.24,146,三级
河南省,焦作市,2016-12,143.15,200.5,45.66,65.77,2.34,19.64,179,四级
河南省,平顶山市,2016-01,120.65,178.74,44.36,49.2,1.86,28.57,158,四级
河南省,平顶山市,2016-02,68.96,118.96,37.68,35.56,1.49,50.07,100,二级
河南省,平顶山市,2016-03,67.2,141.96,32.12,39.22,1.24,69.55,104,三级
河南省,平顶山市,2016-04,58.23,119.41,25.39,33.73,1.12,79.07,89,二级
河南省,平顶山市,2016-05,40.33,78.71,19.44,24.73,0.9,102.83,70,二级
河南省,平顶山市,2016-06,40.16,67.02,14.88,21.98,0.93,108.78,66,二级
河南省,平顶山市,2016-07,36.91,58.07,12.64,19.34,0.87,86.83,58,二级
河南省,平顶山市,2016-08,41.49,67.75,11.25,20.7,1.05,99.41,64,二级
河南省,平顶山市,2016-09,50.03,87.01,21.04,31.6,1.08,90.48,74,二级
河南省,平顶山市,2016-10,40.28,66.39,16.48,36.08,1.0,42.71,62,二级
河南省,平顶山市,2016-11,83.28,134.21,23.23,43.18,1.37,30.58,114,三级
河南省,平顶山市,2016-12,121.29,173.62,29.13,51.73,1.49,26.99,157,四级
河南省,漯河市,2016-01,132.89,198.73,43.32,49.43,1.92,27.73,173,四级
河南省,漯河市,2016-02,80.29,153.45,41.27,39.37,1.55,54.02,118,三级
河南省,漯河市,2016-03,80.5,160.28,30.85,41.74,1.39,69.87,120,三级
河南省,漯河市,2016-04,64.78,131.08,26.39,37.4,1.28,77.78,96,二级
河南省,漯河市,2016-05,44.02,91.26,20.56,27.99,0.99,93.78,74,二级
河南省,漯河市,2016-06,40.86,72.92,16.62,25.34,0.99,97.68,65,二级
河南省,漯河市,2016-07,32.69,54.6,12.71,21.76,0.89,75.25,54,二级
河南省,漯河市,2016-08,40.23,68.72,14.49,21.57,0.99,89.22,63,二级
河南省,漯河市,2016-09,52.87,98.74,22.6,34.66,1.0,89.79,79,二级
河南省,漯河市,2016-10,41.67,67.08,17.3,36.63,0.98,39.42,62,二级
河南省,漯河市,2016-11,87.52,140.29,20.78,44.1,1.39,31.15,119,三级
河南省,漯河市,2016-12,138.37,193.37,27.72,55.59,1.74,27.31,175,四级
河南省,济源市,2016-01,105.79,161.87,64.65,54.81,2.24,29.65,141,三级
河南省,济源市,2016-02,51.38,88.68,50.45,30.96,1.8,50.05,78,二级
河南省,济源市,2016-03,70.11,126.51,53.79,45.3,1.66,65.41,101,三级
河南省,济源市,2016-04,66.1,119.33,37.75,35.3,1.62,75.21,94,二级
河南省,济源市,2016-05,38.67,66.33,26.2,24.74,1.21,91.98,62,二级
河南省,济源市,2016-06,37.27,68.95,20.28,21.5,1.49,94.38,62,二级
河南省,济源市,2016-07,32.67,60.37,12.46,15.52,1.26,73.89,55,二级
河南省,济源市,2016-08,28.69,53.85,15.57,17.75,1.44,75.29,52,二级
河南省,济源市,2016-09,39.8,69.07,26.04,27.84,1.65,66.61,62,二级
河南省,济源市,2016-10,33.27,61.86,22.66,34.7,1.44,43.12,57,二级
河南省,济源市,2016-11,90.4,147.92,52.49,49.57,1.93,34.47,123,三级
河南省,济源市,2016-12,110.73,155.57,56.28,54.35,1.94,28.48,144,三级
河南省,驻马店市,2016-01,119.12,170.0,30.26,42.92,1.51,30.22,157,四级
河南省,驻马店市,2016-02,81.02,132.62,30.27,29.54,1.18,54.55,115,三级
河南省,驻马店市,2016-03,75.8,135.35,21.98,32.2,1.03,71.0,107,三级
河南省,驻马店市,2016-04,50.85,100.84,18.86,26.22,0.9,78.54,78,二级
河南省,驻马店市,2016-05,42.19,82.44,15.46,20.07,0.7,92.6,69,二级
河南省,驻马店市,2016-06,38.01,65.24,14.25,17.51,0.72,90.82,61,二级
河南省,驻马店市,2016-07,27.29,45.62,10.21,15.48,0.63,73.24,47,一级
河南省,驻马店市,2016-08,35.3,61.94,12.28,16.7,0.74,86.26,58,二级
河南省,驻马店市,2016-09,43.7,82.29,16.87,24.12,0.76,91.61,69,二级
河南省,驻马店市,2016-10,39.04,64.61,13.89,28.72,0.8,41.29,59,二级
河南省,驻马店市,2016-11,75.98,123.98,16.97,35.29,1.12,37.47,105,三级
河南省,驻马店市,2016-12,113.39,167.86,22.75,47.08,1.49,33.13,147,三级
河南省,开封市,2016-01,130.61,194.01,41.55,54.66,2.01,25.95,172,四级
河南省,开封市,2016-02,79.23,147.49,37.9,39.44,1.69,53.16,114,三级
河南省,开封市,2016-03,72.7,158.75,31.04,41.45,1.4,72.98,110,三级
河南省,开封市,2016-04,70.48,141.89,23.9,34.98,1.32,80.08,105,三级
河南省,开封市,2016-05,44.76,93.12,18.15,25.0,0.92,91.89,75,二级
河南省,开封市,2016-06,39.5,77.34,14.04,24.36,1.0,97.25,67,二级
河南省,开封市,2016-07,36.87,60.43,10.1,18.5,0.87,83.8,57,二级
河南省,开封市,2016-08,37.48,63.54,12.18,18.95,1.03,88.32,59,二级
河南省,开封市,2016-09,54.27,96.53,21.84,32.86,1.08,89.16,80,二级
河南省,开封市,2016-10,39.5,68.98,16.33,36.64,1.06,42.61,63,二级
河南省,开封市,2016-11,89.18,137.61,23.63,45.98,1.49,30.74,122,三级
河南省,开封市,2016-12,133.95,181.04,32.11,56.29,1.95,26.85,171,四级
河南省,新乡市,2016-01,130.5,195.87,59.48,61.78,2.59,24.26,170,四级
河南省,新乡市,2016-02,77.13,136.96,50.43,43.2,2.09,48.78,110,三级
河南省,新乡市,2016-03,78.6,171.99,45.65,50.05,1.48,63.61,118,三级
河南省,新乡市,2016-04,68.36,143.88,31.6,41.6,1.23,75.23,103,三级
河南省,新乡市,2016-05,41.69,86.54,21.78,29.53,0.91,87.15,71,二级
河南省,新乡市,2016-06,41.29,80.92,16.9,28.0,1.04,96.29,68,二级
河南省,新乡市,2016-07,41.19,69.19,11.63,20.39,1.05,82.49,62,二级
河南省,新乡市,2016-08,35.4,60.75,14.31,22.02,1.12,81.61,57,二级
河南省,新乡市,2016-09,53.99,96.44,24.83,37.16,1.21,82.83,79,二级
河南省,新乡市,2016-10,44.5,78.81,19.53,43.83,1.21,40.39,68,二级
河南省,新乡市,2016-11,100.69,160.31,31.2,56.97,1.76,26.7,135,三级
河南省,新乡市,2016-12,143.99,197.52,40.73,65.0,2.37,23.25,182,四级
河南省,郑州市,2016-01,140.69,213.09,53.43,66.17,2.34,22.12,181,四级
河南省,郑州市,2016-02,76.47,137.83,48.76,46.16,1.78,44.22,111,三级
河南省,郑州市,2016-03,73.37,171.7,42.06,57.13,1.55,62.74,117,三级
