province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
浙江省,杭州市,2014-01,95.36,107.62,26.79,44.83,1.05,39.29,127,三级
浙江省,杭州市,2014-02,53.49,61.44,13.87,27.08,0.8,43.49,75,二级
浙江省,杭州市,2014-03,53.04,74.62,18.14,30.11,0.69,58.81,74,二级
浙江省,杭州市,2014-04,50.8,73.26,15.48,30.36,0.71,61.0,71,二级
浙江省,杭州市,2014-05,52.54,85.09,14.32,24.66,0.69,75.44,74,二级
浙江省,杭州市,2014-06,48.82,68.49,11.6,22.36,0.68,82.77,68,二级
浙江省,杭州市,2014-07,36.29,55.89,10.14,19.03,0.61,65.3,56,二级
浙江省,杭州市,2014-08,37.48,57.04,12.02,19.86,0.8,61.28,55,二级
浙江省,杭州市,2014-09,42.37,60.02,14.06,21.52,0.72,59.17,61,二级
浙江省,杭州市,2014-10,48.44,72.96,16.4,29.37,0.73,70.73,69,二级
浙江省,杭州市,2014-11,56.06,81.39,18.93,40.43,0.95,43.47,78,二级
浙江省,杭州市,2014-12,55.26,88.2,26.31,44.27,0.96,40.22,78,二级
浙江省,宁波市,2014-01,67.37,93.51,21.84,44.27,1.04,44.44,93,二级
浙江省,宁波市,2014-02,43.13,52.03,13.18,28.82,0.89,52.6,64,二级
浙江省,宁波市,2014-03,43.56,62.18,15.79,32.58,0.73,67.93,64,二级
浙江省,宁波市,2014-04,38.23,54.53,12.61,30.19,0.67,75.38,57,二级
浙江省,宁波市,2014-05,46.67,72.02,12.96,24.73,0.7,92.85,67,二级
浙江省,宁波市,2014-06,32.25,45.05,9.49,19.88,0.6,77.35,49,一级
浙江省,宁波市,2014-07,26.85,40.17,7.29,17.18,0.48,57.64,42,一级
浙江省,宁波市,2014-08,30.49,42.94,9.83,20.62,0.63,65.39,46,一级
浙江省,宁波市,2014-09,30.2,42.19,10.3,21.06,0.54,73.85,48,一级
浙江省,宁波市,2014-10,32.46,51.73,12.94,27.83,0.56,80.23,53,二级
浙江省,宁波市,2014-11,46.81,65.95,16.73,40.58,0.76,49.99,67,二级
浙江省,宁波市,2014-12,60.98,96.76,27.42,52.77,0.89,32.41,85,二级
浙江省,金华市,2014-01,95.52,117.41,29.03,49.96,1.11,35.46,127,三级
浙江省,金华市,2014-02,49.32,55.14,13.29,28.03,0.84,40.78,70,二级
浙江省,金华市,2014-03,51.37,69.3,19.18,32.51,0.77,57.32,71,二级
浙江省,金华市,2014-04,48.67,66.5,15.74,30.06,0.84,64.45,68,二级
浙江省,金华市,2014-05,47.62,72.11,14.2,25.12,0.79,76.79,67,二级
浙江省,金华市,2014-06,41.42,54.84,10.71,21.03,0.72,80.39,59,二级
浙江省,金华市,2014-07,30.14,44.46,9.88,17.38,0.6,62.48,46,一级
浙江省,金华市,2014-08,37.39,51.25,12.77,21.52,0.82,64.26,55,二级
浙江省,金华市,2014-09,41.31,56.13,14.12,22.35,0.72,64.52,59,二级
浙江省,金华市,2014-10,48.85,73.46,17.43,32.26,0.75,76.48,69,二级
浙江省,金华市,2014-11,54.64,78.78,19.95,41.9,0.98,40.54,76,二级
浙江省,金华市,2014-12,61.83,101.84,30.49,51.22,1.11,33.06,86,二级
浙江省,台州市,2014-01,67.7,94.75,20.09,39.77,1.02,43.77,93,二级
浙江省,台州市,2014-02,39.03,47.32,10.8,23.01,0.85,50.87,57,二级
