province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
海南省,临高县,2013-01,50.47,66.0,9.14,17.19,0.6,59.61,71,二级
海南省,临高县,2013-02,23.17,36.46,5.6,10.61,0.43,53.7,38,一级
海南省,临高县,2013-03,20.46,33.94,3.73,7.28,0.35,52.66,35,一级
海南省,临高县,2013-04,19.66,31.22,3.73,7.64,0.38,43.52,33,一级
海南省,临高县,2013-05,13.48,22.08,3.07,6.13,0.3,50.04,28,一级
海南省,临高县,2013-06,13.49,21.16,3.43,5.12,0.26,47.79,26,一级
海南省,临高县,2013-07,7.09,12.09,1.96,5.49,0.2,32.86,18,一级
海南省,临高县,2013-08,10.84,18.72,3.44,5.38,0.23,35.54,21,一级
海南省,临高县,2013-09,20.09,29.66,5.63,6.53,0.29,42.03,32,一级
海南省,临高县,2013-10,46.37,62.14,10.35,8.74,0.42,79.25,65,二级
海南省,临高县,2013-11,30.99,47.94,10.09,9.2,0.43,58.61,49,一级
海南省,临高县,2013-12,62.53,76.63,16.05,14.38,0.64,66.42,85,二级
海南省,澄迈县,2013-01,50.21,66.99,9.32,21.27,0.63,56.41,71,二级
海南省,澄迈县,2013-02,21.83,35.19,5.4,12.25,0.47,52.34,37,一级
海南省,澄迈县,2013-03,19.41,33.58,3.81,8.62,0.37,49.11,34,一级
海南省,澄迈县,2013-04,18.34,30.58,3.8,9.22,0.42,39.9,32,一级
海南省,澄迈县,2013-05,11.98,21.3,3.3,8.2,0.32,42.66,25,一级
海南省,澄迈县,2013-06,12.44,20.77,3.84,7.12,0.27,39.38,23,一级
海南省,澄迈县,2013-07,6.32,11.69,2.37,6.65,0.21,27.45,15,一级
海南省,澄迈县,2013-08,10.02,18.42,3.77,7.03,0.24,28.44,20,一级
海南省,澄迈县,2013-09,18.97,29.24,5.43,8.31,0.32,35.49,31,一级
海南省,澄迈县,2013-10,52.17,72.19,10.66,13.36,0.5,74.35,73,二级
海南省,澄迈县,2013-11,30.95,51.05,9.56,11.7,0.48,53.89,50,一级
海南省,澄迈县,2013-12,65.65,82.78,16.62,20.2,0.7,63.09,90,二级
海南省,文昌市,2013-01,39.11,53.11,7.85,11.37,0.53,57.78,58,二级
海南省,文昌市,2013-02,17.79,30.24,3.49,4.78,0.38,59.73,35,一级
海南省,文昌市,2013-03,14.47,24.31,2.37,3.43,0.27,67.35,36,一级
海南省,文昌市,2013-04,15.76,25.21,2.23,3.44,0.28,63.65,34,一级
海南省,文昌市,2013-05,8.66,16.16,1.97,3.69,0.22,50.75,27,一级
海南省,文昌市,2013-06,11.05,18.27,3.12,4.26,0.23,42.55,24,一级
海南省,文昌市,2013-07,3.18,6.99,1.14,2.89,0.15,36.95,19,一级
海南省,文昌市,2013-08,7.22,14.01,2.68,4.81,0.2,35.37,20,一级
海南省,文昌市,2013-09,15.51,24.46,3.76,4.04,0.23,47.26,29,一级
海南省,文昌市,2013-10,36.78,51.07,8.27,5.37,0.37,81.05,58,二级
