province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
湖北省,仙桃市,2013-01,153.59,138.26,35.59,37.65,1.25,43.96,197,四级
湖北省,仙桃市,2013-02,104.74,93.17,25.77,23.28,0.98,43.54,138,三级
湖北省,仙桃市,2013-03,76.81,96.27,24.39,24.8,0.74,56.33,107,三级
湖北省,仙桃市,2013-04,55.41,76.61,18.94,21.29,0.58,73.51,78,二级
湖北省,仙桃市,2013-05,57.28,71.43,18.16,17.45,0.55,88.57,79,二级
湖北省,仙桃市,2013-06,38.84,49.78,14.74,15.32,0.44,84.32,59,二级
湖北省,仙桃市,2013-07,22.25,31.33,11.81,14.7,0.34,74.26,39,一级
湖北省,仙桃市,2013-08,30.28,43.16,13.03,14.66,0.45,84.37,50,一级
湖北省,仙桃市,2013-09,53.17,68.55,24.32,19.73,0.68,92.83,75,二级
湖北省,仙桃市,2013-10,91.22,116.59,26.55,32.33,0.78,92.49,121,三级
湖北省,仙桃市,2013-11,81.45,114.45,34.68,40.5,1.12,30.33,109,三级
湖北省,仙桃市,2013-12,149.5,189.12,51.98,56.91,1.64,24.95,193,四级
湖北省,黄石市,2013-01,125.51,131.22,34.03,38.62,1.34,37.08,166,四级
湖北省,黄石市,2013-02,79.73,83.28,22.5,22.97,1.11,42.3,107,三级
湖北省,黄石市,2013-03,66.12,88.76,21.91,23.23,0.79,58.86,92,二级
湖北省,黄石市,2013-04,54.33,71.91,18.2,19.58,0.57,73.4,75,二级
湖北省,黄石市,2013-05,56.45,67.49,15.63,16.75,0.57,88.77,78,二级
湖北省,黄石市,2013-06,41.31,51.42,13.84,13.79,0.51,84.06,59,二级
湖北省,黄石市,2013-07,18.44,25.47,9.32,8.75,0.28,79.73,42,一级
湖北省,黄石市,2013-08,29.12,41.71,12.0,11.41,0.4,87.63,51,二级
湖北省,黄石市,2013-09,48.5,61.76,18.45,18.46,0.56,80.97,69,二级
湖北省,黄石市,2013-10,67.63,84.89,23.58,27.32,0.6,80.79,92,二级
湖北省,黄石市,2013-11,66.43,96.66,30.47,40.03,0.73,31.54,93,二级
湖北省,黄石市,2013-12,137.11,138.51,44.34,53.66,1.1,24.73,179,四级
湖北省,黄冈市,2013-01,135.75,129.23,25.6,30.47,1.23,41.56,178,四级
湖北省,黄冈市,2013-02,89.81,84.71,19.38,18.27,0.96,50.17,120,三级
湖北省,黄冈市,2013-03,67.51,82.99,19.29,22.77,0.67,57.12,93,二级
湖北省,黄冈市,2013-04,55.44,67.94,15.0,18.43,0.49,72.52,77,二级
湖北省,黄冈市,2013-05,57.34,64.67,13.0,15.81,0.45,85.22,79,二级
湖北省,黄冈市,2013-06,44.98,51.12,12.63,12.95,0.4,83.64,64,二级
湖北省,黄冈市,2013-07,23.49,32.23,10.81,11.79,0.3,78.63,42,一级
湖北省,黄冈市,2013-08,30.53,40.88,11.53,11.99,0.34,87.01,50,一级
湖北省,黄冈市,2013-09,49.32,56.72,15.69,14.91,0.46,80.53,70,二级
湖北省,黄冈市,2013-10,61.33,72.9,17.15,20.38,0.5,72.84,84,二级
湖北省,黄冈市,2013-11,72.33,97.14,26.26,31.36,0.68,34.28,98,二级
湖北省,黄冈市,2013-12,137.74,141.16,36.7,48.01,1.08,27.19,180,四级
湖北省,孝感市,2013-01,161.47,145.8,35.96,42.42,1.3,38.56,205,五级
湖北省,孝感市,2013-02,110.01,98.11,27.66,25.49,0.98,44.28,145,三级
湖北省,孝感市,2013-03,75.6,94.16,25.98,32.2,0.72,49.38,104,三级
湖北省,孝感市,2013-04,60.15,79.2,19.82,28.5,0.57,67.16,83,二级
湖北省,孝感市,2013-05,59.93,75.61,18.41,28.92,0.55,85.01,82,二级
