province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
湖南省,益阳市,2018-01,54.92,84.28,11.61,22.51,1.23,44.9,76,二级
湖南省,益阳市,2018-02,56.8,99.68,12.03,20.04,1.18,56.56,82,二级
湖南省,益阳市,2018-03,34.47,60.59,10.14,18.02,0.95,57.87,56,二级
湖南省,益阳市,2018-04,33.32,71.68,10.21,12.95,0.82,71.91,61,二级
湖南省,益阳市,2018-05,28.53,52.15,8.52,9.38,0.78,77.28,50,一级
湖南省,益阳市,2018-06,24.98,41.14,8.98,8.77,0.74,85.3,47,一级
湖南省,益阳市,2018-07,20.77,34.97,7.79,9.61,0.77,71.19,38,一级
湖南省,益阳市,2018-08,24.72,42.25,7.81,8.17,0.85,83.14,45,一级
湖南省,益阳市,2018-09,25.82,44.33,9.03,10.93,0.82,71.77,44,一级
湖南省,益阳市,2018-10,32.34,57.28,10.93,15.61,0.85,72.33,54,二级
湖南省,益阳市,2018-11,37.73,62.08,9.47,20.28,1.02,46.06,56,二级
湖南省,益阳市,2018-12,64.97,96.15,13.06,22.83,1.16,34.9,91,二级
湖南省,娄底市,2018-01,52.69,80.94,15.15,25.74,1.24,40.55,74,二级
湖南省,娄底市,2018-02,56.7,97.74,12.89,22.86,1.17,54.19,81,二级
湖南省,娄底市,2018-03,36.38,62.05,11.92,20.51,1.01,53.48,56,二级
湖南省,娄底市,2018-04,35.47,72.95,12.49,14.84,0.96,65.5,61,二级
湖南省,娄底市,2018-05,31.34,54.87,10.9,10.15,0.86,72.23,51,二级
湖南省,娄底市,2018-06,25.93,42.07,10.79,10.36,0.81,75.91,44,一级
湖南省,娄底市,2018-07,22.65,37.66,10.52,11.45,0.9,62.63,39,一级
湖南省,娄底市,2018-08,26.18,43.37,9.39,9.96,0.94,78.22,46,一级
湖南省,娄底市,2018-09,27.85,45.55,9.81,11.73,0.86,69.19,46,一级
湖南省,娄底市,2018-10,32.25,56.06,11.29,17.89,0.86,70.58,53,二级
湖南省,娄底市,2018-11,34.9,56.54,9.48,23.25,1.04,42.38,52,二级
湖南省,娄底市,2018-12,57.08,83.29,13.4,22.24,1.16,33.71,80,二级
湖南省,邵阳市,2018-01,65.76,83.29,16.53,22.28,0.99,43.0,89,二级
湖南省,邵阳市,2018-02,65.03,93.89,13.68,20.05,0.9,56.33,89,二级
湖南省,邵阳市,2018-03,39.8,57.92,12.28,15.71,0.76,57.81,57,二级
湖南省,邵阳市,2018-04,37.33,66.1,11.5,11.19,0.69,68.02,59,二级
湖南省,邵阳市,2018-05,32.49,52.0,10.07,7.58,0.66,70.92,50,一级
湖南省,邵阳市,2018-06,28.09,42.48,9.72,7.78,0.64,73.25,44,一级
湖南省,邵阳市,2018-07,23.2,35.07,8.09,7.69,0.59,59.5,36,一级
湖南省,邵阳市,2018-08,30.22,46.22,10.17,8.05,0.7,74.96,47,一级
湖南省,邵阳市,2018-09,31.08,45.36,10.63,9.2,0.65,68.65,47,一级
湖南省,邵阳市,2018-10,37.31,55.52,13.6,15.05,0.66,70.08,55,二级
湖南省,邵阳市,2018-11,39.21,54.87,11.11,17.95,0.8,45.79,56,二级
湖南省,邵阳市,2018-12,56.82,74.87,14.79,19.49,0.92,35.4,79,二级
湖南省,怀化市,2018-01,50.3,72.62,11.74,16.35,0.94,43.31,70,二级
湖南省,怀化市,2018-02,56.62,93.16,12.45,14.63,0.9,54.27,80,二级
湖南省,怀化市,2018-03,33.04,55.15,10.2,13.26,0.74,53.88,52,二级
湖南省,怀化市,2018-04,31.81,62.27,9.52,10.83,0.74,63.53,56,二级
湖南省,怀化市,2018-05,27.48,51.46,8.88,6.59,0.79,68.3,49,一级
湖南省,怀化市,2018-06,23.37,43.39,8.36,6.18,0.77,70.04,44,一级
湖南省,怀化市,2018-07,17.92,34.1,7.13,6.25,0.74,57.07,35,一级
湖南省,怀化市,2018-08,23.58,43.65,9.06,6.76,0.84,69.15,44,一级
湖南省,怀化市,2018-09,21.86,38.67,8.65,7.74,0.71,62.48,39,一级
湖南省,怀化市,2018-10,27.18,48.01,10.93,11.6,0.65,62.59,48,一级
湖南省,怀化市,2018-11,29.64,48.93,9.42,14.19,0.79,42.58,47,一级
湖南省,怀化市,2018-12,51.01,75.1,12.76,16.53,0.88,36.78,73,二级
湖南省,株洲市,2018-01,65.22,91.32,16.24,27.56,1.1,34.31,89,二级
湖南省,株洲市,2018-02,59.73,86.37,13.04,20.77,0.92,52.53,82,二级
湖南省,株洲市,2018-03,38.59,59.46,12.23,18.56,0.81,56.13,57,二级
湖南省,株洲市,2018-04,36.96,67.36,12.14,15.5,0.72,66.49,60,二级
湖南省,株洲市,2018-05,29.02,48.1,10.3,10.9,0.67,71.89,47,一级
湖南省,株洲市,2018-06,22.82,36.68,8.9,9.47,0.6,70.62,40,一级
湖南省,株洲市,2018-07,17.01,30.22,8.04,9.13,0.55,57.63,32,一级
湖南省,株洲市,2018-08,21.81,39.22,10.23,8.89,0.6,72.45,41,一级
湖南省,株洲市,2018-09,25.08,43.11,10.77,10.85,0.6,69.4,44,一级
湖南省,株洲市,2018-10,35.47,56.59,13.09,18.4,0.68,68.34,55,二级
湖南省,株洲市,2018-11,35.79,54.13,12.38,20.59,0.85,39.48,52,二级
湖南省,株洲市,2018-12,59.8,77.78,15.83,25.75,1.01,25.41,82,二级
湖南省,张家界市,2018-01,51.89,72.46,10.11,17.6,1.01,44.14,72,二级
湖南省,张家界市,2018-02,55.14,85.67,12.79,14.84,0.92,55.2,78,二级
湖南省,张家界市,2018-03,30.16,49.03,10.55,10.81,0.75,57.23,48,一级
湖南省,张家界市,2018-04,29.13,54.01,9.88,8.48,0.65,66.6,51,二级
湖南省,张家界市,2018-05,28.73,48.68,9.29,6.98,0.63,68.06,48,一级
湖南省,张家界市,2018-06,24.36,41.26,8.89,5.57,0.69,75.72,44,一级
湖南省,张家界市,2018-07,19.15,31.69,7.23,5.93,0.63,57.9,34,一级
湖南省,张家界市,2018-08,22.95,39.57,8.98,7.87,0.73,71.47,42,一级
湖南省,张家界市,2018-09,20.05,35.46,9.42,9.2,0.66,63.77,38,一级
湖南省,张家界市,2018-10,24.58,42.31,10.32,12.0,0.58,60.16,43,一级
湖南省,张家界市,2018-11,29.51,49.58,9.9,16.03,0.68,38.24,48,一级
湖南省,张家界市,2018-12,55.56,82.71,12.54,19.86,0.81,36.49,79,二级
湖南省,永州市,2018-01,60.97,81.79,13.69,23.17,0.95,43.66,83,二级
湖南省,永州市,2018-02,59.87,82.55,12.38,20.35,0.83,56.44,83,二级
湖南省,永州市,2018-03,37.45,52.72,10.77,14.54,0.66,60.31,54,二级
湖南省,永州市,2018-04,35.83,58.51,10.28,10.45,0.58,68.36,55,二级
湖南省,永州市,2018-05,28.89,45.81,8.41,7.51,0.56,68.71,45,一级
湖南省,永州市,2018-06,25.36,38.08,8.62,7.46,0.58,70.27,41,一级
湖南省,永州市,2018-07,20.28,29.01,7.29,7.26,0.45,57.33,32,一级
湖南省,永州市,2018-08,29.84,44.5,9.76,7.91,0.61,69.84,45,一级
湖南省,永州市,2018-09,30.74,43.95,10.31,8.37,0.54,68.68,46,一级
湖南省,永州市,2018-10,39.18,56.12,12.98,14.77,0.6,72.09,57,二级
