province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
甘肃省,嘉峪关市,2017-01,24.7,66.24,14.78,25.72,0.48,57.11,57,二级
甘肃省,嘉峪关市,2017-02,28.29,94.38,14.51,24.12,0.46,65.61,77,二级
甘肃省,嘉峪关市,2017-03,27.88,84.68,14.93,26.24,0.47,83.48,68,二级
甘肃省,嘉峪关市,2017-04,19.7,64.65,9.3,19.52,0.3,90.34,60,二级
甘肃省,嘉峪关市,2017-05,31.62,106.11,7.34,17.06,0.3,101.98,89,二级
甘肃省,嘉峪关市,2017-06,33.88,98.86,7.66,19.96,0.34,106.69,83,二级
甘肃省,嘉峪关市,2017-07,22.43,59.97,9.03,23.1,0.38,102.83,67,二级
甘肃省,嘉峪关市,2017-08,18.65,54.06,10.28,21.63,0.38,93.33,57,二级
甘肃省,嘉峪关市,2017-09,18.83,66.21,11.57,26.72,0.41,80.19,60,二级
甘肃省,嘉峪关市,2017-10,21.84,76.52,11.83,28.75,0.46,63.05,64,二级
甘肃省,嘉峪关市,2017-11,20.52,55.84,12.53,25.6,0.47,56.22,51,二级
甘肃省,嘉峪关市,2017-12,28.23,72.35,12.19,28.94,0.63,49.4,63,二级
甘肃省,金昌市,2017-01,25.95,57.21,20.4,11.45,0.65,53.75,53,二级
甘肃省,金昌市,2017-02,25.51,74.47,13.73,8.79,0.53,59.91,61,二级
甘肃省,金昌市,2017-03,22.53,54.99,11.35,7.64,0.43,77.9,52,二级
甘肃省,金昌市,2017-04,19.38,46.0,6.98,6.94,0.33,85.79,51,二级
甘肃省,金昌市,2017-05,34.82,79.41,7.93,6.31,0.22,97.38,74,二级
甘肃省,金昌市,2017-06,23.55,49.54,6.28,6.19,0.21,99.88,58,二级
甘肃省,金昌市,2017-07,17.34,35.17,6.43,5.58,0.21,92.86,51,二级
甘肃省,金昌市,2017-08,17.76,31.62,7.2,5.98,0.23,84.77,44,一级
甘肃省,金昌市,2017-09,18.75,38.76,6.79,7.64,0.26,77.58,45,一级
甘肃省,金昌市,2017-10,25.0,51.63,7.52,9.87,0.38,64.8,49,一级
甘肃省,金昌市,2017-11,21.83,49.99,9.45,10.55,0.42,61.83,49,一级
