province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
福建省,三明市,2018-01,30.0,41.68,11.71,18.46,0.73,45.7,45,一级
福建省,三明市,2018-02,32.3,42.27,10.85,11.94,0.65,58.66,48,一级
福建省,三明市,2018-03,26.02,36.49,9.03,13.39,0.66,62.12,42,一级
福建省,三明市,2018-04,30.07,43.81,8.96,12.41,0.67,65.79,47,一级
福建省,三明市,2018-05,23.29,34.36,8.69,9.14,0.63,68.65,39,一级
福建省,三明市,2018-06,18.75,27.99,7.87,8.39,0.56,63.21,34,一级
福建省,三明市,2018-07,14.88,22.89,6.31,8.42,0.56,50.8,27,一级
福建省,三明市,2018-08,21.15,32.95,8.3,8.71,0.65,60.99,35,一级
福建省,三明市,2018-09,17.61,26.86,7.97,7.63,0.49,58.3,32,一级
福建省,三明市,2018-10,26.08,35.84,11.02,11.23,0.57,67.68,42,一级
福建省,三明市,2018-11,21.13,31.16,10.91,12.89,0.58,43.44,34,一级
福建省,三明市,2018-12,26.45,39.13,12.11,15.8,0.71,32.79,42,一级
福建省,厦门市,2018-01,27.88,44.66,11.67,30.47,0.64,48.46,48,一级
福建省,厦门市,2018-02,32.13,52.45,9.96,22.8,0.62,62.24,53,二级
福建省,厦门市,2018-03,30.71,51.28,10.91,31.82,0.62,64.77,52,二级
福建省,厦门市,2018-04,32.02,62.54,11.51,24.42,0.54,74.17,56,二级
福建省,厦门市,2018-05,23.1,43.15,9.53,18.98,0.45,70.85,44,一级
福建省,厦门市,2018-06,17.28,33.97,8.73,17.12,0.47,66.29,38,一级
福建省,厦门市,2018-07,17.62,35.39,8.6,18.5,0.45,50.49,36,一级
福建省,厦门市,2018-08,19.28,34.07,8.31,18.45,0.49,60.05,37,一级
福建省,厦门市,2018-09,18.02,33.55,8.18,17.19,0.46,63.5,38,一级
福建省,厦门市,2018-10,23.94,44.76,9.49,19.74,0.53,84.61,48,一级
福建省,厦门市,2018-11,21.42,39.7,8.69,23.72,0.56,50.58,41,一级
福建省,厦门市,2018-12,25.15,43.44,10.77,25.7,0.59,42.52,43,一级
福建省,莆田市,2018-01,23.84,36.24,8.45,18.73,0.57,58.66,40,一级
福建省,莆田市,2018-02,34.17,48.47,8.51,14.24,0.57,74.45,54,二级
福建省,莆田市,2018-03,29.5,40.41,7.13,16.22,0.54,74.57,49,一级
福建省,莆田市,2018-04,32.82,57.34,7.73,15.15,0.53,85.35,57,二级
福建省,莆田市,2018-05,23.57,41.12,7.26,12.35,0.48,82.26,47,一级
福建省,莆田市,2018-06,16.96,29.45,6.41,10.86,0.47,76.99,42,一级
福建省,莆田市,2018-07,17.18,32.0,6.24,10.74,0.43,56.57,33,一级
福建省,莆田市,2018-08,18.39,30.92,6.87,10.48,0.45,67.58,36,一级
福建省,莆田市,2018-09,15.94,28.49,7.04,10.04,0.39,69.82,38,一级
福建省,莆田市,2018-10,21.38,35.35,8.15,12.01,0.46,94.69,51,二级
福建省,莆田市,2018-11,18.44,29.43,7.66,15.05,0.48,58.56,34,一级
福建省,莆田市,2018-12,22.96,35.69,9.02,17.34,0.52,49.48,38,一级
福建省,漳州市,2018-01,29.57,44.17,10.56,25.66,0.67,51.07,47,一级
福建省,漳州市,2018-02,32.83,49.68,8.84,16.32,0.62,64.74,51,二级
福建省,漳州市,2018-03,30.35,47.58,8.63,20.78,0.58,72.53,49,一级
福建省,漳州市,2018-04,30.72,53.49,8.15,15.9,0.51,77.19,51,二级
福建省,漳州市,2018-05,22.76,37.91,6.97,12.6,0.45,74.09,41,一级
福建省,漳州市,2018-06,17.61,31.44,6.67,11.68,0.46,67.9,37,一级
福建省,漳州市,2018-07,14.13,26.87,5.81,11.8,0.43,51.59,29,一级
福建省,漳州市,2018-08,17.94,30.01,6.02,11.14,0.46,61.44,34,一级
福建省,漳州市,2018-09,17.32,29.16,6.54,11.48,0.43,61.83,34,一级
福建省,漳州市,2018-10,24.39,41.4,9.51,14.66,0.52,82.0,46,一级
福建省,漳州市,2018-11,22.85,38.69,8.82,18.02,0.56,53.09,40,一级
福建省,漳州市,2018-12,25.22,40.29,10.18,19.54,0.59,43.71,41,一级
福建省,福州市,2018-01,25.92,39.56,8.18,21.01,0.63,54.22,42,一级
福建省,福州市,2018-02,32.32,47.63,8.27,14.53,0.57,70.61,51,二级
福建省,福州市,2018-03,26.93,38.99,6.59,16.37,0.54,72.39,46,一级
福建省,福州市,2018-04,32.57,57.04,7.21,16.37,0.58,83.7,57,二级
福建省,福州市,2018-05,22.74,39.93,6.96,12.16,0.51,82.81,46,一级
福建省,福州市,2018-06,17.21,29.63,6.15,10.74,0.47,78.03,41,一级
福建省,福州市,2018-07,15.55,29.85,5.68,9.66,0.43,54.27,32,一级
福建省,福州市,2018-08,16.81,29.76,6.08,10.18,0.45,64.52,34,一级
