province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
西藏自治区,林芝市,2014-01,5.07,5.64,0.55,1.4,0.13,79.21,41,一级
西藏自治区,林芝市,2014-02,8.41,9.25,0.99,1.28,0.14,79.48,41,一级
西藏自治区,林芝市,2014-03,14.43,16.02,1.35,1.21,0.17,94.35,48,一级
西藏自治区,林芝市,2014-04,13.38,14.43,1.37,1.06,0.17,104.28,55,二级
西藏自治区,林芝市,2014-05,16.71,17.66,1.64,1.11,0.17,96.69,50,一级
西藏自治区,林芝市,2014-06,18.39,19.27,1.59,1.31,0.16,86.61,45,一级
西藏自治区,林芝市,2014-07,14.98,15.53,1.19,1.49,0.13,77.79,40,一级
西藏自治区,林芝市,2014-08,18.03,18.69,1.69,1.52,0.15,79.15,41,一级
西藏自治区,林芝市,2014-09,15.68,16.29,1.58,1.43,0.14,85.56,44,一级
西藏自治区,林芝市,2014-10,9.1,9.49,1.04,1.26,0.14,87.01,45,一级
西藏自治区,林芝市,2014-11,6.82,7.2,0.55,2.81,0.13,77.21,40,一级
西藏自治区,林芝市,2014-12,4.52,5.12,0.58,1.88,0.12,73.12,37,一级
西藏自治区,日喀则市,2014-01,2.31,2.72,0.33,0.44,0.12,80.71,41,一级
西藏自治区,日喀则市,2014-02,2.03,2.41,0.3,0.38,0.11,76.75,40,一级
西藏自治区,日喀则市,2014-03,3.02,3.32,0.26,0.34,0.11,87.38,45,一级
西藏自治区,日喀则市,2014-04,6.2,6.71,0.39,0.32,0.13,104.54,55,二级
西藏自治区,日喀则市,2014-05,8.26,8.73,0.64,0.35,0.14,108.98,59,二级
西藏自治区,日喀则市,2014-06,9.5,10.04,0.88,0.46,0.14,98.33,51,二级
西藏自治区,日喀则市,2014-07,12.3,13.03,0.99,0.55,0.13,123.16,71,二级
西藏自治区,日喀则市,2014-08,12.19,12.96,1.17,0.58,0.16,119.83,68,二级
西藏自治区,日喀则市,2014-09,7.95,8.47,0.77,0.51,0.13,111.06,61,二级
西藏自治区,日喀则市,2014-10,4.55,4.92,0.46,0.47,0.13,93.2,48,一级
西藏自治区,日喀则市,2014-11,1.88,2.13,0.14,0.61,0.11,79.76,41,一级
西藏自治区,日喀则市,2014-12,2.9,3.41,0.32,1.83,0.12,75.46,39,一级
西藏自治区,阿里地区,2014-01,1.77,2.02,0.26,0.38,0.12,76.18,39,一级
西藏自治区,阿里地区,2014-02,2.01,2.32,0.33,0.36,0.11,73.89,38,一级
西藏自治区,阿里地区,2014-03,1.82,2.01,0.25,0.32,0.12,82.75,42,一级
西藏自治区,阿里地区,2014-04,2.17,2.35,0.22,0.31,0.13,97.13,50,一级
西藏自治区,阿里地区,2014-05,4.23,4.41,0.31,0.28,0.13,113.63,62,二级
西藏自治区,阿里地区,2014-06,5.26,5.41,0.35,0.27,0.12,98.25,51,二级
西藏自治区,阿里地区,2014-07,8.17,8.46,0.54,0.34,0.12,92.44,49,一级
西藏自治区,阿里地区,2014-08,7.66,7.9,0.48,0.36,0.13,90.52,47,一级
西藏自治区,阿里地区,2014-09,3.51,3.68,0.32,0.3,0.13,94.89,49,一级
西藏自治区,阿里地区,2014-10,1.94,2.09,0.28,0.31,0.12,92.48,47,一级
西藏自治区,阿里地区,2014-11,0.43,0.55,0.07,0.42,0.11,77.44,40,一级
西藏自治区,阿里地区,2014-12,1.5,1.77,0.23,0.46,0.11,71.77,37,一级
西藏自治区,那曲地区,2014-01,1.06,1.28,0.15,0.16,0.12,78.01,40,一级
西藏自治区,那曲地区,2014-02,1.04,1.32,0.16,0.14,0.11,77.29,40,一级
西藏自治区,那曲地区,2014-03,1.95,2.13,0.19,0.15,0.12,87.96,45,一级
西藏自治区,那曲地区,2014-04,3.48,3.62,0.15,0.16,0.12,101.03,52,二级
西藏自治区,那曲地区,2014-05,7.72,7.89,0.24,0.17,0.12,113.18,62,二级
西藏自治区,那曲地区,2014-06,7.76,7.94,0.34,0.21,0.12,90.92,47,一级
西藏自治区,那曲地区,2014-07,7.38,7.67,0.38,0.3,0.11,98.75,52,二级
西藏自治区,那曲地区,2014-08,7.14,7.39,0.38,0.28,0.12,93.06,48,一级
西藏自治区,那曲地区,2014-09,4.28,4.47,0.28,0.23,0.12,97.54,51,二级
西藏自治区,那曲地区,2014-10,2.51,2.64,0.18,0.19,0.12,91.64,47,一级
西藏自治区,那曲地区,2014-11,0.38,0.47,0.03,0.18,0.12,79.72,41,一级
西藏自治区,那曲地区,2014-12,1.14,1.34,0.13,0.25,0.12,73.15,38,一级
西藏自治区,拉萨市,2014-01,4.24,7.69,0.26,2.05,0.33,81.89,42,一级
西藏自治区,拉萨市,2014-02,4.32,9.78,0.21,1.45,0.23,81.06,42,一级
西藏自治区,拉萨市,2014-03,5.32,8.19,0.24,1.2,0.22,92.77,48,一级
西藏自治区,拉萨市,2014-04,13.97,20.59,0.51,1.33,0.29,107.06,57,二级
西藏自治区,拉萨市,2014-05,14.38,19.28,1.05,1.5,0.32,108.4,59,二级
西藏自治区,拉萨市,2014-06,11.38,15.32,1.62,2.04,0.23,97.08,51,二级
西藏自治区,拉萨市,2014-07,10.9,13.23,1.26,2.32,0.2,110.05,61,二级
西藏自治区,拉萨市,2014-08,11.14,14.01,1.33,2.81,0.22,107.59,59,二级
西藏自治区,拉萨市,2014-09,8.72,11.73,1.25,2.69,0.21,104.13,56,二级
西藏自治区,拉萨市,2014-10,7.23,11.48,0.51,3.72,0.23,89.97,46,一级
西藏自治区,拉萨市,2014-11,5.75,9.48,0.06,4.02,0.2,80.24,41,一级
西藏自治区,拉萨市,2014-12,6.0,9.98,0.28,4.23,0.29,76.3,39,一级
西藏自治区,昌都市,2014-01,2.0,2.2,0.23,0.36,0.11,79.01,40,一级
西藏自治区,昌都市,2014-02,3.3,3.58,0.43,0.34,0.12,78.51,40,一级
西藏自治区,昌都市,2014-03,6.3,6.89,0.57,0.3,0.13,91.39,47,一级
西藏自治区,昌都市,2014-04,7.83,8.35,0.7,0.28,0.13,102.64,54,二级
西藏自治区,昌都市,2014-05,9.95,10.41,0.84,0.32,0.14,100.91,53,二级
西藏自治区,昌都市,2014-06,12.11,12.63,1.14,0.41,0.13,93.68,49,一级
西藏自治区,昌都市,2014-07,11.6,12.0,0.96,0.59,0.12,91.43,48,一级
西藏自治区,昌都市,2014-08,12.53,12.95,1.15,0.55,0.13,91.51,48,一级
西藏自治区,昌都市,2014-09,9.37,9.71,0.96,0.49,0.12,99.42,53,二级
西藏自治区,昌都市,2014-10,4.16,4.33,0.47,0.39,0.12,87.41,45,一级
西藏自治区,昌都市,2014-11,2.14,2.28,0.16,0.49,0.12,77.45,40,一级
西藏自治区,昌都市,2014-12,2.77,4.76,0.22,1.07,0.14,72.19,37,一级
西藏自治区,山南市,2014-01,7.58,8.94,0.71,1.44,0.18,84.22,43,一级
西藏自治区,山南市,2014-02,11.2,13.25,1.04,1.26,0.17,83.76,43,一级
西藏自治区,山南市,2014-03,15.9,18.3,1.45,1.17,0.2,97.18,50,一级
西藏自治区,山南市,2014-04,13.83,16.16,1.4,1.02,0.2,107.51,57,二级
西藏自治区,山南市,2014-05,17.32,19.39,1.76,1.1,0.21,101.15,53,二级
西藏自治区,山南市,2014-06,19.61,21.31,1.87,1.28,0.19,93.97,48,一级
西藏自治区,山南市,2014-07,15.49,16.51,1.3,1.43,0.15,90.06,47,一级
西藏自治区,山南市,2014-08,20.13,21.57,1.98,1.59,0.19,96.94,51,二级
西藏自治区,山南市,2014-09,17.34,18.66,1.71,1.51,0.17,92.96,48,一级
西藏自治区,山南市,2014-10,11.62,12.91,1.15,1.54,0.17,89.74,46,一级
西藏自治区,山南市,2014-11,11.34,12.78,0.73,3.39,0.16,81.27,42,一级
西藏自治区,山南市,2014-12,7.64,9.31,0.65,3.42,0.16,77.09,39,一级
