province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
辽宁省,丹东市,2018-01,35.66,52.54,18.81,27.06,0.99,39.14,52,二级
辽宁省,丹东市,2018-02,38.6,55.5,17.15,20.28,0.9,53.56,57,二级
辽宁省,丹东市,2018-03,35.37,50.49,12.57,15.28,0.71,79.3,55,二级
辽宁省,丹东市,2018-04,27.62,46.54,9.28,11.58,0.54,88.04,50,一级
辽宁省,丹东市,2018-05,27.94,47.56,9.3,10.95,0.53,86.61,50,一级
辽宁省,丹东市,2018-06,25.31,38.91,9.39,8.5,0.53,90.67,48,一级
辽宁省,丹东市,2018-07,18.7,28.22,6.14,6.39,0.42,52.97,32,一级
辽宁省,丹东市,2018-08,18.83,29.22,6.84,8.4,0.51,64.8,35,一级
辽宁省,丹东市,2018-09,15.71,25.65,7.67,11.42,0.52,55.29,31,一级
辽宁省,丹东市,2018-10,23.3,36.07,9.87,16.04,0.59,47.65,37,一级
辽宁省,丹东市,2018-11,37.11,56.6,15.39,24.13,0.88,34.81,56,二级
辽宁省,丹东市,2018-12,34.33,51.22,15.69,24.23,0.84,34.29,52,二级
辽宁省,阜新市,2018-01,25.36,37.52,14.43,14.81,0.57,40.08,40,一级
辽宁省,阜新市,2018-02,32.97,46.31,16.71,14.38,0.6,50.87,50,一级
辽宁省,阜新市,2018-03,49.77,68.07,16.07,17.78,0.64,70.47,74,二级
辽宁省,阜新市,2018-04,32.6,62.84,10.56,12.9,0.47,85.69,60,二级
辽宁省,阜新市,2018-05,31.49,50.53,9.24,11.13,0.42,90.89,56,二级
辽宁省,阜新市,2018-06,28.57,42.16,11.84,12.51,0.53,106.13,61,二级
辽宁省,阜新市,2018-07,24.29,36.01,8.67,10.42,0.42,84.78,45,一级
辽宁省,阜新市,2018-08,16.94,28.36,7.75,11.22,0.4,73.65,40,一级
辽宁省,阜新市,2018-09,18.39,30.05,8.5,12.54,0.45,65.5,39,一级
辽宁省,阜新市,2018-10,23.5,34.81,7.73,14.01,0.48,53.51,41,一级
辽宁省,阜新市,2018-11,39.75,62.39,17.56,22.0,0.65,39.19,60,二级
辽宁省,阜新市,2018-12,26.85,42.42,13.94,14.89,0.54,38.66,44,一级
辽宁省,抚顺市,2018-01,44.32,62.13,17.97,32.15,0.92,36.85,63,二级
辽宁省,抚顺市,2018-02,40.35,58.32,15.63,21.41,0.78,54.28,60,二级
辽宁省,抚顺市,2018-03,41.32,58.11,12.99,18.07,0.74,81.27,62,二级
辽宁省,抚顺市,2018-04,28.63,52.65,9.67,13.68,0.53,91.02,54,二级
辽宁省,抚顺市,2018-05,27.73,48.72,8.94,12.23,0.52,89.4,52,二级
辽宁省,抚顺市,2018-06,24.79,38.37,9.33,10.19,0.58,99.12,54,二级
辽宁省,抚顺市,2018-07,18.87,28.3,6.02,7.15,0.46,63.0,34,一级
辽宁省,抚顺市,2018-08,17.05,27.97,6.03,9.69,0.51,63.14,34,一级
辽宁省,抚顺市,2018-09,15.03,24.87,6.99,11.6,0.52,52.23,31,一级
辽宁省,抚顺市,2018-10,26.17,41.15,9.51,18.44,0.6,45.91,42,一级
辽宁省,抚顺市,2018-11,35.7,55.64,12.69,24.48,0.74,35.69,55,二级
辽宁省,抚顺市,2018-12,37.78,57.06,14.91,25.84,0.8,33.97,57,二级
辽宁省,朝阳市,2018-01,27.08,48.78,22.7,18.61,0.95,41.98,48,一级
辽宁省,朝阳市,2018-02,36.27,58.12,24.18,17.43,0.94,52.4,57,二级
辽宁省,朝阳市,2018-03,46.44,74.58,17.91,19.72,0.84,68.46,70,二级
辽宁省,朝阳市,2018-04,31.48,67.04,10.76,14.6,0.6,83.21,60,二级
辽宁省,朝阳市,2018-05,35.73,59.51,10.02,13.21,0.55,94.84,61,二级
辽宁省,朝阳市,2018-06,31.36,48.0,11.87,12.52,0.63,109.93,64,二级
辽宁省,朝阳市,2018-07,27.81,43.01,8.89,9.57,0.52,91.7,50,一级
辽宁省,朝阳市,2018-08,20.02,33.22,8.47,11.04,0.47,74.83,41,一级
辽宁省,朝阳市,2018-09,20.52,34.46,9.1,14.07,0.51,66.42,40,一级
辽宁省,朝阳市,2018-10,25.65,44.29,9.33,18.57,0.62,52.28,46,一级
辽宁省,朝阳市,2018-11,45.96,80.72,18.73,26.59,0.98,36.7,71,二级
辽宁省,朝阳市,2018-12,32.13,57.43,17.08,20.43,0.81,36.58,54,二级
辽宁省,本溪市,2018-01,39.2,58.49,20.51,31.14,1.03,36.94,57,二级
辽宁省,本溪市,2018-02,38.08,57.35,18.17,22.29,0.89,53.85,58,二级
辽宁省,本溪市,2018-03,37.79,54.38,13.71,17.73,0.79,79.93,58,二级
辽宁省,本溪市,2018-04,27.39,50.12,9.63,12.95,0.58,90.54,53,二级
辽宁省,本溪市,2018-05,28.43,50.19,9.27,12.3,0.6,86.72,51,二级
辽宁省,本溪市,2018-06,25.07,39.01,9.19,9.17,0.62,93.27,50,一级
辽宁省,本溪市,2018-07,19.52,29.21,6.0,6.63,0.51,55.84,33,一级
辽宁省,本溪市,2018-08,18.89,30.48,6.7,9.82,0.58,62.46,35,一级
辽宁省,本溪市,2018-09,15.54,26.02,7.41,12.1,0.59,51.39,30,一级
辽宁省,本溪市,2018-10,25.07,40.05,9.95,17.81,0.65,45.67,40,一级
辽宁省,本溪市,2018-11,35.57,55.93,14.33,24.85,0.86,34.73,55,二级
辽宁省,本溪市,2018-12,34.38,53.3,15.81,25.81,0.88,33.58,53,二级
辽宁省,铁岭市,2018-01,45.73,62.52,18.37,30.61,0.82,36.3,65,二级
辽宁省,铁岭市,2018-02,45.16,63.22,15.63,22.17,0.75,50.81,65,二级
辽宁省,铁岭市,2018-03,53.03,74.65,15.28,23.95,0.78,74.69,75,二级
辽宁省,铁岭市,2018-04,34.65,70.75,10.53,17.75,0.53,86.54,62,二级
辽宁省,铁岭市,2018-05,28.5,54.59,9.34,16.4,0.47,90.38,54,二级
辽宁省,铁岭市,2018-06,26.47,44.71,10.89,18.33,0.59,108.07,61,二级
辽宁省,铁岭市,2018-07,21.08,34.93,7.88,15.5,0.51,71.38,39,一级
辽宁省,铁岭市,2018-08,15.87,28.57,5.77,13.64,0.48,62.36,35,一级
辽宁省,铁岭市,2018-09,16.52,29.25,7.93,16.6,0.53,52.01,33,一级
辽宁省,铁岭市,2018-10,27.23,43.74,8.97,22.23,0.59,45.47,44,一级
辽宁省,铁岭市,2018-11,38.33,60.15,12.23,27.01,0.68,33.75,59,二级
辽宁省,铁岭市,2018-12,40.28,59.74,13.3,23.9,0.68,34.49,61,二级
辽宁省,鞍山市,2018-01,36.59,59.61,23.22,33.63,1.1,37.18,57,二级
辽宁省,鞍山市,2018-02,46.25,70.65,22.27,28.28,1.1,51.06,68,二级
辽宁省,鞍山市,2018-03,46.89,71.01,17.04,24.86,0.93,78.01,69,二级
辽宁省,鞍山市,2018-04,33.84,67.36,11.22,17.78,0.71,91.18,62,二级
辽宁省,鞍山市,2018-05,30.35,58.7,10.16,16.11,0.67,95.88,58,二级
辽宁省,鞍山市,2018-06,26.14,42.61,8.91,11.71,0.65,109.7,62,二级
辽宁省,鞍山市,2018-07,20.9,33.64,5.89,9.68,0.58,65.51,38,一级
辽宁省,鞍山市,2018-08,21.28,37.07,7.67,14.79,0.71,72.86,42,一级
辽宁省,鞍山市,2018-09,19.52,34.93,8.04,16.39,0.65,59.44,38,一级
辽宁省,鞍山市,2018-10,27.46,47.79,9.94,22.36,0.7,50.22,47,一级
辽宁省,鞍山市,2018-11,43.67,70.19,15.4,31.2,0.96,34.62,66,二级
辽宁省,鞍山市,2018-12,35.6,59.51,17.08,28.32,0.86,34.18,58,二级
辽宁省,辽阳市,2018-01,41.77,67.61,28.08,37.56,1.2,34.24,64,二级
辽宁省,辽阳市,2018-02,48.24,75.73,26.16,31.16,1.17,50.74,72,二级
辽宁省,辽阳市,2018-03,48.92,75.95,20.3,28.74,1.06,77.56,72,二级
辽宁省,辽阳市,2018-04,34.23,73.5,12.86,21.09,0.81,90.59,65,二级
辽宁省,辽阳市,2018-05,29.94,63.16,11.91,20.15,0.81,93.38,59,二级
辽宁省,辽阳市,2018-06,25.9,44.54,10.61,15.47,0.81,107.71,61,二级
辽宁省,辽阳市,2018-07,20.99,35.17,7.08,12.09,0.71,65.58,38,一级
辽宁省,辽阳市,2018-08,21.37,39.94,9.02,18.78,0.82,67.18,43,一级
辽宁省,辽阳市,2018-09,19.26,37.3,9.88,19.99,0.78,51.82,39,一级
辽宁省,辽阳市,2018-10,30.08,53.88,12.26,26.41,0.83,44.92,52,二级
辽宁省,辽阳市,2018-11,45.07,73.88,17.62,34.45,1.04,31.35,69,二级
辽宁省,辽阳市,2018-12,39.64,67.57,20.37,31.58,1.0,31.18,64,二级
辽宁省,锦州市,2018-01,37.82,58.19,29.8,28.37,0.91,37.9,58,二级
辽宁省,锦州市,2018-02,48.29,68.84,29.09,24.57,0.93,50.89,70,二级
辽宁省,锦州市,2018-03,59.28,83.02,24.44,26.78,0.89,72.59,86,二级
辽宁省,锦州市,2018-04,36.82,75.45,13.54,19.52,0.65,89.59,65,二级
辽宁省,锦州市,2018-05,33.15,61.46,12.08,16.92,0.61,100.78,61,二级
辽宁省,锦州市,2018-06,30.92,47.49,13.18,15.92,0.68,116.52,68,二级
辽宁省,锦州市,2018-07,23.75,38.54,8.26,12.57,0.52,80.31,45,一级
辽宁省,锦州市,2018-08,18.63,33.87,9.79,15.34,0.54,75.31,42,一级
辽宁省,锦州市,2018-09,20.4,35.48,9.99,17.65,0.56,64.1,40,一级
辽宁省,锦州市,2018-10,28.9,46.23,9.9,21.54,0.63,50.96,48,一级
辽宁省,锦州市,2018-11,50.98,82.27,23.02,31.52,0.89,35.6,76,二级
辽宁省,锦州市,2018-12,37.33,62.01,21.39,25.08,0.77,35.83,59,二级
辽宁省,营口市,2018-01,38.99,63.45,21.57,33.41,1.01,38.15,60,二级
辽宁省,营口市,2018-02,50.3,75.22,20.31,29.11,1.03,51.22,73,二级
辽宁省,营口市,2018-03,48.17,72.93,16.05,25.41,0.86,79.33,70,二级
辽宁省,营口市,2018-04,34.43,68.79,10.98,17.79,0.64,94.14,63,二级
辽宁省,营口市,2018-05,30.82,57.31,9.64,15.12,0.58,100.78,60,二级
辽宁省,营口市,2018-06,26.35,41.32,8.24,10.32,0.56,116.36,66,二级
辽宁省,营口市,2018-07,20.47,32.45,5.75,8.92,0.5,69.95,39,一级
辽宁省,营口市,2018-08,21.07,35.77,7.27,13.57,0.63,80.37,45,一级
辽宁省,营口市,2018-09,20.98,35.23,7.38,15.61,0.56,68.2,40,一级
辽宁省,营口市,2018-10,28.43,48.43,9.17,22.62,0.61,55.76,48,一级
辽宁省,营口市,2018-11,46.27,71.72,14.4,32.11,0.86,37.17,68,二级
辽宁省,营口市,2018-12,36.55,59.82,16.09,27.54,0.77,36.89,59,二级
辽宁省,盘锦市,2018-01,40.25,63.14,30.19,35.7,1.05,35.71,62,二级
辽宁省,盘锦市,2018-02,54.26,77.12,28.88,31.43,1.11,48.88,77,二级
辽宁省,盘锦市,2018-03,57.12,81.84,21.91,28.97,0.97,75.51,83,二级
辽宁省,盘锦市,2018-04,36.53,76.45,13.38,21.77,0.72,93.17,67,二级
辽宁省,盘锦市,2018-05,31.22,62.15,11.99,18.45,0.67,106.25,64,二级
辽宁省,盘锦市,2018-06,28.86,45.87,11.74,14.95,0.72,127.04,75,二级
辽宁省,盘锦市,2018-07,21.06,36.19,7.58,12.53,0.56,79.32,43,一级
辽宁省,盘锦市,2018-08,19.53,37.33,9.94,17.4,0.65,79.27,45,一级
辽宁省,盘锦市,2018-09,21.4,38.62,10.5,20.61,0.62,64.55,42,一级
辽宁省,盘锦市,2018-10,28.53,49.02,10.83,24.68,0.66,52.26,49,一级
辽宁省,盘锦市,2018-11,48.69,79.37,20.63,35.23,0.93,34.83,73,二级
辽宁省,盘锦市,2018-12,37.68,64.97,21.92,29.89,0.85,34.09,61,二级
辽宁省,葫芦岛市,2018-01,36.24,62.16,27.38,28.24,1.25,37.7,58,二级
辽宁省,葫芦岛市,2018-02,43.94,67.84,25.54,24.51,1.11,50.58,65,二级
辽宁省,葫芦岛市,2018-03,53.86,82.18,22.18,29.87,1.01,67.91,80,二级
辽宁省,葫芦岛市,2018-04,34.11,67.04,13.01,20.89,0.67,86.15,61,二级
辽宁省,葫芦岛市,2018-05,36.2,62.52,11.82,18.28,0.64,97.27,61,二级
辽宁省,葫芦岛市,2018-06,32.86,51.75,12.65,15.91,0.66,115.17,67,二级
辽宁省,葫芦岛市,2018-07,27.38,44.76,9.23,12.18,0.48,80.84,48,一级
辽宁省,葫芦岛市,2018-08,21.12,36.21,10.08,15.02,0.51,77.85,43,一级
辽宁省,葫芦岛市,2018-09,22.33,36.33,9.65,17.18,0.54,66.75,42,一级
辽宁省,葫芦岛市,2018-10,31.55,50.82,11.12,24.8,0.71,50.87,52,二级
辽宁省,葫芦岛市,2018-11,54.48,90.53,20.98,34.58,1.16,33.35,82,二级
辽宁省,葫芦岛市,2018-12,40.04,67.28,19.63,26.95,0.95,32.99,63,二级
辽宁省,大连市,2018-01,35.81,57.31,16.27,27.5,0.83,41.74,55,二级
辽宁省,大连市,2018-02,44.12,62.74,16.39,23.59,0.8,54.85,65,二级
辽宁省,大连市,2018-03,44.61,64.96,12.85,23.38,0.71,77.39,65,二级
辽宁省,大连市,2018-04,31.82,60.72,9.15,17.26,0.54,91.26,57,二级
辽宁省,大连市,2018-05,31.24,54.4,8.94,14.48,0.49,97.49,56,二级
辽宁省,大连市,2018-06,28.93,43.68,7.9,11.35,0.51,104.38,58,二级
辽宁省,大连市,2018-07,20.71,33.22,5.86,8.46,0.41,64.99,38,一级
辽宁省,大连市,2018-08,19.67,32.85,6.87,10.18,0.51,82.54,44,一级
辽宁省,大连市,2018-09,20.03,32.67,7.19,13.09,0.48,77.03,41,一级
辽宁省,大连市,2018-10,26.33,41.32,7.95,18.04,0.52,63.1,44,一级
辽宁省,大连市,2018-11,46.1,69.5,14.07,28.24,0.74,40.91,68,二级
辽宁省,大连市,2018-12,33.25,51.49,14.17,23.04,0.64,40.87,52,二级
辽宁省,沈阳市,2018-01,39.95,60.45,21.36,29.26,0.79,34.49,59,二级
辽宁省,沈阳市,2018-02,47.16,68.75,21.53,25.28,0.82,47.81,69,二级
辽宁省,沈阳市,2018-03,56.47,82.48,19.31,28.32,0.87,72.23,81,二级
辽宁省,沈阳市,2018-04,37.04,79.23,12.8,20.84,0.64,86.38,66,二级
辽宁省,沈阳市,2018-05,31.5,64.3,12.08,20.21,0.6,91.88,58,二级
辽宁省,沈阳市,2018-06,27.13,47.52,12.99,19.58,0.71,109.74,63,二级
辽宁省,沈阳市,2018-07,22.33,39.04,9.31,16.94,0.6,72.68,41,一级
辽宁省,沈阳市,2018-08,17.92,35.93,8.72,19.46,0.56,64.66,41,一级
辽宁省,沈阳市,2018-09,20.38,39.02,11.42,22.47,0.63,51.78,40,一级
辽宁省,沈阳市,2018-10,30.62,51.08,11.13,24.14,0.66,45.57,50,一级
辽宁省,沈阳市,2018-11,44.31,71.8,17.87,31.75,0.79,31.1,67,二级
辽宁省,沈阳市,2018-12,38.01,61.38,17.2,25.75,0.74,32.1,60,二级
