province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
重庆市,长寿区,2015-01,112.9,155.73,23.22,27.19,1.32,32.86,150,三级
重庆市,长寿区,2015-02,71.72,101.0,18.47,22.08,1.04,42.75,98,二级
重庆市,长寿区,2015-03,48.02,74.99,18.92,20.61,0.91,56.13,69,二级
重庆市,长寿区,2015-04,36.12,58.18,17.13,18.9,0.67,70.81,55,二级
重庆市,长寿区,2015-05,35.15,58.54,16.13,17.13,0.64,71.52,55,二级
重庆市,长寿区,2015-06,28.54,47.02,13.45,14.83,0.62,63.49,46,一级
重庆市,长寿区,2015-07,38.93,61.41,14.86,17.23,0.62,82.05,57,二级
重庆市,长寿区,2015-08,40.89,61.03,14.25,15.72,0.65,78.88,60,二级
重庆市,长寿区,2015-09,36.39,53.82,16.31,15.44,0.77,65.12,54,二级
重庆市,长寿区,2015-10,40.49,59.04,17.09,20.04,0.73,55.26,59,二级
重庆市,长寿区,2015-11,38.69,57.1,21.42,20.39,0.94,27.8,58,二级
重庆市,长寿区,2015-12,54.28,72.31,27.47,24.39,0.91,29.46,76,二级
重庆市,涪陵区,2015-01,108.48,136.1,24.54,23.14,1.13,34.57,144,三级
重庆市,涪陵区,2015-02,72.16,90.54,18.74,18.5,0.86,44.59,98,二级
重庆市,涪陵区,2015-03,52.7,73.35,19.28,16.5,0.8,58.86,74,二级
重庆市,涪陵区,2015-04,39.47,55.8,17.5,16.54,0.57,71.6,58,二级
重庆市,涪陵区,2015-05,40.19,56.85,16.22,14.76,0.54,73.13,58,二级
重庆市,涪陵区,2015-06,33.67,46.57,14.84,12.67,0.53,65.38,50,一级
重庆市,涪陵区,2015-07,41.51,56.89,15.65,14.21,0.52,78.33,60,二级
重庆市,涪陵区,2015-08,44.15,57.77,15.64,12.61,0.54,75.57,63,二级
重庆市,涪陵区,2015-09,40.61,52.76,18.59,12.2,0.66,68.24,58,二级
重庆市,涪陵区,2015-10,42.83,56.72,20.37,16.48,0.63,57.45,61,二级
重庆市,涪陵区,2015-11,47.91,63.03,24.43,16.95,0.82,31.58,67,二级
重庆市,涪陵区,2015-12,60.15,74.01,32.13,22.13,0.81,31.53,82,二级
重庆市,巫溪县,2015-01,69.98,86.85,22.47,10.13,0.92,51.24,95,二级
重庆市,巫溪县,2015-02,47.47,57.24,14.63,6.83,0.58,58.02,66,二级
重庆市,巫溪县,2015-03,45.76,58.47,16.51,6.24,0.54,66.38,65,二级
重庆市,巫溪县,2015-04,34.56,44.14,12.86,4.93,0.39,73.35,51,二级
重庆市,巫溪县,2015-05,38.66,46.61,11.37,3.74,0.38,80.21,57,二级
重庆市,巫溪县,2015-06,36.04,44.94,12.07,3.59,0.35,80.28,53,二级
重庆市,巫溪县,2015-07,35.61,45.35,11.06,3.69,0.33,83.44,52,二级
重庆市,巫溪县,2015-08,31.84,41.76,12.54,3.6,0.33,72.46,49,一级
重庆市,巫溪县,2015-09,41.26,50.89,16.61,3.69,0.42,74.61,59,二级
重庆市,巫溪县,2015-10,37.84,46.81,15.52,5.15,0.45,66.3,55,二级
重庆市,巫溪县,2015-11,31.02,41.65,17.16,7.95,0.48,48.36,46,一级
重庆市,巫溪县,2015-12,41.14,52.69,17.67,7.92,0.53,51.21,59,二级
重庆市,合川区,2015-01,86.55,146.33,22.61,34.87,1.23,25.91,117,三级
重庆市,合川区,2015-02,68.44,111.95,17.11,28.47,1.13,36.32,95,二级
重庆市,合川区,2015-03,44.31,80.91,17.79,28.71,1.0,48.6,68,二级
重庆市,合川区,2015-04,35.41,65.76,15.44,25.23,0.81,69.1,58,二级
重庆市,合川区,2015-05,35.43,65.47,14.49,22.52,0.74,65.85,58,二级
重庆市,合川区,2015-06,28.69,51.7,10.78,19.12,0.78,53.85,50,一级
重庆市,合川区,2015-07,35.48,63.99,11.96,20.78,0.75,76.01,57,二级
重庆市,合川区,2015-08,33.93,56.54,11.44,19.76,0.77,71.44,54,二级
重庆市,合川区,2015-09,31.47,50.0,10.73,21.86,0.86,53.28,49,一级
重庆市,合川区,2015-10,40.78,65.7,13.57,29.13,0.86,45.99,62,二级
重庆市,合川区,2015-11,32.63,53.51,15.01,26.11,1.05,19.92,52,二级
重庆市,合川区,2015-12,49.92,73.07,18.93,32.14,0.96,21.72,71,二级
重庆市,璧山区,2015-01,99.82,151.12,26.85,44.06,1.29,16.34,133,三级
重庆市,璧山区,2015-02,73.83,111.92,19.23,36.1,1.06,29.65,100,二级
重庆市,璧山区,2015-03,48.94,84.39,19.27,39.56,1.02,41.65,72,二级
重庆市,璧山区,2015-04,43.88,75.01,16.97,35.45,0.9,61.36,66,二级
重庆市,璧山区,2015-05,42.07,72.78,14.56,33.9,0.83,55.61,65,二级
重庆市,璧山区,2015-06,35.37,57.97,9.75,26.81,0.88,42.69,55,二级
重庆市,璧山区,2015-07,40.41,69.49,12.61,28.35,0.86,60.3,61,二级
重庆市,璧山区,2015-08,34.8,56.35,12.3,26.05,0.85,59.37,55,二级
重庆市,璧山区,2015-09,30.72,47.45,10.82,29.72,0.97,40.34,51,二级
重庆市,璧山区,2015-10,43.48,68.35,14.64,36.63,0.96,35.77,64,二级
重庆市,璧山区,2015-11,40.12,60.4,14.0,35.09,1.18,13.03,60,二级
重庆市,璧山区,2015-12,57.53,78.47,17.87,40.43,1.02,14.89,80,二级
重庆市,大足区,2015-01,99.45,142.85,24.92,32.23,1.04,25.84,133,三级
重庆市,大足区,2015-02,80.1,115.11,19.61,25.01,0.91,38.32,108,三级
重庆市,大足区,2015-03,51.51,83.97,21.04,27.3,0.87,51.05,74,二级
重庆市,大足区,2015-04,45.89,75.04,18.65,24.56,0.74,66.25,67,二级
重庆市,大足区,2015-05,51.53,78.46,16.29,22.31,0.68,65.93,73,二级
重庆市,大足区,2015-06,37.51,57.16,9.55,17.77,0.73,55.43,56,二级
重庆市,大足区,2015-07,36.39,60.45,13.2,20.19,0.69,72.18,56,二级
重庆市,大足区,2015-08,33.5,51.15,13.77,18.9,0.67,66.34,52,二级
重庆市,大足区,2015-09,30.35,46.62,13.43,19.92,0.75,49.38,47,一级
重庆市,大足区,2015-10,44.52,68.92,15.41,26.27,0.77,44.75,66,二级
重庆市,大足区,2015-11,39.72,59.82,12.81,27.19,0.99,20.58,58,二级
重庆市,大足区,2015-12,54.29,74.96,16.9,32.79,0.88,21.76,75,二级
重庆市,石柱土家族自治县,2015-01,96.44,119.49,25.49,16.38,0.95,37.43,128,三级
重庆市,石柱土家族自治县,2015-02,70.27,81.06,19.27,10.99,0.73,44.16,95,二级
重庆市,石柱土家族自治县,2015-03,58.56,73.85,18.9,8.99,0.61,54.86,81,二级
重庆市,石柱土家族自治县,2015-04,42.78,52.77,14.6,7.89,0.4,64.81,61,二级
重庆市,石柱土家族自治县,2015-05,44.06,54.17,14.24,6.57,0.42,70.85,62,二级
重庆市,石柱土家族自治县,2015-06,36.28,45.43,13.3,6.29,0.36,69.01,53,二级
重庆市,石柱土家族自治县,2015-07,38.47,50.0,12.98,7.49,0.34,78.21,56,二级
重庆市,石柱土家族自治县,2015-08,41.33,53.28,15.31,6.82,0.38,70.2,59,二级
重庆市,石柱土家族自治县,2015-09,47.05,57.57,18.93,6.38,0.44,67.03,66,二级
重庆市,石柱土家族自治县,2015-10,48.16,58.09,19.36,9.16,0.55,57.29,67,二级
重庆市,石柱土家族自治县,2015-11,46.51,63.01,24.76,13.78,0.6,33.48,66,二级
重庆市,石柱土家族自治县,2015-12,59.09,74.89,25.19,13.82,0.63,35.97,81,二级
重庆市,九龙坡区,2015-01,122.43,164.52,28.46,46.89,1.34,14.52,161,四级
重庆市,九龙坡区,2015-02,82.36,112.49,19.75,40.7,1.03,27.86,111,三级
重庆市,九龙坡区,2015-03,53.1,84.77,20.07,40.54,0.98,41.4,75,二级
重庆市,九龙坡区,2015-04,46.99,76.57,16.94,39.72,0.84,56.14,69,二级
重庆市,九龙坡区,2015-05,42.35,73.35,14.14,36.58,0.79,51.89,65,二级
重庆市,九龙坡区,2015-06,35.08,58.36,10.01,29.13,0.84,39.42,55,二级
重庆市,九龙坡区,2015-07,42.4,69.44,13.45,30.32,0.8,54.65,62,二级
