province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
陕西省,延安市,2016-01,37.42,55.19,28.49,24.11,1.07,42.63,56,二级
陕西省,延安市,2016-02,29.07,54.28,22.1,16.55,0.91,53.17,54,二级
陕西省,延安市,2016-03,43.64,80.01,19.18,24.81,1.04,62.42,72,二级
陕西省,延安市,2016-04,32.01,60.44,11.3,20.09,0.85,66.27,56,二级
陕西省,延安市,2016-05,33.36,53.53,11.05,16.01,0.69,80.45,53,二级
陕西省,延安市,2016-06,27.75,44.09,10.85,14.83,0.71,80.17,47,一级
陕西省,延安市,2016-07,28.18,43.35,11.13,13.27,0.76,77.06,48,一级
陕西省,延安市,2016-08,33.64,53.54,13.42,15.76,0.94,67.61,52,二级
陕西省,延安市,2016-09,34.65,52.46,14.4,17.17,0.86,60.07,53,二级
陕西省,延安市,2016-10,29.69,49.41,15.43,23.38,0.94,43.49,48,一级
陕西省,延安市,2016-11,46.02,85.38,34.34,34.32,1.31,38.19,71,二级
陕西省,延安市,2016-12,56.21,84.42,44.65,40.08,1.57,32.7,79,二级
陕西省,安康市,2016-01,70.67,90.12,20.22,17.36,1.2,44.83,97,二级
陕西省,安康市,2016-02,46.35,66.61,12.61,10.29,1.0,56.01,69,二级
陕西省,安康市,2016-03,48.03,77.76,15.92,12.21,0.77,68.42,70,二级
陕西省,安康市,2016-04,32.52,47.42,11.4,7.25,0.68,71.07,50,一级
陕西省,安康市,2016-05,32.26,45.76,9.41,5.27,0.49,80.51,50,一级
陕西省,安康市,2016-06,27.87,39.48,8.88,4.25,0.44,80.27,45,一级
陕西省,安康市,2016-07,23.86,34.22,8.5,4.32,0.39,70.92,39,一级
陕西省,安康市,2016-08,31.56,45.36,11.43,5.88,0.44,75.69,48,一级
陕西省,安康市,2016-09,36.34,48.02,13.57,7.01,0.48,73.24,54,二级
陕西省,安康市,2016-10,26.7,40.13,14.07,10.54,0.54,47.25,41,一级
陕西省,安康市,2016-11,40.56,61.11,14.06,14.66,0.74,41.9,59,二级
陕西省,安康市,2016-12,57.95,80.67,14.11,19.63,0.95,40.47,80,二级
陕西省,宝鸡市,2016-01,71.29,106.93,19.51,29.37,1.22,41.2,99,二级
陕西省,宝鸡市,2016-02,42.05,89.86,13.92,18.94,0.91,53.12,74,二级
陕西省,宝鸡市,2016-03,46.47,97.64,13.66,23.73,0.9,58.78,77,二级
陕西省,宝鸡市,2016-04,31.13,60.36,7.62,17.02,0.57,68.06,56,二级
陕西省,宝鸡市,2016-05,32.2,56.86,6.6,12.7,0.49,83.19,55,二级
陕西省,宝鸡市,2016-06,26.4,43.52,5.81,11.07,0.46,86.88,48,一级
陕西省,宝鸡市,2016-07,23.61,38.29,5.72,10.3,0.44,78.78,44,一级
陕西省,宝鸡市,2016-08,33.24,50.79,6.84,10.69,0.58,84.93,52,二级
陕西省,宝鸡市,2016-09,34.19,52.08,9.42,14.88,0.58,66.53,54,二级
陕西省,宝鸡市,2016-10,32.79,51.56,7.9,18.91,0.71,46.39,50,一级
陕西省,宝鸡市,2016-11,58.93,106.35,13.56,28.97,0.97,41.41,86,二级
陕西省,宝鸡市,2016-12,74.01,106.1,17.85,34.58,1.15,39.74,101,三级
陕西省,商洛市,2016-01,64.99,93.12,20.6,25.01,1.43,44.09,90,二级
陕西省,商洛市,2016-02,35.45,60.19,12.29,13.15,1.07,57.96,60,二级
陕西省,商洛市,2016-03,50.22,92.97,17.01,17.98,0.91,65.56,76,二级
陕西省,商洛市,2016-04,35.86,60.65,11.41,12.49,0.7,73.47,57,二级
陕西省,商洛市,2016-05,31.99,49.68,9.21,8.61,0.55,82.76,52,二级
陕西省,商洛市,2016-06,28.62,44.74,9.06,6.48,0.52,87.06,49,一级
陕西省,商洛市,2016-07,25.75,39.83,8.48,6.85,0.5,78.05,44,一级
陕西省,商洛市,2016-08,32.54,52.87,11.97,8.97,0.62,76.57,51,二级
陕西省,商洛市,2016-09,37.71,54.86,12.45,10.35,0.6,73.54,57,二级
陕西省,商洛市,2016-10,28.56,46.19,12.1,13.91,0.62,48.78,46,一级
陕西省,商洛市,2016-11,44.65,74.12,13.69,21.0,0.78,41.5,67,二级
