province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
青海省,玉树藏族自治州,2018-01,1.12,1.42,0.14,0.29,0.13,76.63,39,一级
青海省,玉树藏族自治州,2018-02,0.76,1.07,0.1,0.28,0.13,74.57,38,一级
青海省,玉树藏族自治州,2018-03,2.7,3.09,0.19,0.32,0.14,88.96,46,一级
青海省,玉树藏族自治州,2018-04,7.03,7.49,0.21,0.37,0.13,99.05,52,二级
青海省,玉树藏族自治州,2018-05,12.72,13.06,0.26,0.33,0.12,98.29,52,二级
青海省,玉树藏族自治州,2018-06,10.85,11.17,0.4,0.37,0.11,90.57,47,一级
青海省,玉树藏族自治州,2018-07,9.1,9.45,0.34,0.51,0.1,80.52,41,一级
青海省,玉树藏族自治州,2018-08,13.43,14.0,0.74,0.48,0.11,82.93,42,一级
青海省,玉树藏族自治州,2018-09,8.12,8.44,0.36,0.43,0.12,85.0,43,一级
青海省,玉树藏族自治州,2018-10,2.97,3.13,0.18,0.37,0.12,86.89,44,一级
青海省,玉树藏族自治州,2018-11,1.24,1.48,0.16,0.47,0.14,79.59,41,一级
青海省,玉树藏族自治州,2018-12,1.0,1.22,0.11,0.44,0.14,76.94,39,一级
青海省,海北藏族自治州,2018-01,4.89,6.42,1.89,1.9,0.18,66.3,34,一级
青海省,海北藏族自治州,2018-02,3.19,4.31,1.37,1.5,0.17,68.41,35,一级
青海省,海北藏族自治州,2018-03,7.0,10.37,1.63,1.54,0.16,79.12,41,一级
青海省,海北藏族自治州,2018-04,13.37,15.96,1.43,1.42,0.14,85.75,45,一级
青海省,海北藏族自治州,2018-05,18.57,20.81,1.63,1.33,0.14,88.94,47,一级
青海省,海北藏族自治州,2018-06,24.21,26.46,3.01,1.38,0.15,89.26,47,一级
青海省,海北藏族自治州,2018-07,16.14,17.67,2.45,1.5,0.14,80.25,41,一级
青海省,海北藏族自治州,2018-08,27.72,30.51,4.45,1.51,0.18,80.96,47,一级
青海省,海北藏族自治州,2018-09,16.48,18.14,2.68,1.78,0.15,78.38,41,一级
青海省,海北藏族自治州,2018-10,11.01,12.7,2.13,1.85,0.16,82.62,44,一级
青海省,海北藏族自治州,2018-11,4.39,5.56,1.66,1.89,0.16,72.97,37,一级
青海省,海北藏族自治州,2018-12,3.29,4.18,1.05,1.43,0.16,71.92,37,一级
青海省,果洛藏族自治州,2018-01,1.59,1.97,0.26,0.52,0.14,75.43,39,一级
青海省,果洛藏族自治州,2018-02,1.04,1.41,0.19,0.57,0.15,74.05,38,一级
青海省,果洛藏族自治州,2018-03,4.86,5.45,0.69,0.74,0.15,88.94,46,一级
青海省,果洛藏族自治州,2018-04,8.22,8.6,0.58,0.76,0.14,97.99,51,二级
青海省,果洛藏族自治州,2018-05,12.85,13.43,0.59,0.71,0.13,93.07,49,一级
青海省,果洛藏族自治州,2018-06,16.0,16.77,1.77,1.04,0.14,87.1,45,一级
青海省,果洛藏族自治州,2018-07,13.51,14.1,1.43,0.81,0.12,81.55,42,一级
青海省,果洛藏族自治州,2018-08,21.26,22.25,2.32,0.86,0.14,79.61,42,一级
青海省,果洛藏族自治州,2018-09,11.36,11.81,0.96,0.81,0.13,82.97,43,一级
青海省,果洛藏族自治州,2018-10,5.39,5.65,0.5,0.66,0.13,85.03,43,一级
青海省,果洛藏族自治州,2018-11,1.55,1.76,0.22,0.76,0.13,74.48,38,一级
青海省,果洛藏族自治州,2018-12,1.31,1.61,0.21,0.68,0.13,73.02,37,一级
青海省,黄南藏族自治州,2018-01,6.94,7.96,1.79,1.67,0.2,68.33,36,一级
