province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
香港特别行政区,香港特别行政区,2018-01,33.07,49.49,7.92,31.34,0.68,62.11,53,二级
香港特别行政区,香港特别行政区,2018-02,32.85,46.41,8.06,24.18,0.56,68.51,49,一级
香港特别行政区,香港特别行政区,2018-03,22.0,32.32,5.43,21.92,0.4,78.05,46,一级
香港特别行政区,香港特别行政区,2018-04,22.34,34.91,5.0,20.56,0.37,70.44,43,一级
香港特别行政区,香港特别行政区,2018-05,14.04,21.14,4.73,17.85,0.25,58.53,32,一级
香港特别行政区,香港特别行政区,2018-06,13.76,21.7,4.89,16.38,0.32,63.13,34,一级
香港特别行政区,香港特别行政区,2018-07,5.56,11.26,3.1,13.45,0.2,43.8,24,一级
香港特别行政区,香港特别行政区,2018-08,16.18,25.05,4.72,18.81,0.37,65.39,36,一级
香港特别行政区,香港特别行政区,2018-09,17.73,27.88,6.3,21.09,0.36,57.26,35,一级
香港特别行政区,香港特别行政区,2018-10,26.67,42.05,8.72,20.61,0.49,88.46,52,二级
香港特别行政区,香港特别行政区,2018-11,25.13,39.66,7.5,23.27,0.51,61.95,43,一级
香港特别行政区,香港特别行政区,2018-12,27.53,42.51,10.33,27.78,0.61,40.94,46,一级
