province,city,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
黑龙江省,大兴安岭地区,2015-01,3.06,3.93,2.87,2.39,0.23,44.97,24,一级
黑龙江省,大兴安岭地区,2015-02,5.01,6.03,3.6,2.28,0.22,53.92,30,一级
黑龙江省,大兴安岭地区,2015-03,2.17,2.62,2.34,1.45,0.2,64.41,33,一级
黑龙江省,大兴安岭地区,2015-04,3.31,4.24,1.31,1.16,0.19,71.04,37,一级
黑龙江省,大兴安岭地区,2015-05,4.76,5.42,1.04,0.95,0.19,66.24,34,一级
黑龙江省,大兴安岭地区,2015-06,13.51,15.07,1.4,1.14,0.24,64.98,33,一级
黑龙江省,大兴安岭地区,2015-07,13.39,15.29,1.54,1.45,0.2,67.81,35,一级
黑龙江省,大兴安岭地区,2015-08,15.5,16.97,1.93,1.7,0.19,60.27,34,一级
黑龙江省,大兴安岭地区,2015-09,5.24,6.09,1.53,1.33,0.22,59.3,31,一级
黑龙江省,大兴安岭地区,2015-10,6.25,7.38,2.72,1.94,0.22,54.83,31,一级
黑龙江省,大兴安岭地区,2015-11,9.52,10.52,3.7,2.75,0.25,49.31,32,一级
黑龙江省,大兴安岭地区,2015-12,3.37,4.26,3.07,2.21,0.23,44.45,24,一级
黑龙江省,佳木斯市,2015-01,38.27,49.63,9.08,13.32,0.8,42.31,56,二级
黑龙江省,佳木斯市,2015-02,29.31,46.42,8.0,11.56,0.58,51.51,48,一级
黑龙江省,佳木斯市,2015-03,24.14,35.45,8.04,9.0,0.44,62.79,43,一级
黑龙江省,佳木斯市,2015-04,19.56,32.15,5.07,7.07,0.37,69.86,41,一级
黑龙江省,佳木斯市,2015-05,13.8,21.98,3.75,4.9,0.32,64.07,35,一级
黑龙江省,佳木斯市,2015-06,20.87,27.25,4.49,5.43,0.33,68.28,37,一级
黑龙江省,佳木斯市,2015-07,20.62,27.09,4.41,6.14,0.39,67.44,37,一级
黑龙江省,佳木斯市,2015-08,18.26,24.07,4.36,5.08,0.34,57.26,32,一级
黑龙江省,佳木斯市,2015-09,12.98,17.92,4.58,6.37,0.38,53.4,28,一级
黑龙江省,佳木斯市,2015-10,20.75,28.28,5.9,8.06,0.47,52.61,37,一级
黑龙江省,佳木斯市,2015-11,27.93,39.47,6.62,10.22,0.65,46.54,44,一级
黑龙江省,佳木斯市,2015-12,27.49,36.23,9.2,14.14,0.79,39.44,42,一级
