province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,2015-10-02,23.7,32.51,11.58,4.7,0.42,66.38,0.37,1.44,289.34,81.58,81825.82,34,一级
新疆维吾尔自治区,2015-10-02,73.93,85.51,1.47,2.43,0.2,65.69,2.72,-0.1,282.42,30.4,82232.56,99,二级
宁夏回族自治区,2015-10-02,30.06,78.94,10.28,22.43,0.49,57.28,2.34,-0.55,285.41,28.87,84590.76,65,二级
上海市,2015-10-02,30.49,78.59,17.66,33.96,0.75,85.12,0.68,-0.72,292.37,55.86,101787.16,65,二级
浙江省,2015-10-02,28.98,58.29,12.64,19.47,0.51,80.63,-1.23,-1.93,290.65,59.59,98405.6,55,二级
吉林省,2015-10-02,5.63,13.89,3.6,4.72,0.27,61.09,11.59,0.13,280.0,43.56,95654.92,31,一级
江苏省,2015-10-02,40.42,93.14,20.52,30.15,0.71,84.99,2.51,1.55,291.67,39.95,101636.05,72,二级
内蒙古自治区,2015-10-02,10.34,16.63,2.57,3.11,0.21,66.53,7.79,-3.73,280.04,42.28,89655.89,34,一级
山东省,2015-10-02,61.72,143.03,32.11,41.56,0.98,70.73,5.3,3.76,291.38,29.16,100440.0,97,二级
河南省,2015-10-02,49.92,127.76,22.68,31.41,0.74,55.12,3.69,1.52,292.04,25.93,98873.06,89,二级
台湾省,2015-10-02,21.11,25.84,7.27,16.71,0.19,50.07,-2.68,-2.2,295.85,81.84,92985.35,31,一级
河北省,2015-10-02,21.17,49.12,12.69,23.7,0.53,52.81,6.19,-1.31,288.85,33.48,95117.48,50,一级
四川省,2015-10-02,21.82,39.51,6.59,8.3,0.37,69.86,1.34,0.97,284.52,63.17,75933.2,40,一级
海南省,2015-10-02,27.4,43.19,11.23,7.81,0.51,62.1,-3.77,-3.74,299.19,84.51,98952.31,44,一级
安徽省,2015-10-02,59.5,110.05,13.42,29.74,0.63,60.51,0.8,1.17,291.43,36.02,100439.7,81,二级
广西壮族自治区,2015-10-02,37.1,50.04,11.9,7.21,0.57,75.15,-2.72,-4.0,294.9,59.33,97067.4,53,二级
湖南省,2015-10-02,35.67,61.29,14.56,14.63,0.54,71.8,-2.03,-1.84,291.82,46.84,97591.65,56,二级
黑龙江省,2015-10-02,4.97,7.47,2.39,2.77,0.26,60.53,10.65,-1.15,276.78,59.25,95534.31,31,一级
天津市,2015-10-02,30.28,73.52,11.5,30.92,0.64,41.09,5.29,1.86,291.87,31.03,101053.79,62,二级
陕西省,2015-10-02,29.53,68.56,8.09,17.76,0.5,51.71,1.94,-0.52,286.54,34.11,89193.3,60,二级
江西省,2015-10-02,34.5,58.32,14.89,10.9,0.54,68.59,-2.13,-3.35,291.94,55.5,98940.12,55,二级
湖北省,2015-10-02,38.88,78.3,11.89,16.44,0.51,77.36,0.12,0.93,291.11,41.8,96982.05,65,二级
北京市,2015-10-02,17.47,34.24,4.58,25.24,0.39,50.62,5.9,-2.81,291.16,30.56,97304.97,35,一级
辽宁省,2015-10-02,10.53,28.32,7.84,11.46,0.52,58.18,7.45,-1.21,286.68,37.24,98219.97,30,一级
广东省,2015-10-02,35.23,46.65,12.16,10.23,0.77,70.6,-3.69,-4.83,296.67,68.45,99006.36,51,二级
山西省,2015-10-02,24.87,53.41,21.2,21.78,0.91,47.64,4.68,-1.3,285.04,31.88,88749.81,52,二级
香港特别行政区,2015-10-02,28.08,40.06,8.41,14.56,0.64,68.05,-6.4,-5.6,298.4,76.88,100737.44,41,一级
西藏自治区,2015-10-02,7.11,7.7,0.24,0.69,0.15,87.94,4.6,0.07,276.16,40.18,57976.15,44,一级
海外,2015-10-02,9.75,11.68,2.78,1.55,0.2,76.3,4.91,-3.52,275.98,60.62,74714.27,39,一级
重庆市,2015-10-02,31.41,50.9,12.89,13.0,0.4,64.89,-2.1,1.7,290.91,58.13,93417.59,51,二级
福建省,2015-10-02,26.74,41.78,10.16,9.86,0.63,58.61,-2.57,-3.32,292.78,75.5,96211.62,42,一级
甘肃省,2015-10-02,23.02,38.68,4.34,7.64,0.3,69.94,3.03,-0.88,281.74,34.6,79255.26,39,一级
青海省,2015-10-02,20.31,20.99,0.65,0.96,0.14,74.96,2.26,-1.97,276.49,35.3,62881.46,38,一级
贵州省,2015-10-02,25.33,38.93,10.65,7.87,0.4,64.66,-1.07,1.55,289.68,69.34,89415.35,39,一级
