province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,崇明区,2013-01-01,77.0,116.84,42.9,67.34,1.42,14.38,6.94,0.15,276.46,67.74,102361.87,103,三级
上海市,崇明区,2013-01-02,46.39,65.74,11.98,24.54,0.78,45.46,1.52,-8.82,275.72,67.01,103082.41,65,二级
上海市,崇明区,2013-01-03,24.59,29.62,9.18,10.59,0.6,55.9,2.87,-7.46,273.46,84.93,103618.46,36,一级
上海市,崇明区,2013-01-04,31.46,34.12,9.08,12.32,0.59,53.22,1.78,-6.09,274.68,80.83,103124.26,45,一级
上海市,崇明区,2013-01-05,38.29,37.13,10.66,14.2,0.78,55.43,2.49,-6.31,274.8,82.27,102671.95,55,二级
上海市,崇明区,2013-01-06,78.84,76.52,24.33,21.81,0.98,54.32,2.23,-5.16,275.34,73.37,102656.98,105,三级
上海市,崇明区,2013-01-07,95.07,86.89,22.69,26.31,0.92,41.48,2.09,-4.47,275.89,73.32,102505.46,126,三级
上海市,崇明区,2013-01-08,89.52,82.31,24.79,21.76,0.94,51.88,1.66,-6.03,276.74,73.97,102539.53,119,三级
上海市,崇明区,2013-01-09,70.96,71.76,21.99,15.46,0.83,45.06,0.78,-7.28,276.65,68.28,102820.08,95,二级
上海市,崇明区,2013-01-10,37.42,44.5,11.04,15.71,0.56,53.54,-0.21,-4.99,275.64,63.16,103057.32,54,二级
上海市,崇明区,2013-01-11,26.63,32.68,7.3,29.09,0.48,50.5,-2.31,0.19,277.95,72.98,102840.46,39,一级
上海市,崇明区,2013-01-12,134.83,157.07,36.29,61.81,1.12,29.34,-0.78,-2.18,278.5,81.14,102623.64,179,四级
上海市,崇明区,2013-01-13,74.06,64.44,11.13,23.42,0.88,45.04,-2.01,-4.24,279.16,88.1,102152.88,99,二级
上海市,崇明区,2013-01-14,79.22,79.01,9.35,15.81,0.8,59.14,1.28,-6.5,277.76,76.59,102470.1,106,三级
上海市,崇明区,2013-01-15,102.82,106.54,18.28,29.02,0.94,49.28,-2.32,-0.72,277.84,84.49,102591.22,135,三级
上海市,崇明区,2013-01-16,138.96,137.87,18.41,28.24,0.99,46.05,0.07,-4.68,277.48,81.94,102712.87,185,四级
上海市,崇明区,2013-01-17,39.5,45.21,8.29,10.86,0.62,53.28,1.92,-9.25,274.93,68.71,103416.74,56,二级
上海市,崇明区,2013-01-18,68.4,77.82,19.98,34.14,0.81,42.74,2.2,-3.65,274.1,73.8,103428.51,92,二级
上海市,崇明区,2013-01-19,66.17,69.47,18.85,45.17,0.68,49.0,-2.42,1.42,276.73,76.09,103001.32,89,二级
上海市,崇明区,2013-01-20,22.71,31.3,8.18,34.62,0.68,48.6,-5.22,4.0,281.53,92.29,102575.84,44,一级
上海市,崇明区,2013-01-21,88.39,83.39,19.2,49.74,1.52,9.52,4.67,-0.99,280.52,92.6,102304.38,117,三级
上海市,崇明区,2013-01-22,94.34,100.6,17.29,27.08,1.03,29.08,3.6,-5.88,275.64,84.08,102629.39,125,三级
上海市,崇明区,2013-01-23,127.33,135.72,37.82,52.68,1.3,22.7,4.56,-2.6,275.59,72.22,102379.07,168,四级
上海市,崇明区,2013-01-24,191.91,207.84,52.18,65.21,1.93,20.04,3.09,-2.13,277.47,72.31,102206.92,242,五级
上海市,崇明区,2013-01-25,117.99,126.14,29.75,60.2,1.27,27.04,3.32,-0.51,276.3,62.92,102491.53,155,四级
上海市,崇明区,2013-01-26,130.73,132.81,38.58,58.18,1.34,36.06,1.49,-1.5,278.02,71.67,102331.58,173,四级
上海市,崇明区,2013-01-27,21.57,22.79,6.61,12.75,0.36,58.3,-1.52,-3.9,276.86,67.01,102905.67,31,一级
上海市,崇明区,2013-01-28,41.96,52.88,22.28,49.43,0.62,48.12,-1.66,4.97,278.73,65.02,102772.4,62,二级
上海市,崇明区,2013-01-29,58.74,77.4,26.45,71.89,0.91,37.9,-1.57,4.58,280.96,79.23,102508.68,90,二级
上海市,崇明区,2013-01-30,87.34,95.39,18.24,62.9,1.05,52.1,-3.46,2.27,281.69,82.95,102735.52,116,三级
上海市,崇明区,2013-01-31,25.5,31.35,9.14,32.4,0.5,57.1,-5.42,5.95,283.36,97.52,102377.76,41,一级
上海市,崇明区,2013-02-01,80.49,79.56,17.22,51.44,1.2,14.96,3.2,0.9,284.07,93.1,102179.73,107,三级
上海市,崇明区,2013-02-02,47.58,53.54,7.96,10.32,0.83,52.72,-2.52,-6.52,278.07,79.52,103068.55,66,二级
