province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,松江区,2013-01-01,75.03,99.36,41.5,68.49,1.82,17.14,4.96,-0.07,276.68,62.12,102383.05,101,三级
上海市,松江区,2013-01-02,68.18,124.27,40.27,58.19,2.91,26.24,-0.18,-8.71,276.18,68.68,103034.86,92,二级
上海市,松江区,2013-01-03,48.98,61.96,40.55,42.87,2.36,29.5,3.06,-8.2,273.26,79.86,103597.26,68,二级
上海市,松江区,2013-01-04,60.86,66.76,45.21,58.6,1.78,19.08,1.41,-6.9,274.42,82.16,103098.43,83,二级
上海市,松江区,2013-01-05,68.34,65.79,47.15,64.28,2.42,12.14,1.64,-6.01,274.72,80.87,102650.33,92,二级
上海市,松江区,2013-01-06,85.0,88.63,47.88,65.66,1.79,10.12,1.88,-5.27,274.91,75.06,102645.8,113,三级
上海市,松江区,2013-01-07,150.69,149.46,70.11,82.16,1.92,4.59,1.97,-4.29,275.12,80.48,102501.49,201,五级
上海市,松江区,2013-01-08,138.37,134.12,83.22,82.2,2.11,15.09,1.29,-6.04,276.56,71.32,102524.93,184,四级
上海市,松江区,2013-01-09,111.5,125.08,83.63,67.82,1.9,17.17,0.47,-6.81,276.53,71.84,102801.03,146,三级
上海市,松江区,2013-01-10,80.52,96.74,57.52,77.19,2.42,17.55,-0.67,-4.93,275.82,64.12,103030.55,107,三级
上海市,松江区,2013-01-11,72.83,79.06,39.44,81.53,2.21,19.41,-1.96,-0.6,277.9,74.85,102805.43,101,三级
上海市,松江区,2013-01-12,185.48,216.22,104.12,120.6,2.78,13.89,-1.01,-1.63,278.49,79.78,102593.22,236,五级
上海市,松江区,2013-01-13,90.26,73.54,27.05,79.4,2.22,20.53,-2.19,-4.38,279.4,89.71,102103.08,120,三级
上海市,松江区,2013-01-14,152.87,160.57,51.11,81.44,2.61,23.89,1.32,-5.7,277.34,78.43,102463.23,203,五级
上海市,松江区,2013-01-15,125.73,129.68,27.18,88.62,2.64,25.98,-1.95,-0.09,277.97,85.5,102560.53,166,四级
上海市,松江区,2013-01-16,204.6,216.72,73.14,79.1,2.67,14.65,0.29,-3.82,277.46,85.89,102685.53,255,五级
上海市,松江区,2013-01-17,69.3,77.99,40.63,47.82,2.02,33.12,1.4,-8.54,275.25,67.67,103401.56,93,二级
上海市,松江区,2013-01-18,115.52,129.66,56.02,80.3,2.0,21.51,1.54,-3.64,273.89,68.04,103433.83,151,四级
上海市,松江区,2013-01-19,98.36,97.61,33.63,71.92,1.8,28.02,-3.14,1.29,277.09,73.28,102958.12,130,三级
上海市,松江区,2013-01-20,37.86,43.76,18.4,57.25,1.4,32.13,-4.87,4.34,282.97,90.98,102515.2,72,二级
上海市,松江区,2013-01-21,103.17,98.83,37.15,64.32,2.14,6.69,4.87,-0.88,280.93,92.02,102325.41,136,三级
上海市,松江区,2013-01-22,115.64,112.52,44.25,65.26,2.24,8.41,3.05,-5.34,276.48,79.44,102627.87,151,四级
上海市,松江区,2013-01-23,147.12,152.51,55.54,72.15,2.22,16.81,3.82,-2.67,276.08,72.35,102393.87,196,四级
上海市,松江区,2013-01-24,189.18,206.57,69.65,91.84,2.46,11.59,2.76,-1.96,278.17,71.17,102198.66,240,五级
上海市,松江区,2013-01-25,181.78,196.27,52.22,81.88,2.22,20.95,1.87,-1.2,276.15,62.11,102503.6,232,五级
上海市,松江区,2013-01-26,150.24,147.06,51.56,92.27,2.08,18.32,2.0,-1.06,278.84,65.62,102306.14,201,五级
上海市,松江区,2013-01-27,73.59,58.26,35.7,72.68,1.59,26.02,-2.0,-3.67,277.52,69.15,102872.66,99,二级
上海市,松江区,2013-01-28,56.06,58.74,23.6,60.64,0.91,43.63,-2.79,4.27,278.94,64.95,102760.12,77,二级
上海市,松江区,2013-01-29,82.28,97.6,24.99,80.24,1.34,41.07,-0.94,3.89,281.98,69.72,102477.13,110,三级
上海市,松江区,2013-01-30,160.54,173.27,36.59,99.96,2.45,44.94,-3.11,2.14,282.3,73.07,102698.2,211,五级
上海市,松江区,2013-01-31,45.58,44.08,15.88,49.85,0.88,50.2,-4.77,5.79,283.85,93.39,102336.16,64,二级
上海市,松江区,2013-02-01,80.52,75.61,17.9,59.85,1.51,16.36,3.63,1.19,285.85,89.09,102175.0,107,三级
上海市,松江区,2013-02-02,71.47,82.89,22.43,51.02,1.48,27.63,-2.57,-5.42,278.36,82.86,103028.34,96,二级
上海市,松江区,2013-02-03,23.08,36.3,12.36,36.52,0.63,49.21,-5.55,3.63,281.73,84.35,102334.13,46,一级
上海市,松江区,2013-02-04,60.44,58.38,20.91,48.0,1.1,18.51,1.9,-3.29,282.47,85.93,102249.03,82,二级
上海市,松江区,2013-02-05,35.72,30.81,11.7,49.2,0.96,25.59,-3.4,-2.8,279.75,94.02,102053.98,62,二级
上海市,松江区,2013-02-06,55.99,59.13,16.81,48.29,1.18,25.42,0.66,-4.56,277.25,82.66,102357.06,77,二级
上海市,松江区,2013-02-07,67.02,79.68,42.76,40.75,1.16,30.18,-2.04,-8.88,275.47,82.83,102744.22,91,二级
上海市,松江区,2013-02-08,32.83,41.26,19.98,35.91,0.92,44.32,1.19,-7.12,272.68,85.97,103256.9,47,一级
上海市,松江区,2013-02-09,56.78,69.08,22.18,30.67,0.93,41.92,1.17,-4.49,273.2,75.47,103029.62,78,二级
上海市,松江区,2013-02-10,198.98,213.46,54.0,38.21,1.15,37.9,-1.6,-2.66,275.17,73.83,102786.16,249,五级
上海市,松江区,2013-02-11,59.64,64.85,22.15,31.83,0.95,65.48,-5.8,-3.79,278.59,79.66,102814.62,81,二级
上海市,松江区,2013-02-12,44.76,53.13,21.64,35.37,1.07,47.42,-0.8,-5.28,278.2,83.66,102702.53,63,二级
上海市,松江区,2013-02-13,88.94,93.84,25.99,21.39,1.24,59.23,-2.88,-0.6,277.06,75.79,102726.77,118,三级
上海市,松江区,2013-02-14,69.47,68.78,14.13,38.3,1.15,44.38,-3.86,-0.71,279.64,94.46,102234.64,94,二级
上海市,松江区,2013-02-15,62.89,68.47,21.44,34.61,1.35,48.47,-0.22,-6.27,278.4,81.04,102585.21,85,二级
上海市,松江区,2013-02-16,60.65,83.45,19.84,31.05,1.07,68.32,-6.3,0.34,278.42,70.96,102646.05,83,二级
上海市,松江区,2013-02-17,39.8,56.29,15.29,40.88,0.87,48.77,-1.93,3.57,282.33,90.72,101813.56,56,二级
上海市,松江区,2013-02-18,52.08,48.09,22.22,47.72,1.21,31.03,-1.99,-7.12,279.58,92.93,101889.2,72,二级
上海市,松江区,2013-02-19,21.12,29.29,28.33,45.19,0.94,42.26,-1.92,-8.37,275.35,84.22,102692.22,57,二级
上海市,松江区,2013-02-20,61.76,86.1,36.68,55.01,1.19,48.6,-4.32,-3.79,277.26,67.5,102998.62,84,二级
上海市,松江区,2013-02-21,68.58,93.56,27.95,46.42,0.84,68.06,-4.98,-1.81,278.76,74.75,102933.82,92,二级
上海市,松江区,2013-02-22,100.01,114.19,36.58,77.73,1.45,33.57,-0.34,-2.58,280.55,76.35,102873.38,132,三级
上海市,松江区,2013-02-23,150.22,157.67,54.15,91.39,1.7,43.71,-2.24,-0.86,279.77,78.62,103110.42,201,五级
上海市,松江区,2013-02-24,85.06,87.86,21.28,33.08,0.89,83.51,-6.96,3.23,281.18,72.86,102819.49,113,三级
上海市,松江区,2013-02-25,33.2,32.78,11.02,40.56,0.72,56.88,-5.5,2.56,283.83,94.06,102327.81,51,二级
上海市,松江区,2013-02-26,46.61,40.88,19.48,62.7,1.33,17.13,-0.38,-4.32,284.29,94.72,101886.34,79,二级
上海市,松江区,2013-02-27,44.59,48.43,18.91,56.33,1.0,44.82,-2.02,-3.58,280.24,93.26,102046.52,71,二级
上海市,松江区,2013-02-28,48.53,61.59,16.86,44.97,0.69,65.42,-4.58,4.23,283.26,86.76,101521.22,67,二级
上海市,松江区,2013-03-01,56.26,85.88,26.2,49.61,1.09,41.19,-0.2,-8.87,280.78,77.96,102032.57,77,二级
上海市,松江区,2013-03-02,34.77,76.58,31.86,41.62,0.77,54.68,-0.37,-7.95,277.06,61.49,103065.0,64,二级
上海市,松江区,2013-03-03,59.01,87.93,37.6,61.49,0.94,39.48,2.71,-2.3,277.35,54.58,102770.24,81,二级
上海市,松江区,2013-03-04,101.66,162.7,49.46,86.25,1.21,33.66,5.31,0.12,282.45,47.43,102455.0,134,三级
上海市,松江区,2013-03-05,151.09,230.63,57.14,91.36,1.42,41.28,-2.51,0.8,281.78,70.64,102636.15,202,五级
上海市,松江区,2013-03-06,79.89,156.95,35.25,73.8,0.92,71.06,0.29,6.72,287.12,48.7,102151.24,107,三级
上海市,松江区,2013-03-07,135.72,218.26,55.22,97.3,1.37,50.14,4.88,2.57,288.68,52.92,101718.99,180,四级
上海市,松江区,2013-03-08,138.08,213.55,45.18,105.37,1.45,49.01,3.96,3.6,291.06,48.11,101365.74,183,四级
上海市,松江区,2013-03-09,119.52,175.98,43.77,91.56,1.34,83.52,2.44,6.47,293.68,47.84,101176.45,157,四级
上海市,松江区,2013-03-10,60.38,174.0,26.93,39.86,0.98,65.79,-3.16,-8.46,281.83,65.63,102206.85,112,三级
上海市,松江区,2013-03-11,31.01,55.3,19.23,56.5,0.88,35.0,-5.11,-2.46,279.97,76.5,102474.46,71,二级
