province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,浦东新区,2013-01-01,72.4,110.45,45.91,72.25,1.41,14.52,5.66,0.0,276.42,63.25,102381.99,97,二级
上海市,浦东新区,2013-01-02,43.72,72.58,18.0,37.33,1.15,38.69,0.44,-8.95,277.43,70.22,103005.08,62,二级
上海市,浦东新区,2013-01-03,25.49,34.75,15.06,23.91,0.95,48.64,2.38,-9.09,275.3,79.74,103536.02,37,一级
上海市,浦东新区,2013-01-04,31.38,36.28,12.73,30.17,0.78,43.35,0.87,-7.4,276.2,77.33,103057.64,45,一级
上海市,浦东新区,2013-01-05,35.13,36.64,13.22,37.98,1.13,39.5,1.87,-6.75,276.44,82.8,102615.87,51,二级
上海市,浦东新区,2013-01-06,69.63,73.18,28.45,45.81,1.17,37.08,1.56,-5.95,276.71,78.88,102613.14,94,二级
上海市,浦东新区,2013-01-07,100.86,99.62,36.28,64.52,1.21,17.04,1.96,-4.82,276.72,80.0,102471.96,133,三级
上海市,浦东新区,2013-01-08,88.55,86.69,36.5,52.4,1.16,37.61,1.31,-6.77,277.82,76.17,102493.59,117,三级
上海市,浦东新区,2013-01-09,75.7,84.08,33.5,37.1,1.08,42.16,0.48,-7.84,277.62,69.85,102771.99,101,三级
上海市,浦东新区,2013-01-10,39.93,50.49,17.6,37.91,0.86,45.16,-0.54,-5.94,276.72,62.36,103015.68,57,二级
上海市,浦东新区,2013-01-11,28.51,33.0,8.29,42.78,0.69,42.94,-2.82,-0.46,279.18,72.03,102807.9,54,二级
上海市,浦东新区,2013-01-12,128.44,151.1,53.0,90.79,1.4,22.69,-0.77,-2.24,278.88,81.62,102602.08,170,四级
上海市,浦东新区,2013-01-13,52.69,47.33,11.91,46.29,0.98,40.74,-2.47,-5.05,279.96,89.38,102093.28,73,二级
上海市,浦东新区,2013-01-14,89.58,95.01,19.39,55.14,1.09,42.27,1.66,-6.9,278.41,76.57,102436.91,119,三级
上海市,浦东新区,2013-01-15,94.51,105.37,18.6,46.1,1.21,45.14,-2.21,-1.0,278.81,83.81,102568.53,125,三级
上海市,浦东新区,2013-01-16,150.58,157.23,30.96,54.4,1.35,34.93,0.09,-4.63,278.36,82.77,102671.92,201,五级
上海市,浦东新区,2013-01-17,43.86,55.43,15.59,26.06,0.96,58.19,1.95,-9.68,275.7,68.92,103366.24,62,二级
上海市,浦东新区,2013-01-18,71.69,86.7,28.57,61.24,1.04,36.03,1.93,-4.36,274.78,74.24,103409.35,96,二级
上海市,浦东新区,2013-01-19,61.22,61.16,12.14,49.0,0.8,40.23,-2.27,1.1,277.27,76.0,102988.42,83,二级
上海市,浦东新区,2013-01-20,19.4,25.04,5.72,30.45,0.67,55.85,-5.05,4.34,282.65,91.83,102556.25,39,一级
上海市,浦东新区,2013-01-21,96.58,96.17,32.0,58.86,1.74,8.98,4.8,-0.34,281.36,92.22,102302.94,127,三级
上海市,浦东新区,2013-01-22,96.7,103.13,25.46,53.14,1.45,15.14,3.63,-5.99,276.58,82.4,102604.25,128,三级
上海市,浦东新区,2013-01-23,141.54,155.76,51.63,72.96,1.79,12.53,4.8,-2.73,276.26,71.26,102379.76,188,四级
上海市,浦东新区,2013-01-24,188.87,211.5,53.58,86.65,2.08,14.24,2.8,-2.53,278.09,69.24,102193.13,239,五级
上海市,浦东新区,2013-01-25,139.07,151.55,38.6,76.81,1.52,26.4,2.6,-1.42,276.54,63.16,102496.78,185,四级
上海市,浦东新区,2013-01-26,130.08,130.66,43.38,78.6,1.5,35.52,1.6,-1.46,278.61,68.46,102311.86,172,四级
上海市,浦东新区,2013-01-27,23.48,24.13,10.53,32.87,0.5,55.21,-1.85,-4.19,277.71,69.68,102876.52,42,一级
上海市,浦东新区,2013-01-28,30.18,33.46,11.94,34.86,0.52,55.2,-2.02,4.13,278.88,63.44,102788.07,44,一级
上海市,浦东新区,2013-01-29,50.07,65.19,16.79,56.59,0.84,50.74,-1.22,4.38,281.76,75.65,102506.06,71,二级
上海市,浦东新区,2013-01-30,87.54,98.38,19.25,64.56,1.23,52.29,-3.05,1.73,282.33,80.49,102725.76,116,三级
上海市,浦东新区,2013-01-31,24.32,28.67,6.63,25.35,0.48,64.54,-4.92,5.76,283.89,95.69,102381.89,35,一级
上海市,浦东新区,2013-02-01,70.68,71.09,18.83,55.39,1.21,19.74,3.2,1.26,285.14,90.19,102182.33,95,二级
上海市,浦东新区,2013-02-02,47.73,58.38,11.91,24.31,0.98,47.96,-2.35,-6.63,278.39,84.39,103026.13,66,二级
上海市,浦东新区,2013-02-03,14.92,24.78,5.8,17.8,0.4,61.74,-5.52,3.63,282.04,84.14,102364.47,31,一级
上海市,浦东新区,2013-02-04,56.02,59.67,19.79,37.41,0.91,30.48,1.77,-3.56,282.28,88.29,102245.91,77,二级
上海市,浦东新区,2013-02-05,31.18,35.7,7.12,24.54,0.57,52.58,-3.92,-3.17,279.88,94.39,102062.34,45,一级
上海市,浦东新区,2013-02-06,46.98,52.46,15.55,32.03,0.72,43.03,1.18,-5.29,277.33,86.39,102351.12,65,二级
上海市,浦东新区,2013-02-07,39.57,47.27,17.51,17.14,0.58,61.15,-1.52,-10.4,276.16,80.2,102717.91,56,二级
上海市,浦东新区,2013-02-08,13.53,19.75,6.44,12.69,0.4,69.65,0.56,-8.82,273.67,83.67,103210.36,35,一级
上海市,浦东新区,2013-02-09,33.53,45.74,12.78,21.91,0.54,61.03,1.48,-5.12,274.49,73.99,103006.91,48,一级
上海市,浦东新区,2013-02-10,128.21,140.33,29.78,29.44,0.72,53.69,-0.85,-3.38,275.87,76.35,102789.9,169,四级
上海市,浦东新区,2013-02-11,44.72,50.42,10.2,12.3,0.55,80.21,-6.55,-4.29,279.17,78.68,102826.98,63,二级
上海市,浦东新区,2013-02-12,30.49,37.91,11.1,18.35,0.55,69.8,-0.94,-6.11,278.65,82.29,102689.79,44,一级
上海市,浦东新区,2013-02-13,75.66,82.94,18.11,14.97,0.81,81.86,-2.49,-2.05,277.46,74.74,102743.53,101,三级
上海市,浦东新区,2013-02-14,51.51,54.14,9.01,17.71,0.64,68.19,-4.12,-1.04,279.9,93.84,102250.47,71,二级
上海市,浦东新区,2013-02-15,50.38,58.64,12.52,17.6,0.73,80.38,-0.28,-6.97,278.49,81.57,102573.11,70,二级
上海市,浦东新区,2013-02-16,27.17,36.04,7.95,14.0,0.49,79.97,-6.65,-0.77,278.74,69.1,102680.71,40,一级
上海市,浦东新区,2013-02-17,29.33,42.44,10.76,35.44,0.69,54.9,-2.02,3.82,282.3,90.93,101836.49,45,一级
上海市,浦东新区,2013-02-18,38.75,41.09,8.44,23.86,0.66,52.73,-1.86,-7.87,279.54,94.14,101882.65,55,二级
上海市,浦东新区,2013-02-19,10.93,17.15,6.77,14.68,0.37,76.31,-2.72,-9.94,276.49,80.29,102667.08,39,一级
上海市,浦东新区,2013-02-20,26.53,35.65,10.46,22.68,0.49,76.8,-4.69,-4.24,277.88,66.78,103006.21,39,一级
上海市,浦东新区,2013-02-21,36.05,46.41,11.06,17.82,0.48,86.35,-5.13,-2.29,279.21,73.58,102953.52,52,二级
上海市,浦东新区,2013-02-22,65.97,77.46,17.48,52.73,0.78,55.71,-1.48,-3.24,280.35,76.56,102878.01,89,二级
上海市,浦东新区,2013-02-23,99.78,108.31,21.62,54.84,1.01,57.44,-2.21,-2.3,279.56,81.8,103128.7,131,三级
上海市,浦东新区,2013-02-24,41.15,44.61,9.32,17.86,0.5,86.56,-6.59,2.37,281.3,72.21,102865.2,58,二级
上海市,浦东新区,2013-02-25,17.76,20.75,4.54,18.13,0.4,76.06,-6.38,2.63,283.32,94.55,102363.64,39,一级
上海市,浦东新区,2013-02-26,28.04,26.24,9.5,37.49,0.74,45.67,0.46,-4.16,283.68,97.07,101888.87,47,一级
上海市,浦东新区,2013-02-27,31.01,39.56,9.22,23.46,0.51,74.29,-1.81,-4.52,279.98,96.28,102051.69,45,一级
上海市,浦东新区,2013-02-28,37.73,49.76,8.65,23.5,0.5,74.19,-4.18,4.62,283.25,86.34,101559.54,54,二级
上海市,浦东新区,2013-03-01,34.4,48.63,10.02,23.21,0.6,59.7,-0.1,-9.47,280.8,79.52,102006.24,50,一级
上海市,浦东新区,2013-03-02,12.91,28.89,7.6,13.3,0.32,76.81,-0.04,-9.23,277.2,65.02,103037.45,39,一级
上海市,浦东新区,2013-03-03,52.17,76.24,28.84,59.23,0.74,49.43,2.64,-2.93,277.94,54.73,102754.48,75,二级
上海市,浦东新区,2013-03-04,107.5,163.37,47.77,88.03,1.17,32.4,5.5,0.02,282.35,49.91,102448.0,141,三级
上海市,浦东新区,2013-03-05,102.04,154.81,23.72,55.82,0.98,53.87,-2.17,0.44,282.23,73.49,102651.87,134,三级
上海市,浦东新区,2013-03-06,72.63,145.88,25.38,62.7,0.78,77.71,0.4,7.24,286.54,53.26,102187.38,98,二级
上海市,浦东新区,2013-03-07,125.88,214.29,46.56,78.62,1.18,63.32,3.62,2.53,288.0,56.58,101719.98,166,四级
上海市,浦东新区,2013-03-08,132.57,204.74,39.87,96.38,1.37,55.52,3.96,4.36,290.38,51.65,101377.72,176,四级
上海市,浦东新区,2013-03-09,103.27,151.38,31.59,71.31,1.11,103.04,2.03,7.03,292.09,53.1,101203.79,136,三级
上海市,浦东新区,2013-03-10,35.3,102.37,8.6,16.14,0.51,79.51,-3.19,-9.54,281.34,70.62,102197.49,77,二级
上海市,浦东新区,2013-03-11,11.44,22.29,5.31,21.21,0.36,70.64,-5.5,-3.72,280.26,78.64,102485.98,36,一级
上海市,浦东新区,2013-03-12,27.43,48.0,10.0,28.1,0.5,73.79,-4.12,7.3,285.43,85.17,101528.89,48,一级
上海市,浦东新区,2013-03-13,39.72,43.96,12.05,29.84,0.75,46.0,1.46,-8.2,281.61,82.51,101960.62,56,二级
上海市,浦东新区,2013-03-14,13.58,24.24,6.71,15.22,0.34,84.03,-2.53,-7.5,278.61,70.94,102897.1,43,一级
上海市,浦东新区,2013-03-15,19.62,29.32,6.11,21.61,0.35,82.2,-4.7,0.38,281.18,82.84,102632.04,42,一级
上海市,浦东新区,2013-03-16,21.87,30.8,7.53,25.8,0.38,78.11,-4.95,3.17,284.07,90.18,102304.29,40,一级
上海市,浦东新区,2013-03-17,33.01,32.64,8.69,34.55,0.6,60.38,-2.89,5.38,287.26,96.04,101237.82,48,一级
上海市,浦东新区,2013-03-18,68.82,90.26,27.62,72.29,1.34,39.01,6.01,-0.3,287.33,76.41,100961.76,93,二级
上海市,浦东新区,2013-03-19,80.22,93.01,22.34,53.74,1.14,59.81,-1.36,5.0,287.45,74.89,101169.46,107,三级
上海市,浦东新区,2013-03-20,52.92,64.1,13.87,28.3,0.75,61.5,0.68,-5.91,283.02,87.1,101630.02,73,二级
上海市,浦东新区,2013-03-21,13.01,23.09,6.9,16.56,0.32,86.66,-4.29,-0.46,279.44,69.45,102020.38,44,一级
上海市,浦东新区,2013-03-22,62.95,70.26,19.09,43.66,0.84,69.23,-0.72,-0.04,284.91,86.62,101352.98,85,二级
上海市,浦东新区,2013-03-23,38.96,51.34,7.61,19.44,0.47,81.64,-5.17,-1.27,281.75,96.36,101570.29,55,二级
上海市,浦东新区,2013-03-24,46.65,54.11,8.87,22.08,0.54,69.37,-1.94,-5.88,282.34,92.28,101542.99,65,二级
上海市,浦东新区,2013-03-25,25.12,33.32,8.2,15.64,0.41,86.88,-2.86,-7.14,279.63,69.66,102220.02,44,一级
上海市,浦东新区,2013-03-26,8.52,14.71,4.39,15.04,0.32,83.76,-6.61,-1.81,281.1,74.61,102063.09,42,一级
上海市,浦东新区,2013-03-27,29.69,36.78,10.99,39.4,0.5,53.74,-2.41,-0.88,282.56,82.41,101655.69,50,一级
上海市,浦东新区,2013-03-28,49.53,49.94,14.44,38.63,0.57,69.97,-2.83,1.76,283.73,82.98,101693.49,69,二级
上海市,浦东新区,2013-03-29,26.25,34.33,7.88,20.27,0.41,87.24,-5.54,-4.4,282.25,86.13,102129.09,44,一级
上海市,浦东新区,2013-03-30,14.43,26.2,6.0,20.67,0.36,84.81,-5.75,-0.09,283.09,77.3,102047.65,43,一级
上海市,浦东新区,2013-03-31,20.58,29.79,6.07,14.14,0.35,97.24,-5.34,-3.91,282.93,85.36,102208.13,49,一级
上海市,浦东新区,2013-04-01,34.45,48.92,9.23,25.29,0.48,84.27,-3.61,3.94,284.19,88.03,101893.64,50,一级
上海市,浦东新区,2013-04-02,61.53,83.77,20.51,38.53,0.88,65.29,1.57,-4.85,283.56,75.1,101954.99,84,二级
上海市,浦东新区,2013-04-03,36.49,49.7,10.51,30.86,0.53,76.72,-3.01,1.56,281.65,69.48,101876.52,52,二级
上海市,浦东新区,2013-04-04,26.58,35.09,5.74,12.47,0.47,94.19,-7.16,3.75,285.17,87.08,101459.64,48,一级
上海市,浦东新区,2013-04-05,18.06,21.67,4.43,19.16,0.45,86.56,-5.16,0.01,286.48,99.82,100725.68,44,一级
上海市,浦东新区,2013-04-06,32.6,43.65,15.14,25.45,0.65,79.43,5.84,-12.25,282.42,72.8,100909.04,47,一级
上海市,浦东新区,2013-04-07,48.59,67.1,27.65,43.96,0.78,81.68,2.13,-3.16,281.32,37.51,101672.68,67,二级
上海市,浦东新区,2013-04-08,45.29,62.85,15.67,36.93,0.61,102.1,-1.82,7.76,284.62,63.58,101487.46,63,二级
上海市,浦东新区,2013-04-09,52.45,109.34,23.51,45.44,0.76,69.56,2.68,-4.49,285.58,49.89,101968.88,80,二级
上海市,浦东新区,2013-04-10,48.86,126.05,25.45,48.15,0.8,68.39,2.33,0.98,284.23,37.57,102216.13,89,二级
上海市,浦东新区,2013-04-11,68.91,120.83,35.9,56.31,0.92,61.42,1.32,0.71,284.44,47.66,102108.75,93,二级
上海市,浦东新区,2013-04-12,87.49,128.96,41.04,64.98,1.02,66.57,1.81,1.65,287.21,43.56,102076.99,116,三级
上海市,浦东新区,2013-04-13,72.84,104.06,25.64,47.13,0.77,97.69,3.37,8.0,290.99,40.64,101608.54,98,二级
上海市,浦东新区,2013-04-14,52.1,96.81,26.62,38.18,0.7,88.3,1.93,1.85,289.62,55.73,101277.61,74,二级
上海市,浦东新区,2013-04-15,75.13,113.37,20.77,40.18,0.72,121.04,-1.44,6.7,290.18,67.36,101070.66,101,三级
上海市,浦东新区,2013-04-16,43.6,84.56,22.1,53.76,0.67,71.86,0.74,7.33,293.04,61.73,100639.45,68,二级
上海市,浦东新区,2013-04-17,76.57,107.11,18.57,53.73,0.81,70.44,-2.17,-0.85,287.29,94.39,100816.62,102,三级
上海市,浦东新区,2013-04-18,54.55,66.64,9.25,24.03,0.54,80.49,-3.4,-4.39,285.49,86.3,101243.61,75,二级
上海市,浦东新区,2013-04-19,17.17,30.37,5.92,13.47,0.34,90.17,-5.1,-6.9,282.72,73.0,101738.36,46,一级
上海市,浦东新区,2013-04-20,13.64,20.46,4.41,16.74,0.4,85.01,-2.44,-6.78,282.29,90.24,101697.55,43,一级
上海市,浦东新区,2013-04-21,41.13,49.53,11.1,21.05,0.6,98.64,-2.09,-4.99,281.29,69.69,102270.99,58,二级
