province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,金山区,2013-01-01,72.79,86.84,35.44,62.2,1.84,20.3,4.72,0.38,276.68,58.0,102393.02,98,二级
上海市,金山区,2013-01-02,70.92,114.23,38.52,55.51,2.66,24.58,-0.67,-8.68,276.38,68.96,103015.62,95,二级
上海市,金山区,2013-01-03,48.56,57.96,36.86,40.66,2.02,29.51,2.92,-8.32,273.29,78.01,103593.2,67,二级
上海市,金山区,2013-01-04,64.02,66.8,43.2,58.65,1.77,18.15,1.44,-6.94,274.13,83.14,103094.66,87,二级
上海市,金山区,2013-01-05,71.91,67.81,44.5,63.77,2.33,11.8,1.46,-6.1,274.4,82.24,102647.56,97,二级
上海市,金山区,2013-01-06,89.74,89.16,45.64,63.94,1.83,10.84,1.72,-5.55,274.59,76.46,102645.14,119,三级
上海市,金山区,2013-01-07,152.38,148.2,64.94,80.29,2.01,5.59,1.87,-4.47,274.69,81.78,102504.9,203,五级
上海市,金山区,2013-01-08,142.79,137.0,79.32,82.74,2.23,14.89,1.23,-6.06,276.32,70.94,102524.31,190,四级
上海市,金山区,2013-01-09,118.42,124.63,78.42,68.29,2.0,18.06,0.31,-6.85,276.43,72.76,102797.48,155,四级
上海市,金山区,2013-01-10,80.44,92.48,50.74,75.6,2.28,19.6,-0.87,-5.1,275.72,64.6,103025.56,107,三级
上海市,金山区,2013-01-11,53.64,51.86,21.26,68.18,1.24,28.27,-2.42,-1.36,278.08,76.13,102798.71,86,二级
上海市,金山区,2013-01-12,166.08,182.86,82.17,113.7,2.34,19.99,-0.57,-1.61,278.73,78.56,102589.06,217,五级
上海市,金山区,2013-01-13,80.69,64.96,22.12,81.23,1.8,25.2,-2.05,-4.51,279.56,90.26,102090.45,108,三级
上海市,金山区,2013-01-14,148.96,151.5,45.6,80.16,2.68,22.72,1.67,-5.54,277.14,79.54,102464.45,199,四级
上海市,金山区,2013-01-15,125.74,128.33,24.54,77.9,2.7,31.44,-2.32,-0.54,277.86,88.42,102560.24,166,四级
上海市,金山区,2013-01-16,188.67,196.96,64.1,80.91,2.8,18.29,0.72,-3.66,277.43,88.2,102682.72,239,五级
上海市,金山区,2013-01-17,72.81,80.38,39.76,47.73,1.94,29.55,1.36,-8.26,275.27,67.46,103400.63,98,二级
上海市,金山区,2013-01-18,101.82,109.43,44.43,71.94,1.68,26.47,1.27,-3.92,273.97,66.28,103435.99,134,三级
上海市,金山区,2013-01-19,72.87,69.36,18.8,57.16,1.08,37.1,-3.62,0.83,277.44,75.84,102950.92,98,二级
上海市,金山区,2013-01-20,29.84,34.97,12.42,41.62,0.9,47.05,-5.18,3.96,283.0,92.1,102508.97,53,二级
上海市,金山区,2013-01-21,98.01,92.54,36.06,64.35,2.06,10.75,5.19,-1.18,281.02,91.82,102334.76,129,三级
上海市,金山区,2013-01-22,116.88,114.3,43.72,64.64,2.39,8.91,3.44,-5.02,276.64,79.77,102630.54,153,四级
上海市,金山区,2013-01-23,138.72,142.86,48.84,66.96,2.16,19.5,3.5,-3.18,276.32,72.63,102397.82,184,四级
上海市,金山区,2013-01-24,179.02,195.7,64.6,86.25,2.58,15.88,3.02,-2.12,278.67,71.33,102198.33,230,五级
上海市,金山区,2013-01-25,168.5,182.5,44.03,75.46,2.23,26.16,1.4,-1.12,276.33,62.41,102510.5,219,五级
上海市,金山区,2013-01-26,144.3,145.74,46.64,88.94,2.2,24.45,2.27,-1.13,279.18,64.6,102305.32,192,四级
上海市,金山区,2013-01-27,70.12,56.8,31.42,69.45,1.42,30.68,-1.86,-3.58,277.7,70.16,102866.72,94,二级
上海市,金山区,2013-01-28,49.28,50.56,17.85,47.82,0.77,49.8,-3.04,3.9,279.42,66.48,102763.56,68,二级
上海市,金山区,2013-01-29,66.74,76.87,19.99,74.76,1.1,41.98,-1.08,3.75,282.15,69.86,102477.96,94,二级
上海市,金山区,2013-01-30,106.46,110.81,23.72,80.0,1.4,49.14,-3.26,1.72,282.08,75.76,102699.1,140,三级
上海市,金山区,2013-01-31,43.44,46.34,12.6,43.18,0.78,56.5,-4.62,5.54,283.77,91.98,102335.75,61,二级
上海市,金山区,2013-02-01,75.77,71.58,19.07,55.47,1.44,19.23,3.99,1.16,286.25,87.89,102179.89,101,三级
上海市,金山区,2013-02-02,71.12,84.18,22.16,47.54,1.38,33.12,-2.39,-5.4,278.53,83.56,103018.74,96,二级
上海市,金山区,2013-02-03,19.56,29.3,6.35,22.06,0.43,55.28,-5.7,3.22,282.05,85.41,102333.56,30,一级
上海市,金山区,2013-02-04,59.6,59.09,19.24,44.88,1.02,21.8,2.14,-3.24,282.91,85.28,102243.24,81,二级
上海市,金山区,2013-02-05,33.02,33.76,9.9,35.4,0.72,37.04,-3.32,-2.64,280.14,94.49,102038.56,48,一级
上海市,金山区,2013-02-06,53.52,56.7,16.5,44.38,1.02,27.31,0.62,-4.49,277.64,81.69,102352.32,74,二级
上海市,金山区,2013-02-07,63.72,75.26,40.36,38.68,1.05,28.94,-1.96,-8.79,275.54,83.36,102726.58,86,二级
上海市,金山区,2013-02-08,31.4,38.74,19.74,31.88,0.84,45.03,1.64,-7.22,272.53,86.43,103253.78,45,一级
上海市,金山区,2013-02-09,54.16,63.88,20.51,27.46,0.86,43.72,1.18,-4.52,272.96,76.96,103029.76,74,二级
上海市,金山区,2013-02-10,178.58,189.38,43.76,30.25,1.0,46.55,-1.83,-2.76,275.1,73.99,102780.25,229,五级
上海市,金山区,2013-02-11,55.83,59.59,14.78,22.22,0.73,74.16,-5.79,-3.64,278.72,79.28,102797.5,77,二级
上海市,金山区,2013-02-12,40.57,46.78,17.54,28.86,0.86,54.94,-0.47,-5.53,278.44,83.72,102692.24,57,二级
上海市,金山区,2013-02-13,80.71,84.6,19.19,18.8,0.98,60.09,-3.36,-0.62,277.2,75.47,102723.24,108,三级
