province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,西双版纳傣族自治州,2013-01-01,26.02,28.06,10.53,1.88,0.29,57.68,-2.0,0.79,283.31,92.67,89148.28,38,一级
云南省,西双版纳傣族自治州,2013-01-02,22.86,25.35,8.66,1.6,0.27,65.46,-0.13,2.67,287.65,89.1,89099.26,33,一级
云南省,西双版纳傣族自治州,2013-01-03,28.87,31.2,8.92,1.87,0.3,63.42,-3.54,1.91,286.47,94.95,89313.11,42,一级
云南省,西双版纳傣族自治州,2013-01-04,39.8,42.45,11.77,2.03,0.38,59.45,-2.13,1.42,286.01,93.2,89189.48,56,二级
云南省,西双版纳傣族自治州,2013-01-05,32.03,35.23,9.39,1.67,0.34,70.0,0.64,2.67,288.62,88.39,88994.95,46,一级
云南省,西双版纳傣族自治州,2013-01-06,30.99,34.43,8.92,1.63,0.33,71.76,-1.05,1.8,287.22,89.7,89085.34,45,一级
云南省,西双版纳傣族自治州,2013-01-07,26.25,28.95,7.2,1.43,0.3,73.47,1.13,2.85,288.14,81.55,89035.32,38,一级
云南省,西双版纳傣族自治州,2013-01-08,20.21,22.14,4.88,1.33,0.26,76.3,3.8,3.12,289.0,68.34,88957.43,39,一级
云南省,西双版纳傣族自治州,2013-01-09,26.54,28.8,6.32,1.64,0.3,69.72,-2.0,0.59,285.51,77.38,89019.44,38,一级
云南省,西双版纳傣族自治州,2013-01-10,45.29,48.28,10.4,1.71,0.4,61.97,-3.32,1.08,282.6,91.68,89030.39,63,二级
云南省,西双版纳傣族自治州,2013-01-11,55.16,58.76,12.15,1.66,0.46,63.72,-3.2,1.56,283.52,91.65,89057.38,76,二级
云南省,西双版纳傣族自治州,2013-01-12,66.75,70.54,12.05,1.69,0.51,62.89,-3.43,0.44,282.74,91.9,89167.66,90,二级
云南省,西双版纳傣族自治州,2013-01-13,54.73,58.69,9.57,1.69,0.45,67.54,-1.36,0.22,283.07,89.45,89102.72,75,二级
云南省,西双版纳傣族自治州,2013-01-14,39.47,43.09,8.0,1.51,0.39,77.66,0.11,2.28,286.54,80.89,89030.0,56,二级
云南省,西双版纳傣族自治州,2013-01-15,35.69,39.66,8.11,1.49,0.39,79.61,-0.54,1.65,287.41,77.8,89224.04,51,二级
云南省,西双版纳傣族自治州,2013-01-16,35.83,39.79,7.81,1.46,0.39,78.74,-0.49,1.67,287.86,76.8,89365.75,52,二级
云南省,西双版纳傣族自治州,2013-01-17,37.93,41.57,8.22,1.61,0.4,76.18,-3.09,0.55,287.33,82.27,89535.65,54,二级
云南省,西双版纳傣族自治州,2013-01-18,53.94,57.72,13.55,1.69,0.48,69.6,-3.63,0.77,284.91,88.07,89716.94,74,二级
云南省,西双版纳傣族自治州,2013-01-19,48.38,52.3,11.81,1.67,0.45,74.23,-0.46,1.42,286.67,81.87,89385.97,67,二级
云南省,西双版纳傣族自治州,2013-01-20,35.17,38.55,8.73,1.46,0.37,79.64,1.46,2.17,288.86,76.28,89267.35,51,二级
云南省,西双版纳傣族自治州,2013-01-21,34.96,39.82,10.45,1.62,0.36,86.13,0.99,1.82,289.86,66.21,89327.1,50,一级
云南省,西双版纳傣族自治州,2013-01-22,35.42,40.43,10.69,1.52,0.36,86.65,-0.03,1.61,289.93,64.99,89320.22,51,二级
云南省,西双版纳傣族自治州,2013-01-23,26.58,30.08,7.85,1.38,0.29,83.49,1.09,2.04,290.08,64.5,89203.75,42,一级
云南省,西双版纳傣族自治州,2013-01-24,15.84,17.78,4.18,1.61,0.22,80.61,1.06,0.75,289.92,54.91,89152.68,41,一级
云南省,西双版纳傣族自治州,2013-01-25,30.49,33.27,7.53,1.48,0.32,77.58,-0.7,2.37,289.23,65.48,89126.44,44,一级
云南省,西双版纳傣族自治州,2013-01-26,30.86,33.83,7.39,1.44,0.34,75.11,-0.16,1.72,288.95,64.78,89089.55,45,一级
云南省,西双版纳傣族自治州,2013-01-27,44.69,48.11,9.65,1.61,0.43,69.67,-3.79,0.98,287.12,80.16,89293.34,63,二级
云南省,西双版纳傣族自治州,2013-01-28,47.02,50.55,11.91,1.5,0.45,70.15,-3.09,1.38,286.24,86.86,89308.77,66,二级
云南省,西双版纳傣族自治州,2013-01-29,48.92,53.04,10.41,1.69,0.45,68.34,-1.37,1.67,287.29,91.17,89288.58,68,二级
