province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,兴安盟,2013-01-01,4.1,4.67,3.97,2.79,0.24,50.79,6.26,-6.19,244.34,56.25,94369.82,26,一级
内蒙古自治区,兴安盟,2013-01-02,2.72,3.08,2.41,1.75,0.23,56.86,8.49,-7.23,249.39,52.3,95214.46,29,一级
内蒙古自治区,兴安盟,2013-01-03,2.07,2.46,2.05,1.56,0.23,55.28,8.85,-4.5,253.29,52.47,95833.96,28,一级
内蒙古自治区,兴安盟,2013-01-04,3.64,4.3,2.95,1.99,0.21,56.38,8.91,-1.51,254.43,50.19,95000.27,29,一级
内蒙古自治区,兴安盟,2013-01-05,3.32,3.76,2.88,1.84,0.2,48.32,7.82,-4.72,253.98,55.82,95016.97,25,一级
内蒙古自治区,兴安盟,2013-01-06,6.13,7.16,5.09,3.22,0.23,43.02,4.97,-1.47,251.12,64.02,95146.59,22,一级
内蒙古自治区,兴安盟,2013-01-07,8.78,10.22,6.61,4.21,0.25,41.28,3.17,-3.75,247.99,66.93,95274.09,21,一级
内蒙古自治区,兴安盟,2013-01-08,4.3,4.98,3.71,2.48,0.24,46.92,6.19,-3.53,247.1,56.49,95321.08,24,一级
内蒙古自治区,兴安盟,2013-01-09,4.25,5.03,3.48,2.36,0.24,45.32,6.06,-3.1,247.85,59.69,95105.24,23,一级
内蒙古自治区,兴安盟,2013-01-10,5.58,6.67,5.14,3.35,0.25,45.72,3.91,-1.7,248.77,63.58,95249.36,23,一级
内蒙古自治区,兴安盟,2013-01-11,11.24,13.12,8.16,5.18,0.28,47.45,1.58,-2.3,247.79,71.52,95083.82,24,一级
内蒙古自治区,兴安盟,2013-01-12,7.77,9.08,5.89,3.65,0.25,47.8,3.61,-2.12,248.61,70.79,95014.87,24,一级
内蒙古自治区,兴安盟,2013-01-13,11.19,13.06,7.95,4.84,0.26,45.08,2.83,-0.78,249.1,70.39,94955.24,23,一级
内蒙古自治区,兴安盟,2013-01-14,9.56,11.1,7.04,4.38,0.23,40.66,2.51,-3.01,250.21,66.51,95511.22,21,一级
内蒙古自治区,兴安盟,2013-01-15,16.92,19.41,11.12,6.31,0.29,38.45,0.24,-1.6,248.98,75.23,95433.57,25,一级
内蒙古自治区,兴安盟,2013-01-16,9.99,11.26,7.48,4.49,0.24,44.76,4.71,-4.12,250.72,64.11,95777.28,23,一级
内蒙古自治区,兴安盟,2013-01-17,5.28,6.14,4.3,2.73,0.22,47.74,5.91,-1.11,255.8,58.95,95796.41,24,一级
内蒙古自治区,兴安盟,2013-01-18,10.65,12.31,5.74,4.39,0.25,42.55,3.44,-4.07,253.91,71.7,95224.49,22,一级
内蒙古自治区,兴安盟,2013-01-19,8.37,9.73,6.23,3.91,0.23,43.14,3.06,-1.8,254.93,68.12,95694.07,22,一级
内蒙古自治区,兴安盟,2013-01-20,22.04,25.12,13.75,6.97,0.32,40.83,-0.28,0.06,253.41,77.5,95884.67,32,一级
内蒙古自治区,兴安盟,2013-01-21,21.57,24.02,10.81,6.27,0.29,39.08,2.87,-4.13,254.55,70.91,95829.82,31,一级
