province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,呼伦贝尔市,2013-01-01,2.07,2.46,3.3,2.16,0.23,54.77,3.58,-5.33,241.25,67.11,93156.12,28,一级
内蒙古自治区,呼伦贝尔市,2013-01-02,1.2,1.46,2.3,1.53,0.22,55.49,6.1,-5.3,246.51,65.15,93822.29,28,一级
内蒙古自治区,呼伦贝尔市,2013-01-03,1.17,1.47,2.4,1.65,0.22,50.51,6.83,-1.31,249.09,66.87,94265.51,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-04,2.6,3.12,3.06,2.02,0.21,51.72,6.95,1.66,249.46,66.79,93371.19,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-05,1.94,2.29,3.33,1.96,0.21,46.79,5.52,-3.91,247.82,66.9,93556.36,24,一级
内蒙古自治区,呼伦贝尔市,2013-01-06,2.85,3.47,5.02,2.84,0.22,47.3,3.3,-1.34,243.46,68.16,93719.19,24,一级
内蒙古自治区,呼伦贝尔市,2013-01-07,3.39,4.12,6.14,3.36,0.23,49.94,3.24,-2.26,240.85,66.54,93935.87,25,一级
内蒙古自治区,呼伦贝尔市,2013-01-08,2.4,2.92,4.6,2.59,0.23,49.59,4.52,-1.54,241.05,66.36,93852.35,25,一级
内蒙古自治区,呼伦贝尔市,2013-01-09,2.72,3.3,4.81,2.74,0.24,48.36,3.95,-1.75,241.42,67.65,93669.06,25,一级
内蒙古自治区,呼伦贝尔市,2013-01-10,2.9,3.54,5.4,3.03,0.24,51.31,3.63,-1.06,241.96,66.94,93784.29,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-11,4.29,5.19,6.98,3.65,0.24,50.45,2.65,-0.5,242.17,68.37,93684.99,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-12,4.56,5.41,7.18,3.61,0.24,51.61,3.18,-0.7,242.23,68.16,93588.72,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-13,5.97,7.1,7.95,4.05,0.23,47.57,1.84,0.22,243.5,70.85,93551.51,24,一级
内蒙古自治区,呼伦贝尔市,2013-01-14,5.48,6.41,7.27,3.66,0.22,47.31,2.6,-1.3,243.5,69.97,94151.87,24,一级
内蒙古自治区,呼伦贝尔市,2013-01-15,6.05,7.18,8.47,4.05,0.23,50.68,1.28,-1.71,244.6,70.13,94123.97,26,一级
内蒙古自治区,呼伦贝尔市,2013-01-16,5.33,6.09,6.61,3.36,0.22,47.72,4.65,-0.49,244.88,68.16,94425.4,24,一级
内蒙古自治区,呼伦贝尔市,2013-01-17,3.98,4.7,4.75,2.88,0.21,45.17,4.08,1.81,250.0,69.71,94270.23,23,一级
内蒙古自治区,呼伦贝尔市,2013-01-18,5.84,6.98,6.6,3.75,0.22,44.19,1.73,-0.43,248.83,75.22,93966.9,23,一级
内蒙古自治区,呼伦贝尔市,2013-01-19,5.17,6.06,6.62,3.47,0.21,45.87,2.64,-0.87,248.12,73.48,94318.9,23,一级
内蒙古自治区,呼伦贝尔市,2013-01-20,6.86,8.05,8.52,4.21,0.23,49.03,0.29,-0.34,249.76,75.0,94529.59,25,一级
内蒙古自治区,呼伦贝尔市,2013-01-21,7.81,8.91,8.22,4.14,0.22,45.66,3.1,0.26,248.89,73.83,94488.37,23,一级
内蒙古自治区,呼伦贝尔市,2013-01-22,6.04,7.01,5.62,3.5,0.2,44.81,3.87,2.14,250.3,73.21,93799.29,23,一级
内蒙古自治区,呼伦贝尔市,2013-01-23,4.74,5.61,5.75,3.3,0.2,43.75,1.48,-2.78,246.05,72.73,93208.52,22,一级
内蒙古自治区,呼伦贝尔市,2013-01-24,1.02,1.26,2.24,1.51,0.23,55.13,4.91,-7.05,242.68,65.66,93207.74,28,一级
内蒙古自治区,呼伦贝尔市,2013-01-25,1.37,1.75,2.94,1.96,0.24,55.92,3.9,-3.23,243.43,64.83,93453.15,28,一级
内蒙古自治区,呼伦贝尔市,2013-01-26,3.65,4.48,5.95,3.47,0.23,52.23,2.87,-0.23,244.67,67.4,93864.53,27,一级
内蒙古自治区,呼伦贝尔市,2013-01-27,5.92,7.04,6.74,4.17,0.23,41.4,2.95,1.87,248.22,74.6,93424.41,21,一级
内蒙古自治区,呼伦贝尔市,2013-01-28,8.21,9.58,7.06,4.35,0.23,38.18,2.86,2.21,252.76,81.55,93206.91,20,一级
